reading,interaction,ele_id,subtype,sign,connection,connection_type,location,mechanism,phosphorylation,site,cell_line,cell_type,tissue,organism,statements,paper_id
RA1,104138,245424,0,104138,129129,5149,31662,30181,9722,0,38955,37756,0,22328,129129,129129
RA2,5070,11078,0,5070,6039,784,1315,2313,1434,0,2092,870,0,473,6039,6039
RA3,786,1897,0,786,1106,0,0,0,0,0,0,0,0,0,0,1106
RA4,20,41,0,20,21,0,0,0,0,0,0,0,0,0,0,21
RB1,449,1327,0,449,711,0,0,0,0,0,0,0,0,0,0,711
RB2,163,312,0,163,188,0,0,0,0,0,0,0,0,0,0,188
RB3,269,529,0,269,291,0,0,0,0,0,0,0,0,0,0,291
RB_star_1,1022,2604,0,1022,1336,21,0,1336,14,0,0,0,0,0,1336,1336
RB_star_2,611,1613,0,611,848,13,0,848,23,0,0,0,0,0,848,848
RA2_0_1,2186,4974,0,2186,2802,628,701,1431,976,0,829,413,0,203,2802,2802
RA2_0_1_1,809,1978,0,809,1098,320,287,622,439,0,316,163,0,88,1098,1098
RB2_1,84,242,0,84,154,0,0,0,0,0,0,0,0,0,0,154
RB2_0_1,102,199,0,102,117,0,0,0,0,0,0,0,0,0,0,117
