#,Element Name,Element Type,Element Sub-type,Element IDs,Cell line,Cell type,Organism,Tissue type,Location,Location ID,Element NOTES,,Variable,,,Positive Regulators,Positive Connection Type,Negative Regulators,Negative Connection Type
1,ADAM,Protein family,"10,17","P78536,O14672",Pancreatic,Pancreas,Human,Pancreas,plasma membrane,GO:0005886,,,ADAMpf_memPCC,,,"PKCApf_cytoPCC,SRCpn_cytoPCC","I,D",,
2,AKT,Protein family,"1,2","P31749,P31751",Pancreatic,Pancreas,Human,Pancreas,cytoplasm,GO:0005737,,,AKTpf_cytoPCC,,,PDPK1pn_cytoPCC,D,"ICMTpn_erPCC,PP2Apf_cytoPCC,AKTINHAKext_cytoPCC,AKTINHAKext_cytoPCC","I,D,N/A,N/A"
3,AMPK,Protein family,,"Q13131,P54646,Q9Y478,O43741,P54619,Q9UGJ0,Q9UGI9",Pancreatic,Pancreas,Human,Pancreas,cytoplasm,GO:0005737,,,AMPKpf_cytoPCC,,,LKB1pn_cytoPCC,D,,
4,AP1,Protein complex,,"P05412,P01100",Pancreatic,Pancreas,Human,Pancreas,nucleus,GO:0005634,,,AP1pf_nucPCC,,,"(FOSpn_nucPCC,JNKpf_nucPCC)","D,D",,
5,ARF,Protein,,Q8N726,Pancreatic,Pancreas,Human,Pancreas,nucleus,GO:0005634,,,ARFpn_nucPCC,,,E2Fpf_nucPCC,D,,
6,ASK,Protein family,,Q99683,Pancreatic,Pancreas,Human,Pancreas,cytoplasm,GO:0005737,,,ASKpf_cytoPCC,,,"THIOREDOXINpn_cytoPCC,TRAFpf_cytoPCC","D,I",,
7,ATG4A,Protein family,,"Q8WYN0,Q9Y4P1,Q96DT6",Pancreatic,Pancreas,Human,Pancreas,cytoplasm,GO:0005737,,,ATG4Apf_cytoPCC,,,ATG4Arna_nucPCC,D,,
8,ATG4A,mRNA,,"Q8WYN0,Q9Y4P1,Q96DT6",Pancreatic,Pancreas,Human,Pancreas,nucleus,GO:0005634,,,ATG4Arna_nucPCC,,,ATG4Agene_nucPCC,D,,
9,ATG4A,gene,,"Q8WYN0,Q9Y4P1,Q96DT6",Pancreatic,Pancreas,Human,Pancreas,nucleus,GO:0005634,,,ATG4Agene_nucPCC,,,"HIF1Apf_nucPCC,JNKpf_nucPCC","D,I",,
10,ATM,Protein,,Q13315,Pancreatic,Pancreas,Human,Pancreas,cytoplasm,GO:0005737,,,ATMpn_cytoPCC,,,{ROScf_cytoPCC}[ATMrna_nucPCC],"D,D",SRCpn_cytoPCC,I
