Element Name,,Database Name,Element ID,Element Type,Location,Location ID,Cell Line,Cell Type,Organism,Positive Reg Name,,,Positive Reg ID,Positive Reg Type,Positive Reg Location,Positive Reg Location ID,Negative Reg Name,,,Negative Reg ID,Negative Reg Type,Negative Reg Location,Negative Reg Location,Negative Reg Location ID,Mechanism,Connection Type,Paper ID,Evidence
AKT,be_AKT,be,P31749,family,,,,,,TGFBETA,interpro_P01137,interpro,P01137,family,,,,,,,,,,,,I,PMC2275380,
Ctla4,uniprot_P16410,uniprot,P16410,protein,,,,,,Foxp3,uniprot_Q9BZS1,uniprot,Q9BZS1,protein,,,,,,,,,,,,I,PMC2275380,
Gpr83,uniprot_Q9NYM4,uniprot,Q9NYM4,protein,,,,,,Foxp3,uniprot_Q9BZS1,uniprot,Q9BZS1,protein,,,,,,,,,,,,I,PMC2275380,
CD8,be_CD8,be,CD8,family,,,,,,Pten,uniprot_P60484,uniprot,P60484,protein,,,,,,,,,,,,I,PMC3375464,
HSC,uniprot_P19526,uniprot,P19526,protein,,,,,,PTEN,uniprot_P60484,uniprot,P60484,protein,,,,,,,,,,,,I,PMC3375464,
Akt,be_AKT,be,P31749,family,,,,,,CHK1,uniprot_O14757,uniprot,O14757,protein,,,,,,,,,,,,I,PMC3375464,
gp120,uniprot_Q14624,uniprot,Q14624,protein,,,,,,PDL1,uniprot_Q9NZQ7,uniprot,Q9NZQ7,protein,,,,,,,,,,,,I,PMC4669187,
Itk,uniprot_Q08881,uniprot,Q08881,protein,,,,,,FoxP3,uniprot_Q9BZS1,uniprot,Q9BZS1,protein,,,,,,,,,,,,I,PMC3949578,
CD4,uniprot_P01730,uniprot,P01730,protein,,,,,,Itk,uniprot_Q08881,uniprot,Q08881,protein,,,,,,,,,,,,I,PMC3949578,
Itk,uniprot_Q08881,uniprot,Q08881,protein,,,,,,IL2,uniprot_P60568,uniprot,P60568,protein,,,,,,,,,,,,I,PMC3949578,
