Element Name,,Database Name,Element ID,Element Type,Location,Location ID,Cell Line,Cell Type,Organism,Positive Reg Name,,,Positive Reg ID,Positive Reg Type,Positive Reg Location,Positive Reg Location ID,Negative Reg Name,,,Negative Reg ID,Negative Reg Type,Negative Reg Location,Negative Reg Location ID,Connection Type,Mechanism,Paper ID,Evidence
Cre,uniprot_P06956,uniprot,P06956,protein,,,,,,CD4,uniprot_P01730,uniprot,P01730,protein,,,,,,,,,,I,,PMCPMC5821214,
PD_1,uniprot_P18621,uniprot,P18621,protein,,,,,,TCR,uniprot_P04234,uniprot,P04234,protein,,,,,,,,,,I,,PMCPMC5821214,
antigen,uaz_UA-BP-GGP-00007,uaz,UA-BP-GGP-00007,protein,,,,,,proliferation,go_GO:0008283,go,GO:0008283,bioprocess,,,,,,,,,,I,,PMCPMC5821214,
antigen,uaz_UA-BP-GGP-00007,uaz,UA-BP-GGP-00007,protein,,,,,,PI3K,be_PI3K,be,PI3K,protein,,,,,,,,,,I,,PMCPMC5821214,
antigen,uaz_UA-BP-GGP-00007,uaz,UA-BP-GGP-00007,protein,,,,,,PKC,be_PKC,be,PKC,family,,,,,,,,,,I,,PMCPMC5821214,
antigen,uaz_UA-BP-GGP-00007,uaz,UA-BP-GGP-00007,protein,,,,,,AKT,be_AKT,be,AKT,family,,,,,,,,,,I,,PMCPMC5821214,
PTEN,uniprot_P60484,uniprot,P60484,protein,,,,,,PD_1,uniprot_P18621,uniprot,P18621,protein,,,,,,,,,,I,,PMCPMC5821214,
PI3K,be_PI3K,be,PI3K,protein,,,,,,AKT,be_AKT,be,AKT,family,,,,,,,,,,I,,PMCPMC5821214,
PD_1,uniprot_P18621,uniprot,P18621,protein,,,,,,PI3K,be_PI3K,be,PI3K,protein,,,,,,,,,,I,,PMCPMC5821214,
PD_1,uniprot_P18621,uniprot,P18621,protein,,,,,,AKT,be_AKT,be,AKT,family,,,,,,,,,,I,,PMCPMC5821214,
mTORC1_inhibitors,uaz_UAZ10909,uaz,UAZ10909,simple-chemical,,,,,,mTORC1,be_mTORC1,be,mTORC1,protein,,,,,,,,,,I,,PMCPMC5765289,
apoptosis,go_GO:0006915,go,GO:0006915,bioprocess,,,,,,Akt,be_AKT,be,AKT,family,,,,,,,,,,I,,PMCPMC5765289,
Ltd,pfam_PF00932,pfam,PF00932,family,,,,,,PP242,pubchem_24905147,pubchem,24905147,simple-chemical,,,,,,,,,,I,,PMCPMC5765289,
PI3K,uaz_UAZ02107,uaz,UAZ02107,protein,,,,,,proliferation,go_GO:0008283,go,GO:0008283,bioprocess,,,,,,,,,,I,,PMCPMC5765289,
G0_G1,uaz_UAZ04414,uaz,UAZ04414,protein,,,,,,PP242,pubchem_24905147,pubchem,24905147,simple-chemical,,,,,,,,,,I,,PMCPMC5765289,
rapamycin,pubchem_5284616,pubchem,5284616,simple-chemical,,,,,,ED,pubchem_99716,pubchem,99716,simple-chemical,,,,,,,,,,I,,PMCPMC5765289,
rapamycin,pubchem_5284616,pubchem,5284616,simple-chemical,,,,,,mTORC1_inhibitors,uaz_UAZ10909,uaz,UAZ10909,simple-chemical,,,,,,,,,,I,,PMCPMC5765289,
apoptosis,go_GO:0006915,go,GO:0006915,bioprocess,,,,,,PP242,pubchem_24905147,pubchem,24905147,simple-chemical,,,,,,,,,,I,,PMCPMC5765289,
G0_G1,uaz_UAZ04414,uaz,UAZ04414,protein,,,,,,PP242,pubchem_24905147,pubchem,24905147,simple-chemical,,,,,,,,,,I,,PMCPMC5765289,
mTOR,uniprot_P42345,uniprot,P42345,protein,,,,,,mTORC1,be_mTORC1,be,mTORC1,protein,,,,,,,,,,I,,PMCPMC5765289,
mTOR,uniprot_P42345,uniprot,P42345,protein,,,,,,mTORC2,be_mTORC2,be,mTORC2,protein,,,,,,,,,,I,,PMCPMC5765289,
apoptosis,go_GO:0006915,go,GO:0006915,bioprocess,,,,,,Akt,be_AKT,be,AKT,family,,,,,,,,,,I,,PMCPMC5765289,
PTEN,uniprot_P60484,uniprot,P60484,protein,,,,,,mTORC2_Akt,uaz_UAZ10937,uaz,UAZ10937,protein,,,,,,,,,,I,,PMCPMC4297581,
Tsc1,uniprot_Q92574,uniprot,Q92574,protein,,,,,,mTORC1,be_mTORC1,be,mTORC1,protein,,,,,,,,,,I,,PMCPMC4297581,
Pten,uniprot_P60484,uniprot,P60484,protein,,,,,,Foxp3,uniprot_B7ZLG1,uniprot,B7ZLG1,protein,,,,,,,,,,I,,PMCPMC4297581,
Pten,uniprot_P60484,uniprot,P60484,protein,,,,,,reg,uniprot_P05451,uniprot,P05451,protein,,,,,,,,,,I,,PMCPMC4297581,
PTEN,uniprot_P60484,uniprot,P60484,protein,,,,,,proliferation,go_GO:0008283,go,GO:0008283,bioprocess,,,,,,,,,,I,,PMCPMC4297581,
PTEN,uniprot_P60484,uniprot,P60484,protein,,,,,,reg,uniprot_P05451,uniprot,P05451,protein,,,,,,,,,,I,,PMCPMC4297581,
FH,uniprot_P07954,uniprot,P07954,protein,,,,,,CD45.1,uaz_UAZ06442,uaz,UAZ06442,protein,,,,,,,,,,I,,PMCPMC4297581,
PTEN,uniprot_P60484,uniprot,P60484,protein,,,,,,reg,uniprot_P05451,uniprot,P05451,protein,,,,,,,,,,I,,PMCPMC4297581,
IFN__,uaz_UAZ00353,uaz,UAZ00353,protein,,,,,,Pten,uniprot_P60484,uniprot,P60484,protein,,,,,,,,,,I,,PMCPMC4297581,
reg,uniprot_P05451,uniprot,P05451,protein,,,,,,glycolysis,go_GO:0006096,go,GO:0006096,bioprocess,,,,,,,,,,I,,PMCPMC4297581,
Pten,uniprot_P60484,uniprot,P60484,protein,,,,,,glycolysis,go_GO:0006096,go,GO:0006096,bioprocess,,,,,,,,,,I,,PMCPMC4297581,
PTEN,uniprot_P60484,uniprot,P60484,protein,,,,,,reg,uniprot_P05451,uniprot,P05451,protein,,,,,,,,,,I,,PMCPMC4297581,
mTORC2,be_mTORC2,be,mTORC2,protein,,,,,,reg,uniprot_P05451,uniprot,P05451,protein,,,,,,,,,,I,,PMCPMC4297581,
PTEN,uniprot_P60484,uniprot,P60484,protein,,,,,,reg,uniprot_P05451,uniprot,P05451,protein,,,,,,,,,,I,,PMCPMC4297581,
