index,Regulator Name,Regulator Type,Regulator Subtype,Regulator HGNC Symbol,Regulator Database,Regulator ID,Regulator Compartment,Regulator Compartment ID,Regulated Name,Regulated Type,Regulated Subtype,Regulated HGNC Symbol,Regulated Database,Regulated ID,Regulated Compartment,Regulated Compartment ID,Sign,Connection Type,Mechanism,Site,Cell Line,Cell Type,Tissue Type,Organism,Unnamed: 0,Score,Source,Statements,Paper IDs,Evidence Score,Match Score,Kind Score,Epistemic Value,Total Score
12,akt,protein,total,akt1,uniprot,p31749,cytoplasm,go:0005737,pten,protein,,pten,uniprot,p60484,cytoplasm,go:0005737,positive,i,co-overexpression,cytoplasm,hcasmc,smooth muscle,artery,human,['519'],nan,nan,"an antibody against total akt was used as control. the potent pi3-k-inhibitor ly294002 (50 nm) was supplemented to the medium for not-transfected cells. hcasmc were transfected as follows: non transfected (nt); transfected with a plasmid coding for gfp (pcontrol); transfected with an empty plasmid without pten-cdna (pcontrol); transfected with a plasmid coding for pten (ppten); mock transfected (without plasmid, but with transfection reagent). pten- and akt co-overexpression reverses ptens pro-apoptotic effect (c). hcasmc were co-transfected with a wt form of pten and a constitutively active form of akt. an empty plasmid was used as control. following the magnetic separation of positively transfected smc, apoptosis was determined after cell growth for 24 h and expressed as mean od405 ± sd using a cell death detection elisa (#",pmc3606387,1,10,5,1,15
58,pten,protein,lipid phosphatase,pten,uniprot,p60484,cell membrane,go:0005886,pi3k,protein,,pik3r1,uniprot,p27986,plasma membrane,go:0005886,negative,i,dephosphorylates,ptdinsp3,,embryo,caudal,chick,['645'],nan,nan,"pten belongs to a superfamily of protein tyrosine phosphatase that simultaneously possess robust phosphatase activity against lipids and proteins (leslie et al., 2009). presently, we have investigated the role of pten and cell migration in the context of protein phosphatase activity. raftopoulou et al. reported that cell migration was inhibited following microinjection of the c2 domain of pten into glioblastoma cells (raftopoulou et al., 2004). we have also reported similar phenotype by demonstrating that the protein phosphatase of pten modulated in the emt process of chick anterior primitive streak during gastrulation (leslie et al., 2007). however, in our scenario, we discovered that the principal function of pten lipid phosphatase was to regulate cell migration in the caudal embryo. we have shown that pi3k-akt signaling was very active during chick gastrulation and that silencing pten expression in turn reduces akt expression. this implies that pten dephosphorylates ptdinsp3 through its lipid phosphatase. furthermore, when pi3k signaling was inhibited with ly294002 inhibitor, it resulted in the primary vascular plexus being formed as an aggregated mass of blood islands in the yolk-sac. these findings strongly suggest that pten exerted its effect on vasculogenesis primarily through pten lipid phosphatase activity.",pmc3683161,1,10,5,1,15
59,pten,protein,lipid phosphatase,pten,uniprot,p60484,extracellular space,go:0005615,akt,protein,,akt1,uniprot,p31749,cytoplasm,go:0005737,negative,i,reduce akt phosphorylation,,,,,human,['170'],nan,nan,"recently two different groups have reported that pten is also secreted/exported outside the cell. putz et al. [16] demonstrated that pten is exported in exosomes under the control of nedd4 family-interacting protein 1 (ndfip1), an adaptor protein for the nedd4 ubiquitin ligase; extracellular pten is then internalized by recipient cells and is able to reduce akt phosphorylation and cell proliferation. hopkins et al. [17] identified a previously uncharacterized form of pten containing an additional 173 amino acids at the n-terminal of the 403-amino acid-long wt pten protein (named pten-long), which resulted from an alternate translation initiation site. this longer form of pten is a membrane-permeable lipid phosphatase that is secreted from cells, and is capable of entering other cells where it antagonizes the pi3k signaling pathway.",pmc4396696,1,10,5,1,15
103,pten,protein,,pten,uniprot,p60484,cytoplasm,go:0005737,pi3k,protein,,pik3ca,uniprot,p42336,plasma membrane,go:0005886,negative,i,regulation,,,,,,['531'],nan,nan,selected cell functions controlled by specific pten activities/domains and their dependency on regulation of the pi3k pathway.,pmc4329810,1,10,5,1,15
104,pten,protein,,pten,uniprot,p60484,cytoplasm,go:0005737,pi3k,protein,,pik3cg,uniprot,p48736,cytoplasm,go:0005737,negative,i,induction,,,melanoma,,human,['545'],nan,nan,"loss of pten plays an important role in the development of 30–60% of melanomas, however, the mechanisms by which loss of this gene leads to tumor formation remain uncertain. recent evidence has shown that decreased pten transcript levels were associated with pten promoter methylation in melanoma (34, 50). wang et al. showed that more than 50% of the melanomas from patients with xeroderma pigmentosum display pten mutations, typically related to ultraviolet radiation exposure, highlighting the link between dna-damage and pten mutations in this disease (51). dankort et al. have demonstrated the ability of pten silencing to cooperate with brafv600e mutations in the genesis of metastatic melanoma (52). several research groups have recently demonstrated that mek blockade may induce compensatory signaling through pi3k pathway in melanoma, inducing its own resistance factors and explaining the highly variable clinical responses to mek inhibition in different cellular contexts (106, 131, 176–178). without a doubt, pten status is critical in determining the functional outcome of pharmacologic mek inhibition in melanoma and in cellular contexts in which pten is genetically unaltered, mek blockade induces a cross-talk mechanism that leads to pten protein induction, playing an important, albeit not exclusive, role in the anti-tumor and anti-angiogenic activities of mek inhibitors (106). consistently, pten loss impairs the anti-tumor activity of mek inhibitors in preclinical models (106, 179, 180) and correlates with decreased efficacy of braf-targeted treatments in metastatic melanoma patients (53).",pmc4329810,1,10,5,1,15
117,pten,protein,,pten,uniprot,p60484,endoplasmic reticulum,go:0005783,akt,protein,,akt1,uniprot,p31749,endoplasmic reticulum,go:0005783,negative,i,counteracts,,,,,human,['181'],nan,nan,"we also dissected the precise contribution of pten’s lipid and protein phosphatase activities in the regulation of ca2+ signaling and apoptosis, by generating er-targeted chimeras of the pten(c124s) mutant [2], which lacks both lipid and protein phosphatase activities (er-pten(c124s)), and of the pten(g129e) mutant [4], which displays a minimal lipid phosphatase activity while retaining full protein phosphatase activity (er-pten(g129e)). using this approach, we demonstrated that the er pool of pten counteracts akt activation specifically at the er, and can thus inhibit the akt-mediated phosphorylation of ip3r3 that protects from ca2+-mediated apoptosis [43]. we concluded that the ability of er-localized pten to regulate ca2+ release from the er specifically relies on its protein phosphatase activity [15].",pmc4396696,1,10,5,1,15
130,pten,protein,,pten,uniprot,p60484,,,akt,protein,,akt1,uniprot,p31749,,,negative,i,inhibit,,,,,,['690'],nan,nan,"schematic illustration of the impact of pten-δ and pten on cellular processes. pten-δ, as well as pten, inhibit akt as antagonist of the pi3k and reduce the activity of mapk jnk and p38. both signaling pathways downstream result in a decrease of migration and adhesion and trigger apoptosis",pmc6025732,1,10,5,1,15
131,pten,protein,,pten,uniprot,p60484,,,akt,protein,,akt1,uniprot,p31749,,,negative,i,,,observation group,,,,['360'],nan,nan,"protein expression levels of pten, pi3k and akt in observation group were significantly lower than those in control group (p<0.05) (fig. 2).",pmc6313102,1,10,5,1,15
146,pten,protein,,pten,uniprot,p60484,,,pik3ca,protein,,pik3ca,uniprot,p42336,,,negative,i,,,,,,,['252'],nan,nan,"next, we compared survival curves according to protein expressions (figure 2). patients with loss of pten expression showed significantly improved overall survival compared with those without pten expression loss (figure 2a, p=0.016). in contrast, pik3ca overexpression, p-akt overexpression, and negative nuclear p27 did not show significant differences in overall survival (figures 2b–d). when compared in subsets of stage i/ii and iii/iv, negative pten showed more favourable survival in advanced disease than in early disease (figures 2e and f). negative pten showed trends towards favourable survival, when compared in subsets of both pure endometrioid disease and disease other than pure endometrioid histology (figures 2g and h).",pmc3776978,1,10,5,1,15
162,pten,protein,,pten,uniprot,p60484,nucleus,go:0005634,akt,protein,,akt1,uniprot,p31749,nucleus,go:0005634,negative,i,interacts with,nucleus,,,,cells,['608'],nan,nan,"given that pten catalyzes the dephosphorylation of pi(3,4,5)p3, which is required for akt phosphorylation, it is anticipated that a role of pten would be to protect akt from de novo phosphorylation. surprisingly, pten has been shown to function as a scaffolding protein in the nuclei of the cells where it interacts with nuclear phosphorylated akt leading to its depletion from the nucleus, most likely through proteasomal degradation (173).",pmc4515857,1,10,5,1,15
