index,Regulator Name,Regulator Type,Regulator Subtype,Regulator HGNC Symbol,Regulator Database,Regulator ID,Regulator Compartment,Regulator Compartment ID,Regulated Name,Regulated Type,Regulated Subtype,Regulated HGNC Symbol,Regulated Database,Regulated ID,Regulated Compartment,Regulated Compartment ID,Sign,Connection Type,Mechanism,Site,Cell Line,Cell Type,Tissue Type,Organism,Unnamed: 0,Score,Source,Statements,Paper IDs,Evidence Score,Match Score,Kind Score,Epistemic Value,Total Score
49,mek1,protein,,map2k1,uniprot,q02750,cell membrane,go:0005886,pten,protein,,pten,uniprot,p60484,cell membrane,go:0005886,negative,d,recruitment,membrane,,mef,,mouse,['381'],nan,nan,"like ko mefs, mek1 t292a cells showed defective pten membrane recruitment, and pip3 accumulation and akt phosphorylation were increased above the levels observed in ko cells. the exact reasons for these differences between ko and reconstituted cells are unknown. in contrast, mek1 t292d mutant cells displayed constitutive pten membrane recruitment, as well as low levels of pip3 and akt phosphorylation (figures 6b–6d). consistent with this biochemical behavior, mek1 t292a cells were resistant to tnfα-induced apoptosis (figure s5a). thus, t292 phosphorylation is a prerequisite for proper complex formation and for the regulation of the pip3 pathway.",pmc3625979,1,100,40,1,140
31,ck2,protein,,csnk2a1,uniprot,p68400,cytoplasm,go:0005737,erk,protein,,mapk1,uniprot,p28482,cytoplasm,go:0005737,positive,i,phosphorylation,,,thymocyte,thymus,mouse,['233'],nan,nan,"collectively, our data demonstrate a key role of ck2 in cd5-mediated regulation of thymocyte selection and survival, by controlling the phosphorylation of erk independent of proximal tcr signals. this result also reveals an important function of ck2 in thymocyte selection. we also suggest that the dogma stating that cd5 dependent negative regulation of tcr proximal signals is primarily involved in thymocyte selection, insufficiently addresses the mechanism by which cd5 modulates thymic development. a knock-in mouse in which the itim domain of cd5 is selectively mutated will be an important tool to discriminate between cd5-itim and cd5-ck2 signaling activities.",pmc5193405,1,100,40,1,140
94,sphingosine-1-phosphate receptor 1 (s1pr1),protein,receptor,s1pr1,uniprot,q99500,plasma membrane,go:0005886,akt,protein,kinase,akt1,uniprot,p31749,cytoplasm,go:0005737,negative,i,regulation,,,t-cell,lymph nodes,mouse,['55'],nan,nan,"it is known that activated t cells initially downregulate homing receptors, particularly sphingosine-1-phosphate receptor 1 (s1pr1), and then regain the expression of s1pr1 for migrating out of the lymph nodes21. this dynamic change is coupled with the initial activation of akt and the subsequent decline of the akt activity. since tbk1-tko t cells had aberrant akt accumulation and activation, we tested whether the ablation of akt could correct the eae phenotype of the tbk1-tko mice. we crossed the tbk1-tko mice with akt-ko mice to generate akt+/–tbk1-tko mice. interestingly, ablation of one allele of akt, which reduced the level of akt and p-akt in tbk1-tko t cells (fig. 5j), largely restored the sensitivity of the tbk1-tko mice to eae induction (fig. 5k) as well as the cns migration of the tbk1-tko t cells (fig. 5l).",pmc4302769,1,100,40,1,140
93,ship-1,protein,,,uniprot,o15357,cytoplasm,go:0005737,akt,protein,,akt1,uniprot,p31749,cytoplasm,go:0005737,negative,d,regulation,,,cd4+ t cells,,human,['310'],nan,nan,"the second pathway contributing to foxo3 activity in cd4+ t cells is the ship-1/akt pathway. akt can be negatively regulated by the action of ship-1, a direct target of mir-155, and by phosphorylation by mtorc2 and pdk1. akt phosphorylation of foxo3 negatively regulates its activity as it leads to cytoplasmic retention of foxo3 [39]. high ship-1 expression in lat-ki cd4+ t cells (relative to wt) is predicted to lead to depletion of pip3 at the membrane and less akt and pdk1 activity because of lack of membrane recruitment via their ph domains [38, 64]. in fact, we show that phosphorylation of s241 of pdk1 (a marker of activation of pdk1) is lower in cells with higher ship-1 levels. in dm cd4+ t cells, ship-1 is expressed at even higher levels than in lat-ki cd4+ t cells, leading to even less akt and pdk1 activation of mtor, enhanced pak1/jnk activity, and more bim-mediated apoptosis. although a large body of evidence demonstrates that akt activates mtor in numerous cell types [38], finlay et al. have shown that mtor can also be regulated by pdk1 (and not akt) in cd8+ t cells [20]. this issue has not been studied in cd4+ t cells, but regulation of mtor by pdk1 rather than by akt in lat-ki cd4+ t cells would have a similar effect on mtor. we found a connection between mtor and pak1 levels and pak1 phosphorylation. low mtor activity, as seen in dm t cells and as mimicked by rapamycin, rapalog, ku, and raptor sirna treatment, increased pak1 signaling whereas mtor activation, by treatment with leucine, non-essential amino acids and pyruvate, decreased pak1 signaling. another finding of our study is the connection of the ship1/akt/pdk1 and pak1/jnk pathways by mtor suggested by the negative effect of mtor on pak1 protein levels and activity.",pmc4487994,1,100,40,1,140
26,cd69,protein,,cd69,uniprot,p15153,plasma membrane,go:0005886,erk,protein,,mapk1,uniprot,p28482,nucleus,go:0005634,positive,d,transcriptional regulation,,,thymocytes,thymus,mouse,['227'],nan,nan,"the maturation and emigration of post-selected sp thymocytes requires cessation of tcr signaling and downregulation of cd69 expression (reviewed in [39]). cd69 expression is upregulated by ap-1 a nuclear downstream target of erk [40]. therefore, the reduced proportion of cd4+cd62lhicd69lo thymocytes observed in cd5-δck2bd mice is consistent with the sustained levels of elevated erk phosphorylation, correlating with increased surface levels of cd69 within cd4+sp subpopulation. an alternative hypothesis to explain for fewer cd69lo cd4+ post-selected cd5-δck2bd thymocytes is enhanced thymic export; however, our previous results found that cd4+ population in peripheral lymph nodes is reduced in the absence of cd5-ck2 signaling [10]. overall our data support a requirement for cd5-ck2 signaling for efficient maturation of post-selected thymocytes.",pmc5193405,1,100,40,1,140
27,cd79b,protein,immunoglobulin β,,uniprot,p40259,,,akt,protein,,akt1,uniprot,p31749,,,positive,d,activation,akt signaling,,lymphoma,lymphoma,human,['192'],nan,nan,"bcr signaling is directly affected by frequent mutations in cd79a (immunoglobulin α) and cd79b (immunoglobulin β)-mainly cd79b-which occur in approximately 20% of patients with abc-dlbcl [94]. tumor cells harboring cd79b mutations have longer and stronger activation of akt signaling. moreover, abc-dlbcl cell lines with mutated cd79b are more sensitive to pi3k inhibition than those with wild-type cd79b are. thus, cd79b mutations might be responsible for preventing the negative regulation that interferes with pi3k-dependent pro-survival bcr signaling [95].",pmc4712330,1,100,40,1,140
69,pak1,protein,,,uniprot,o75914,,,jnk,protein,,mapk10,uniprot,p53779,,,positive,i,apoptosis,,,t-cell,,mouse,['309'],nan,nan,"in addition to this effect of pak1 on jnk activation, we previously described a role for a pak1/plcγ-1/bam32 complex in erk activation in both normal cd4+ t cells [7] and in cd4+ t cells isolated from lat-ki mice [5]. furthermore, genetic studies from both our laboratory [5, 6] and others [56] have shown a definitive role for erk signaling in lat-ki lymphoproliferative disease. these and other studies have revealed that there are multiple roads leading to erk activation depending on the signaling environment [57]. this study provides the first evidence that mir-155 modulates erk activation. paradoxically, mir-155 deletion delayed lat-ki lymphoproliferative disease despite causing an increase in erk activation. this effect is in contrast to other null mutants crossed to lat-ki mice (rasgrp1 and bam32), which decreased erk activation and decreased lymphoproliferative disease [5, 6]. we propose that pak1/jnk pathway-mediated apoptosis contributes more to the effect on lymphoproliferative disease than pak1/erk-mediated proliferation in dm t cells. both pak1 and jnk have been associated with cell death [58–60]. here we propose that mir-155, pak1 and jnk are part of a common pathway to apoptosis in t cells. incorporation of a single molecule into distinct pathways of proliferation and apoptosis could provide an elegant way of maintaining tissue homeostasis and preventing carcinogenesis. pak1 could provide such a function by mediating proliferation through pak1/erk action or apoptosis through pak1/jnk action.",pmc4487994,1,100,40,1,140
29,ck2,protein,kinase,csnk2a1,uniprot,p68400,nucleus,go:0005634,erk,protein,kinase,mapk1,uniprot,p28482,cytoplasm,go:0005737,positive,d,phosphorylation,,,thymocytes,thymus,mouse,['215'],nan,nan,"among the ck2 downstream effectors, erk is a protein relevant for tcr signaling and survival, [21]. sustained perk levels are required for positive selection of thymocytes and cd4+sp lineage commitment [23], however acute activation of erk leads to apoptotic death [24]. in cd5-δck2bd mice, dp and cd4+sp cells had higher basal levels of perk compared to cd5-wt mice that was significantly increased after ovap injection (fig 6a). the higher basal perk correlates with the enhanced positive selection to cd4+sp thymocytes in cd5-δck2bd mice and cd4+sp differentiation, and might also be responsible for the increased cell death observed in cd5-δck2bd thymocytes (fig 2 and fig 3a).",pmc5193405,1,100,40,1,140
70,pak1,protein,,pak1,uniprot,q13153,cytoplasm,go:0005737,jnk,protein,,jnk,uniprot,p45983,cytoplasm,go:0005737,positive,d,activation,,t cells,cd4+,,human,['300'],nan,nan,"having determined that pak1 activation can lead to jnk activation in t cells, we next investigated the effect of mir-155 deficiency on pak1 levels and phosphorylation (fig 6a). mir-155 deletion in the wt background (mir155 ko vs wt) resulted in an elevation of pak1 levels. in lat-ki t cells, pak1 protein levels were high and did not increase with mir-155 deletion. phospho-pak1 levels were enhanced by mir-155 deficiency in both wt and lat-ki backgrounds. to further investigate a potential role for mir-155 in controlling pak1 levels and phosphorylation, we overexpressed mir-155 in wt cd4+ t cells using retroviral infection (s2 fig). overexpression of mir-155 in these cells resulted in a decrease in pak1 levels and phosphorylation. in addition phosphorylation of mek1 at the site of phosphorylation by pak1 (s298) [43, 44] was decreased with mir-155 overexpression whereas raf-1 and erk phosphorylation were not much affected by mir-155 overexpression. therefore mir-155 deficiency resulted in increased pak1 levels and phosphorylation whereas mir-155 overexpression resulted in decreased pak1 levels and activity.",pmc4487994,1,100,40,1,140
47,magi1,protein,scaffold,magi1,uniprot,q5u254,cytoplasm,go:0005737,pten,protein,tumor suppressor,pten,uniprot,p60484,plasma membrane,go:0005886,positive,d,binding,,"mefs, human, rat, chicken, monkey",,,"human, rat, chicken, monkey",['380'],nan,nan,"in mefs, magi1 is the most efficiently expressed magi protein (figure s4e). consistently, magi1 knockdown efficiently abrogated pten binding to mek1 (figure 4g), reduced pten membrane localization, and increased akt activation (figures s4f and s4g). thus, magi1 is the scaffold mediating the interaction between mek1 and pten. the ternary complex was also found in human, rat, and chicken cells (figure s4h) and in monkey cells (figure 5h), indicating that it represents an important conserved regulatory principle.",pmc3625979,1,100,40,1,140
96,tbk1,protein,,tbk1,uniprot,q9uhd2,cytoplasm,go:0005737,akt,protein,,akt,uniprot,p31749,cytoplasm,go:0005737,positive,d,phosphorylation,,,t cell,,human,['57'],nan,nan,"to examine the role of tbk1 in regulating akt-mtorc1 signalling and gene expression in human t cells, we silenced the expression of tbk1 using short hairpin rnas (shrnas) expressed in a lentiviral vector. interestingly, shrna-mediated tbk1 silencing promoted the phosphorylation of akt as well as the akt-mtorc1 downstream proteins foxo1 and s6 (supplementary fig. 7a). consistently, the tbk1 knockdown also reduced the expression of s1pr1 and klf2 as well as cd62l (supplementary fig. 7b). using a well-defined in vitro t-cell migration model33, we found that tbk1 knockdown in human cd4+ t cells significantly inhibited their ability to transmigrate through a human brain microvascular endothelial cell (ec) monolayer (supplementary fig. 7c). similar results were obtained when the t cells were treated with a tbk1 inhibitor, amlexanox (supplementary fig. 7d).",pmc4302769,1,100,40,1,140
