index,Regulator Name,Regulator Type,Regulator Subtype,Regulator HGNC Symbol,Regulator Database,Regulator ID,Regulator Compartment,Regulator Compartment ID,Regulated Name,Regulated Type,Regulated Subtype,Regulated HGNC Symbol,Regulated Database,Regulated ID,Regulated Compartment,Regulated Compartment ID,Sign,Connection Type,Mechanism,Site,Cell Line,Cell Type,Tissue Type,Organism,Score,Source,Statements,Paper IDs,Evidence Score,Match Score,Kind Score,Epistemic Value,Total Score
1395,il6,protein,,il6,hgnc,6018,,,stat3,protein,,stat3,hgnc,11364,,,,i,phosphorylation,,,,,,"0.65,0.9804,0.65,0.65,0.94757,0.65,0.65,0.65,0.8775000000000001,0.65,0.65,0.65,0.991866,0.65,0.8775000000000001,0.979665,0.65,0.65,0.65,0.65,0.86,0.65,0.65,0.65","nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan","xref_bibr indicate that becn1 may also be a direct transcriptional target of stat3 because il6 treatment significantly promotes stat3 phosphorylation while reducing becn1 mrna and protein levels in ags and nci-h1650 cells.,the expression of tf was compatible with stat3 phosphorylation induced by autocrine il-6 through jak2 activation [ xref ].,because il-6 is a potent growth factor for rcc cells and its effect are primarily mediated through activation of stat3 xref , xref , we determined whether icaritin could inhibit il-6–induced stat3 phosphorylation.,activation of stat3 has been detected in many human neoplasias [ xref , xref ], and it has been shown that il-6-type cytokines induce stat3 phosphorylation in various human and rodent cell lines [ xref , xref ].,however, pretreatment of il-6 with eb did not affect the il-6-induced stat3 phosphorylation, suggesting that eb did not interact with il-6 directly ( xref ).,we found that eb inhibited the il-6-induced stat3 tyr705 phosphorylation in a dose and time-dependent fashion ( xref ).,however, eb did not inhibit the il-6-induced ser727 phosphorylation of stat3 ( xref ), suggesting that eb inhibited stat3 activation through inhibiting tyr705 phosphorylation of stat3.,in the present study, physalin a specifically inhibited both constitutive and il6 induced tyr705 phosphorylation of stat3, with minimal impact on ser727 and the levels of total stat3 protein.,il-1beta increases the expression of irf4 [xref_bibr] while il-6 and il-23 induce the phosphorylation of signal transducer and activator of transcription 3 (stat3).,the signaling factors, gp130 [ xref ], il-6 [ xref ] and leukemia inhibitory factor [ xref ] induce stat3 tyrosine-phosphorylation and activation, leading to the differentiation of myeloid cells through granulocyte colony-stimulating factor [ xref , xref ].,jak2 and stat3 phosphorylation is not stimulated by il-6 in canine osa.,this was associated with an increased level of il-6 and phosphorylated stat3 and was blocked when bone marrow cells come from il-6 knockout mice, suggesting that tumor cells could dampen dc differentiation through an autocrine stat3 activation by il-6. xref il-6 could also be produced by cancer cells and impact on stat3 activation in dcs.,moreover, il-6-induced stat3 phosphorylation was blocked by neutralising il-6 receptor antibodies, thereby indicating the specificity of stat3 phosphorylation induced by il-6 in hep3b cells (xref_fig, last lane).,cd4+cd25+ but not cd4+cd25- lung t cells selectively expressed the il-6rα chain and showed il-6-dependent stat-3 phosphorylation.,il-6 strongly induced stat3 phosphorylation at y705 but not s727 and was inhibited by wfa after only 2 hours of incubation ( xref ); however, total stat3 levels were reduced after exposure of cells to wfa for more than 4 hours, suggesting that wfa also downregulates stat3 protein if cells are exposed to the drug for longer time periods.,however, in cells pretreated with bsn for 4 h, il-6-induced stat3 and erk phosphorylation was suppressed clearly (fig. xref ).,this has been confirmed in gastric cell lines where il-11 xref_bibr and il-6 xref_bibr stimulated stat3 phosphorylation which in turn activated reg1 transcription.,additionally, stat3 has a dual role in il-6 mediated signaling; its activation may result in increased il-6, but also il-6 itself may lead to phosphorylation of stat3 which results in diverse biological responses.,data from this report also shows that flll32 inhibited il-6 induced stat3 phosphorylation within pbmcs.,to determine whether lenalidomide could block il-6 stimulation of stat3 phosphorylation, nk cells were treated for 20min with lenalidomide (0.1, 1, and 10mum), followed by treatment for another 30min with il-6 (10ng/ml) alone or with sil-6r (25ng/ml).,immunoblotting assays showed that soid-8 inhibited the phosphorylation of stat3 and jak2 induced by il-6 in both cell lines (xref_fig).,in human hepatocellular cancer cells, flll32 inhibited il-6-induced stat3 phosphorylation [ xref ].,besides inhibiting il-6-stimulated stat3 phosphorylation and nuclear dna binding, surprisingly, mdc-1112 also inhibits the mitochondrial accumulation of mitostat3.,the results revealed a dose-dependent decrease in il-6-induced stat3 phosphorylation as the concentration of compound 1 was increased ( xref ).","pmc4509450,pmc3785526,pmc3855768,pmc2242666,pmc4444003,pmc4444003,pmc4444003,pmc4891052,pmc4460252,pmc4074810,pmc3079692,pmc3670267,pmc4183851,pmc2259400,pmc4226392,pmc4467444,pmc4013079,pmc4601860,pmc2902420,pmc3907789,pmc3500295,pmc3074561,pmc4807418,pmc4611723",24,10,10,1,250
621,egf,protein,,egf,hgnc,3229,,,egfr,protein,,egfr,hgnc,3236,,,,i,phosphorylation,,,,,,"0.65,0.951,0.65,0.65,0.98922,0.65,0.8775000000000001,0.65,0.65,0.65,0.65,0.9804,0.65","nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan","the mechanism of action is specific for fak autophosphorylation as it does not affect total fak protein expression and has no effect on either egf-induced egfr phosphorylation or serum-induced pdgfr phosphorylation [ xref ].,herein we employed 5 different nsclc cells, including a549, pc-9, nci-h1975, nci-h1650, and hcc-827 to test the effect of wb-308 on egf-induced egfr phosphorylation by western blot analysis.,utilizing a panel of anti-phospho-egfr antibodies, xref demonstrates that pretreatment of h358 human nsclc cells with the peripheral mor antagonist mntx failed to attenuate egf-induced egfr tyrosine phosphorylation.,as shown in xref , the combined treatment significantly inhibited the egf-induced phosphorylation of the egfr, erk, and creb as well as egf-induced cyr61-promoter activity ( xref ).,expression of mig6-flag led to a decrease in both the intensity and the duration of egf-stimulated egfr, akt and erk1/2 phosphorylation ( xref ).,furthermore, egf-induced tyrosine phosphorylation of egfr and activation of erk1/2 was diminished in flotillin-1 knockdown cells [ xref ].,furthermore, the mitogenic response to epidermal growth factor receptor (egfr) phosphorylation by egf is dependent on increases in plasma membrane ca 2+ influx elicited by a soc composed of trpc4 subunits.,as shown in figure xref_fig, addition of egf to serum starved cells stimulated the phosphorylation of egfr and downstream signaling components including akt, erk, without affecting sfk phosphorylation.,in addition, we found a positive correlation between brk cdna dose-dependent expression and egf-induced egfr phosphorylation ( xref , blot for egfr-yp), suggesting that brk may have a direct role in regulating egfr phosphorylation and functional consequences.,as depicted in xref_fig, 30-min pretreatment with pp2 reduced the level of egfr tyrosine phosphorylation elicited by egf applied to nontransfected cells, whereas 90-min incubation with the tki did not appear to counteract shcd induced phosphorylation.,as we expected, egf significantly increased egfr and her2 phosphorylation and its downstream akt phosphorylation.,b6h12 treatment also acutely inhibited egf-induced egfr tyrosine phosphorylation.,in agreement, egfr phosphorylation following egf stimulation was also prolonged.","pmc2905941,pmc4466647,pmc3963855,pmc4351011,pmc4789776,pmc3980747,pmc4655450,pmc4480700,pmc3326223,pmc3952845,pmc2957324,pmc4891109,pmc2361810",13,10,10,1,140
2646,tsc2,protein,,tsc2,hgnc,12363,,,mtor,protein,,mtor,hgnc,3942,,,positive,i,activation,,,,,,"0.8775000000000001,0.65,0.65,0.65,0.65","nan,nan,nan,nan,nan","to validate whether rheb was involved in prl-3-mediated tsc2 suppression and activation of mtor, we used a rheb activation assay to directly study the levels of active rheb (rheb-gtp) in prl-3-overexpressing cells.,the heterodimer of hamartin (encoded by tsc1) and tuberin (tsc2) suppress the mammalian target of rapamycin (mtor), a major regulator of cell cycle progression, cell growth, and proliferation xref_bibr, xref_bibr.,on the other hand, growth inhibiting signals can activate the amp activated protein kinase (ampk) that directly phosphorylates and activates tsc1 and tsc2 and therefore causes mtor inhibition [xref_bibr].,inhibition of mtor through rapamycin treatment caused the monocytes to differentiate toward a m1 phenotype, whereas activation of mtor by rna interference mediated knockdown of the mtor repressor tsc2 induced the differentiation of monocytes toward a m2 macrophage phenotype [xref_bibr].,this destabilization of the tumor suppressors tsc1 and tsc2 subsequently activates mtor via a small protein called rheb (ras homolog enriched in brain).","pmc4657013,pmc3376142,pmc3048474,pmc4499609,pmc2687803",5,10,10,1,60
2642,tsc1,protein,,tsc1,hgnc,12362,,,mtor,protein,,mtor,hgnc,3942,,,positive,i,activation,,,,,,"0.65,0.65,0.65,0.65","nan,nan,nan,nan","in the tumor syndrome tuberous sclerosis (tsc) mtor is indirectly activated by mapk mediated phosphorylation of tsc1 and 2 that alleviates inhibition of mtor [xref_bibr].,the heterodimer of hamartin (encoded by tsc1) and tuberin (tsc2) suppress the mammalian target of rapamycin (mtor), a major regulator of cell cycle progression, cell growth, and proliferation xref_bibr, xref_bibr.,on the other hand, growth inhibiting signals can activate the amp activated protein kinase (ampk) that directly phosphorylates and activates tsc1 and tsc2 and therefore causes mtor inhibition [xref_bibr].,this destabilization of the tumor suppressors tsc1 and tsc2 subsequently activates mtor via a small protein called rheb (ras homolog enriched in brain).","pmc4358942,pmc3376142,pmc3048474,pmc2687803",4,10,10,1,50
1202,igf1r,protein,,igf1r,hgnc,5465,,,insr,protein,,insr,hgnc,6091,,,negative,i,inhibition,,,,,,"0.65,0.65,0.65,0.65","nan,nan,nan,nan","historically, selective igf-1r inhibitors that did not inhibit ir were pursued, due to concerns about potential toxicity that were suggested to arise from the inhibition of ir.,increased igf-1r may sequester remaining insr to form hybrid-r, leading to unchanged or slightly increased hybrid-r in insr-knockdown htcepi cells.,axl1717 (axelar ab) is a tki of the igf-1r that does not inhibit the closely related insr.,thus, inhibition of ir by igf1r inhibitors might lead to risks.","pmc4419619,pmc3411736,pmc3927069,pmc3546745",4,10,10,1,50
1396,il6,protein,,il6,hgnc,6018,,,stat3,protein,,stat3,hgnc,11364,,,negative,i,inhibition,,,,,,"0.65,0.65,0.86,0.65","nan,nan,nan,nan","to evaluate the relevance of stat3-decoy odn and stat3 interaction in the reduction of nuclear stat3, cells were transfected with stat3-decoy odn and treated with il-6, and nuclear stat3 was analyzed.,to explore whether exogenous il-6 can rescue ad-bfgf-sirna-inhibited stat3 activation, u251 cells infected for 48 h were treated with serum-free dmem in the presence or absence of recombinant il-6 (100 ng/ml) for 24 h. cells treated with dmso for 72 h were used as a negative control.,an il-6 neutralizing mab reduced stat3 activation and also completely reversed il-17-stimulated tumor invasion in vitro, while exogenous il-6 completely recovered il-17-induced invasion of sirna-akt-smmc7721 and sirna-akt-huh7 cells.,transient transfection of ha-rkip inhibited il-6 mediated stat3 py 705 phosphorylation 50% (relative intensity 2.82 vs. 1.4).","pmc3082224,pmc3179445,pmc3310750,pmc3962420",4,10,10,1,50
1430,ins,protein,,ins,hgnc,6081,,,insr,protein,,insr,hgnc,6091,,,,i,phosphorylation,,,,,,"0.86,0.65,0.65","nan,nan,nan","we were unable to detect igf-1r or insr phosphorylation induced by insulin.,egcg also suppressed insulin stimulated phosphorylation of the insulin receptor-beta, insulin receptor (ir) substrates 1 and 2 (irs1 and irs2), and mitogen activated protein kinase pathway proteins.,in addition, adiponectin, in liver, enhances insulin sensitivity promoting phosphorylation of the insulin receptor and of the adaptor protein insulin receptor substrate 1 (irs-1) [xref_bibr].","pmc3411736,pmc3066547,pmc4109424",3,10,10,1,40
748,erbb2,protein,,erbb2,hgnc,3430,,,erbb3,protein,,erbb3,hgnc,3431,,,,i,phosphorylation,,,,,,"0.65,0.8775000000000001,0.8775000000000001","nan,nan,nan","in the absence of the soluble ligand, the muc4 and erbb2 complex leads to erbb2 phosphorylation, which in turn, leads to the phosphorylation of the erbb2 and erbb3 heterodimer in the presence of neuregulin [xref_bibr].,for simplification, we make several assumptions for the rule-based model: 1) the receiver monomer transphosphorylates only the activator monomer tail while they are dimerized, 2) erbb2 phosphorylation of erbb3 up-regulates erbb3 activity, and 3) erbb2 is always upright and dimer competent, with a strong preference for heterodimerization with erbb3.,indeed, previous experimental studies have demonstrated that leaky erbb2 phosphorylation of erbb3 in tki-bound erbb2/3 heterodimers is amplified by additional resistance mechanisms, such as inhibition of cellular phosphatases by tki-mediated production of reactive oxygen species (ros), and increased expression of erbb3 at the plasma membrane [ xref , xref , xref ].","pmc4202122,pmc4710241,pmc3119571",3,10,10,1,40
1481,jak1,protein,,jak1,hgnc,6190,,,stat1,protein,,stat1,hgnc,11362,,,,i,phosphorylation,,,,,,"0.65,0.65,0.86","nan,nan,nan","stat1 and jak1 have been identified to be direct binding targets of mev v protein, which results in inhibition of stat1 phosphorylation by jak1 [ xref ].,binding of type i ifns, such as ifn-α and ifn-β, to their specific receptor leads to phosphorylation of jak1 and tyk2, which in turn phosphorylate stat2 and stat1.,upon virus infections, type i ifns bind with ifnars and activate jak1and tyk2 which phosphorylate stat1and stat2, leading to the transcription of isgs [ xref ].","pmc3185518,pmc1865558,pmc4690884",3,10,10,1,40
1179,igf1,protein,,igf1,hgnc,5464,,,igf1r,protein,,igf1r,hgnc,5465,,,,i,phosphorylation,,,,,,"0.991866,0.65,0.86","nan,nan,nan","igf-1 stimulated igf-1r and akt phosphorylation while insulin at the same concentration only simulated a modest level of akt activation.,for example, igf1-induced igf1r phosphorylation leads to ligand-independent phosphorylation of erbb2, which circumvents trastuzumab antibody inhibition and leads to an erbb2-based mechanism of resistance ( xref , xref ).,the optimal time to get a strong signal of igf-1r phosphorylation by igf-1 in l428 was 20-30 minutes (xref_fig).","pmc3411736,pmc4408912,pmc3905016",3,10,10,1,40
