index,Regulator Name,Regulator Type,Regulator Subtype,Regulator HGNC Symbol,Regulator Database,Regulator ID,Regulator Compartment,Regulator Compartment ID,Regulated Name,Regulated Type,Regulated Subtype,Regulated HGNC Symbol,Regulated Database,Regulated ID,Regulated Compartment,Regulated Compartment ID,Sign,Connection Type,Mechanism,Site,Cell Line,Cell Type,Tissue Type,Organism,Score,Source,Statements,Paper IDs,Evidence Score,Match Score,Kind Score,Epistemic Value,Total Score
232,casp8,protein,,casp8,hgnc,1509,,,casp3,protein,,casp3,hgnc,1504,,,positive,i,activation,,,,,,"0.65,0.8775000000000001,0.951,0.8775000000000001,0.8775000000000001,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65","nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan","consequently, the protein complex activates pro-caspase-8, which proceeds to trigger pro-caspase-3, the penultimate enzyme for the execution of the apoptotic process [xref_bibr].,finally, caspase-8 activates caspase-3 in order to trigger the final steps of apoptosis ( xref ).,both caspase 8, from the extrinsic pathway, and caspase 9, from the intrinsic pathway, have been observed to activate the main effector caspase 3, which in turn activates a caspase cascade to eventually evoke the morphological hallmarks of apoptosis such as dna fragmentation [xref_bibr, xref_bibr].,the death receptors activate caspase 8, which further activates caspase 3 via jun-kinase (jnk) to cause apoptosis.,fadd in turn can recruit and activate proximal caspase 8, which subsequently activates effector caspase 3, either by direct processing via a protease cascade or indirectly via a mitochondrial apoptotic pathway [ xref , xref ].,this complex formation triggers cleavage and activation of caspase-8 or caspase-10, which in turn activates downstream caspase-3, -6, -7 and causes eventual apoptosis xref_bibr xref_bibr.,activated caspase-8 activates its downstream effector caspase-3.,after autocatalytic activation of procaspase-8 at the disc, active initiator caspase-8 can either directly or indirectly (via the mitochondrial pathway) activate downstream effector caspases (caspase-3, -6 and -7), leading to the cleavage of cellular proteins and subsequent apoptosis [xref_bibr].,the most common and important effector caspase is caspase-3, which exists as a zymogen and activated by initiator caspases, mainly caspase-8 and caspase-9.,caspase-3 is considered to be the most important of the executioner caspases and is activated by any of the initiator caspases (caspase-8, caspase-9, or caspase-10)21.,in type i cells auto-activation of caspase-8 causes direct activation of downstream effector caspase-3 through proteolytic cleavage.,activated caspase-8 then directly activates the downstream effector caspase-3, resulting in cell death via the type i extrinsic apoptotic pathway, or cleaves bid, a pro-apoptotic member of the bcl-2 family, leading to activation of the type ii extrinsic apoptotic pathway xref , xref .,the antitumorigenic mechanism of fhit is not yet clear; however, for cervical and lung cancer cell lines its reintroduction by use of an adenoviral vector induces strong suppressive effects and reduces tumorigenicity due to an apoptotic effect associated with caspase-8 cleavage and activation of the effector caspase-3 [ xref ].,in type i cells, large amounts of active caspase-8 formed at the disc directly induces activation of pro-caspase-3 independently of mitochondria [xref_bibr].","pmc4455968,pmc2841246,pmc3397358,pmc3821660,pmc3348077,pmc4879700,pmc4650930,pmc2330055,pmc4549042,pmc4700493,pmc3759859,pmc4515820,pmc1291396,pmc4496101",14,10,18,1,158
242,casp9,protein,,casp9,hgnc,1511,,,casp3,protein,,casp3,hgnc,1504,,,positive,i,activation,,,,,,"0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65","nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan","subsequently, caspase-9 cleaves and thereby activates downstream effector caspases, among them caspase-3 and caspase-7 which then cleave various substrates leading to the characteristic morphological changes associated with apoptosis [xref_bibr].,bh3-only and bax-like proteins are essential initiators of apoptosis while the bcl-2-like proteins are pro-survival factors that safeguard the cells against apoptosis.both caspase 8, from the extrinsic pathway, and caspase 9, from the intrinsic pathway, have been observed to activate the main effector caspase 3, which in turn activates a caspase cascade to eventually evoke the morphological hallmarks of apoptosis such as dna fragmentation [30,31].,active caspase-9 then activates caspase-3, initiating a cascade of additional caspase activations that culminates in apoptosis.,intrinsic pathways are directly or indirectly activated by intrinsic death stimuli such as reactive oxygen species (ros), dna-damaging reagents, resulting in the release of cytochrome-c and the activation of caspase-9 which in turn activates caspase-3 [ xref ].,activated caspase 9 in turn activated caspase 3.,the most common and important effector caspase is caspase-3, which exists as a zymogen and activated by initiator caspases, mainly caspase-8 and caspase-9.,proapoptotic members of the bcl-2 family, such as bax and bid, undergo conformational change, oligomerization, and translocation to the mitochondria, resulting in cytochrome c release that ultimately induces caspase 9 cleavage and activation; activated caspase 9 in turn activates caspase 3.,caspase-3 is considered to be the most important of the executioner caspases and is activated by any of the initiator caspases (caspase-8, caspase-9, or caspase-10)21.,however, concomitant knockdown of mda5 and tlr3 were more effective to suppress upregulation of caspase9 and activated caspase 3 triggered by poly(i:c) treatment in nb cells than either single knockdown or other double knockdowns of tlr3, mda5, and rig-i. interestingly, cleaved mavs and caspase8 were also most significantly decreased in double knockdown of mda5 and tlr3 (figure xref ).,the main mechanism by which manuka appears to exert its anti-proliferative effect on cancer cells is through the activation of the intrinsic apoptotic pathway, involving the induction of the initiator caspase-9 which in turns activates the executioner caspase-3 xref_bibr.,activated caspase-9 in this complex activates caspase-3 to execute apoptosis [ xref – xref ] ( xref ).","pmc3828874,pmc3397358,pmc4695650,pmc3076298,pmc4296919,pmc4549042,pmc2064766,pmc4700493,pmc4694805,pmc3567021,pmc3431821",11,10,18,1,128
697,egfr,protein,,egfr,hgnc,3236,,,src,protein,,src,hgnc,11283,,,positive,i,activation,,,,,,"0.65,0.65,0.8775000000000001,0.951,0.65,0.65,0.65,0.65,0.65,0.65","nan,nan,nan,nan,nan,nan,nan,nan,nan,nan","to determine whether cam is implicated in egfr mediated src activation in egfr overexpressing a431 cells, we performed experiments in the presence of the cam antagonist n-(6-aminohexyl)-5-chloro-1-naphthalenesulfonamide (w-7) and the less potent but not inactive inhibitor n-(4-aminobutyl)-2-naphthalenesulfonamide (w-12).,resistant cells obtained from patients treated with ceritinib revealed activation of the egfr, mitogen activated protein (map) kinase, and src pathways, and the cells were sensitive to combination therapies with inhibitors for egfr, map kinase-erk kinase (mek), and src [xref_bibr].,activation of src by egfr further activates akt, which leads to both acquired and de novo trastuzumab resistance in breast cancer.,in fact, egfr-induced activation of src family kinases (sfk) is necessary and sufficient for induction of migration on vitronectin in vitro and metastasis in vivo .,during this process, egfr signaling might activate the src family kinase fyn, leading to phosphorylation of beta4 on tyrosine, or might activate conventional pkc, leading to beta4 phosphorylation on serine.,xref_bibr egfr activates at least five different signaling pathways : the ras/raf/mapk, the phospholipase c, the pi3k and akt, the stat, and the src pathways.,intestinal epithelial cancer cells commonly display egfr mediated sustained activation of src interacting with fak and consequent mek and erk activation to resist anoikis [xref_bibr].,interestingly src, which is activated by egfr signaling, mediates cell proliferation of both du-145 and pc-3 cells [xref_bibr, xref_bibr].,many growth factor receptors or g-protein-coupled receptors located in the plasma membrane can activate src, including egfr, vegfr, pdgfd or fgfr.,up-regulation of egfr ligands and egfr activity stimulates proliferation and activates the src pathway to tyrosine phosphorylate pkc-delta, reducing its role as an essential component of the keratinocyte death pathway, thus inhibiting the terminal stage of differentiation.","pmc4461253,pmc4593363,pmc3392105,pmc3711644,pmc2172609,pmc3004666,pmc3439988,pmc4868713,pmc4810111,pmc3428947",10,10,19,1,119
2385,stat3,protein,,stat3,hgnc,11364,,,il6,protein,,il6,hgnc,6018,,,positive,i,activation,,,,,,"0.65,0.65,0.65,0.65,0.86,0.65,0.65,0.65,0.65","nan,nan,nan,nan,nan,nan,nan,nan,nan","report elevations in these proteins in stat3 overexpressing livers, which provides evidence that stat3 mediates the major anti-apoptotic effects of il-6.,the du145 cell line exhibits reduced stat3 dna binding, which makes du145 cells unresponsive to stat3 mediated il-6 signaling.,cytokine profiling revealed lower levels of proinflammatory mediators il-6, ifn-gamma, il-17, and ccl5 produced by stat3 deficient tumors relative to wt controls.,il-6 also activated stat3, probably by direct phosphorylation of stat3 by jak.,(i) the stat3 inducing cytokines il-10, il-6, and lif were identified as part of the signaling network established in the present study.,the actions of many cytokines and chemokines that led to the discovery of the stat family, especially il-6 and interferon (ifn), are mediated principally by stat3 and are critical for proper immune function.,this effect is potentiated by stat3 activating cytokines il-6 and il-10 produced by stat3 activated tumor cells.,40 this assumption is underlined by following observational clinical studies : in 2000, ridker et al. 41 identified plasma concentration of the stat3 activating cytokine il-6 as a risk predictor for myocardial infarction.,therefore wp1066 inhibition of stat3 activity and tumour progression was due in part to reduced polymophonuclear infiltration and reduced stat3 dependent transcription of pro inflammatory il-6, il-11, il-1alpha, il-1beta and cox2 genes.","pmc4601860,pmc4347593,pmc4827001,pmc3881601,pmc4877997,pmc3735336,pmc3670267,pmc4431663,pmc4013079",9,10,20,1,110
2303,src,protein,,src,hgnc,11283,,,egfr,protein,,egfr,hgnc,3236,,,,i,phosphorylation,,,,,,"0.65,0.65,0.8775000000000001,0.65,0.65,0.86,0.951","nan,nan,nan,nan,nan,nan,nan","phosphorylation of egfr following lncap cells stimulation with egf, for example, may be induced by src which becomes activated after binding to ar and estrogen receptor beta (erbeta).,activated src phosphorylates egf receptor in a ligand-independent manner, which activates the erk and akt pathways, leading to bim degradation and suppression of anoikis.,oxidised src then promotes ligand-independent phosphorylation and activation of egfr.,moreover, ang ii activated egfr signalling in renal proximal tubule epithelial cells results mostly by the non-ligand-mediated receptor transactivation mediated by ros-dependant src activation, which leads to phosphorylation of both egfr and caveolin-1 and their association in the lipid rafts (xref_fig).,the protein tyrosine kinase c-src can directly phosphorylate tyr residues in the kinase domain her2 [ xref , xref ] and the cytoplasmic tail of egfr [ xref ], allowing the formation of stable homo- or heterocomplexes with other receptors or the binding of scaffold proteins and the activation of signal transduction.,egfr (tyr845) phosphorylation is mediated primarily by src kinase.,however, inhibition of src tyrosine kinase activity inhibiting the maximal activation of egfr by preventing the phosphorylation of egfr at y845 and y1101.","pmc3634711,pmc3296207,pmc3219092,pmc4784721,pmc4482606,pmc3485230,pmc4455704",7,10,19,1,89
122,bcl2,protein,,bcl2,hgnc,990,,,bax,protein,,bax,hgnc,959,,,positive,i,activation,,,,,,"0.65,0.65,0.65,0.65,0.65,0.65","nan,nan,nan,nan,nan,nan","xref_bibr jnks are known to phosphorylate bh3-only subgroup of bcl2 related proteins (bim and bmf) to induce bax dependent apoptosis, xref_bibr but they can also phosphorylate proapoptotic bcl-2 family bad protein to inhibit apoptosis.,puma and noxa then inhibit the anti-apoptotic proteins bcl-2 and bcl-x l, thus allowing the pro apoptotic molecules bax and bak to multi-merize and to insert into the mitochondrial membrane.,therefore, it appears that moap-1 may function similar to the canonical bh3-only proteins of the bcl-2 family that are known to promote bax activation and which are also inhibited by its anti-apoptotic family members.,metformin significantly down-regulated the expression of the anti-apoptotic proteins bcl-2 and bcl-xl and up-regulated the pro apoptotic protein bax.,b-cell lymphoma 2 (bcl-2) homology 3 (bh3)-only proteins represent a class of pro apoptotic factors that neutralize pro survival bcl-2 proteins, and, in some cases, directly activate bax.,in type ii cells, activated caspase-8 at the disc cleaves the proapoptotic bcl-2 protein bid, which then translocates to the mitochondria and activates bax, leading to mitochondria permeabilization and subsequent activation of caspase-9.","pmc3942331,pmc3828874,pmc3382356,pmc3518152,pmc3270271,pmc3332161",6,10,19,1,79
1162,ifng,protein,,ifng,hgnc,5438,,,stat1,protein,,stat1,hgnc,11362,,,,i,phosphorylation,,,,,,"0.9419,0.951,0.86,0.9419,0.9419,0.949271","nan,nan,nan,nan,nan,nan","the cys712 of stat3 is unique ( xref ), which is consistent with the observation that eb had no effects on the ifn-γ-induced stat1 and stat5 phosphorylation while inhibited the stat3 phosphorylation ( xref ).,however, whereas ifngamma stimulation efficiently enhanced stat1 phosphorylation in both ct26 flag-socs1 and plpcx cells, but the fold induction of stat1 phosphorylation induced by ifngamma relative to non stimulated cells was slightly lower in flag-socs1 expressing ct26 than in the control cells (xref_fig).,this enabled the design of the stat3-specific hpdodn labeled here as hpdodn b. the ability of hpdodn b to discriminate between stat1 and stat3 was assessed by: i) its ability to kill cells without interfering with ifnγ-induced cell death; ii) its ability to inhibit stat3 targets, including cyclin d1, iii) the absence of inhibition of ifnγ-induced stat1 phosphorylation and irf1 expression, iv) its lack of interaction with stat1 in pull-down assays and iv) its inability to inhibit ifnγ-induced stat1 nuclear location.,in contrast to curcumin and other stat3 pathway inhibitors, ifn-γ-induced stat1 phosphorylation was not altered in the presence of flll32.,following ifn-γ stimulation with or without shp2 inhibition using the selective inhibitor nsc87877, we observed that akt-, gsk-3β r96a -, shp2-, and shp2 d61a -transfected mkn45 cells were significantly resistant to ifn-γ-induced stat1 phosphorylation at tyr701 ( xref ) and irf1 transactivation (figure xref ) in a shp2-dependent manner.,western blotting showed an increased level of galectin-3 in ifn-γ-insensitive ags cells accompanied by the generation of cellular unresponsiveness to ifn-γ-induced stat1 phosphorylation at tyr701 (figure xref ) and irf1 transactivation (figure xref ).","pmc4444003,pmc4585755,pmc3325846,pmc2902420,pmc4924776,pmc4924776",6,10,19,1,79
121,bcl2,protein,,bcl2,hgnc,990,,,bax,protein,,bax,hgnc,959,,,negative,i,inhibition,,,,,,"0.65,0.65,0.65,0.65,0.65,0.65","nan,nan,nan,nan,nan,nan","note that while the level of pro apoptotic protein bax was not altered, the antiapoptotic bcl-2 level was reduced, resulting in a higher ratio of bax over bcl-2 expression.,chop acts to induce apoptosis by promoting constitutively expressed bax translocation to the mitochondria through inhibition of anti-apoptotic bcl-2 transcription, as bcl-2 functions to inhibit bax in pro survival conditions.,in osteosarcoma u2-os cells, sclu depletion induced bax activation by suppressing bcl-2 protein and stabilizing p53, which leads to the activation of p21 and bax genes [xref_bibr].,likewise, adenovirus mediated gene delivery of an amino-terminal truncated version of bax (deltan bax : corresponding to amino acid 112-192 of full-length bax), that can not be suppressed by the anti-apoptotic bcl-2 family members has been generated.,moreover, the activation of akt by ser473 phosphorylation is reported to in part impair cisplatin induced apoptosis by inactivating bcl-2-associated death promoter (bad) or by increasing b-cell lymphoma 2 (bcl-2) expression levels, thereby blocking bcl-2 homologous antagonist/killer/bcl-2-associated x protein (bak and bax) activation [xref_bibr, xref_bibr].,as with bim, tbid, and puma, the ability of p53 to bind to and activate bak and bax in the mitochondria is limited by the relative abundance of anti-apoptotic bcl-2 family members [xref_bibr - xref_bibr].","pmc4776112,pmc3307021,pmc4951308,pmc4496101,pmc4565013,pmc3189171",6,10,19,1,79
2386,stat3,protein,,stat3,hgnc,11364,,,il6,protein,,il6,hgnc,6018,,,positive,i,increaseamount,,,,,,"0.65,0.65,0.65,0.86,0.65","nan,nan,nan,nan,nan","the pstat3 in turn promotes the expression of il-6, thus forming amplification loops of the production of il-6, which can induce the vast expression of autocrine and paracrine cytokines and growth factors, including il-8, ccl5, ccl2, ccl3, il1-beta, gm-csf, vegf, and mcp-1, which are highly expressed and play an important role in the generation and development of cancer.,in vitro blockade of stat3 using sirna reduced the microglial expression of immunosuppressive cytokines, il-6 and il-10.,since stat3 hyperactivation is frequently fueled by excessive il6, an important autocrine amplification loop arises from the capacity of phosphorylated stat3 to induce its own transcription, where de novo stat3 protein in turn directly promotes expression of il6 without a requirement for tyrosine phosphorylation [xref_bibr].,consequently, the uncoupling of stat3 from mir-146b expression elicits aberrant activation of nfkappab and its induction of il-6 expression, which initiates a positive feed-forward loop that culminates in constitutive stat3 signaling and its stimulation of migratory and invasive phenotypes in er-alpha-negative breast cancers.,because the il-6 cytokine is a major physiological stat3 activator critical for stat3 mediated oncogenesis, and given that stat3 activation increases il6 gene expression in tumors xref_bibr, xref_bibr, xref_bibr, xref_bibr, we examined whether increasing s1pr1 expression in tumor cells could impact il6 expression levels in myeloid cells in vitro.","pmc4668392,pmc4492080,pmc2887830,pmc4024059,pmc3088498",5,10,20,1,70
2528,tgfb1,protein,,tgfb1,hgnc,11766,,,smad2,protein,,smad2,hgnc,6768,,,,i,phosphorylation,,,,,,"0.65,0.86,0.65,0.8775000000000001","nan,nan,nan,nan","analogously to the effects observed with the recombinant protein, the peptide fragment of asporin showed an inhibitory effect on tgf-β1-induced smad2 phosphorylation ( xref ).,additionally, smad2 phosphorylation and n-cadherin up-regulation induced by tgf-beta1 or a combination of tgf-beta1 and tnf-alpha or tweak was completely inhibited by sb431542 (10mum), an inhibitor of the tgf-beta receptor type 1 (tbetari) kinase, which is known to be an activator of the smad pathway.,in hbmscs wisp1 inhibits tgf-β1 induced smad2 phosphorylation as well as tgf-β1 induced proliferation of bmscs xref .,tgf-beta1 induces the phosphorylation of smad2 and smad3, which is necessary for their binding to snail1 and the consequential upregulation of snail1 's activities [xref_bibr].","pmc4556693,pmc4397832,pmc3743748,pmc4237825",4,10,19,1,59
