index,Regulator Name,Regulator Type,Regulator Subtype,Regulator HGNC Symbol,Regulator Database,Regulator ID,Regulator Compartment,Regulator Compartment ID,Regulated Name,Regulated Type,Regulated Subtype,Regulated HGNC Symbol,Regulated Database,Regulated ID,Regulated Compartment,Regulated Compartment ID,Sign,Connection Type,Mechanism,Site,Cell Line,Cell Type,Tissue Type,Organism,Score,Source,Statements,Paper IDs,Evidence Score,Match Score,Kind Score,Epistemic Value,Total Score
71,src,protein,,src,hgnc,11283,,,egfr,protein,,egfr,hgnc,3236,,,positive,i,activation,,,,,,"0.65,0.65","nan,nan","in some cases of nsclc expressing mutant egfr, gefitinib does not inhibit cell proliferation, but pp2 does, collectively suggesting that gefitinib resistance of the mutant egfr is due to the src dependent modulation of egfr activity.,in addition, beta-arrestin has been shown to recruit src to some gpcrs and the association of ep4, beta, arrestin1, and src complex has been shown to induce the activation of egfr and akt.","pmc3709701,pmc4624070",2,10,5,1,25
23,egf,protein,,egf,hgnc,3229,,,egfr,protein,,egfr,hgnc,3236,,,positive,i,activation,,,,,,"0.8775000000000001,0.8775000000000001","nan,nan","transactivation of egfr by β2-adrenergic receptor signaling requires the phosphorylation of y845 by src to exert the full range of egfr activation that is comparable to egf-induced egfr activation.,furthermore, these effects appear to be src specific because cd2 expression had no effect on egf induced activation of egf receptor and erk.","pmc3709701,pmc4638348",2,10,3,1,23
26,egfr,protein,,egfr,hgnc,3236,,,rac1,protein,,rac1,hgnc,9801,,,positive,i,activation,,,,,,0.65,nan,"egfr signaling is known to activate rac1 [xref_bibr], which also regulates actomyosin contractility and cell shape, thus egfr activated rac1 may not only support pdgfr inhibitor-iv induced cell rounding but also stat3 nuclear import.",pmc3537888,1,10,5,1,15
38,igf1,protein,,igf1,hgnc,5464,,,mtor,protein,,mtor,hgnc,3942,,,positive,i,activation,,,,,,0.65,nan,"igf-1 stimulation of mtor represses pp2a, resulting in activation of erk1/2 and this is prevented by rapamycin.",pmc2868031,1,10,5,1,15
40,igf1,protein,,igf1,hgnc,5464,,,tsc2,protein,,tsc2,hgnc,12363,,,positive,i,activation,,,,,,0.86,nan,"consistent with the rescue of pkb activation, the elevation of pip3 after igf-1 stimulation of tsc2 -/- mefs pretreated with rapamycin for 24 h is similar to that produced in stimulated tsc2 +/+ mefs (xref_fig d).",pmc2172316,1,10,5,1,15
41,ins,protein,,ins,hgnc,6081,,,ccnd1,protein,,ccnd1,hgnc,1582,,,positive,i,activation,,,,,,0.86,nan,"here we report that in mice insulin activates cyclin d1-cyclin-dependent kinase 4 (cdk4), which, in turn, increases gcn5 acetyltransferase activity and suppresses hepatic glucose production independently of cell cycle progression.",pmc4076706,1,10,5,1,15
44,ins,protein,,ins,hgnc,6081,,,tsc2,protein,,tsc2,hgnc,12363,,,positive,i,activation,,,,,,0.65,nan,"to determine whether perturbation of irs function is the critical lesion responsible for diminished insulin signaling in tsc2 -/- mefs, we then asked whether insulin signaling could be rescued in tsc2 -/- mefs after overexpression of irs-1 or irs-2.",pmc2172316,1,10,5,1,15
49,mtor,protein,,mtor,hgnc,3942,,,irs1,protein,,irs1,hgnc,6125,,,negative,i,inhibition,,,,,,0.65,nan,"this restoration of irs-1 mrna abundance by sustained rapamycin treatment is reversed by actinomycin d (xref_fig), indicating that mtor and s6k1 signaling likely reduces irs-1 mrna abundance primarily at the level of gene transcription.",pmc2172316,1,10,5,1,15
76,src,protein,,src,hgnc,11283,,,nox1,protein,,nox1,hgnc,7889,,,positive,i,activation,,,,,,0.923,nan,"in this study, we describe additional effects by which c-src induces nox1 dependent ros generation in colon cancer cells.",pmc2993755,1,10,5,1,15
89,tgfb1,protein,,tgfb1,hgnc,11766,,,smad3,protein,,smad3,hgnc,6769,,,positive,i,activation,,,,,,0.65,nan,"13 we also showed that tgf-beta1 strongly induces the smad3 pathway, and that rhoa is not required downstream for tgf-beta1-induced smad3 activation but acts as downstream of smad3 via net1.",pmc3730417,1,10,5,1,15
91,tsc2,protein,,tsc2,hgnc,12363,,,mtor,protein,,mtor,hgnc,3942,,,negative,i,inhibition,,,,,,0.923,nan,silencing tsc2 restored the mtor related signal and partially blocked the effect of rosiglitazone on cell growth inhibition.,pmc1892639,1,10,1,1,11
