index,Regulator Name,Regulator Type,Regulator Subtype,Regulator HGNC Symbol,Regulator Database,Regulator ID,Regulator Compartment,Regulator Compartment ID,Regulated Name,Regulated Type,Regulated Subtype,Regulated HGNC Symbol,Regulated Database,Regulated ID,Regulated Compartment,Regulated Compartment ID,Sign,Connection Type,Mechanism,Site,Cell Line,Cell Type,Tissue Type,Organism,Score,Source,Statements,Paper IDs,Evidence Score,Match Score,Kind Score,Epistemic Value,Total Score
0,areg,protein,,areg,hgnc,651,,,egfr,protein,,egfr,hgnc,3236,,,positive,i,activation,,,,,,0.65,nan,"src dependent y845 phosphorylation also contributes to erk and mapk activation and proliferation of normal keratinocytes, which involves amphiregulin mediated autocrine signaling of egfr [xref_bibr].",pmc3709701,1,100,40,1,140
14,cdk3,protein,,cdk3,hgnc,1772,,,jun,protein,,jun,hgnc,6204,,,,d,phosphorylation,,,,,,0.8775000000000001,nan,"specifically, pharmacologic inhibition of cdks in
neurons affects activity of ap-1 and direct phosphorylation of c-jun by cdk3 has
been observed in response to erythropoietin receptor signaling in epithelial
cells xref , xref .",pmc3084876,1,100,40,1,140
30,fas,protein,,fas,hgnc,11920,,,casp3,protein,,casp3,hgnc,1504,,,positive,i,activation,,,,,,0.65,nan,"however, calmodulin antisense rna did not suppress caspase-3 activation induced by a fas antibody agonist, suggesting that calmodulin is acting on other apoptotic pathways in sm exposure.",pmc2206000,1,100,40,1,140
29,ep300,protein,,ep300,hgnc,3373,,,smad4,protein,,smad4,hgnc,6770,,,positive,i,activation,,,,,,0.65,nan,"phosphorylation of this site recruits transcriptional co-activators, most likely p300, allowing smad4 to reach peak transcriptional activity.",pmc4845174,1,100,40,1,140
68,runx3,protein,,runx3,hgnc,10473,,,src,protein,,src,hgnc,11283,,,positive,i,activation,,,,,,0.86,nan,"together, these results demonstrate that runx3 is a direct target of src.",pmc2843174,1,100,40,1,140
66,rheb,protein,,rheb,hgnc,10011,,,mtor,protein,,mtor,hgnc,3942,,,positive,i,activation,,,,,,0.8775000000000001,nan,"rheb, in its gtp bound state, can activate mtor.",pmc2361102,1,100,40,1,140
21,ddit4,protein,,ddit4,hgnc,24944,,,mtor,protein,,mtor,hgnc,3942,,,negative,i,inhibition,,,,,,0.65,nan,"one possibility is that the p53 status of cells is crucial, since loss of tsc1/2 or redd1 leads to hyperactive mtor and increased p53 translation [xref_bibr, xref_bibr].",pmc4381605,1,100,40,1,140
20,cflar,protein,,cflar,hgnc,1876,,,casp8,protein,,casp8,hgnc,1509,,,negative,i,inhibition,,,,,,0.65,nan,"moreover, the suppression of c-flip due to inhibition of translation initiation complex by 3-awa enhanced fas trafficking, bid and caspase 8 cleavage.",pmc4700468,1,100,40,1,140
65,ppm1d,protein,,ppm1d,hgnc,9277,,,mdm2,protein,,mdm2,hgnc,6973,,,,d,dephosphorylation,,,,,,0.65,nan,the dephosphorylation of serine 395 by the wip1 phosphatase and the binding of mdm2 to mdmx or enigma and pdlim7 had been reported to stabilize mdm2 [xref_bibr - xref_bibr].,pmc4480747,1,100,40,1,140
64,ppm1d,protein,,ppm1d,hgnc,9277,,,atm,protein,,tlr2,hgnc,795,,,,d,dephosphorylation,,,,,,0.65,nan,"it has been shown that the atm-chk2-p53 system is activated with an oscillatory pattern, as a consequence of the equilibrium between activating stimulus (dna damage) and a double feedback system activated by p53 and including mdm2, which induces p53 degradation xref_bibr, and wip1, a protein phosphatase that dephosphorylates both atm and chk2 xref_bibr.",pmc3656868,1,100,40,1,140
63,pparg,protein,,pparg,hgnc,9236,,,mtor,protein,,mtor,hgnc,3942,,,negative,i,inhibition,,,,,,0.65,nan,we have reported that ppargamma agonists inhibit nsclc proliferation by inhibiting the mammalian target of rapamycin (mtor) signaling pathway through ppargamma dependent and -independent mechanisms [xref_bibr].,pmc1892639,1,100,40,1,140
32,fbxw7,protein,,fbxw7,hgnc,16712,,,myc,protein,,myc,hgnc,7553,,,negative,i,inhibition,,,,,,0.65,nan,"collectively, these results demonstrate that rapamycin induces fbx4 dependent degradation of cyclin d1 and fbxw7 mediated degradation of c-myc and mcl-1, furthering the notion that rapamycin induces gsk3 dependent degradation of cyclin d1, c-myc and mcl-1.",pmc4496196,1,100,40,1,140
15,cdk4,protein,,cdk4,hgnc,1773,,,jun,protein,,jun,hgnc,6204,,,,i,phosphorylation,,,,,,0.9972510951,nan,"here we demonstrate that cdk4 directly phosphorylates c-jun in b lymphocytes and
dendritic cells (dc) independently of cell proliferation, regulating ap-1 activity
and ap-1-regulated cytokine production.",pmc3084876,1,100,40,1,140
13,cd2,protein,,cd2,hgnc,1639,,,src,protein,,src,hgnc,11283,,,positive,i,activation,,,,,,0.86,nan,"indeed, as depicted in xref_fig, the expression of yfp-cd2 increased basal src activity in cd2-2 cells as measured by western blot analyses of src tyrosine phosphorylation at y418 (py418).",pmc4638348,1,100,40,1,140
