index,Regulator Name,Regulator Type,Regulator Subtype,Regulator HGNC Symbol,Regulator Database,Regulator ID,Regulator Compartment,Regulator Compartment ID,Regulated Name,Regulated Type,Regulated Subtype,Regulated HGNC Symbol,Regulated Database,Regulated ID,Regulated Compartment,Regulated Compartment ID,Sign,Connection Type,Mechanism,Site,Cell Line,Cell Type,Tissue Type,Organism,Score,Source,Statements,Paper IDs,Database Source,Database ID,Evidence Score,Match Score,Kind Score,Epistemic Value,Total Score
27,itk,protein,,itk,uniprot,q08881,,,foxp3,protein,,foxp3,uniprot,q9bzs1,,,negative,i,inhibition,,,,,,0.86,indra,"furthermore, treatment of itk deficient cd4 + cells with pten specific shrna reduced the generation of foxp3 + cells, supporting the idea that altered pten expression contributes to rather than results from the increased generation of foxp3 + cells.",pmc3949578,['nan'],['nan'],1,100,40,1,140
12,cd4,protein,,cd4,uniprot,p01730,,,il2,protein,,il2,uniprot,p60568,,,negative,i,inhibition,,,,,,0.65,indra,"to further evaluate the responses of itk -/- cells to il-2, naive cd4 + t cells were differentiated under t reg cell conditions with different concentrations of hil2 in the presence of anti-mouse il-2 antibodies to eliminate the contribution of autocrine il-2 production.",pmc3949578,['nan'],['nan'],1,100,40,1,140
54,tp53,protein,,tp53,uniprot,p04637,,,pten,protein,,pten,uniprot,p60484,,,negative,i,inhibition,,,,,,0.65,indra,high p53 expression triggers proteasome degradation of the pten protein [xref_bibr].,pmc4712330,['nan'],['nan'],1,100,40,1,140
42,pdcd1,protein,,pdcd1,uniprot,q15116,,,il2,protein,,il2,uniprot,p60568,,,positive,i,activation,,,,,,0.65,indra,consistent with this are previous observations that (i) the pd-1 and pd-l1 pathway negatively regulates treg cell proliferation by inhibiting the il-2 signalling cascade [xref_bibr] and (ii) exogenous il-2 can overcome pd-1 and pd-l1-mediated inhibition of proliferation [xref_bibr].,pmc4669187,['nan'],['nan'],1,100,40,1,140
41,pak1,protein,,pak1,uniprot,q13153,,,mtor,protein,,mtor,uniprot,p42345,,,positive,i,activation,,,,,,0.65,indra,we questioned whether this mtor effect could be mediated by changes in pak1 stability.,pmc4487994,['nan'],['nan'],1,100,40,1,140
37,nedd4,protein,,nedd4,uniprot,p46934,,,pten,protein,,pten,uniprot,p60484,,,positive,i,activation,,,,,,0.65,indra,"one recently identified e3 ligase of pten is neural precursor cell expressed, developmentally down-regulated 4, e3 ubiquitin protein ligase 1 (nedd4-1), which mediates pten mono- and poly-ubiquitination [xref_bibr].",pmc4712330,['nan'],['nan'],1,100,40,1,140
32,map2k1,protein,,map2k1,uniprot,q02750,,,pten,protein,,pten,uniprot,p60484,,,positive,i,activation,,,,,,0.8775000000000001,indra,"transient suppression of pten at low dose arises from the inclusion of two regulatory mechanisms in the model: the requirement for mek1 to activate pten, ( xref ) and inhibition of mtorc2 by akt ( xref ).",pmc4418530,['nan'],['nan'],1,100,40,1,140
29,itk,protein,,itk,uniprot,q08881,,,mtor,protein,,mtor,uniprot,p42345,,,negative,i,inhibition,,,,,,0.65,indra,the reduction in s6 phosphorylation in response to both tcr and il-2 in itk deficient cells suggested that itk deficiency more globally prevented effective activation of pi3k- and mtor mediated pathways.,pmc3949578,['nan'],['nan'],1,100,40,1,140
28,itk,protein,,itk,uniprot,q08881,,,il2,protein,,il2,uniprot,p60568,,,positive,i,activation,,,,,,0.65,indra,"these results suggest that itk deficiency did not simply increase il-2 responses, but rather altered signaling in response to il-2, such that stat5 activation was uncoupled from mtor activation.",pmc3949578,['nan'],['nan'],1,100,40,1,140
14,egr1,protein,,egr1,uniprot,p18146,,,pten,protein,,pten,uniprot,p60484,,,positive,i,increaseamount,,,,,,0.65,indra,"early growth response protein 1, which regulates pten expression during the initial steps of apoptosis, has been shown to directly upregulate the expression of pten in non small cell lung cancer.",pmc4712330,['nan'],['nan'],1,100,40,1,140
