index,Regulator Name,Regulator Type,Regulator Subtype,Regulator HGNC Symbol,Regulator Database,Regulator ID,Regulator Compartment,Regulator Compartment ID,Regulated Name,Regulated Type,Regulated Subtype,Regulated HGNC Symbol,Regulated Database,Regulated ID,Regulated Compartment,Regulated Compartment ID,Sign,Connection Type,Mechanism,Site,Cell Line,Cell Type,Tissue Type,Organism,Score,Source,Statements,Paper IDs,Database Source,Database ID,Evidence Score,Match Score,Kind Score,Epistemic Value,Total Score
89,furin,protein,,8568.0,uniprot,p09958,,,tgfb1,protein,,11766.0,uniprot,p01137,,,negative,i,inhibition,,,,,,0.65,indra,the analyses of proteolytically activated macrophage cytokines thus showed that a furin deficiency reduces the production of anti-inflammatory tgf-beta1 but upregulates the activation of the tace and caspase-1 enzymes.,pmc5342350,['nan'],['nan'],1,100,40,1,140
136,tgfb1,protein,,11766.0,uniprot,p01137,,,furin,protein,,8568.0,uniprot,p09958,,,positive,i,activation,,,,,,0.65,indra,furin is induced by its substrate tgf-beta1 [xref_bibr].,pmc5342350,['nan'],['nan'],1,1,40,1,41
16,adam17,protein,,195.0,uniprot,p78536,,,egfr,protein,,3236.0,uniprot,p00533,,,positive,i,activation,,,,,,"0.65,0.65,0.65,0.65,0.923,0.86,0.65","indra,indra,indra,indra,indra,indra,indra","moreover, adam17-dependent egfr activation protects hepatocytes from apoptosis during drug-induced toxicity ( xref ) and supports intestinal proliferative regeneration in experimental colitis ( xref ).,for example, egfr ligands such as amphiregulin, epiregulin, epigen and tgfalpha are activated by tace.,in differentiated primary bronchial epithelial cells (hbec-ali), inhibitors of egfr and of adam17 completely abolished adam17 substrate shedding as well as egfr dependent cxcl8 mrna induction [xref_bibr], illustrating the strong interrelationship between the key elements of the egfr and adam17 axis (xref_fig).,a growing number of studies reported that adam17 induces egfr transactivation in different types of cells such as vascular smooth muscle cell [xref_bibr], cardiac cell [xref_bibr], hepatic stellate cell [xref_bibr], and endothelial cell [xref_bibr], and the same effect was also observed in our results as well.,adam17wavedx and wavedx mice generated by brandl et al. also showed severe weight loss during dss administration, and the authors demonstrated that adam17 mediated egfr signaling in non hematopoietic cells plays a protective role against dss induced colitis.,we hypothesized that the failure of intestinal epithelial cells to proliferate was caused by the fact that adam17 ex/ex mice could not cleave and thereby systemically activate ligands of the egf-r.,adam17 dependent shedding of egfr ligands such as areg results in activation of egfr through an autocrine feedback loop, which modulates basal egfr activity (dewitt etal.","pmc3371728,pmc5159831,pmc5818912,pmc6038660,pmc4816818,pmc2916135,pmc5002905","['nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']","['nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",7,0.1,39,1,39.7
41,adam17,protein,,195.0,uniprot,p78536,,,tnf,protein,,11892.0,uniprot,p01375,,,positive,i,activation,,,,,,"0.65,0.86,0.65,0.65,0.65","indra,indra,indra,indra,indra","the rationale of this study was to inhibit adam17 induced shedding of soluble tnf-alpha in order to reduce detrimental inflammation after spinal cord injury (sci).,moreover, activated tace may drive macrophage homing by generating soluble tnf-alpha, while gene silencing of tace may decrease macrophages infiltration, which may also contribute to the attenuation of mmp activities xref_bibr.,in vitro, the adam17 shrna lentivirus reduced adam17 expression, and prevented tnf-alpha maturation in u937 cells.,in accordance, aspirin induced gastric mucosal damage as well as increased tnf-alpha release was prevented by inhibitors of adam17.,tace has been shown to promote tnf-alpha secretion via the efficient shedding of the preform of tnf-alpha (pro-tnf-alpha) into the mature soluble form that is released, which results in increased levels of tnf-alpha in the culture medium [xref_bibr, xref_bibr].","pmc3877539,pmc4677302,pmc5865799,pmc5776559,pmc5564803","['nan', 'nan', 'nan', 'nan', 'nan']","['nan', 'nan', 'nan', 'nan', 'nan']",5,0.1,39,1,39.5
40,adam17,protein,,195.0,uniprot,p78536,,,tnf,protein,,11892.0,uniprot,p01375,,,negative,i,inhibition,,,,,,"0.65,0.65,0.65,0.65,0.65","indra,indra,indra,indra,indra","it is well recognized that tnf-alpha induces an extensive array of downstream events that further promote inflammation, and thus the greatly diminished production of soluble tnf-alpha by adam17 deficient leukocytes likely contributed to the reduced levels of alveolar neutrophils as lung inflammation progressed after lps exposure.,tpd significantly attenuated tace mediated disease models of sepsis, rheumatoid arthritis (ra) and inflammatory bowel disease (ibd), and reduced tnfalpha in synovial fluids from ra patients.,compared with the ang ii group, adam17 sirna remarkably diminished the protein release and mrna expression of il-1beta, il-6, and tnf-alpha in vsmcs stimulated by ang ii.,these findings suggest that maintaining adam17-egfr epithelial signaling is necessary for the recovery from uc and would be beneficial to therapeutic strategies targeting adam17 mediated tnf-alpha shedding.,the failure of tace to exit the er in the absence of irhom2 prevents tnfα mature and secretion.","pmc3095620,pmc5159831,pmc6038660,pmc4816818,pmc6130561","['nan', 'nan', 'nan', 'nan', 'nan']","['nan', 'nan', 'nan', 'nan', 'nan']",5,0.1,39,1,39.5
39,adam17,protein,,195.0,uniprot,p78536,,,tgfa,protein,,11765.0,uniprot,p01135,,,positive,i,activation,,,,,,"0.65,0.65,0.86,0.65","indra,indra,indra,indra","in mice, adam17 mediated tgf-alpha shedding contributes to angii induced experimental renal fibrosis [xref_bibr].,upon activation of the erk or p38 mapk pathway, adam17 dissociates from an endogenous extracellular tissue inhibitor of metalloproteinase-3 (timp-3) [xref_bibr - xref_bibr], accumulates on the cell surface [xref_bibr, xref_bibr], and induces release of tgf-alpha [xref_bibr].,results from this study indicate that adam17 mediates il-13-induced proliferation and tgfalpha shedding in nhbe cells.,additionally, compound 17 exhibited unusual substrate selectivity by sparing adam17 mediated cleavage of tgfalpha.","pmc4438184,pmc5818912,pmc1976612,pmc5688260","['nan', 'nan', 'nan', 'nan']","['nan', 'nan', 'nan', 'nan']",4,0.1,39,1,39.4
150,tnf,protein,,11892.0,uniprot,p01375,,,inflammatory response,bioprocess,,,go,go:0006954,,,positive,i,activation,,,,,,"0.65,0.65,0.65","indra,indra,indra","the mechanisms may involve attenuated local inflammation, neovascularization and mmp activation, as well as enhanced collagen production probably via down-regulated erk-nf-κb and upregulated tgf-β1 signaling pathways.tumor necrosis factor alpha converting enzyme (tace), also known as adam17 (a disintegrin and a metalloproteinase 17), was initially discovered as a protease that cleaves the 26-kda precursor of tnf-α and sheds transmembrane tnf-α to generate a soluble form of tnf-α that can bind to tnf-α receptors to induce inflammatory response 1 .,for example adam17, which is also known as tumor necrosis factor alpha (tnf-alpha) converting enzyme (tace), cleaves membrane bound pro-tnf-alpha to soluble tnf-alpha which may enhance inflammatory response.,the cytokine tnf is the primary trigger of inflammation, and tnf signalling requires irhom2 to promote trafficking and activation of tace.","pmc4677302,pmc5776559,pmc6130561","['nan', 'nan', 'nan']","['nan', 'nan', 'nan']",3,0.1,39,1,39.3
45,agt,protein,,333.0,uniprot,p01019,,,egfr,protein,,3236.0,uniprot,p00533,,,positive,i,activation,,,,,,"0.65,0.65","indra,indra","both ligands are involved in angii induced egfr transactivation, although some differences have been described between cell types and tissues [xref_bibr].,as shown in xref , ang ii-induced egfr and erk1/2 activation was attenuated by treatment of adam17 sirna in vsmcs, suggesting that the activation of the egfr-erk1/2 pathway induced by ang ii is mediated by adam17.","pmc4438184,pmc6038660","['nan', 'nan']","['nan', 'nan']",2,0.1,39,1,39.2
37,adam17,protein,,195.0,uniprot,p78536,,,ptgs2,protein,,9605.0,uniprot,p35354,,,positive,i,increaseamount,,,,,,"0.86,0.86","indra,indra","in conclusion, there are a number of potential mechanisms through which adam17 contributes to cox-2 expression during tumorigenesis.,loss of leukocyte specific adam17 leads to decreased cox-2 expression within mammary tumors.","pmc5059114,pmc5059114","['nan', 'nan']","['nan', 'nan']",2,0.1,39,1,39.2
114,rhbdf2,protein,,20788.0,uniprot,q6pjf5,,,tnf,protein,,11892.0,uniprot,p01375,,,positive,i,activation,,,,,,"0.65,0.65","indra,indra","targeting irhom2 may reduce inflammation by specifically preventing tnfalpha release from macrophages, without the side effects of the widely used global tnfalpha targeting drugs.,recently, researchers discovered that genetic deletion of irhom2, an inactive rhomboid proteinase, in mice, prevents tnf-alpha shedding [xref_bibr].","pmc5490636,pmc5688260","['nan', 'nan']","['nan', 'nan']",2,0.1,39,1,39.2
