index,Regulator Name,Regulator Type,Regulator Subtype,Regulator HGNC Symbol,Regulator Database,Regulator ID,Regulator Compartment,Regulator Compartment ID,Regulated Name,Regulated Type,Regulated Subtype,Regulated HGNC Symbol,Regulated Database,Regulated ID,Regulated Compartment,Regulated Compartment ID,Sign,Connection Type,Mechanism,Site,Cell Line,Cell Type,Tissue Type,Organism,Unnamed: 0,Score,Source,Statements,Paper IDs,Evidence Score,Match Score,Kind Score,Epistemic Value,Total Score
4,hdac,protein,enzyme,hdactr1,uniprot,p00789,nucleus,go:0005886,p53,protein,tumor suppressor,tp53,uniprot,q05214,nucleus,go:0005886,positive,d,phosphorylation,serine 18,"h2066, sw900, h2170, calu-1",epithelial,lung,human,['20'],nan,nan,"hdac inhibitors are epigenetic modulators that often induce growth inhibition in cancer cells. to investigate the antitumor mechanisms in the context of lung scc, we examined the transcriptomic and kinomic changes in belinostat‐treated cells. gene expression profiling was conducted to compare the significantly altered genes after exposure to belinostat. however, transcriptomic analyses offered little insight into the mechanism of action of belinostat, as gene ontology and pathway enrichment analyses could not identify differentially regulated signaling pathway across the belinostat‐sensitive (h2066, sw900, h2170, and calu‐1) and belinostat‐resistant (h226, h596, chago‐k‐1, and h1869) cells (data not shown).",pmc5537703,1,100,40,1,140
6,nsd1,protein,,nsd1,uniprot,q92477,nucleus,go:0005739,egfr,protein,,egfr,uniprot,p00843,plasma membrane,go:0005886,positive,d,activated,,dermal fibroblasts,fibroblasts,skin,human,['124'],nan,nan,the aim of the current study was therefore to identify downstream effectors of nsd1 and to map these effectors in signaling pathways associated with growth. genome-wide mrna expression profiles of dermal fibroblasts from sos patients with a confirmed nsd1 abnormality were compared to expression patterns in age and sex-matched controls.,pmc3498325,1,100,40,1,140
8,sb203580,protein,,,uniprot,q96777,plasma membrane,go:0005886,p38,protein,,,uniprot,p00736,plasma membrane,go:0005886,positive,d,inhibits,,,,,vein,['134'],nan,nan,"the effects of inhibitors u0126, sp600125, and sb203580 on erk, jnk, and p38 activation. a u0126, sp600125, and sb203580 (10 μm) significantly inhibited erk, jnk, and p38mapk activation respectively in vitro. n = 6/group, **p < 0.01 vs. the dmso group. b u0126 (200 μm), sp600125, and sb203580 (100 μm) significantly inhibited erk, jnk, and p38mapk activation respectively around the lesion site in vivo. n = 6/group, **p < 0.01 vs. the dmso group",pmc5372348,1,100,40,1,140
9,shp2,protein,ptpn11,ptpn11,uniprot,p01730,cytoplasm,go:0005886,ras,protein,ras,ras,uniprot,q07817,plasma membrane,go:0005739,positive,d,binds,e76k,,b-cell,,mouse,['102'],nan,nan,"shp2 encoded by the ptpn11 gene is a member of the protein tyrosine phosphatase family and is highly expressed in hematopoietic cells. despite its role in protein dephosphorylation, shp2 plays an overall positive role on cell signaling pathways, including ras and jak–stat pathways. while the mechanism is not clear, postulated targets of shp2 include ras gap binding sites on rtks or key tyrosyl residues on sprouty proteins, which inhibit the pathway and more recent evidence implicates a role in increasing production of reactive oxygen species, which hypersensitizes cytokine signaling (41). somatic mutations of ptpn11 are common in juvenile myelomonocytic leukemia where they occur in around 35% of cases but are also found in all at frequencies between 2 and 10% (10, 14, 15, 19, 42). mutations are usually heterozygote, missense, gain of function mutations sited in the sh2 or phosphatase regions of the protein. in mouse models, ptpn11 mutations cause a myeloproliferative disorder (mpd) but a more recent study showed that the ptpn11 e76k mutation was clearly sufficient to induce acute leukemia and this residue is commonly mutated in all (43). the e76k mice leukemias were associated with centrosome amplification and aneuploidy, which is highly relevant given the predominance of ptpn11 mutations in hyperdiploid all cases.",pmc4067595,1,100,40,1,140
1,braf,protein,,braf,uniprot,p00737,plasma membrane,go:0005886,ret,protein,,ret,uniprot,q00944,plasma membrane,go:0005886,positive,d,activating-point mutation,,,none,none,human,['38'],nan,nan,"rearrangements of the gene encoding the receptor tyrosine kinase ret and activating-point mutations of ras or braf are found in 70% of all cases of ptc and are mutually exclusive. mutation of braf, especially a valine to glutamic acid substitution at codon 600 (v600e) termed the brafv600e mutation, is the most frequent genetic alteration, identified in 60% of cases (range: 27%-87%) [1, 2]. ptcs with different mutations are recognized to have distinct histopathologic appearance and biologic properties. most studies in ptcs suggest that braf activating mutation is closely associated with extrathyroidal extension, lymph node metastasis, advanced tumor stages, disease recurrence, and even patient mortality [2]. the molecular mechanisms underlying the association of braf mutation with worse prognosis compared to ptc with no or other genetic alterations has so far only been partially elucidated. there is evidence that the transcriptional output of the mapk pathway is greatest in brafv600e mutant tumors, because this oncoprotein signals as a monomer and is therefore unresponsive to feedback inhibition on raf dimers [3].",pmc5599027,1,1,40,1,41
2,egfr,protein,,egfr,uniprot,p00728,cytoplasm,go:0005634,rab35,protein,,rab35,uniprot,q92338,cytoplasm,go:0005634,positive,d,upregulation,,dld-1,epithelial-like,colon,human,['144'],nan,nan,"to further strengthen the evidence for ncoa3, foxo3, and tcf7l2 as mediators of the ras pathway, we performed lc-ms-based global proteomics and observed several significant changes in ras pathway proteins. these included fgf2, lgals1, plcg2, cdkn1a, erbb2, fyn, epha2, rab8a, mapkapk2, rb1, ikbkb, rab35, rab3a, and egfr, with cdkn1a upregulated in all four knockdown lines. in contrast, fewer ras-related proteins were modulated in the three stable knockdown lines in dld-1 kraswt/- genetic background. this is in agreement with ncoa3, foxo3, and tcf7l2 having roles in the activated ras pathway.",pmc5755028,1,1,40,1,41
10,stat3,protein,,stat3,uniprot,q05535,mitochondria,go:0005739,jak2,protein,,jak2,uniprot,q92377,plasma membrane,go:0005886,positive,d,phosphorylation,s727,hek 293t,epithelial-like,kidney,human,['5'],nan,nan,"stat3 is over-expressed and/or post-translationally modified in the majority of human cancers. the current dogma for the contribution of stat3 to cancer biology is as a potent transcription factor driving expression of genes controlling numerous hallmark features of tumor cells [2]. this paradigm is clearly implicated for oncogenes that target y705 phosphorylation of stat3 (e.g., jak2, egfr, npm-alk), but it is less clear why stat3 would be important for non-tyrosine kinase oncogenes that do not lead to stat3 tyrosine phosphorylation (e.g., h-, n-, k-ras and c-myc). nonetheless, we recently showed that the ras family of oncogenes requires stat3 expression to transform cells. importantly, this requirement for stat3 was found to be due to a mitochondrial pool of stat3 that augments the activity of the electron transport chain, lactate dehydrogenase activity, and atp abundance [12]. the mitochondrial activity of stat3 and ras-mediated transformation is dependent on the phosphorylation of stat3 on s727. many kinases have been shown to phosphorylate stat3 on s727 in a stimulus dependent manner (e.g., erk, jnk, p38, mtor, sec1, pkcδ, and rac- and vav-dependent kinases [8,29]). however, it has not been documented which serine kinase(s) activated by the ras oncogenes are responsible for serine phosphorylation of stat3. in this study, we provide experimental evidence that the erk pathway is responsible and critical for this modification.",pmc3843736,1,1,40,1,41
0,bcl-xl,protein,,bcl2l1,uniprot,q07817,mitochondria,go:0005739,apaf-1,protein,,apaf1,uniprot,o14727,mitochondria,go:0005739,negative,d,binds,,hek 293t,epithelial-like,kidney,human,"['18', '97', '136']","nan,nan,nan","nan,nan,nan","total rna was prepared using rneasy according to the manufacturer's protocol (qiagen, venlo, netherlands). reverse transcription pcr for the conversion of cdna was performed according to the recommended protocols for taqman,we made the following addition to the manuscript and included an extra supplemental figure:,a total of 31 mutations affecting genes of the ras-braf-mapk-erk pathway were observed in 30 of the 452 cll patients (7%) (online supplementary figure s1 and table 1). mutations were missense (25/31; 81%) or non-coding mutations at the 3′ or splice donor regions (6/31; 19%). the mean vaf for the 31 individual mutations was 0.36 ± 0.13. according to the results of the polyphen-2, sift and cadd algorithms used to predict the pathogenicity of the mutations, five mutations in the 3′ untranslated region (cases 1, 3, 11, 28 and 30) and one missense mutation (case 4, sos2 gene) were discarded as not being pathogenic. we were able to demonstrate that the mutation in the 3′ untranslated region of kitlg (case 1) was functional as we detected high levels of phosphorylated erk, a surrogate marker of ras-braf-mapk-erk pathway activation (figure 3a). due to the absence of cryopreserved material, we could not analyze the functionality of these mutations in the remaining cases. therefore, considering only the putative functional mutations, a total of 26 functional mutations affecting genes of the ras-braf-mapk-erk pathway were observed in 25 of 452 cll patients (5.5%). in 11 of the 25 patients (44%) these mutations were clonal (vaf ≥0.40) and in the other 14 patients (56%) they were subclonal (vaf <0.40). mutations were detected in genes upstream of braf (kitlg, kit, ptpn11, gnb1, kras and nras) in 12/452 patients (2.6%), in braf in 9/452 patients (2.0%), and in genes downstream of braf (map2k1 alias mek1, map2k2 alias mek2) in 5/452 patients (1.1%). the most frequent single mutated gene was braf (n=9/26, 34.6%) followed by ptpn11 (n=5/26, 19.2%), map2k2 (n=3/26, 11.5%), kras (n=3/26, 11.5%), and map2k1, (2/26 cases, 7.7%); mutations of gnb1, nras, kit, and kitlg were each found in one patient. one patient had concomitant mutations of ptpn11 and kras. interestingly, braf mutations were localized between exons 11 to 15 and most of them occurred in the activation loop (a-loop) near the v600 position or near the phosphate-binding loop (p-loop) at residues 464-469. only in one case did the braf mutation correspond to v600e, the most common mutation described in a variety of human malignancies including hcl.17","pmc5537703,pmc5127645,pmc6395334",3,0.1,39,1,39.3
3,gfap,protein,,gfap,uniprot,q01502,cytoplasm,go:0005637,iba1,protein,,iba1,uniprot,q92678,cytoplasm,go:0005637,positive,d,immunoprecipitation,,,microglia,spinal cord,rat,['153'],nan,nan,"elevated gfap expression was also verified using the western blot analysis 1, 4,",pmc6113736,1,0.1,39,1,39.1
5,mitf,protein,,pparg,uniprot,p02358,cytoplasm,go:0005637,stx17,protein,,stx17,uniprot,q92677,cytoplasm,go:0005637,positive,d,binds,,,melanocyte,skin,zebrafish,['53'],nan,nan,"we have previously demonstrated that the causative mutation for the grey horse phenotype encompassing the dramatically increased risk of melanoma development is a 4.6 kb duplication in intron 6 of syntaxin 17 (stx17) ([17]; referred to as grey mutation thereafter). this dominant mutation constitutes a cis-acting regulatory mutation that upregulates the expression of both stx17 and the neighboring gene nr4a3 encoding nuclear receptor subfamily 4, group a, member 3. it is still an open question if upregulation of stx17 or nr4a3 expression is crucial, or if both events are required for the phenotypic effects associated with grey phenotypes. we have recently demonstrated that the duplicated region contains a weak melanocyte-specific enhancer that becomes a strong enhancer when duplicated [18]. the tissue specificity is explained by the presence of two perfect binding sites for mitf (microphthalmia-associated transcription factor) within the duplicated sequence. this interpretation is strongly supported by results from transgenic zebrafish where the horse duplicated sequence could drive melanocyte-specific reporter expression and this activity was inhibited by silencing mitf using morpoholinos [18]. furthermore, we have observed a positive correlation between the copy number of the grey mutation and the melanoma progression, suggesting that the mutation might constitute a melanoma-driving element [19]. while the causative genetic link between the grey mutation and development of grey horse melanoma is well established, the molecular mechanism behind this link remains uncharacterized as well as it is not known whether additional somatic mutations are required for tumourigenesis.",pmc4254013,1,0.1,39,1,39.1
