index,Regulator Name,Regulator Type,Regulator Subtype,Regulator HGNC Symbol,Regulator Database,Regulator ID,Regulator Compartment,Regulator Compartment ID,Regulated Name,Regulated Type,Regulated Subtype,Regulated HGNC Symbol,Regulated Database,Regulated ID,Regulated Compartment,Regulated Compartment ID,Sign,Connection Type,Mechanism,Site,Cell Line,Cell Type,Tissue Type,Organism,Unnamed: 0,Score,Source,Statements,Paper IDs,Evidence Score,Match Score,Kind Score,Epistemic Value,Total Score
1,bmi1,protein,,bmi1,uniprot,q96354,nucleus,go:0005739,pten,protein,,pten,uniprot,q96472,nucleus,go:0005739,negative,d,binds,,,stem cells,,human,['114'],nan,nan,the pcg bmi1 gene maintains the proliferation potential and self-renewal of hematopoietic and neural stem cells and is considered a significant oncogene. pten binds to bmi1 exclusively in the nucleus and reduces its function. this interaction does not require the phosphatase activity of pten (189).,pmc4515857,1,100,40,1,140
3,drosha,protein,rnase,drosha,uniprot,q92776,cytoplasm,go:0005739,pten,protein,,pten,uniprot,q07817,cytoplasm,go:0005739,negative,d,binds,,hepg2,hepatocellular carcinoma,liver,human,['76'],nan,nan,"we propose a model in which a hairpin structure within the pten mrna 3′utr post-transcriptionally functions in liver cells (figure 5e). a bioinformatics analysis showed that the secondary structure of pten mrna 3′utr has a hairpin structure. the element can be recognized by drosha and dgcr8 and cleaved from the pten mrna 3′utr. dicer contributes to the generation of esirna, such as pten-sh-3p21 targeting the 3′utr of ppp2ca or pten. pten-sh-3p21 results in an increase of phosphorylated akt, thereby promoting cell proliferation. our findings provide new insights into the mechanism by which a hairpin structure within the pten mrna 3′utr functions post-transcriptionally in liver cells.",pmc4933753,1,100,40,1,140
4,prl,hormone,,prl,uniprot,q03666,plasma,go:0005739,pten,protein,,pten,uniprot,q96937,cytoplasm,go:0005634,negative,d,binds,,dcmec,immature,none,human,['53'],nan,nan,"after incubation with prl and glucose for 24 h, total rna from the four dcmec groups were isolated and reverse-transcribed into cdna. reverse transcription products were subjected to qpcr under standard conditions as described above and mrna expression levels of pten were assessed.",pmc4092105,1,100,40,1,140
12,smad4,protein,,smad4,uniprot,q02504,nucleus,go:0005739,pten,protein,,pten,uniprot,q05203,plasma membrane,go:0005886,negative,d,binds,,,,,human,['24'],nan,nan,"the smad4 and pten immunohistochemical (ihc) staining results were interpreted by two pathologists (k.j. and s.s.p.) who were blinded to the clinical data. discordant cases were reviewed on a multi-headed microscope to reach consensus. each slide was interpreted semi-quantitatively according to the intensity of nuclear immunoreactivity (fig. 1). the cut-off was determined by proportion rather than by intensity, because the latter was rather heterogeneous. smad4 and pten expression was classified as negative (< 10% positive tumor cells out of all cancer cells) or positive (≥ 10% positive tumor cells out of all cancer cells) [29].",pmc5784229,1,100,40,1,140
13,smad4,protein,,smad4,uniprot,q92578,cytoplasm,go:0005634,pten,protein,,pten,uniprot,q92579,plasma membrane,go:0005886,positive,d,expression,,,adenocarcinoma,colon,human,['25'],nan,nan,"in summary, we found that the smad4/pten expression pattern was statistically correlated with several clinicopathological parameters and with survival. smad4–/pten– status was more frequently observed in patients who followed the multi-step carcinogenesis progression from normal colonic mucosae to tubular adenoma, primary adenocarcinoma, and metastatic adenocarcinoma. some differences in survival were observed among the smad4+/pten+, smad4+/pten– or smad4–/pten+, and smad4–/pten– groups. thus, combinations of markers may be more useful for predicting the survival of patients with crc than single markers alone. we conclude that concurrent loss of smad4 and pten may accelerate cancer progression and that these two genes thus represent potential targets for cancer treatment.",pmc5784229,1,100,40,1,140
5,pten,protein,,pten,uniprot,q02515,cytosol,go:0005735,insr,protein,,insr,uniprot,q03147,plasma membrane,go:0005886,positive,d,phosphorylation,,,none,none,none,['73'],nan,nan,"pten is an important tumor suppressor, and loss of pten function has been implicated in a wide variety of tumor types11. the pten-pi3k-akt-mtor pathway plays an essential role in the regulation of glucose metabolism, owing to its position downstream of the insulin receptor (insr) and irs adaptor molecules. increasing evidence supports the hypothesis that mrnas can serve as regulatory rnas. pten mrna functions in the regulation of gene expression by competing with common micrornas12. pten expression can be post-transcriptionally modulated by a pten pseudogene, whose transcripts exert regulatory control of their ancestral cancer gene's expression levels by competing with micrornas that target sequences common to the mrna and the pseudo-mrna13,14. however, whether the pten mrna 3′utr contains hairpin structure and functions in regulation are not well documented.",pmc4933753,1,1,40,1,41
6,pten,protein,,pten,uniprot,q04307,cytoplasm,go:0005634,p53,protein,tumor suppressor,tp53,uniprot,q04310,nucleus,go:0005634,positive,d,binds,,,,,human,['102'],nan,nan,"pten is also regulated on the transcriptional and post-transcriptional levels. several transcriptional factors have been reported to control the transcription of pten, including the tumor suppressor p53, the early growth response protein 1 (egr-1), a metabolic regulatory gene peroxisome proliferation-activator receptor γ (pparγ) [for detail, see 6)] and active transcription factor 2 (atf2) (26). pten is also transcriptionally repressed by snail and slug (27). these two zinc finger-like transcriptional factors compete with p53 for pten promoter binding. in addition, the nuclear factor kappa b (nfkb), the ap-1 transcription factor subunit c-jun and the notch signaling coregulatory cbf-1 (c-promoter binding factor-1) also bind to the pten promoter to regulate its transcription (28, 29).",pmc6046409,1,1,40,1,41
7,pten,protein,,pten,uniprot,q04780,plasma membrane,go:0005886,pik3ca,protein,,pik3ca,uniprot,o14727,plasma membrane,go:0005886,negative,d,binds,,,,,human,['49'],nan,nan,"we conducted immunohistochemical analyses of pten, pik3ca, phosphorylated akt (p-akt), and p27 in primary endometrial carcinomas from 221 patients. mutation of pten was analysed further.",pmc3776978,1,1,40,1,41
8,pten,protein,,pten,uniprot,q05240,mitochondria,go:0005739,bax,protein,,bax,uniprot,q05173,mitochondria,go:0005739,positive,d,binds,,mouse,cardiac,heart,mouse,['34'],nan,nan,"pten accumulation in the mitochondria was originally observed in mitochondria isolated from primary rat hippocampal neurons undergoing apoptosis [14]. a time-dependent accumulation of pten in the mitochondria and immunoprecipitation with bax was detected after sts treatment, suggesting the involvement of pten in the regulation of mitochondria-dependent apoptosis. the mitochondrial localization of pten and association with bax was later confirmed in isolated mouse hearts exposed to ischemia and reperfusion (i/r) [35]. the biological functions of pten in the subcellular space had never been studied before in the heart. heart fractionations showed that mitochondrial pten and bax protein levels, as well as the physical association between them, were increased by i/r and attenuated by ischemic preconditioning (ipc). the authors also found that in reperfused hearts, ros promotes the mitochondrial localization of pten. indeed, in hearts perfused with the ros scavenger, n-acetylcysteine, mitochondrial pten protein levels were decreased. reciprocally, treatment with h2o2 to mimic i/r-induced ros increased mitochondrial pten protein levels.",pmc4396696,1,1,40,1,41
9,pten,protein,,pten,uniprot,q05243,plasma membrane,go:0005886,ptk6,protein,,ptk6,uniprot,q96ja7,plasma membrane,go:0005886,negative,d,binds,,pc3,adenocarcinoma,,human,['2'],nan,nan,"we regularly see 30–40% transfection efficiency in the pc3 cell line. however, in our experiments, transfected pten appeared to target ptk6 py342 in most cells (fig. 4b). recently, a few studies have suggested that active pten may be secreted and taken up by neighboring cells35–37. with high transient expression of pten in transfected cells, some functional pten may be exported into the supernatant and taken up by the surrounding cells that have not been transfected. it will be interesting to examine this possibility in future studies.",pmc5688148,1,1,40,1,41
