index,Regulator Name,Regulator Type,Regulator Subtype,Regulator HGNC Symbol,Regulator Database,Regulator ID,Regulator Compartment,Regulator Compartment ID,Regulated Name,Regulated Type,Regulated Subtype,Regulated HGNC Symbol,Regulated Database,Regulated ID,Regulated Compartment,Regulated Compartment ID,Sign,Connection Type,Mechanism,Site,Cell Line,Cell Type,Tissue Type,Organism,Score,Source,Statements,Paper IDs,Evidence Score,Match Score,Kind Score,Epistemic Value,Total Score
1099,bcl-2,protein,,,,p10415,,,apoptosis,biologicalprocess,,,go,go:0006915,,,positive,i,none,,,,,,"nan,nan,nan,nan,nan,nan,nan","nan,nan,nan,nan,nan,nan,nan","these drugs function as sensitizer molecules - although unable to directly stimulate apoptosis , they prevent the apoptosis inhibitors from sequestering the pro apoptotic proteins through their bh3 domains ( reviewed in [ xref_bibr ] ) .,hrk is a proapoptotic mitochondrial member of bcl-2 family , which promotes apoptosis through the endogenous , mitochondrial pathway .,tumor progression and resistance to chemotherapy and radiotherapy may also be activated through the suppression of bax and upregulation of igf-1r , resulting in increased proliferation and reduced apoptosis caused by upregulation of bcl-2 and overexpression of altered p53 xref_bibr .,molecules in the bcl-2 family , including bad and bcl-xl , are notable factors in cell apoptosis and contribute to a so called ' apoptosis checkpoint ' .,apoptosis is a programmed cell death that is currently of intense research interest in cancer biology and it was already established that expression levels of bcl-2 family proteins in tumors can modulate apoptosis , influencing tumor behavior and treatment [ xref_bibr ] , and also , in another way , apoptosis can be triggered intrinsically or extrinsically by dna damage or other types of severe cellular injures such as reactive oxygen species [ xref_bibr ] .,after determining that cpa+il-1beta treatment exacerbates apoptosis , we performed a detailed mechanistic analysis of the er stress pathways and bcl-2 proteins involved in cytokine- and/or er stress+ cytokine induced beta cell apoptosis . ++++ the kd of each single bcl-2 anti-apoptotic protein ( confirmed in xref_supplementary ) increased apoptosis under basal conditions ( xref_fig ) .,apoptosis is modulated partially by bcl-2 family including apoptosis inhibiting genes ( bcl-2 , bcl-xl , mcl-1 , a1 and bcl-w ) and apoptosis accelerating genes ( bax , bak , bcl-xs and bim ) [ xref_bibr ] .","pmc3477050,pmc4947213,pmc3879347,pmc4940681,pmc4180203,pmc3730410,pmc3488331",7,10,10,1,80
9535,mdm2,protein,,,,q00987,,,p53,protein,,,uniprot,p04637,,,positive,i,none,,,,,,"nan,nan,nan,nan","nan,nan,nan,nan","mdm2 was reported to inhibit p53 transcription function by blocking p53 surface that interact with the basal transcription factors such as tfiie [ xref_bibr ] .,the e3 ubiquitin ligase mdm2 is a transcriptional target of p53 and regulates p53 expression via a negative feedback loop [ xref_bibr ] .,xref_bibr in unstressed cells , p53 is kept at a low level by mdm2 , an e3 ubiquitin ligase , which targets p53 for degradation .,51 mdm2 mediates p53 protein turnover through constant monoubiquitination , a critical step in the polyubiquitnation of p53 and targeted degradation by the 26s proteasome .","pmc4142057,pmc2929606,pmc4198344,pmc4227549",4,10,10,1,50
11239,p53,protein,,,,p04637,cytoplasm,go:0005737,autophagy,biologicalprocess,,,go,go:0006914,cytoplasm,go:0005737,positive,i,none,,,,,,"nan,nan,nan","nan,nan,nan","p53 is able to induce autophagy by promoting activation of ampk ( 5 ' adenosine monophosphate activated protein kinase ) leading to inhibition of the mtor ( mammalian target of rapamycin ) pathway [ xref_bibr ] .,correspondingly , depletion or inhibition of p53 is able to induce autophagy in human , mouse and nematode cells subjected to knockout , knockdown or pharmacological inhibition of p53 .,p53 mediated activation of autophagy leads to cell death through transactivation of the autophagy inducing protein dram and inactivation of the mtor pathway xref_bibr , xref_bibr .","pmc4381250,pmc3587337,pmc3543386",3,10,10,1,40
11630,p70s6k1,protein,,,,p23443,,,mtor,protein,,,uniprot,p42345,,,positive,i,none,,,,,,"nan,nan","nan,nan","as an evidence of this notion , sirna mediated gene silencing of pi3k and akt inhibited the activation of p70s6k1 ( a downstream target of mtor ) , and subsequently led to the suppression of migration , invasion and proliferation xref_bibr .,in accordance with this , mtor inhibition induces akt activation [ xref_bibr ] , probably due to negative feedback by p70s6k1 .","pmc3511566,pmc2694555",2,10,11,1,31
3925,egf,protein,,,,p01133,,,egfr,protein,,,uniprot,p00533,,,negative,i,phosphorylation,,cellosaurus:cvcl_0062,,,,"nan,nan","nan,nan","treatment of b16ova , jc , 4t1 and mda-mb231 cells with amiodarone for 24 hr resulted in decreased egf induced phosphorylation of egfr on individual tyrosine residues .,b6h12 treatment in the presence or absence of egf inhibited egfr phosphorylation at y1068 but not y 992 .","pmc4767485,pmc4891109",2,10,10,1,30
1249,beclin-1,protein,,,,q14457,,,autophagy,biologicalprocess,,,go,go:0006914,,,negative,i,none,,,,,,"nan,nan","nan,nan","the autophagy induced by anticancer agents is suppressed by 3-ma or knockdown of beclin-1 , atg7 or pi3kc3 , which may sensitize the osteosarcoma to the anticancer agents .,it inhibits activation of autophagy and apoptosis , respectively [ xref_bibr , xref_bibr ] .","pmc4579870,pmc4813194",2,10,10,1,30
17051,tsc1,protein,,,,q92574,,,mtor,protein,,,uniprot,p42345,,,positive,i,none,,,,,,"nan,nan","nan,nan","elevated cn changes in tsc1 support its role in autophagy induced cell death .,this destabilization of the tumor suppressors tsc1 and tsc2 subsequently activates mtor via a small protein called rheb ( ras homolog enriched in brain ) .","pmc4489368,pmc2687803",2,10,10,1,30
9562,mdm2,protein,,,,q00987,other,go:0005694,p53,protein,,,uniprot,p04637,other,go:0005694,positive,i,none,,,,,,"nan,nan","nan,nan","[ xref_bibr ] the protein mdm2 is related to p53 , and the increase in mdm2 functions to reduce the tumor suppressing activity of p53 .,mdm2 targets p53 for degradation and its amplification and overexpression mimics tp53 loss [ xref_bibr , xref_bibr ] .","pmc4561439,pmc4741644",2,10,10,1,30
2038,caspase-3,protein,,,,p42574,,,apoptosis,biologicalprocess,,,go,go:0006915,,,negative,i,none,,,,,,"nan,nan","nan,nan","s nitrosylation of nf-kappab and matrix metalloproteinase 9 ( mmp9 ) promotes cell death whereas s nitrosylation of caspase-3 , caspase-9 , and c-jun n-terminal kinase prevents activity and inhibits apoptosis xref_bibr .,s nitrosylation of caspases , especially caspase-3 , inhibits the enzymes , and blocks apoptosis ( leon et al. , xref_bibr ) .","pmc4565017,pmc3684767",2,10,10,1,30
9564,mdm2,protein,,,,q00987,other,go:0005730,p53,protein,,,uniprot,p04637,other,go:0005730,negative,i,none,,,,,,"nan,nan","nan,nan","arf activates p53 by sequestering mdm2 , an e3 ubiquitin ligase , to the nucleolus , thereby inhibiting the mdm2 mediated proteasomal degradation of p53 .,consequently , another oncosuppression route derives by the ability of p19 and arf to bind mdm2 , which remains locked inside the nucleolus instead of moving to the cytoplasm ; thus , mdm2 can not induce p53 degradation , and this enhances p53 function as a pro apoptotic protein [ xref_bibr ] .","pmc3538382,pmc4780472",2,10,9,1,29
