index,Regulator Name,Regulator Type,Regulator Subtype,Regulator HGNC Symbol,Regulator Database,Regulator ID,Regulator Compartment,Regulator Compartment ID,Regulated Name,Regulated Type,Regulated Subtype,Regulated HGNC Symbol,Regulated Database,Regulated ID,Regulated Compartment,Regulated Compartment ID,Sign,Connection Type,Mechanism,Site,Cell Line,Cell Type,Tissue Type,Organism,Score,Source,Statements,Paper IDs,Evidence Score,Match Score,Kind Score,Epistemic Value,Total Score
9520,mdm2,protein,,,,q00987,,,p53,protein,,,uniprot,p04637,,,negative,i,none,,,,,,"nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan","nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan","overexpression of cip1 could lead to cell cycle arrest and apoptosis [ xref_bibr ] , contrary to the proliferative effects of mdm2 mediated p53 loss .,inactivation of ck1 ( primarily ck1delta or epsilon and to a lesser extent ck1alpha ) results in accumulation of mdm2 , thus decreased p53 activity and resistance to apoptosis induced by dna damaging agents [ xref_bibr ] .,mdm2 was reported to inhibit p53 transcription function by blocking p53 surface that interact with the basal transcription factors such as tfiie [ xref_bibr ] .,mdm2 is an e3 ubiquitin ligase for p53 , and degrades p53 protein in a proteasome dependent manner [ xref_bibr ] , suggesting that sentrin-1 is able to modulate the apoptotic pathway in ra synovial tissues .,maeda et al have shown that pokemon can inhibit transcription of p14arf and subsequently reactivate mdm2 , which reduces p53 expression xref_bibr .,the survival of cancer cells can be enhanced through the accumulation of genetic mutations that lower the levels of some tumor suppressors , like p53 ( which triggers growth arrest , senescence and apoptosis ) , or by altering the expression of tumor suppressor-regulatory proteins , like mdm2 , which enhances p53 degradation [ xref_bibr - xref_bibr ] .,ubiquitin lygase mdm2 decreases the stability of p53 and regulates the prb and e2f complex xref_bibr .,arf protein counteracts the degradation of p53 by mdm2 ; thus , deletion in the arf gene would reduce the protein level of p53 .,several mechanisms are thought to influence p53 tumor suppressor inactivation in ews cell lines including ews-fli1 mediated silencing [ xref_bibr ] and degradation of p53 by mdm2 [ xref_bibr ] . ++++ several mechanisms are thought to influence p53 tumor suppressor inactivation in ews cell lines including ews-fli1 mediated silencing [ xref_bibr ] and degradation of p53 by mdm2 [ xref_bibr ] .,it prevents the transactivation capacity of p53 and/or designates it for proteasomal degradation .,the ubiquitin mediated proteasomal degradation of p53 by mdm2 , one of its many negative regulators , symbolizes as one of the most important regulations in p53 mediated tumor suppressive activities ( di et al. , xref_bibr ; essmann and schulze-osthoff , xref_bibr ) .,mdm2 also directly represses p53 activity .,inhibition of mdm2 can restore p53 activity in cancers leading to anti-tumor effects with apoptosis and growth inhibition .,abnormality in the p53 pathway can yield negative effects on the homeostasis of normal cells ; thus , mdm2 can attenuate excess p53 effect as a principal regulator of p53 .,since wild-type p53 is quickly degraded by mdm2 , extensive efforts have been performed to identify the small compound ( s ) , which could inhibit the interaction between p53 and mdm2 .,under normal conditions , ck1alpha has furthermore been suggested to be a key player promoting p53 inhibition and degradation by mdm2 .,xref_bibr pvhl is likely to indirectly block mdm2 mediated degradation of p53 by recruiting atm and mediating atm dependent ser 15 phosphorylation of p53 .,akt indirectly downregulates activation of the pro apoptotic protein p53 by activating mdm2 ( murine double minute-2 ) , which promotes p53 degradation .","pmc4728538,pmc4201705,pmc4142057,pmc125298,pmc3714264,pmc3565350,pmc3347505,pmc1929113,pmc4646493,pmc3759859,pmc4824013,pmc3794078,pmc4232645,pmc4979029,pmc3775453,pmc4032983,pmc3682694,pmc2886325",18,10,1,1,181
7968,il-6,protein,,,,p05231,,,stat3,protein,,,uniprot,p40763,,,positive,i,none,,,,,,"nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan","nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan","it has been reported that the il-6 cytokine family is able to induce stat3 activation through the gp130 receptor by using an ' unconventional ' signaling route that involves erk1/2 phosphorylation [ xref_bibr ] .,binding of il-6 to its receptor initiates cellular events including activation of stat3 upstream kinases , which then phosphorylate and activate stat3 [ xref_bibr ] .,they further showed that stat3 is activated via autocrine signaling by il-6 family ligands and genetic or pharmacologic inhibition of the gp130 and jak2 signaling pathway disrupts activation of stat3 [ xref_bibr ] .,xref_bibr muscle stat3 activation by il-6 is a common feature of cancer associated muscle wasting .,we found that lupeol also suppressed stat3 activation induced by il-6 , one of the many tumour cell growth factors that activate stat3 ( xref_bibr ) .,lesina et al. reported that il-6 trans-signaling-dependent activation of stat3 and socs3 is required to promote progression of pancreatic intraepithelial neoplasias ( panins ) and pancreatic ductal adenocarcinoma ( pdac ) that carry the kras ( g12d ) mutaion .,to further strengthen the role of stat3 in anoikis resistance , il-6 was used to activate stat3 . ++++ il-6 is well known to activate stat3 by phosphorylation at y705 [ xref_bibr ] .,unexpected , when we examined whether up-regulation of stat3 by il-6 could contribute to an increase in beta-catenin-mediated transcriptional activity , we got negative results ( xref_fig ) .,il-6 also activates stat3 causing direct activation of mir-21 and mir-18b-1 , which respectively inhibit pten and cyld ( tumor suppressor genes ) ( xref_bibr ) .,il-6 , which is involved in melanoma survival , can activate stat3 through jak [ xref_bibr ] .,in breast cancer xenografts , il-6 activates stat3 by binding to its receptor ( gp130 ) and directly stimulates breast csc self-renewal [ xref_bibr ] .,il-6 signalling also drives the activation of stat3 , which can bind isre cis-elements , another potential mechanism to activate the ervk ltr .,this chronic inflammation results in an elevated constitutive activity of nf-kappab and a release of cytokines such as il-6 , which by itself activates stat3 .,il-6 and tnf-alpha can activate stat3 oncogenic signaling in obesity dependent carcinogenesis , as seen in hcc [ xref_bibr ] .,however , association of the il-6 receptor with the egfr can activate stat3 in presence of the inhibition of socs3 to jak1 and jak2 xref_bibr .","pmc2242666,pmc4444003,pmc4074799,pmc4012137,pmc4183851,pmc3772102,pmc4196183,pmc3842975,pmc4601860,pmc4730348,pmc4769767,pmc3598470,pmc3750319,pmc4488829,pmc4629442",15,10,5,1,155
1092,bcl-2,protein,,,,p10415,,,apoptosis,biologicalprocess,,,go,go:0006915,,,negative,i,none,,,,,,"nan,nan,nan,nan,nan,nan,nan,nan,nan","nan,nan,nan,nan,nan,nan,nan,nan,nan","the adenoviral protein e1b-19k is a bcl-2 homolog that blocks apoptosis induction via the intrinsic and extrinsic pathways , specifically including tumor necrosis factor ( tnf )-mediated cell death .,it is very well-known that bcl-2 family proteins can either suppress or promote apoptosis .,bcl-xl is an anti-apoptotic bcl-2 family protein that inhibits apoptosis and is overexpressed in many cancers .,bcl-2 family proteins including bcl-2 and bcl-xl are frequently overexpressed in cancers and inhibit apoptosis by binding to bax or bak [ xref_bibr ] .,bcl2 proteins control the intrinsic pathway of apoptosis at the mitochondria by preventing the release of the cytochrome c. therefore , the inhibition of bcl-2 and bcl-xl by hdaci treatment promotes the release of cytochrome c followed by caspase-9 and caspase-3 activation leading to apoptosis .,more interestingly , bcl-2 activation and overexpression can inhibit apoptosis , prolong cell survival , and reverse the pro apoptotic effect induced by c-myc [ xref_bibr ] .,bcl-2 not only inhibits autophagy by interacting with beclin 1 but it can also inhibit apoptosis by sequestering the proapoptotic protein bax [ xref_bibr , xref_bibr ] .,bcl-2 , bcl like protein 2 and bcl extra large suppress apoptosis , while bax , bcl-2-associated death promoter and bh3 interacting-domain death agonist promote apoptosis . ++++ bcl-2 , bcl like protein 2 and bcl extra large suppress apoptosis , while bax , bcl-2-associated death promoter and bh3 interacting-domain death agonist promote apoptosis .,since bcl-2 family proteins have been found to play roles in the mitochondria and inhibit chemotherapy mediated apoptosis ( chao and korsmeyer 1998 ; green and reed 1998 ) , we have applied gene array analysis to examine whether wnt-1-mediated beta-catenin and tcf transcription regulates the expression of bcl-2 family proteins , including bcl-2 , bcl-xl , bax , bad , and bik . ++++ bcl-2 family proteins have been found to inhibit chemotherapeutic agent mediated apoptosis by preventing cytochrome c release from mitochondria ( kluck et al. 1997 ; yang et al. 1997 ) .","pmc3989763,pmc4881482,pmc4632834,pmc3849547,pmc4954831,pmc4396164,pmc3757434,pmc4581818,pmc2193656",9,10,1,1,91
11414,p53,protein,,,,p04637,,,p21,protein,,,uniprot,p38936,,,positive,i,none,,,,,,"nan,nan,nan,nan,nan,nan,nan,nan","nan,nan,nan,nan,nan,nan,nan,nan","p53 binds to the p21 and waf1 promoter and stimulates the production of p21 and waf1 , which negatively regulates the complex consisting of cyclin d1 and cdk2 , thereby arresting the cell at the g1 phase and inhibiting cell growth . ++++ p53 binds to the p21 and waf1 promoter and stimulates the production of p21 and waf1 , which negatively regulates the complex consisting of cyclin d1 and cdk2 , thereby arresting the cell at the g1 phase and inhibiting cell growth .,an additional inactivation of the p53 tumor suppressor gene or its target p21 is necessary to ensure the emergence of high-invasive colorectal tumors [ xref_bibr ] .,however , under stress conditions , p21 can also be induced by a p53 independent mechanism [ xref_bibr ] .,xref_bibr in particular , several cyclin dependent kinases ( cdks ) , coupled with cyclin d , cyclin e , and cdc25a , positively regulate the transition from g1 to s , and other cdks , coupled with cyclin b and cdc2 , positively regulate the transition from g2 to m. following dna damage , atm/atr/chk2 negatively regulates the transition from g2 to m and the transition from g1 to s via the p53 induction of p27 and p21 .,however , the use of niam mutants showed that its association with tip60 , not its induction of p53-k120 acetylation , was essential for maximal p53 dependent activation of the p21 promoter . ++++ tip60 is required for the p53 dependent induction of p21 and puma , and activation of the g1/s dna damage checkpoint [ xref_bibr , xref_bibr , xref_bibr ] .,to examine the mechanism affecting p21 protein levels , we analyzed if p53 mediated induction of p21 mrna was also altered specifically by fmn2 depletion .,indeed , following dna damage , p53 induces p21 , a cyclin dependent kinase inhibitor that mediates cell-cycle arrest at the g 1 and s phases of the cell cycle , allowing dna repair .,additionally , independently of its deubiquitinase activity the dub usp7 regulates sequence specific rna binding of the core domain of p53 thereby stimulating its transcriptional activity and expression of p21 [ xref_bibr ] .","pmc3356035,pmc4201705,pmc4346876,pmc3908846,pmc4381250,pmc3594747,pmc3872270,pmc4496387",8,10,5,1,85
4159,egfr,protein,,,,p00533,,,proliferation,biologicalprocess,,,go,go:0008283,,,positive,i,none,,,,,,"nan,nan,nan,nan,nan,nan","nan,nan,nan,nan,nan,nan","these genetic aberrations of egfr cause activation of pi3k and akt signalings , which promote glioma cell proliferation and tumorigenicity via p27 [ xref_bibr ] .,agonist binding to m3 receptor resulted in the activation of egfr and mapk transduction pathway , which then stimulated the proliferation in colon cancer cells 162 .,to further validate this hypothesis , we measured the relative mrna levels of genes involved in egfr mediated proliferation or invasion pathways by quantitative pcr .,as the first small inhibitor for egfr , gefitinib induce dramatic clinical responses and improve progression-free survival , through inhibition of egfr driven signals for tumor cells survival and proliferation [ xref_bibr ] .,although initial reports used misidentified cell lines to test the role of vegfr in ptc and atc ( xref_bibr ) , recent preclinical studies have shown that treatment with vandetanib ( zd6474 ) , a multi-kinase inhibitor of vegfr , egfr , and ret , inhibits proliferation of atc cells in vitro , likely via inhibition of the egfr receptor , and blocks tumor growth in an in vivo orthotopic atc model , primarily through anti-angiogenic mechanisms which are likely mediated by vegfr2 ( xref_bibr ) .,in premalignant opcs , however , ng2 and egfr segregates to both daughter cells , causing their abnormal proliferation .","pmc3461631,pmc4077134,pmc3473103,pmc3766712,pmc3378072,pmc3901929",6,10,5,1,65
11377,p53,protein,,,,p04637,,,mdm2,protein,,,uniprot,q00987,,,positive,i,none,,,,,,"nan,nan,nan,nan,nan","nan,nan,nan,nan,nan","thus , p53 activates these four mirnas to downregulate its negative regulator mdm2 leading to p53 accumulation in response to stress .,instead , mdm2 was found to allow for sustained e2f1 expression , at least in part , by thwarting inhibitory effects on this protein elicited by p53 via the tumor suppressor p21 .,our finding that genotoxic stress promotes interaction between rb and hdm2 parallels recent findings that a p53 activating compound promotes mdm2 mediated degradation of p21 , both ultimately leading to cell death ( xref_bibr ) .,p53 pathway is the master control system of cell cycle , genome stability , and cell apoptosis , which could be modulated by a negative feedback loop in which p53 could transcriptionally activate mdm2 ( murine double-minute 2 homology ) , which in turn could lead to increased proteolytic degradation of p53 , thus mdm2 functions as a negative regulator of p53 pathway xref_bibr .,p53 functions as a transcription factor inducing mdm2 , bax or igf-bp3 , and represses myc , fos or bcl2 .","pmc3794782,pmc3193861,pmc3012146,pmc4979029,pmc2376115",5,10,5,1,55
11418,p53,protein,,,,p04637,,,p21,protein,,,uniprot,p38936,,,positive,i,transcription,,,,,,"nan,nan,nan,nan,nan","nan,nan,nan,nan,nan","in turn , p53 triggers transcription of a potent cdk inhibitor p21 that is crucial for the g1 checkpoint .,suppression of p53 blocked the dexamethasone induced p21 expression and g ( 1 ) growth arrest .,importantly , while k120 acetylation is dispensable for p21 gene regulation , the formation of tip60-p53 complexes at the p21 promoter and nearby histone h4 acetylation is required for p53 mediated induction of p21 expression ( xref_fig ) [ xref_bibr ] .,in addition , eif3f stabilized p53 , which increased the expression of p21 and bax .,for example , after dna damage , p53 , a tumor suppressor gene , activates transcription of p21 , which inhibits cyclin e phosphorylation leading to hypophosphorylation of retinoblastoma protein ( prb ) [ xref_bibr ] .","pmc4598780,pmc3823477,pmc4381250,pmc4951308,pmc2841246",5,10,5,1,55
11257,p53,protein,,,,p04637,,,autophagy,biologicalprocess,,,go,go:0006914,,,positive,i,none,,,,,,"nan,nan,nan,nan,nan","nan,nan,nan,nan,nan","for example , the key tumor suppressor protein p53 positively regulates autophagy in cancer cells ( levine and abrams xref_bibr ; zeng et al. .,however , it is important to recognize that the role of p53 in autophagy regulation is not straightforward , because it can also promote autophagy in an mtor independent manner via the transcriptional upregulation of its downstream target damage regulated autophagy modulator ( dram ) [ xref_bibr ] .,through increased expression of autophagy genes such as dram , p53 increases autophagy where mutant p53 fails to increased autophagy gene expression and contributes to cell survival .,more recently , p53 was demonstrated to modulate the expression of genes able to modify glucose as well as lipid metabolism , induction of autophagy , immune responses and cell motility [ xref_bibr - xref_bibr ] .,as p53 modulates autophagy through different mechanisms [ xref_bibr , xref_bibr - xref_bibr ] , this could be another way by which dapk could regulate autophagy in response to certain er stress stimuli .","pmc4713713,pmc2999728,pmc3399452,pmc4225545,pmc2817393",5,10,5,1,55
12910,puma,protein,,,,q96pg8,,,apoptosis,biologicalprocess,,,go,go:0006915,,,positive,i,none,,,,,,"nan,nan,nan,nan,nan","nan,nan,nan,nan,nan","puma co-operates with other bh3-only activators and abt-737 to induce apoptosis [ xref_bibr ] while loss of puma reduces the apoptotic activity of abt-737 [ xref_bibr , xref_bibr ] .,puma , a p53 up-regulated modulator of apoptosis is a potent proapoptotic molecule that is rapidly induced in cells following dna damage and is required for p53 induced apoptosis .,noxa and puma were similarly upregulated by transcription during er stress and were shown to mediate apoptosis when mcl-1 was knocked down [ xref_bibr ] .,upon its induction , puma potently induces apoptosis in cancer cells by antagonizing antiapoptotic bcl-2 family members , such as bcl-2 and bcl-x l , and activating the proapoptotic members bax and bak , which results in mitochondrial dysfunction and caspase activation cascade ( xref_bibr - xref_bibr ) . ++++ our data demonstrate that puma mediated apoptosis is critical for the anticancer activities of sorafenib in colon cancer cells , implying that puma induction can be used as a marker for therapeutic response to sorafenib , and possibly for other targeted drugs as well .,puma activates apoptosis , whilst suppressing the function of anti-apoptotic genes . ++++ puma induced apoptosis via p53 independent mechanisms is initiated by ischemia and reperfusion , kinase inhibitors , glucocorticoids and cytokine withdrawal ( xref_fig a ) ( reviewed in [ xref_bibr , xref_bibr , xref_bibr , xref_bibr , xref_bibr ] ) .","pmc3477050,pmc3756417,pmc3868604,pmc3342476,pmc4661875",5,10,5,1,55
9526,mdm2,protein,,,,q00987,,,p53,protein,,,uniprot,p04637,,,negative,i,ubiquitination,,,,,,"nan,nan,nan,nan,nan","nan,nan,nan,nan,nan","the ubiquitination of p53 is mainly mediated by mdm2 , an e3 ubiquitin ligase .,while mdm2 stimulates p53 ubiquitination and degradation , p53 activates mdm2 gene expression .,p53 ubiquitination is mainly mediated by e3 ubiquitin ligase mdm2 .,mdm2 activation by akt enhances p53 ubiquitination and degradation , thus promoting cell survival .,p53 is a gatekeeper of cell growth and division , and the important function of otub1 is the direct suppression of mdm2 mediated p53 ubiquitination to stabilize and activate p53 [ xref_bibr ] .","pmc3634483,pmc3794782,pmc4584070,pmc3587337,pmc4351937",5,10,1,1,51
