index,Regulator Name,Regulator Type,Regulator Subtype,Regulator HGNC Symbol,Regulator Database,Regulator ID,Regulator Compartment,Regulator Compartment ID,Regulated Name,Regulated Type,Regulated Subtype,Regulated HGNC Symbol,Regulated Database,Regulated ID,Regulated Compartment,Regulated Compartment ID,Sign,Connection Type,Mechanism,Site,Cell Line,Cell Type,Tissue Type,Organism,Score,Source,Statements,Paper IDs,Evidence Score,Match Score,Kind Score,Epistemic Value,Total Score
11438,p53,protein,,,,p04637,,,proliferation,biologicalprocess,,,go,go:0008283,,,positive,i,none,,,,,,"nan,nan,nan,nan","nan,nan,nan,nan","in the absence of p53 , while pax3 no longer inhibits apoptosis , it increases proliferation in vitro and maintains its pro tumorigenic role in vivo .,mdm-2 is a key negative regulator of p53 , which promotes the survival and proliferation of malignant cells via p53 inhibition .,by contrast , the over-expressed genes in the networks may trigger tumorigenesis of hnscc by altering gene expression associated with inflammatory , proliferation , apoptosis and other processes ( xref_fig , xref_supplementary ) , such as il6 , igfbp3 , elf3 , and ptges in the both subgroups of tumor cells . ++++ among them , p53 and nf-kappab play critical roles to modulate cellular proliferation , apoptosis , proinflammation , and therapeutic resistance xref_bibr , xref_bibr , xref_bibr .,p53 in human melanoma fails to regulate target genes associated with apoptosis and the cell cycle and may contribute to proliferation .","pmc4210596,pmc4780725,pmc3777940,pmc3120805",4,10,19,1,59
11153,p21,protein,,,,p38936,,,p53,protein,,,uniprot,p04637,,,positive,i,none,,,,,,"nan,nan,nan","nan,nan,nan","an additional inactivation of the p53 tumor suppressor gene or its target p21 is necessary to ensure the emergence of high-invasive colorectal tumors [ xref_bibr ] .,hmgb1 depletion was associated with p21 upregulation in a p53 independent manner .,p21 mediates the p53 dependent cell cycle g1 phase arrest and might play an important role in sarcomagenesis .","pmc4201705,pmc4171638,pmc3916197",3,10,19,1,49
2071,caspase-8,protein,,,,q14790,,,caspase-3,protein,,,uniprot,p42574,,,positive,i,none,,,,,,"nan,nan,nan","nan,nan,nan","the most common and important effector caspase is caspase-3 , which exists as a zymogen and activated by initiator caspases , mainly caspase-8 and caspase-9 .,as disc formation is strongly reduced in these cells , lower levels of active caspase-8 are generated that are not sufficient to directly activate caspase-3 .,finally , caspase-8 activates caspase-3 in order to trigger the final steps of apoptosis ( xref_fig ) .","pmc4549042,pmc3828874,pmc2841246",3,10,18,1,48
9558,mdm2,protein,,,,q00987,other,d061745,vegfa,protein,,,uniprot,p15692,other,d061745,positive,i,none,,,,,,"nan,nan","nan,nan","xref_bibr , xref_bibr interestingly , the mdm2 protein , which is translocated from the nucleus to the cytoplasm under hypoxic conditions , increases vegfa mrna stabilization .,60,61 interestingly , the mdm2 protein , which is translocated from the nucleus to the cytoplasm under hypoxic conditions , also participates in vegfa mrna stabilization and allows an increase in vegfa mrna .","pmc4905169,pmc4905355",2,10,19,1,39
15235,stat3,protein,,,,p40763,,,il-6,protein,,,uniprot,p05231,,,positive,i,none,,,,,,"nan,nan","nan,nan","therefore wp1066 inhibition of stat3 activity and tumour progression was due in part to reduced polymophonuclear infiltration and reduced stat3 dependent transcription of pro inflammatory il-6 , il-11 , il-1alpha , il-1beta and cox2 genes .,ng et al. ( xref_bibr ) report elevations in these proteins in stat3 overexpressing livers , which provides evidence that stat3 mediates the major anti-apoptotic effects of il-6 .","pmc4013079,pmc4601860",2,10,19,1,39
12764,pten,protein,,,,p60484,,,mtor,protein,,,uniprot,p42345,,,positive,i,none,,,,,,"nan,nan","nan,nan","deregulation of those proteins in many tumours has resulted in activation of pi3k and mtor pathways and in turn to s6k activation .,a major pten function is to maintain a low threshold of cellular pip-3 , antagonize pi3k signaling , and activate pkb and akt and mtor pathways ( xref_fig ) .","pmc3335255,pmc3682694",2,10,19,1,39
6446,hif1alpha,protein,,,,q16665,,,vegf,protein,,,uniprot,p15692,,,positive,i,transcription,,,,,,"nan,nan","nan,nan","furthermore , by silencing mitf or hif1alpha expression , we show that camp induced hif1alpha expression is mediated by mitf , and that the mitf and hif1alpha pathway mediates the camp induction of vegf expression ( a model illustrating these conclusions is shown in xref_fig ) .,hif1alpha stabilization under low oxygen conditions and/or via ros production promotes survivin and vegf expression and favors angiogenesis .","pmc2171372,pmc4653922",2,10,19,1,39
6587,hmgb1,protein,,,,p09429,other,go:0005829,bcl-2,protein,,,uniprot,p10415,other,go:0005829,positive,i,phosphorylation,,,,,,"nan,nan","nan,nan","it is possible that cytoplasmic hmgb1 interacts with the cytosolic domain of receptor for advanced glycation endproducts and mediates concomitant erk1/2 and bcl-2 phosphorylation .,xref_bibr , xref_bibr therefore , the dissociation of bcl-2 and bcl-xl-beclin-1 has been reported to be regulated by c-jun-n-terminal kinase mediated phosphorylation of bcl-2 xref_bibr - xref_bibr death associated protein kinase ( dapk )-mediated phosphorylation of beclin-1 , xref_bibr - xref_bibr translocation of the nuclear protein high-mobility group box 1 ( hmgb1 ) to the cytosol , xref_bibr , xref_bibr or competition with other bh3-only proteins for bcl-2 binding .","pmc2935581,pmc4147769",2,10,19,1,39
7069,ifngamma,protein,,,,p01579,,,stat1,protein,,,uniprot,p42224,,,negative,i,none,,,,,,"nan,nan","nan,nan","however , stat1 is the major effector of ifngamma , which is antiproliferative or tumoricidal in several cancer cell types [ xref_bibr , xref_bibr ] ; although stat3-decoy odn has been found to induce tumor cell death in several different cell systems [ xref_bibr , xref_bibr - xref_bibr ] , it can also inhibit stat1 [ xref_bibr , xref_bibr ] .,the ability of hpdodn b to discriminate between stat1 and stat3 was assessed by : i ) its ability to kill cells without interfering with ifngamma induced cell death ; ii ) its ability to inhibit stat3 targets , including cyclin d1 , iii ) the absence of inhibition of ifngamma induced stat1 phosphorylation and irf1 expression , iv ) its lack of interaction with stat1 in pull-down assays and iv ) its inability to inhibit ifngamma induced stat1 nuclear location .","pmc3082224,pmc3325846",2,10,19,1,39
11129,p16ink4a,protein,,,,p42771,,,p53,protein,,,uniprot,p04637,,,positive,i,none,,,,,,"nan,nan","nan,nan","two tumor suppressors are encoded within this cdkna2 locus : p14arf , which activates p53 through inhibition of its major negative regulator mdm2 ; and p16ink4a , a cyclin dependent kinase inhibitor that activates retinoblastoma ( rb ) through negative regulation of cdk4 .,two tumor suppressors are encoded within this locus : p14arf , which activates p53 through inhibition of its major negative regulator mdm2 ; and p16ink4a , a cyclin dependent kinase inhibitor that activates retinoblastoma ( rb ) through negative regulation of cdk4 .","pmc4039220,pmc4039128",2,10,19,1,39
