index,Regulator Name,Regulator Type,Regulator Subtype,Regulator HGNC Symbol,Regulator Database,Regulator ID,Regulator Compartment,Regulator Compartment ID,Regulated Name,Regulated Type,Regulated Subtype,Regulated HGNC Symbol,Regulated Database,Regulated ID,Regulated Compartment,Regulated Compartment ID,Sign,Connection Type,Mechanism,Site,Cell Line,Cell Type,Tissue Type,Organism,Score,Source,Statements,Paper IDs,Evidence Score,Match Score,Kind Score,Epistemic Value,Total Score
159,cdk4,protein,,,,p11802.t,,,rb,protein,,,uniprot,p06400,,,positive,i,phosphorylation,,,,,,"nan,nan","nan,nan","ras and cdk4 co-expression promotes rb phosphorylation , ultimately resulting in human invasive neoplasm .,29 therefore , we suggest that galectin-3 increases both the expression and activation of the cyclin d1 and cdk4 complex and consequently leads to hyperphosphorylation of rb .","pmc3742489,pmc4211374",2,100,40,1,240
610,p90 rsk-1,protein,,,,q15418,,,tsc2,protein,,,uniprot,p49815,,,positive,d,phosphorylation,,,,,,"nan,nan","nan,nan","both p90 rsk-1 and erk 1/2 phosphorylate tsc2 , thus suppressing its inhibitory function [ xref_bibr - xref_bibr , xref_bibr ] .,tsc2 is phosphorylated by both erk and p90 rsk-1 . ++++ when tsc2 is phosphorylated by either erk or p90 rsk-1 , its inhibitory function is suppressed [ xref_bibr - xref_bibr ] .","pmc3660063,pmc4102778",2,100,40,1,240
879,wip1,protein,,,,o15297,,,mdm2,protein,,,uniprot,q00987,,,negative,d,dephosphorylation,,,,,,"nan,nan","nan,nan","indeed , wip1 , but not pp2a , dephosphorylated mdm2 at s395 , which is an atm phosphorylation site [ xref_bibr , xref_bibr ] .,the dephosphorylation of serine 395 by the wip1 phosphatase and the binding of mdm2 to mdmx or enigma and pdlim7 had been reported to stabilize mdm2 [ xref_bibr - xref_bibr ] .","pmc2954851,pmc4480747",2,100,40,1,240
56,atr,protein,,,,p20848,,,chk1,protein,,,uniprot,o14757,,,positive,i,none,,,,,,"nan,nan","nan,nan","the transducer proteins include the kinases atm and atm- and rad3 related ( atr ) ; atm and atr phosphorylates and thereby activates the checkpoint kinases chk1 and chk2 , which control hur cytoplasmic abundance and rna binding , respectively .,after dna damage or replication stress claspin is phosphorylated by chk1 , an event that is required for a claspin-chk1 interaction and subsequent full activation of chk1 by atr , in another example of the network nature of the ddr [ xref_bibr - xref_bibr ] .","pmc2925474,pmc2954851",2,100,40,1,240
247,cytochrome c,protein,,,,p99999,,,caspase-3,protein,,,uniprot,p42574,,,positive,i,none,,,,,,nan,nan,"using an antibody that recognizes cleaved and activated caspase-3 , we further analyzed caspase-3 processing induced by cytochrome c in the cell-free assay .",pmc2185587,1,100,40,1,140
691,rheb,protein,,,,q15382,,,s6k1,protein,,,uniprot,p23443,,,positive,i,none,,,,,,nan,nan,"co-expression of a human tsc2 harboring a disease associated point mutation in the gap domain , failed to stimulate rheb gtpase activity or block rheb activation of s6k1 [ xref_bibr , xref_bibr ] .",pmc2652403,1,100,40,1,140
249,dbc1,protein,,,,o60477,,,p53,protein,,,uniprot,p04637,,,negative,i,acetylation,,,,,,nan,nan,"curiously , when we analyzed the role of dbc1 in chk2 induced apoptosis , we found that dbc1 depletion does not affect cell death , as previously reported , although it reduces p53 acetylation and puma induction , but not parp1 cleavage . ++++ this route seems to be specifically based on the increase of p53 acetylation by dbc1 dependent sirt1 inhibition .",pmc4245943,1,100,40,1,140
250,dbc1,protein,,,,o60477,,,p53,protein,,,uniprot,p04637,,,positive,i,acetylation,,cellosaurus:cvcl_0042,,,,nan,nan,"as dbc1 induced p53 acetylation promotes p53 dependent transcriptional activity and apoptosis , we examined the effect of chk2 depletion on these events . ++++ indeed , although reggamma was found not to be implicated in the regulation of sirt1 activity towards p53 , in our cellular system we demonstrated that reggamma and its phosphorylation on ser247 by chk2 are necessary for the dbc1 dependent increase of p53 acetylation , further corroborating the hypothesis that this proteasome activator subunit could be the missing link between dbc1 and chk2 toward sirt1 activity inhibition . ++++ the results showed that the catalytic activity of chk2 is indispensable for dbc1 mediated induction of p53 acetylation and apoptosis . ++++ dbc1 mediated repression of sirt1 results in increased levels of p53 acetylation and upregulation of p53 mediated apoptosis after dna damage .",pmc4245943,1,100,40,1,140
283,elk-1,protein,,,,p19419,,,erk1,protein,,,uniprot,p27361,,,positive,i,none,,,,,,nan,nan,"activated erk1 and erk2 can phosphorylate a variety of nuclear substrates such as the transcription factors elk-1 , ets1 and sap1a , and also cytosolic targets such as phospholipase a2 , and s6 kinase p90 rsk among others ( widmann et al , 1999 ) .",pmc2409626,1,100,40,1,140
690,rheb,protein,,,,q15382,,,mtor,protein,,,uniprot,p42345,,,negative,i,none,,cellosaurus:cvcl_m034,,,,nan,nan,"also the phosphorylation of these sites is rather insensitive to rapamycin which could suggest that these phosphorylations are possibly mtor independent however since these phosphorylations are inhibited by amino acids starvation of cells and by mtor kinase inhibitors like wortmannin , activated by rheb ( an mtor activator ) , and are decreased in mtor knockdown cells which suggests that the phosphorylation of these n-terminal residues is mediated by mtor but through a raptor independent mechanism [ xref_bibr ] .",pmc4258317,1,100,40,1,140
