index,Regulator Name,Regulator Type,Regulator Subtype,Regulator HGNC Symbol,Regulator Database,Regulator ID,Regulator Compartment,Regulator Compartment ID,Regulated Name,Regulated Type,Regulated Subtype,Regulated HGNC Symbol,Regulated Database,Regulated ID,Regulated Compartment,Regulated Compartment ID,Sign,Connection Type,Mechanism,Site,Cell Line,Cell Type,Tissue Type,Organism,Score,Source,Statements,Paper IDs,Evidence Score,Match Score,Kind Score,Epistemic Value,Total Score
12,fish,protein,,,,q5tcz1,,,pten,protein,,,uniprot,p60484,,,negative,i,,,,,,,"nan,nan","nan,nan","nan,nan","pmc4967011,pmc5630353",2,100,40,1,240
0,apc3,protein,,,,p30260,,,pten,protein,,,uniprot,p60484,,,positive,i,,,,,,,nan,nan,nan,pmc4980451,1,100,40,1,140
18,kcl,simplechemical,,,,4873,,,pten,protein,,,uniprot,p60484,,,positive,i,,,,,,,nan,nan,nan,pmc4740767,1,100,40,1,140
25,nedd4,protein,,,,p46934,,,pten,protein,,,uniprot,p60484,,,positive,i,,,,,,,nan,nan,nan,pmc5491373,1,100,40,1,140
26,nep,protein,,,,p08473,,,pten,protein,,,uniprot,p60484,,,positive,i,,,,,,,nan,nan,nan,pmc3978343,1,100,40,1,140
27,nucleolin,protein,,,,p19338,,,pten,protein,,,uniprot,p60484,,,positive,i,,,,,,,nan,nan,nan,pmc5376652,1,100,40,1,140
28,p53,protein,,,,p04637,,,pten,protein,,,uniprot,p60484,,,positive,i,,,,,,,nan,nan,nan,pmc4329810,1,100,40,1,140
30,prl,protein,,,,p01236,,,pten,protein,,,uniprot,p60484,,,negative,i,,,,,,,nan,nan,nan,pmc4092105,1,100,40,1,140
31,proliferation,bioprocess,,,,go:0008283,,,pten,protein,,,uniprot,p60484,,,negative,i,,,,,,,nan,nan,nan,pmc4329810,1,100,40,1,140
1,atxn3,protein,,,,p54252,,,pten,protein,,,uniprot,p60484,,,negative,i,,,,,,,nan,nan,nan,pmc4351423,1,100,40,1,140
67,ptk6,protein,,,,q13882,,,pten,protein,,,uniprot,p60484,,,positive,i,,,,,,,nan,nan,nan,pmc5688148,1,100,40,1,140
69,ptpl1,protein,,,,q12923,,,pten,protein,,,uniprot,p60484,,,negative,i,,,,,,,nan,nan,nan,pmc5974425,1,100,40,1,140
72,rhoa,protein,,,,p61586,,,pten,protein,,,uniprot,p60484,,,positive,i,,,,,,,nan,nan,nan,pmc5491373,1,100,40,1,140
74,slug,protein,,,,o43623,,,pten,protein,,,uniprot,p60484,,,negative,i,,,,,,,nan,nan,nan,pmc6046409,1,100,40,1,140
76,smad4,protein,,,,q13485,,,pten,protein,,,uniprot,p60484,,,negative,i,,,,,,,nan,nan,nan,pmc5784229,1,100,40,1,140
77,spry2,protein,,,,o43597,,,pten,protein,,,uniprot,p60484,,,positive,i,,,,,,,nan,nan,nan,pmc4515857,1,100,40,1,140
79,sts,protein,,,,p08842,,,pten,protein,,,uniprot,p60484,,,positive,i,,,,,,,nan,nan,nan,pmc4396696,1,100,40,1,140
24,myc,protein,,,,p01106,,,pten,protein,,,uniprot,p60484,,,negative,i,,,,,,,nan,nan,nan,pmc4329810,1,100,40,1,140
80,ubiquitin,protein,,,,p0cg47,,,pten,protein,,,uniprot,p60484,,,positive,i,,,,,,,nan,nan,nan,pmc5491373,1,100,40,1,140
2,atxn3,protein,,,,p54252,,,pten,protein,,,uniprot,p60484,,,positive,i,,,,,,,nan,nan,nan,pmc4351423,1,100,40,1,140
3,bcr,protein,,,,p11274,,,pten,protein,,,uniprot,p60484,,,positive,i,,,,,,,nan,nan,nan,pmc4329810,1,100,40,1,140
5,bmi1,protein,,,,p35226,,,pten,protein,,,uniprot,p60484,,,negative,i,,,,,,,nan,nan,nan,pmc2777864,1,100,40,1,140
6,bmi1,protein,,,,p35226,,,pten,protein,,,uniprot,p60484,,,positive,i,,,,,,,nan,nan,nan,pmc2777864,1,100,40,1,140
7,catalase,protein,,,,p04040,,,pten,protein,,,uniprot,p60484,,,negative,i,,,,,,,nan,nan,nan,pmc3606387,1,100,40,1,140
8,cell proliferation,bioprocess,,,,go:0008283,,,pten,protein,,,uniprot,p60484,,,negative,i,,,,,,,nan,nan,nan,pmc5688649,1,100,40,1,140
10,eg5,protein,,,,p52732,,,pten,protein,,,uniprot,p60484,,,negative,i,,,,,,,nan,nan,nan,pmc4980451,1,100,40,1,140
42,pten,protein,,,,p60484,,,cell proliferation,bioprocess,,,go,go:0008283,,,negative,i,,,,,,,"nan,nan,nan,nan,nan,nan,nan","nan,nan,nan,nan,nan,nan,nan","nan,nan,nan,nan,nan,nan,nan","pmc3606387,pmc4092105,pmc4396696,pmc4329810,pmc5070632,pmc5376652,pmc5784229",7,1,40,1,47
61,pten,protein,,,,p60484,,,proliferation,bioprocess,,,go,go:0008283,,,negative,i,,,,,,,"nan,nan,nan,nan,nan,nan","nan,nan,nan,nan,nan,nan","nan,nan,nan,nan,nan,nan","pmc3606387,pmc4092105,pmc4329810,pmc5491373,pmc5376652,pmc5688649",6,1,40,1,46
37,pten,protein,,,,p60484,,,apoptosis,bioprocess,,,go,go:0006915,,,positive,i,,,,,,,"nan,nan,nan,nan","nan,nan,nan,nan","nan,nan,nan,nan","pmc3606387,pmc4396696,pmc5070632,pmc6313102",4,1,40,1,44
40,pten,protein,,,,p60484,,,cell migration,bioprocess,,,go,go:0016477,,,negative,i,,,,,,,"nan,nan,nan","nan,nan,nan","nan,nan,nan","pmc4329810,pmc5491373,pmc6025732",3,1,40,1,43
43,pten,protein,,,,p60484,,,cell proliferation,bioprocess,,,go,go:0008283,,,positive,i,,,,,,,"nan,nan","nan,nan","nan,nan","pmc5491373,pmc4515857",2,1,40,1,42
36,pten,protein,,,,p60484,,,apoptosis,bioprocess,,,go,go:0006915,,,negative,i,,,,,,,"nan,nan","nan,nan","nan,nan","pmc3606387,pmc5070632",2,1,40,1,42
34,pten,protein,,,,p60484,,,angiogenesis,bioprocess,,,go,go:0001525,,,negative,i,,,,,,,"nan,nan","nan,nan","nan,nan","pmc4743836,pmc5070632",2,1,40,1,42
52,pten,protein,,,,p60484,,,integrin,protein,,,uniprot,p08648,,,negative,i,,,,,,,nan,nan,nan,pmc5070632,1,1,40,1,41
62,pten,protein,,,,p60484,,,proliferation,bioprocess,,,go,go:0008283,,,positive,i,,,,,,,nan,nan,nan,pmc4854392,1,1,40,1,41
63,pten,protein,,,,p60484,,,ptk6,protein,,,uniprot,q13882,,,negative,i,,,,,,,nan,nan,nan,pmc5688148,1,1,40,1,41
64,pten,protein,,,,p60484,,,slc2a3,protein,,,uniprot,p11169,,,positive,i,,,,,,,nan,nan,nan,pmc4740767,1,1,40,1,41
