Regulator Name,Regulator Type,Regulator Subtype,Regulator HGNC Symbol,Regulator Database,Regulator ID,Regulator Compartment,Regulator Compartment ID,Regulated Name,Regulated Type,Regulated Subtype,Regulated HGNC Symbol,Regulated Database,Regulated ID,Regulated Compartment,Regulated Compartment ID,Sign,Connection Type,Mechanism,Site,Cell Line,Cell Type,Tissue Type,Organism,Score,Source,Statements,Paper IDs,Evidence Score,Match Score,Kind Score,Epistemic Value,Total Score
fish,protein,,,,q5tcz1,,,pten,protein,,,uniprot,p60484,,,negative,i,,,,,,,"nan,nan","nan,nan","nan,nan","pmc4967011,pmc5630353",2,100,40,1,240
apc3,protein,,,,p30260,,,pten,protein,,,uniprot,p60484,,,positive,i,,,,,,,nan,nan,nan,pmc4980451,1,100,40,1,140
kcl,simplechemical,,,,4873,,,pten,protein,,,uniprot,p60484,,,positive,i,,,,,,,nan,nan,nan,pmc4740767,1,100,40,1,140
nedd4,protein,,,,p46934,,,pten,protein,,,uniprot,p60484,,,positive,i,,,,,,,nan,nan,nan,pmc5491373,1,100,40,1,140
nep,protein,,,,p08473,,,pten,protein,,,uniprot,p60484,,,positive,i,,,,,,,nan,nan,nan,pmc3978343,1,100,40,1,140
nucleolin,protein,,,,p19338,,,pten,protein,,,uniprot,p60484,,,positive,i,,,,,,,nan,nan,nan,pmc5376652,1,100,40,1,140
p53,protein,,,,p04637,,,pten,protein,,,uniprot,p60484,,,positive,i,,,,,,,nan,nan,nan,pmc4329810,1,100,40,1,140
prl,protein,,,,p01236,,,pten,protein,,,uniprot,p60484,,,negative,i,,,,,,,nan,nan,nan,pmc4092105,1,100,40,1,140
proliferation,bioprocess,,,,go:0008283,,,pten,protein,,,uniprot,p60484,,,negative,i,,,,,,,nan,nan,nan,pmc4329810,1,100,40,1,140
atxn3,protein,,,,p54252,,,pten,protein,,,uniprot,p60484,,,negative,i,,,,,,,nan,nan,nan,pmc4351423,1,100,40,1,140
ptk6,protein,,,,q13882,,,pten,protein,,,uniprot,p60484,,,positive,i,,,,,,,nan,nan,nan,pmc5688148,1,100,40,1,140
ptpl1,protein,,,,q12923,,,pten,protein,,,uniprot,p60484,,,negative,i,,,,,,,nan,nan,nan,pmc5974425,1,100,40,1,140
rhoa,protein,,,,p61586,,,pten,protein,,,uniprot,p60484,,,positive,i,,,,,,,nan,nan,nan,pmc5491373,1,100,40,1,140
slug,protein,,,,o43623,,,pten,protein,,,uniprot,p60484,,,negative,i,,,,,,,nan,nan,nan,pmc6046409,1,100,40,1,140
smad4,protein,,,,q13485,,,pten,protein,,,uniprot,p60484,,,negative,i,,,,,,,nan,nan,nan,pmc5784229,1,100,40,1,140
spry2,protein,,,,o43597,,,pten,protein,,,uniprot,p60484,,,positive,i,,,,,,,nan,nan,nan,pmc4515857,1,100,40,1,140
sts,protein,,,,p08842,,,pten,protein,,,uniprot,p60484,,,positive,i,,,,,,,nan,nan,nan,pmc4396696,1,100,40,1,140
myc,protein,,,,p01106,,,pten,protein,,,uniprot,p60484,,,negative,i,,,,,,,nan,nan,nan,pmc4329810,1,100,40,1,140
ubiquitin,protein,,,,p0cg47,,,pten,protein,,,uniprot,p60484,,,positive,i,,,,,,,nan,nan,nan,pmc5491373,1,100,40,1,140
atxn3,protein,,,,p54252,,,pten,protein,,,uniprot,p60484,,,positive,i,,,,,,,nan,nan,nan,pmc4351423,1,100,40,1,140
bcr,protein,,,,p11274,,,pten,protein,,,uniprot,p60484,,,positive,i,,,,,,,nan,nan,nan,pmc4329810,1,100,40,1,140
bmi1,protein,,,,p35226,,,pten,protein,,,uniprot,p60484,,,negative,i,,,,,,,nan,nan,nan,pmc2777864,1,100,40,1,140
bmi1,protein,,,,p35226,,,pten,protein,,,uniprot,p60484,,,positive,i,,,,,,,nan,nan,nan,pmc2777864,1,100,40,1,140
catalase,protein,,,,p04040,,,pten,protein,,,uniprot,p60484,,,negative,i,,,,,,,nan,nan,nan,pmc3606387,1,100,40,1,140
cell proliferation,bioprocess,,,,go:0008283,,,pten,protein,,,uniprot,p60484,,,negative,i,,,,,,,nan,nan,nan,pmc5688649,1,100,40,1,140
eg5,protein,,,,p52732,,,pten,protein,,,uniprot,p60484,,,negative,i,,,,,,,nan,nan,nan,pmc4980451,1,100,40,1,140
pten,protein,,,,p60484,,,cell proliferation,bioprocess,,,go,go:0008283,,,negative,i,,,,,,,"nan,nan,nan,nan,nan,nan,nan","nan,nan,nan,nan,nan,nan,nan","nan,nan,nan,nan,nan,nan,nan","pmc3606387,pmc4092105,pmc4396696,pmc4329810,pmc5070632,pmc5376652,pmc5784229",7,1,40,1,47
