Evidence Score,Match Score,Kind Score,Epistemic Value,Total Score
2,100,40,1,240
1,100,40,1,140
1,100,40,1,140
1,100,40,1,140
1,100,40,1,140
1,100,40,1,140
1,100,40,1,140
1,100,40,1,140
1,100,40,1,140
1,100,40,1,140
1,100,40,1,140
1,100,40,1,140
1,100,40,1,140
1,100,40,1,140
1,100,40,1,140
1,100,40,1,140
1,100,40,1,140
1,100,40,1,140
1,100,40,1,140
1,100,40,1,140
1,100,40,1,140
1,100,40,1,140
1,100,40,1,140
1,100,40,1,140
1,100,40,1,140
1,100,40,1,140
7,1,40,1,47
6,1,40,1,46
4,1,40,1,44
3,1,40,1,43
2,1,40,1,42
2,1,40,1,42
2,1,40,1,42
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
2,10,19,1,39
1,10,19,1,29
1,10,19,1,29
1,10,5,1,15
