index,Regulator Name,Regulator Type,Regulator Subtype,Regulator HGNC Symbol,Regulator Database,Regulator ID,Regulator Compartment,Regulator Compartment ID,Regulated Name,Regulated Type,Regulated Subtype,Regulated HGNC Symbol,Regulated Database,Regulated ID,Regulated Compartment,Regulated Compartment ID,Sign,Connection Type,Mechanism,Site,Cell Line,Cell Type,Tissue Type,Organism,Unnamed: 0,Score,Source,Statements,Paper IDs,Evidence Score,Match Score,Kind Score,Epistemic Value,Total Score
7,akt,protein,,akt1,uniprot,p31749,cytoplasm,go:0005737,erk,protein,,mapk1,uniprot,p28482,cytoplasm,go:0005737,negative,i,phosphorylation,,zr-75-1r,breast cancer,,,['722'],nan,nan,"to further assess the possibility that acquired akti resistance is driven by a switch from akt signaling to ras pathway signaling we employed reverse phase protein microarrays (rppa) to compare phosphorylation status of akt and erk as surrogate markers of the activity of these pathways. consistent with a switch from dependence on akt signaling to dependence on signaling through ras/erk, the zr-75-1r line showed decreased phosphorylation of akt and increased phosphorylation of erk (figure 3c and 3d). taken together, these data support the hypothesis that elevated ras pathway signaling as measured by our signature is a determinant of resistance to akt inhibition in breast cancer cell lines.",pmc2911390,1,10,19,1,29
10,akt,protein,,akt1,uniprot,p31749,cytoplasm,go:0005737,ras,protein,,hras,uniprot,p01112,plasma membrane,go:0005886,positive,i,upregulated signature,,,,,,['719'],nan,nan,acquired resistance to akt inhibition is associated with upregulated ras signature,pmc2911390,1,10,19,1,29
1250,src,protein,non-receptor tyrosine kinase,src,uniprot,p12931,cytoplasm,go:0005737,rps6,protein,,rps6,uniprot,p62753,cytoplasm,go:0005737,negative,i,phosphorylation,,,thyroid,,human,['861'],nan,nan,"advanced stages of papillary and anaplastic thyroid cancer continue to be plagued by a dismal prognosis, which is a result of limited effective therapies for these cancers. due to the high proportion of thyroid cancers harboring mutations in the mapk pathway, the mapk pathway has become a focal point for therapeutic intervention in thyroid cancer. unfortunately, unlike melanoma, a similar responsiveness to mapk pathway inhibition has yet to be observed in thyroid cancer patients. to address this issue, we have focused on targeting the non-receptor tyrosine kinase, src, and we and others have demonstrated that targeting src results in inhibition of growth, invasion, and migration both in vitro and in vivo, which can be enhanced through the combined inhibition of src and the mapk pathway. therefore, we examined the efficacy of the combination therapy across a panel of thyroid cancer cell lines representing common oncogenic drivers (braf, ras, and pik3ca). interestingly, combined inhibition of src and the mapk pathway overcomes intrinsic dasatinib resistance in cell lines where both the mapk and pi3k pathways are inhibited, which we show is likely due to the regulation of the pi3k pathway by src in these responsive cells. interestingly, we have mapped downstream phosphorylation of rps6 as a key biomarker of response, and cells that maintain rps6 phosphorylation likely represent drug tolerant persisters. altogether, the combined inhibition of src and the mapk pathway holds great promise for improving the overall survival of advanced thyroid cancer patients with braf and ras mutations, and activation of the pi3k pathway and rps6 phosphorylation represent important biomarkers of response for patients treated with this therapy.",pmc5833015,1,10,19,1,29
1242,src,protein,,,,,,,rps6,protein,,,,,,,positive,i,regulation,,,thyroid cancer,,human,['865'],nan,nan,"multiple studies have now demonstrated enhanced efficacy of targeting the mapk pathway in combination with either src or pi3k pathway inhibitors in thyroid cancer10–12,18–21, and importantly, our data suggests that src can also regulate the pi3k pathway in thyroid cancer. therefore, the identification of downstream biomarkers of inhibitor response will provide important indications for the effectiveness of these combination therapies. herein, we demonstrate that cells sensitive to the combined inhibition of both src and the mapk pathway exhibit an enhanced reduction in rps6 phosphorylation, whereas cell lines resistant to the combination therapy maintain rps6 phosphorylation to a greater extent. surprisingly, even cell lines that exhibit increased sensitivity to the combination therapy still maintain a small subset of cells that maintain rps6 phosphorylation suggesting that these cells may give rise to drug tolerant persisters. taken together, these studies provide additional rationale for the further identification of the signaling mechanisms that mediate thyroid cancer growth and survival, which will ultimately lead to more effective elimination of drug tolerant persister cells, and an enhanced overall survival for patients with advanced stages of thyroid cancer.",pmc5833015,1,10,19,1,29
1072,ras,protein,,,uniprot,p01116,cytoplasm,go:0005737,erk,protein,,,uniprot,p27361,cytoplasm,go:0005737,positive,i,increased activation,,,triple negative breast cancer,breast,human,['239'],nan,nan,the implication from ras/raf/erk signaling pathway increased activation in epirubicin treated triple negative breast cancer,pmc5746140,1,10,19,1,29
1058,ras,protein,,,,,,,mek,protein,,,,,,,positive,i,correlated,,"lung, breast, colon",,,human,['715'],nan,nan,"we then identified a new ras pathway signature by assembling the genes from the up arms of these three signatures into a ""superset"" of 812 genes. by assessing the correlation of genes within this superset in publicly available lung, breast, and colon gene expression datasets, we identified a coherent subset of genes that were significantly correlated with each other in all datasets (see methods; additional file 2, figure s2). the genes that belonged to this subset across all the datasets were selected as the up arm of our ras pathway signature. genes significantly anticorrelated with the up arm across a lung cancer cell line panel were then selected as the down arm. this procedure resulted in the identification of a 147 gene signature (105 up genes, 42 down genes, additional file 3, table s1) that we call the ""ras pathway signature"". at least 20 genes in this signature are established components of the the ras-mek-erk signaling network. these include multiple transcription factors and targets of erk signaling such as fos and ier3 as well as mapk-phosphatases and sprouty genes involved in feedback inhibition of mek/erk signaling (dual specificity phosphatases 6 (dusp6), dusp1, dusp4, dusp5 and spry4)) [18].",pmc2911390,1,10,19,1,29
1057,ras,protein,,,,,,,mek,protein,,,,,,,negative,i,drug sensitivity,,lung or breast,,,human,['717'],nan,nan,"ras signature versus drug sensitivity or pathway activation. ras signature score (y-axis) versus cell sensitivity to a mek inhibition (x-axis) across a panel of (a) lung or (b) breast cell lines. lower numbers on the x-axis indicate increasing sensitivity. cell lines circled in bold in (a) have a kras mutation but have low signature scores and are resistant to mek inhibition. (c) ras signature score (y-axis) versus cell sensitivity to an akt inhibitor (x-axis) across a panel of breast cancer cell lines. lower numbers on the x-axis indicate increasing sensitivity. (d) phospho-mek (y-axis) versus ras signature score (x-axis) across a panel of breast cancer cell lines. in all cases, the ras signature score was calculated relative to the mean of all cell lines in the respective experiment. r = pearson correlation coefficient, p = the corresponding p-value.",pmc2911390,1,10,19,1,29
1047,ras,protein,,hras,uniprot,p01112,cytoplasm,go:0005737,erk,protein,,mapk1,uniprot,p28482,nucleus,go:0005634,positive,i,inhibition,erk phosphorylation,,,blood,human,['1002'],nan,nan,"in conclusion, we showed that the ras-braf-mapk-erk pathway is one of the cellular processes affected in cll and identified novel cll drivers. patients with mutations in genes of the ras-braf-mapk-erk pathway had adverse biological features and most of them required treatment. furthermore, our results suggest that inhibition of erk phosphorylation in this subgroup of mutated cll patients can be achieved using new, specific erk inhibitors that have recently entered clinical trials. pharmacological inhibition of the ras-braf-mapk-erk pathway may represent a therapeutic approach to improve responses in this subgroup of cll patients.",pmc6395334,1,10,19,1,29
1037,ras,protein,gtpase,,,,,,mtorc1,proteincomplex,,,,,,,positive,i,regulates,,,cancer,,,['59'],nan,nan,"ras gtpase is frequently mutated in different types of cancers that correlate with a poor prognosis [11-15]. despite a large number of promising inhibitors for ras/raf/mek/erk pathway, recent works show that cancer cells often develop an autophagy-dependent resistance to inhibitors of ras pathway [16]. oncogenic ras induces the constitutive activation of ras/raf/mek/erk signaling pathway, which, in turn, activates other effector pathways, in particular, pi3k-mtor signaling [17]. the catabolic processes regulated by mtorc1 control autophagy via a number of effector regulatory pathways [18, 19]. given that autophagy is initiated upon suppressed mtorc1 activity, a protective autophagy in ras-transformed cells with a high level of mtorc1 activity appears to be mtorc1-independent [20, 21]. one of the mechanisms of high basal autophagy activity in cancer ras-expressing cells might be associated with high pp2a phosphatase activity targeting directly ulk1-ser757 that could explain apparent contradiction: maintenance of high mtorc1 functions and high autophagic activity simultaneously [22]. this can provide ras-expressing tumor cells additional selective advantages under stress or damage.",pmc5723691,1,10,19,1,29
951,pi3k,protein,,,,,,,akt,protein,,,,,,,negative,i,inhibition,,,,,,['640'],nan,nan,"in parallel, we tested dual-targeting strategies involving pi3k-akt and egfr-ras-erk pathways considering the interconnectivity between these pathways (figure 4—figure supplement 2a). like mek or erk inhibition, we observed that pharmacological inhibition of pi3k or akt in combination with anti-egfr therapy did not enhance efficacy in a kras mutant background (figure 4—figure supplement 2b). in line with this, clinical studies focusing on combining mek inhibitors with pi3k, akt or mtor inhibitors in kras mutant crcs did not yield satisfactory results (shimizu et al., 2012).",pmc5127645,1,10,19,1,29
