Regulator Name,Regulator Type,Regulator Subtype,Regulator HGNC Symbol,Regulator Database,Regulator ID,Regulator Compartment,Regulator Compartment ID,Regulated Name,Regulated Type,Regulated Subtype,Regulated HGNC Symbol,Regulated Database,Regulated ID,Regulated Compartment,Regulated Compartment ID,Sign,Connection Type,Mechanism,Site,Cell Line,Cell Type,Tissue Type,Organism,Unnamed: 0,Score,Source,Statements,Paper IDs,Evidence Score,Match Score,Kind Score,Epistemic Value,Total Score
erk1/2,protein,,,uniprot,"p27361, p28482",cytoplasm,go:0005737,rsk,protein,,rps6ka1,uniprot,p23443,cytoplasm,go:0005737,positive,i,phosphorylation,gsk3,,es,mouse,,['38'],nan,nan,"both the peak levels and the baseline activity of erk1/2 are increased in rsk‐deficient and bi‐treated es cells. the persistence of peaks indicates that other feedback mechanisms, such as the dual specificity kinases 28, are also operative. erk1/2 signalling is not involved in cell cycle progression in mouse es cells 79. indeed, the erk pathway is not required for es cell propagation 6 and its activation is associated with entry into differentiation 27, 33. while some differentiation events can occur without erk1/2 signalling 20, 31, the finding that rsk deletion or inhibition accelerates es cell transition adds to the weight of evidence that erk1/2 signalling acts as a trigger for exit from self‐renewal. nonetheless, rsk has additional targets that may also play a role. notably, it can phosphorylate gsk3 leading to a decrease in activity 80. inactivation of rsk could therefore lead to decreased intracellular β‐catenin and increased repression of esrrb and other naïve factors by tcf3 19. however, the observations that rsk mutant es cells differentiate even in the presence of gsk3 inhibitor and that esrrb downregulation is not markedly accelerated indicate that the major effect is through perk.",pmc6073214,1,100,40,1,140
rsk,protein,,,uniprot,p18653,cytoplasm,go:0005737,perk1/2,protein,,,uniprot,p28482,nucleus,go:0005634,negative,i,inhibition,,es,embryonic stem,,,['27'],nan,nan,pharmacological inhibition of rsk increases perk1/2 and expedites es cell lineage specification,pmc6073214,1,100,40,1,140
rsk,protein,,rps6ka1,uniprot,p18615,nucleus,go:0005634,erk,protein,,mapk1,uniprot,p28482,cytoplasm,go:0005737,negative,d,modulates,,,,pluripotency,,['0'],nan,nan,negative feedback via  rsk  modulates erk‐dependent progression from naïve pluripotency,pmc6073214,1,100,40,1,140
rsk isoform‐specific sirnas,rna,sirna,,,,cytoplasm,go:0005737,perk,protein,,mapk1,uniprot,p28482,cytoplasm,go:0005737,negative,d,phosphorylation,,rgd2,neural progenitor,brain,mouse,['14'],nan,nan,"detection of perk in rgd2 cells transfected with rsk isoform‐specific sirnas (1 = rsk1, 2 = rsk2, 3 = rsk3 and 4 = rsk4). cells were transfected in 2i and cultured for 36 h. medium was changed to n2b27 for 1 h before collecting lysates for immunoblotting. controls were transfected with scrambled sirna.",pmc6073214,1,100,40,1,140
rsk proteins,protein,,,uniprot,p18615,,,erk,protein,,,uniprot,p27361,,,negative,d,restricts activity,,,es cell,,,['26'],nan,nan,these findings suggest that restriction of erk activity by rsk proteins constrains the rate of es cell transition into an early post‐implantation epiblast‐like state.,pmc6073214,1,100,40,1,140
rsk1,protein,kinase,rps6ka1,uniprot,p18654,cytoplasm,go:0005737,erk,protein,kinase,mapk1,uniprot,p28482,cytoplasm,go:0005737,positive,d,phosphorylation,ser352,es cells,embryonic stem,,human,['8'],nan,nan,"we investigated rsk1 further because this kinase is a known regulator of erk signalling 52, 53, 54. it has previously been reported to be phosphorylated by erk1/2 in es cells 55 but a biological role has not been evaluated. rsk1 is one of four members of the mammalian rsk protein kinase family, rsk1, rsk2, rsk3 and rsk4, that are implicated in regulation of a variety of cellular processes including cell growth, proliferation, differentiation, survival and motility (reviewed in ref. 53). rsk activation requires multiple steps of sequential phosphorylation by erk1/2, 3‐phosphoinositide‐dependent protein kinase‐1 (pdk1) and autophosphorylation within its functional domains. from the mass spectrometry data, we quantified an approximately fivefold increase in phosphorylation at ser352 (ser363 in human rsk1), an erk target site critical for rsk activity (fig 1c) 56. to rule out behaviour specific to culture in silac medium, we examined rsk1 phosphorylation in es cells cultured in standard medium. immunoblotting using an antibody specific for pser352 rsk1 confirmed the increase in pser352 in chlif compared with 2ilif. moreover, rsk1 phosphorylation was evident at the onset of differentiation in es cells withdrawn completely from 2ilif for 24 h. rsk1 phosphorylation occurred without overt change in total protein expression as detected by a pan rsk1 antibody (fig 1d).",pmc6073214,1,100,40,1,140
rsk,protein,,,uniprot,p18613,cytoplasm,go:0005737,perk1/2,protein,,,uniprot,p27361,cytoplasm,go:0005737,negative,d,inhibition,,,es cell,,human,['39'],nan,nan,"reducing rsk activity with the small molecule inhibitor bi enhanced activation of perk1/2 resulting in earlier clearance of the naïve pluripotency gene regulatory network and subsequently more rapid lineage specification. notably, bi treatment accelerates loss of es cell identity and function by up to 6 h without compromising differentiation potential. in adherent culture in the absence of serum factors, es cells progress from naïve pluripotency into a population that resembles the early post‐implantation formative epiblast 16, 45, 81, 82 with competence for germline and somatic lineage specification 17, 45, 81, 83. this process is asynchronous, with individual es cells departing from the naïve state at different times 16, 84, 85. the findings here indicate that perk1/2 activity is limiting for progression from the naïve state. the facility to accelerate the rate of es cell differentiation by short‐circuiting negative feedback with a small molecule rsk inhibitor is potentially a valuable tool for reducing the time window of transition (fig 5c and d) and thereby facilitating analyses of pluripotency progression.",pmc6073214,1,100,40,1,140
rsk1,protein,,rps6ka1,uniprot,p18613,cytoplasm,go:0005737,erk,protein,,,uniprot,p27361,cytoplasm,go:0005737,positive,d,phosphorylation,,,embryonic stem cell,,mouse,['12'],nan,nan,"rsk1*23 and control (ctrl) cells were exchanged from 2ilif into n2b27 for 22 h and cell lysates at indicated time points. expression of perk and erk was detected by immunoblotting (upper panel), quantified using fiji and the perk/erk ratio plotted (lower panel). data shown are from one of two biological replicates that yielded similar results. rgd2 indicates parental line, and control (ctrl) indicates cell line that has undergone selection process in parallel but was not edited by grnas.",pmc6073214,1,100,40,1,140
rsk1/2,protein,,rps6ka1/2,uniprot,"q15418, p51812",cytoplasm,go:0005737,tsc2,protein,,tsc2,uniprot,p49815,cytoplasm,go:0005737,positive,d,phosphorylation,serine 1798,293t,epithelial-like,kidney,human,['50'],nan,nan,"validation of rsk1/2-dependent tsc2 phosphorylation at serine 1798. (a) 293t cells were treated with increasing concentrations of rapamycin, torin 1, or the akt1 inhibitor mk2206 for 1 h. whole-cell extracts were immunoblotted as indicated. (b) 293t cells were serum starved overnight and were then treated with rapamycin, torin 1, or mk2206 as indicated for 1 h prior to pma addition for 15 min. after the 15-min pma treatment, cells were harvested on ice, and whole-cell extracts were immunoblotted as indicated. filled black circles indicate the following drug concentrations: pma, 1 μm; rapamycin, 100 nm; torin-1, 100 nm; mk2206, 1 μm. black outlined gray circles indicate the following drug concentrations: pma, 1 μm; rapamycin, 250 nm; torin-1, 250 nm, mk2206, 5 μm. (c) 293t cells were serum starved overnight and were then treated with torin-1 or rsk inhibitor (rski, bi-d1870) as indicated for 1 h prior to pma addition for 15 min. whole-cell extracts were immunoblotted as indicated. filled black circles indicate the following drug concentrations: pma, 1 μm; torin-1, 100 nm; rski, 10 μm.",pmc5935074,1,100,40,1,140
rsk,protein,,,uniprot,q15418,cytoplasm,go:0005737,mek,protein,,map2k,uniprot,p36507,cytoplasm,go:0005737,positive,i,inhibition,,,,,human,['22'],nan,nan,"to test whether the effect of rsk mutation was mediated through mek‐erk1/2 signalling, we assayed rgd2 downregulation in the presence and absence of pd (fig 3d). inhibition of mek markedly impeded loss of gfp expression in rsk1*23 cells similar to control cells, indicating that the phenotype observed in the rsk mutants is dependent on the erk1/2 pathway. consistent with this, colony formation by rsk‐deficient cells was restored when the cells were cultured in the presence of pd (fig 3e).",pmc6073214,1,100,40,1,140
