index,Regulator Name,Regulator Type,Regulator Subtype,Regulator HGNC Symbol,Regulator Database,Regulator ID,Regulator Compartment,Regulator Compartment ID,Regulated Name,Regulated Type,Regulated Subtype,Regulated HGNC Symbol,Regulated Database,Regulated ID,Regulated Compartment,Regulated Compartment ID,Sign,Connection Type,Mechanism,Site,Cell Line,Cell Type,Tissue Type,Organism,Unnamed: 0,Score,Source,Statements,Paper IDs,Evidence Score,Match Score,Kind Score,Epistemic Value,Total Score
38,akt,protein,,,uniprot,p31749,,,foxp3,protein,,,uniprot,q9bzs1,nucleus,go:0005634,positive,i,blocking effect,,,t reg cell,thymic t reg cells,human,['94'],nan,nan,"despite contextual differences between the natural differentiation of thymic t reg cells and the induction of foxp3 in mature t cells by tgf-β, akt* exerted a similar blocking effect in these two populations. these findings argue for a level of similarity for these two populations and place akt at a nexus of signaling pathways whose proper activation has a considerable impact on foxp3 expression and, consequently, t reg cell generation. akt had previously been implicated in the growth and survival of cd4+ t lymphocytes but not in their differentiation (54). indeed, given the involvement of akt as a positive regulator in cd28 and il-2r signaling (55), both of which are important for foxp3 expression, our findings may appear somewhat paradoxical.",pmc2275380,1,10,5,1,15
147,il-2,protein,,,uniprot,p60568,,,foxp3,protein,,,uniprot,q9bzs1,nucleus,go:0005634,positive,i,influence,,,cd4+ t cell,,human,['23'],nan,nan,"to further dissect the altered differentiation of itk-deficient cd4+ t cells, we examined the influence of il-2 on the generation of foxp3 producers in itk−/− cells under th17 cell differentiation conditions. addition of neutralizing il-2 antibodies to the th17 cultures enhanced il17a production from wt cells as previously reported (laurence et al., 2007). however, this increase was more apparent in the absence of itk, with 2.4–6× increases in the percentages of il17a+ cells in itk−/− cd4+ t cells differentiated in the presence of blocking il-2 antibodies (fig. 6 a and not depicted). notably, foxp3-expressing cells were virtually abolished in itk−/− cell cultures in the presence of anti-il2. thus, the aberrant expression of foxp3 in itk-deficient cells required il-2. conversely, addition of exogenous human il-2 (hil-2) reduced the production of il17a in both wt and itk−/− th17 cultures (fig. 6 a). however, in the itk−/− cultures the percentages of foxp3 producers also dramatically increased.",pmc3949578,1,10,5,1,15
211,mtor,protein,,mtor,uniprot,p42345,,,akt,protein,,akt1,uniprot,p31749,,,positive,i,regulates activity,,jurkat t cells,t-cell,,human,['306'],nan,nan,"to test the hypothesis that mtor is the connection between akt and pak1, we first determined the effect of altering ship1 and akt levels on mtor activity. increasing ship1 levels and decreasing pakt levels in jurkat t cells results in less p-p70s6k, reflecting less mtor activity (fig 7a). next we asked what the effect of decreasing mtor activity is on pak1 levels and phosphorylation using two strategies. the first strategy (fig 7c) used rapamycin treatment of jurkat t cells. under the conditions used here (100 nm for 6 hr), rapamycin specifically inhibited mtorc1 activity, as confirmed by the absence of detectable p-p70s6k, but not mtorc2 activity, as akt phosphorylation on both t308 and s473 was unchanged (mtor in the mtorc2 complex phosphorylates akt whereas akt phosphorylates mtor in the mtorc1 complex). rapamycin treatment resulted in increased pak1 and ppak1 levels. because akt and pdk1 are upstream of mtor, their levels were not affected by rapamycin treatment. p-p70s6k levels, downstream of mtor, were decreased, verifying effective rapamycin treatment. in contrast to rapamycin treatment, ku treatment (also 100 nm for 6 hr) inhibited both mtorc1 and mtorc2, as confirmed by the absence of akt phosphorylation on both t308 and s473 as well as p70s6k phosphorylation. the data collectively suggest that decreases in mtorc1 activity preferentially enhanced pak1 signaling. in s4 fig, treatment with the rapalogs deforolimus, everolimus, and temsirolimus confirmed the rapamycin effect. the second strategy that we used to downregulate mtor activity was treatment with sirna to raptor/rptor, part of the mtorc1 complex, which also resulted in increased pak1 levels and downstream bim levels (fig 7d). in addition, downstream of pak1, mek, erk and jnk phosphorylation were all enhanced by rapamycin and rapalog treatments (fig 7c and s4 fig). therefore, inhibition of mtor activity resulted in increased pak1 levels and downstream perk, pjnk, and bim levels.",pmc4487994,1,10,5,1,15
214,mtor,protein,,,uniprot,p42345,cytoplasm,go:0005737,erk,protein,,,uniprot,p27361,cytoplasm,go:0005737,positive,i,phosphorylation,,,cancer,,human,['312'],nan,nan,"our study also speaks to the importance of combination therapies for cancer treatment. if multiple signaling pathways contribute to cancer cell survival and proliferation, combination chemotherapy will be more effective than single agent chemotherapy. there is evidence in human and mouse tumor cells [66, 67] that mtor inhibition activates erk phosphorylation. in addition, mek inhibitor treatment of hormone-refractory human prostate cancer cells induces mtor phosphorylation [68]. because of the evidence that these two pathways (mek/erk and pi3k/mtor) can cross-activate, combination therapies have been tried and found to be effective. combination mtor/mek inhibitor treatment resulted in decreased tumor size in mcf-7 human breast cancer xenografts [66], decreased androgen-dependent prostate cancer cell growth in vitro [68], and decreased androgen-independent prostate cancer cell growth in vitro and in vivo [69]. the latter study also showed that the decrease in prostate cancer cell growth was through upregulation of bim. our results provide additional rationale for combination mtor/mek inhibitor therapy because in addition to the anti-proliferative effects of mek inhibitor treatment, mtor inhibition resulting in enhanced pak1/jnk/foxo3-mediated apoptosis could inhibit tumor progression.",pmc4487994,1,10,5,1,15
276,pi3k,protein,,,uniprot,p42336,,,pten,protein,,,uniprot,p60484,,,positive,i,activation,,,solid tumor,,human,['195'],nan,nan,"owing to pi3k's critical roles in human cancers, pi3k targeting is one of the most promising areas of anticancer therapy development. since the absent of pten is concomitant with pi3k signaling activation, inhibitors that targeting this pathway might play a significant role in the treatment of pten-deficient tumors. growing evidence indicates that multiple solid tumor cell lines and several lymphoid malignancy cell lines with pten-deficient are hypersensitive to pi3k inhibitors, which are summarized in tables 3 and figure 4.",pmc4712330,1,10,5,1,15
277,pi3k,protein,,,uniprot,unknown,unknown,unknown,pten,protein,,pten,uniprot,p60484,unknown,unknown,positive,i,generation and maintenance,,,itreg,unknown,unknown,['161'],nan,nan,"pi3k-related signals can modulate ongoing responses as well. deletion of pten, or expression of constitutively active myristoylated-akt, within the cd8+ t cell compartment inhibits the development and survival of memory cd8+ t cells (hand et al., 2010). on the contrary, akt is required for a transcriptional program leading to upregulation of cytolytic effector, chemokine, and adhesion molecules (macintyre et al., 2011). conditional deletion of pten using ox40-cre has demonstrated that pten plays a critical role in limiting the expansion of tfh cells and in maintaining control over gc reactions, indicating that t cell intrinsic roles of pten are crucial for maintaining global levels of tolerance (rolf et al., 2010). lastly, the promotion of itreg generation and maintenance by pd-l1 is associated with downregulation of akt signaling and concomitant upregulation of pten expression (francisco et al., 2009). these examples all provide evidence that the balance of akt signaling within multiple stages of development and differentiation states helps determine cellular fate.",pmc3375464,1,10,5,1,15
285,pi3k,protein,pan-inhibition,,,,,,pten,protein,deleted,,,,,,positive,i,dual inhibition,,,t-all,,,['156'],nan,nan,"in conclusion, we have demonstrated a higher efficacy of pi3k pan-inhibition in both pten deleted and non deleted t-all cell lines. although dual inhibition of p110γ/δ pi3k isoforms could be less toxic and reduce side effects [25], its efficacy might be limited only to the subset of t-all patients with etp-all. moreover, our findings shed light about the protective role of autophagy in case of pi3k pan-inhibition, supporting the evaluation of combining autophagy inhibitors for increasing citotoxicity induced by pi3k inhibition. further investigation will be necessary to discriminate the cellular contexts responsible for autophagy activation. addressing this question will be critical to select which t-all patients may best benefit from a therapeutic strategy involving class i pi3k inhibition. indeed, progress in better understanding the biology of different t-all subtypes should help the development of personalized therapy targeted at blocking multiple defective signaling pathways of leukemic cells [57].",pmc4496363,1,10,5,1,15
299,pten,protein,,pten,uniprot,p60484,cytoplasm,go:0005737,pi3k,protein,class 1a pi3k,pik3ca,uniprot,p42336,plasma membrane,go:0005886,negative,i,conversion,,,mature t cells,,human,['159'],nan,nan,"pten/pi3k signaling in mature t cells.class 1a pi3ks are activated by receptor tyrosine kinases that drive co-stimulatory, t cell receptor (tcr), and cytokine signaling pathways. pten directly opposes pi3k signaling by converting pi(3,4,5)p3 to pi(4,5)p2. through their ph-domains, pdk1 and akt bind pip3, enabling akt to be phosphorylated by pdk1 on ser308. full activation of akt requires phosphorylation on ser473 by mtorc2. akt can then target downstream substrates such as foxos in the nucleus, leading to their inactivation and export from the nucleus. this results in attenuation of a foxo-dependent gene program normally acting to promote pathways involved in, but not limited to, t cell homeostasis (in resting t cells), apoptosis (upon, for example, cytokine withdrawal), treg induction, and homing to secondary lymphoid organs (in circulating, naïve t cells). akt also targets tsc2 and pras40 (not shown), negative regulators of mtorc1, allowing for activation of mtorc1. activation of s6k and 4ebps by mtorc1 results in increased protein translation, allowing growth and proliferation, and upregulation of hif-1α, important for glycolytic metabolism. inhibitory targeting of bad and gsk3 also contribute to akt’s effect on cell cycle, survival and metabolism.",pmc3375464,1,10,5,1,15
313,pten,protein,,pten,uniprot,p60484,plasma membrane,go:0005886,pi3k,protein,catalytic subunit,,fplx,pi3k,plasma membrane,go:0005886,negative,i,phosphorylated at ser380,,t-all,lymphoblastic,lymphoid,human,['153'],nan,nan,"moreover, we did not observe differences between pten deleted and non deleted cell lines. indeed, despite the expression of pten protein, we confirmed that in non deleted cells, pten was phosphorylated at ser380 and thus inactivated. this observation underlines the importance of assessing pi3k pathway activation in t-all patients rather than just pten deletions/mutations, for a better evaluation of patient outcome or possible therapeutic intervention with pathway modulators. we also observed a decrease in total pip3 levels following inhibition of each pi3k catalytic subunit, suggesting that all the pi3k isoforms contribute to its synthesis in t-all cells. however, inhibitor effects on pip3 levels did not fully correlate with their cytotoxicity. this apparent contradiction might be due to the presence of different pip3 pools which mediate specific cellular processes, so that reduction of total pip3 could not fully reflect the impairment of cell proliferation/survival mechanisms [52]. moreover, it is emerging that pi3k could control other downstream targets in cancer cells, including serum/glucocorticoid-regulated kinase 3 (sgk3), in a manner which is independent from pip3, but dependent on phosphatidylinositol 3-phosphate [53].",pmc4496363,1,10,5,1,15
327,ras,protein,,,uniprot,p01111,plasma membrane,go:0005886,erk,protein,,,uniprot,p27361,cytoplasm,go:0005737,positive,i,activation,,,,,,['370'],nan,nan,"the raf/mek/erk pathway is among the most thoroughly studied downstream effectors of activated ras (wimmer and baccarini, 2010). deregulation of the pathway is implicated in both developmental disorders and cancer (maurer et al., 2011; schubbert et al., 2007). consequently, numerous raf and mek inhibitors aimed at blocking erk activation have been designed (chapman and miner, 2011; poulikakos and solit, 2011).",pmc3625979,1,10,5,1,15
