index,Regulator Name,Regulator Type,Regulator Subtype,Regulator HGNC Symbol,Regulator Database,Regulator ID,Regulator Compartment,Regulator Compartment ID,Regulated Name,Regulated Type,Regulated Subtype,Regulated HGNC Symbol,Regulated Database,Regulated ID,Regulated Compartment,Regulated Compartment ID,Sign,Connection Type,Mechanism,Site,Cell Line,Cell Type,Tissue Type,Organism,Unnamed: 0,Score,Source,Statements,Paper IDs,Evidence Score,Match Score,Kind Score,Epistemic Value,Total Score
1096,erk,protein,,erk,uniprot,p27361,cytoplasm,go:0005737,mek,protein,,mek,uniprot,q02750,cytoplasm,go:0005737,positive,d,phosphorylation,tyr/thr,vmm18 melanoma cells,melanoma,skin,human,['2464'],nan,nan,"in vmm18 melanoma cells, the dual phosphorylation (tyr/thr) of erk was 9-fold higher in cells grown in 5% serum relative to cells grown in the absence of serum (figure 5, lanes 2 versus 1). there also was an increased level in the dual phosphorylation (ser217/221) of mek (not shown). treatment of vmm18 melanoma cells with a 10 nm dose of bay 43-9006 produced a 75% decrease in the dual phosphorylation of erk (figure 5, lane 4) and reduced the phosphorylation of mek below detection levels (not shown). these results were consistent with the inhibition of b-raf by bay43-9006. on the other hand, when vmm18 melanoma cells were treated with a 10 nm dose of rapamycin, the dual phosphorylation of erk was reduced by about half (figure 5, lane 3). our interpretation of this result is that mtor activity is required to maintain the phosphorylation of erk in melanoma cells. combination treatment of a 10 nm dose of rapamycin plus a 10 nm dose of bay 43-9006 reduced the phosphorylation of erk to a level even below that seen in cells grown in the absence of serum (figure 5, lane 5). this inhibition of erk phosphorylation by combination of rapamycin and bay43-9006 was as effective as inhibition of mek by the u0126 compound (figure 5, compare lanes 5 and 6).",pmc1289294,1,10,20,1,30
1851,mek1,protein,threonine/tyrosine kinase,map2k1,uniprot,q02750,cytoplasm,go:0005737,raf,protein,,raf1,uniprot,p04049,cytoplasm,go:0005737,positive,d,phosphorylation,s217/s221,,,,human,['1273'],nan,nan,"mek1 or mitogen-activated protein kinase kinase 1 is a threonine/tyrosine kinase member of the ras oncogene signaling pathway. ras becomes activated via igf-1r signaling through shc, an alternate intermediate signaling molecule that docks to igf-1rs activation loop via its ptb domain. upon phosphorylation of shc, recruitment of grb2 and sos lead to the activation of ras followed by subsequent activation of raf. it is raf that activates mek1 through phosphorylation of s217/s221. this activation leads to further downstream signaling that regulates cell proliferation, differentiation, and growth 38. our data shows significant increases in phosphorylation when comparing stages i to iv and ii to iii. (fig. 3)",pmc3187934,1,10,20,1,30
2583,pi3k,protein,,,,,,,pten,protein,,,,,,,positive,d,activation,,,myeloma,,,['3633'],nan,nan,"in myeloma, pi3k inhibitors preferentially suppressed pten-null myeloma growth to those expressing pten, indicating that pi3k activation is more critical for growth and survival of those lines with pten mutations than others expressing a functional pten gene [374]. expression of an active akt, reversed wortmannin- and dexamethasone-induced apoptosis and growth inhibition in pten-null myeloma lines, suggesting that akt lies downstream of pi3k for pten-null myeloma survival and dexamethasone resistance [374].",pmc2652403,1,10,19,1,29
2763,pten,protein,,pten,uniprot,p60484,cytoplasm,go:0005737,mtor,protein,,mtor,uniprot,p42345,cytoplasm,go:0005737,negative,d,inactivation,,,various,,various,['3071'],nan,nan,"in peutz jeghers syndrome, tuberous sclerosis, and other diseases where pten is inactivated, the use of rapamycin as a clinical means to reverse the effect of elevated mtor activity is an attractive option (inoki et al, 2005a). these diseases are distinct from other hamartoma-associated disorders (such as vhl syndrome) since they have an established molecular link to mtor (inoki et al, 2005a). earlier studies demonstrated that pten-inactivated tumour cells exhibit enhanced sensitivity to the rapamycin analog cci-779 (guertin and sabatini, 2005). more recently, several studies have shown that rapamycin treatment, in combination with other chemotherapeutic drugs, can lead to enhanced selective killing of cancer cells. in particular, the protein tyrosine kinase (ptk) inhibitor, imatinib (gleevec, sti571) synergises with rapamycin to inhibit bcr/abl transformed cells (mohi et al, 2004). the effect of rapamycin may be enhanced as a result of imatinib-induced akt/mtor signaling, a complication that is thought to lead to imatinib resistance (burchert et al, 2005). rapamycin can also synergise with paclitaxel, carboplatin, and vinorelbine to induce apoptosis in breast cancer cells (mondesire et al, 2004). cisplatin-induced apoptosis of a549 lung cancer cells is also significantly enhanced when combined with rad001 (beuvink et al, 2005). this could be in part due to reduced translation of p53-activated p21 mrna in a549 and mcf7 cells treated with rad001, thereby allowing the dosage of cisplatin to be reduced (beuvink et al, 2005). also, the use of the egfr/vegfr inhibitor, aee788, in combination with rad001 greatly decreased tumour growth in glioma xenografts (goudar et al, 2005). furthermore, targeting the glycolytic pathway in combination with mtor inhibition may also be useful in cases where dna-damaging agents are less efficient in inhibiting growth and promoting apoptosis of cancer cells (xu et al, 2005).",pmc2361102,1,10,19,1,29
2687,pp2a,protein,serine/threonine protein phosphatase,ppp2r,uniprot,p67775,cytoplasm,go:0005737,s6k1,protein,,,uniprot,p23443,cytoplasm,go:0005737,negative,d,dephosphorylation,,,,,human,['3272'],nan,nan,"pp2a, a serine/threonine (ser/thr) protein phosphatase, is a heterotrimeric holoenzyme composed of a catalytic subunit (pp2ac), an a subunit (also termed pr65), and members of the b subunit families, such as b (pr55), b′ (pr61), b″ (pr72), and b′″ (pr93/pr110) [27]. the phosphatase activity of pp2ac is modulated by its association with pp2a-a, and -b regulatory subunits [27]. of interest, pp2a has been identified as the phosphatase responsible for the dephosphorylation of s6k1 and 4e-bp1, and inhibition of mtor with rapamycin has been shown to stimulate these pp2a-mediated events [28], suggesting that pp2a is a novel downstream target of mtor. it has been suggested that α4 protein, the mammalian homolog of yeast tap42 [29], associates with pp2ac [30]. association of α4 with pp2a, pp4, and pp6 has been linked to rapamycin sensitivity [30]–[32]. in yeast tor phosphorylates tap42 and promotes its association with pph21/22 and sit4 (encoding pp2ac and pp6, respectively), inhibiting their activities [29], [33], although there exists disputation [34], [35]. as in yeast, the consequence of α4 dissociation from pp2a or pp6 in mammalian cells is contradictory. for instance, rapamycin has been reported to inhibit cell proliferation by decreasing pp2a activity through dissociation α4 from the pp2ac [36]. however, other studies [31], [34] do not demonstrate rapamycin-induced dissociation of α4 from pp2a or pp6.",pmc2868031,1,10,19,1,29
2683,pp2a,protein,,,uniprot,p67775,,,chk1,protein,,chek1,uniprot,o14757,nucleus,go:0005634,negative,d,"dephosphorylation, phosphorylation",s344 (human s345),x. laevis egg extracts,,,x. laevis,['1667'],nan,nan,"in human cells, the inhibition of pp2a induced chk1 phosphorylation in the absence of dna damage and also prevented chk1 dephosphorylation after hydroxyurea removal [118]. the knockdown of pp2a increased chk1 phosphorylation on s317 and s345 and in vitro, pp2a was able to directly dephosphorylate chk1 [118]. in x. laevis egg extracts, the addition of pp2a c reversed chk1 phosphorylation at s344 (human s345) after activation by dsb [119]. the inhibition of pp2a also enhanced chk1 phosphorylation following activation by dsb [119].",pmc2954851,1,10,19,1,29
2682,pp2a,protein,,,uniprot,p67775,cytoplasm,go:0005737,mtor,protein,,mtor,uniprot,p42345,cytoplasm,go:0005737,negative,d,inhibition,,rh1 or rh30,,,human,['3287'],nan,nan,"next, we investigated the role of pp2a in mtor-mediated cell motility. to this end, a monolayer of rh1 or rh30 cells were grown in 6-well plates to 80% confluence, and serum-starved in dmem for 24 h. cell motility was assessed by the wound healing assay, as described previously [23]. following wounding, cells were pretreated with or without oa (100 nm) for 1 h, then treated with or without rapamycin (100 ng/ml) for 2 h, followed by stimulation with or without igf-1 (10 ng/ml) for 22 h. consistent with our previous findings [23], [24], rapamycin inhibited the basal or igf-1-stimulated cell motility by 60–70% in rh1 cells (fig. 3b). igf-1 stimulated the cell motility by ∼3-fold, and this was dramatically attenuated by rapamycin to the basal level (fig. 3b). oa alone did not affect the basal or igf-1 stimulated cell motility significantly, but conferred high resistance to rapamycin inhibition of the basal or igf-1-stimulated cell motility in rh1 cells (fig. 3b). similar results were also observed in rh30 cells (data not shown).",pmc2868031,1,10,19,1,29
3220,src,protein,,src,uniprot,p12931,plasma membrane,go:0005886,egfr,protein,,egfr,uniprot,p00533,plasma membrane,go:0005886,positive,d,physical and/or functional interactions,,,,,human,['1389'],nan,nan,"after the discovery of src and egfr, much work has focused on understanding how ptks and their substrates act as a trigger of cellular functions, including malignant cell transformation. these studies include analysis of physical and/or functional interactions, that is, crosstalk, between src and transmembrane receptor/ptks such as platelet-derived growth factor receptor [11], trk/nerve growth factor receptor [12], colony-stimulating factor receptor [13], erbb2/her2/neu [14], and egfr [15,16]. in particular, the interaction of src and egfr has raised much interest because both are ubiquitously expressed and their co-overexpression and/or mutations have often been found in cancer cells of humans and model animals.",pmc3709701,1,10,19,1,29
2647,pik3ca,protein,,pik3ca,uniprot,p42336,,,akt,protein,,akt1,uniprot,p31749,,,positive,d,phosphorylation,,colorectal cancer cells,,colon,human,['3641'],nan,nan,"to evaluate the consequences of pik3ca alterations, the two most common mutations were inactivated by gene targeting in colorectal cancer cells [405]. biochemical analyses of these cells showed that mutant pik3ca selectively regulated the phosphorylation of akt and of forkhead transcription factors [405]. pik3ca mutations had little effect on growth under standard conditions, but reduced cellular dependence on growth factors [405]. pik3ca mutations resulted in attenuation of apoptosis and facilitated tumor invasion [405]. importantly, treatment with ly294002 abrogated pik3ca signaling and preferentially inhibited growth of pik3ca mutant cells [405]. a recent study also showed that pik3ca mutant colon cancer cell lines have increased metastatic potential in an orthotopic model [406]. two pik3ca mutants observed in breast cancer (e545k and h1047r) were also tested in the mcf-10a immortalized breast epithelial cell line [407]. both variants displayed higher pi3k activity than wild-type p110α yet remained sensitive to pharmacologic pi3k inhibition [407]. in addition, expression of p110α mutants in mammary epithelial cells induced multiple phenotypic alterations characteristic of breast tumor cells, including anchorage-independent proliferation in soft agar, growth factor-independent proliferation, and protection from anoikis [407]. expression of these mutant p110α isoforms also confered increased resistance to paclitaxel and induced abnormal mammary acinar morphogenesis in three-dimensional basement membrane cultures [407].",pmc2652403,1,10,19,1,29
2595,pi3k,protein,,,uniprot,p42336,,,akt,protein,,,uniprot,p31749,,,positive,d,stimulation,,jf32,,,human,['2974'],nan,nan,"we observed reciprocal changes in the erk and akt pathways in response to their respective enzyme inhibitors. in lm2 cells, mek inhibition (by u0126) suppressed early erk1/2 phosphorylation while p-akt levels increased. conversely, pi3k inhibition (by ly294002) increased basal p-erk1/2 levels at the expense of p-akt (4 hrs time point; figure 9c). mek inhibition raised p-erk1/2 and total erk1/2 levels at 24 and 48 hrs, while pi3k inhibition caused a compensatory increase in cellular p-akt levels from 24-48 hrs. jf32 cell growth was also suppressed by each drug; although mek inhibition did not affect p-erk1/2 levels at 4 hrs, p-erk1/2 levels decreased at 48 hrs (figure 9d). pi3k inhibition stimulated erk1/2 phosphorylation from 4-24 hrs, and increased akt phosphorylation throughout the treatment time-course (figure 9g, h).",pmc3135566,1,10,19,1,29
2594,pi3k,protein,,,uniprot,p42336,,,akt,protein,,akt1,uniprot,p31749,,,positive,d,phosphorylation,,,leukemia cell lines,,human,['3623'],nan,nan,"another study suggested that pi3k has a major role in the control of proliferation and apoptosis of growth factor-independent multiple myeloma cell lines [324]. constitutive activation of this pathway was shown to be a frequent event in the biology of multiple myeloma in vivo and may be more frequently observed in primary plasma cell leukemia [324]. purified plasmocytes from patients with myeloma or leukemia displayed constitutive phosphorylation of akt, fkhrl-1 and p70(s6k), which was inhibited by ly294002 and enhanced by igf-i [324]. another study demonstrated that akt is activated in aml blasts and that p70(s6k) and 4ebp-1, downstream mediators of akt signaling, also are phosphorylated in aml blasts [325]. in a short-term culture system, most aml patient samples showed a dose-dependent decrease in survival after incubation with ly294002 [325]. incubation of aml blasts with rad001 induced only a small decrease in survival of the cells [325]. however, when combined with ara-c, rad001 enhanced the toxicity of ara-c [325]. these results demonstrated that constitutive activation of the pi3k pathway is necessary for the survival of aml blasts and that targeting of this pathway with pharmacologic inhibitors may be of clinical benefit in treatment of aml [325]. another study demonstrated that the overall survival of patients with the akt phosphoryated on ser473 was significantly shorter than that of patients without [326]. thus, the detection of the akt phosphorylation may provide a new tool for identifying aml patients at high risk of an unfavorable outcome [326].",pmc2652403,1,10,19,1,29
2589,pi3k,protein,,,uniprot,,,,raf,protein,,,uniprot,,,,negative,d,inhibition,cd24 expression,rasv12,,,,['1734'],nan,nan,"inhibition of pi3k did not alter the raf-mediated inhibition of cd24 expression. (a–c) rasv12 cells were treated for 16 h with dmso (d), 100 μm ly294002 (ly) and/or 10 or 20 μm sorafenib (s/sor) with ly. (a) western blot analysis was performed as in figure 4. one representative experiment from three replicates is shown. cd24 mrna expression in control and rasv12 was determined by (b) rt-pcr and (c) rt-qpcr as in figure 4. significance was determined by one-way anova with tukey honest significant difference post-hoc analysis, n = 3, a, bp < 0.01. (d) surface cd24 protein was determined by flow cytometry with control and rasv12 for 24 h as above. one representative histogram of isotype (iso) and cd24-stained cells is shown. (e) quantification of cd24 surface protein expression as mean ± s.e.m percentage of cd24+ cells. significance was determined by one-way anova with tukey honest significant difference analysis, n = 3, different lower case letters indicating different groups at p < 0.001.",pmc4525067,1,10,19,1,29
