index,Regulator Name,Regulator Type,Regulator Subtype,Regulator HGNC Symbol,Regulator Database,Regulator ID,Regulator Compartment,Regulator Compartment ID,Regulated Name,Regulated Type,Regulated Subtype,Regulated HGNC Symbol,Regulated Database,Regulated ID,Regulated Compartment,Regulated Compartment ID,Sign,Connection Type,Mechanism,Site,Cell Line,Cell Type,Tissue Type,Organism,Unnamed: 0,Score,Source,Statements,Paper IDs,Evidence Score,Match Score,Kind Score,Epistemic Value,Total Score
10,akt,protein,,akt1,uniprot,p31749,cytoplasm,go:0005737,mtor,protein,,mtor,uniprot,p42345,cytoplasm,go:0005737,positive,d,phosphorylation,,,t-cell,,human,['147'],nan,nan,"phosphorylated proteins were stained using anti-akt ps473-pe (miltenyi biotech, cambridge, ma, usa), anti-stat3 py705-pe, anti-mtor ps2448-pe and anti-stat5 py694-apc (ebioscience, san diego, ca, usa). for mct4 staining of pro-t cells, cells were fixed using ic fixation buffer (ebioscience), followed by staining with anti-mct4 antibody conjugated to alexa-647 fluorochrome (clone d-1; santa cruz biotechnology, dallas, tx, usa). cells were analyzed on a facscanto flow cytometer or facs verse (bd biosciences, bedford, ma, usa). data were analyzed with flowjo software (tree star, ashland, or, usa).",pmc5886055,1,10,19,1,29
11,akt,protein,,akt1,uniprot,p31749,cytoplasm,go:0005737,pten,protein,,pten,uniprot,p60484,plasma membrane,go:0005886,positive,d,phosphorylation,,,,,human,['278'],nan,nan,"cells were lysed in 200 μl lysis buffer (0.5 m tris-hcl, ph 6.8, 2 mm edta, 10% glycerol, 2% sds, and 5% β-mercaptoethanol). protein extracts (20 μg) were electrophoresed on 10% sds polyacrylamide gels and transferred to nitrocellulose membranes. membranes were blocked with 5% nonfat dried milk in tris-buffered saline and incubated for 2 h at room temperature with appropriate primary antibody, followed by horseradish peroxidase-conjugated secondary antibody. the immunocomplexes were visualized using chemiluminescence phototope-horseradish-peroxidase kit. actin was used to ensure equivalent protein loading. antibodies against phosphorylated-akt (p-akt), akt, actin, and chemiluminescence phototope-horseradish-peroxidase kit were obtained from cell signaling (beverly, ma, usa). anti-pten antibody was from abcam (cambridge, uk). horseradish peroxidase-conjugated goat anti-mouse-igg and goat anti-rabbit-igg antibodies were from santa cruz biotechnology (santa cruz, ca, usa).",pmc4575996,1,10,19,1,29
81,il‐2,protein,,,uniprot,p60568,extracellular,go:0005615,s6k,protein,,rps6kb1,uniprot,p23443,cytoplasm,go:0005737,positive,d,phosphorylation,,,t-cell,,human,['121'],nan,nan,"the pi3k/akt/mtor pathway in t cells is primarily activated by il‐2, and htlv‐1 tax oncoprotein makes this process il‐2‐independent, resulting in constitutive activation of akt in htlv‐1‐infected cells, leading to their immortalization.5, 49, 50 thus, inhibition of akt induces apoptosis in htlv‐1‐infected cells.6, 51 akt and s6k were not phosphorylated in the atl‐43t cells, whereas akt was highly activated in the ed‐40515(−) cells, although neither of these cell lines expresses tax. this discrepancy may be explained by the fact that many genomic and epigenetic alterations occur during atl development by replacing tax expression,12, 52 with the pi3k/akt/mtor pathway activated differently in each cell line. for example, as a result of the epigenetic silencing of n‐myc downstream‐regulated gene 2 (ndrg2), we find high phosphorylation of the pten protein rather than genetic alterations in the pten gene, resulting in activation of both the pi3k/akt and nf‐kb pathways.53, 54 we also see that human telomerase reverse transcriptase is activated through the jak/stat and the jak/pi3k/akt/hsp90/mtorc1 pathways in il‐2‐responsive atl cells.55 as mentioned above, hbz plays a crucial role in the activation of the mtor pathway. whatever mechanisms activate the pi3k/akt/mtor pathway, our data clearly show that, despite tax expression, the mtorc1 and mtorc2 dual inhibitors are effective on atl cells and the phosphorylation of akt ser‐473 is crucial for atl‐cell proliferation.",pmc5765289,1,10,19,1,29
144,mtor,protein,,mtor,uniprot,p42345,cytoplasm,go:0005737,akt,protein,,akt1,uniprot,p31749,cytoplasm,go:0005737,positive,d,activation,,,t-cell,,mouse,['134'],nan,nan,"given the widespread constitutive activation of pi3k/akt/mtor signaling, this signaling cascade has been explored as a novel therapeutic target in t-all. experience with mtor inhibition in t-all is limited, although recent data implicate mtor activation in the development of early t progenitors and t-all [100]. in a mouse model of t-all evoked by kras activation, raptor deficiency, an essential component of mammalian target of rapamycin complex 1 (mtorc1), dramatically inhibited the cell cycle progression in oncogenic kras-expressing t-cell progenitors, and specifically prevented the development of t-all [100]. on the other hand, mtorc1 inhibition by rapamycin prolonged survival of t-all bearing mice, but in the long run rapamycin-insensitive leukemia cells emerged leading to disease progression [100]. in addition, rapamycin may modulate glucocorticoid resistance, an important indicator of therapeutic failure in t-all [101]. however, through feedforward loops between mtor, pi3k and akt, inhibition of mtor often leads to hyperactivation of akt signaling [102]. this has spurred the search for other targets to hit therapeutically. at the level of pi3ks, several pan-pi3k class i inhibitors (ly924002 and nvp-bkm120) showed anti-leukemic effects in t-all cell lines and primary patient samples having hyperactivation of pi3k/akt pathway [103,104]. however, since only pi3kδ and γ subunits are instrumental for t-cells, these constitute attractive targets to increase specificity and reduce toxicity. elegant work demonstrated that the pi3kδ and pi3kγ isoforms are critically required to allow t-all development in a pten-deficient mouse model [105]. in addition, the pi3kδ/γ-specific inhibitor cal-130 confirmed the “addiction” of ptennull t-all on pi3kδ and pi3kγ by prolonging survival of pten null mice. similar efficacy was seen in pten-deficient primary human t-all samples [105]. direct inhibition of akt by the allosteric inhibitor mk-2206 has cytotoxic activity in some t-all cell lines and primary samples and may also target a putative leukemia-initiating cell (lic) population [106]. additionally, akt inhibition sensitizes t-all cells to glucocorticoids [107]. to circumvent the possible issue of drug resistance seen with individual drug administration and problems related to feedforward loops, dual pi3k/mtor inhibitors have been developed. in t-all cell lines and primary t-all cells, pi-103 showed promising cytotoxic effects [108,109]. interestingly, the dual pi3k/mtor inhibitor pi-103 determined upregulation of notch1 target genes, including c-myc. accordingly, the combination of pi-103 with either a gamma secretase inhibitor (gsi) (such as l-685) or a c-myc inhibitor (10058-f4) enhanced the effectiveness of pi-103. given the overall convincing preclinical data on pi3k/akt/mtor signaling in t-all, but rather disappointing results of clinical trials [110], probably rational strategies of combination therapy will be needed.",pmc5618553,1,10,19,1,29
145,mtor,protein,,mtor,uniprot,p42345,,,s6 ribosomal protein,protein,,rps6,uniprot,p62753,,,positive,d,activation,,,t-cell,,human,['19'],nan,nan,"given the tcr signaling defects in itk-deficient t cells, we investigated whether mtor and akt activation were altered in these cells. mtor exists in two complexes, mtorc1 and mtorc2 (powell et al., 2012). in mtorc1, mtor is complexed with raptor, resulting in activation of translation and phosphorylation of the downstream targets involved in cell growth, translation, migration, and metabolism. as a downstream readout of mtor1 complex activation, we evaluated the intracellular levels of phosphorylated s6 ribosomal protein (ps6) by flow cytometry. in wt cells, a clear population of ps6 (s235)+ cells could be observed, which was decreased under low tcr conditions, as well as under treg cell conditions (fig. 4 b). consistent with defects in tcr signaling, we observed a reduction in ps6 (s235) levels in itk−/− cells differentiated under both th17 and treg cell conditions; defects were observed across a range of anti-cd3 concentrations at all times examined between 6 and 48 h (fig. 4 b and not depicted). reduced ps6 (s235) was also observed in itk−/− foxp3+ cells relative to wt foxp3+ cells, suggesting that the reduced ps6 was not secondary to altered cell populations in itk−/− cell cultures (fig. 4 d). because s235 can be a target of both mtorc1 and ribosomal s6 kinase, a downstream effector of erk, we also evaluated phosphorylation of ps6 (s240), which is a more specific target for mtorc1 in t cells, phosphorylation of which is completely abolished by rapamycin treatment (not depicted; salmond et al., 2009). itk-deficient cells also showed reduced phosphorylation of ps6 (s240) (fig. 4 c), again providing evidence for defective activation of mtorc1.",pmc3949578,1,10,19,1,29
146,mtor,protein,,,,,,,akt,protein,,,,,,,positive,d,phosphorylation,,,,,,['96'],nan,nan,"rapamycin and ly294002 were purchased from calbiochem (san diego, ca, usa); everolimus and azd8055 from selleckchem (newmarket, uk) and medchem express (monmouth junction, nj, usa). pp242 was synthesized by sai advantium pharma ltd (hyderabad, telangana, india). for in vitro assays, these chemicals were dissolved in 100% dmso to a stock concentration of 10 mmol/l and stored at −20°c. fitc‐annexin v was purchased from biolegend (san diego, ca, usa). propidium iodide (nacalai tesque) was dissolved in pbs to a stock concentration of 2 mg/ml. rabbit anti‐phospho‐mtor (ser2448) (d9c2), rabbit anti‐phospho‐mtor (ser2481), rabbit anti‐mtor (7c10), rabbit anti‐phospho‐akt (ser473) (d9e), mouse anti‐akt, mouse anti‐phospho‐p70 s6 kinase (thr389) (1a5), rabbit anti‐p70 s6 kinase, and mouse anti‐phospho‐p44/42 mapk (thr202/tyr204) (e10) were purchased from cell signaling technology (danvers, ma, usa). anti‐β‐actin (ac‐15, a5441) was purchased from sigma‐aldrich.",pmc5765289,1,10,19,1,29
147,mtor,protein,,,uniprot,p42345,cytoplasm,go:0005737,akt,protein,,akt1,uniprot,p31749,cytoplasm,go:0005737,negative,d,inhibition,atp-binding site,,,hematological,human,['93'],nan,nan,"second‐generation mtor inhibitors have recently been developed and these dual mtor inhibitors target the atp‐binding site of mtor, resulting in the inhibition of both mtorc1 and mtorc2 activity.22 these inhibitors have been shown to inhibit mtorc2‐mediated akt ser‐473 phosphorylation and akt signaling, and used as anticancer agents for hematological malignancies including atl and other cancers.22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32",pmc5765289,1,10,19,1,29
151,mtor,protein,,,uniprot,p42345,,,akt,protein,,akt1,uniprot,p31749,,,positive,d,phosphorylation,s473,,t-cell,cd4+,,['20'],nan,nan,"in mtorc2, mtor is complexed with rictor and activates akt by phosphorylating akt s473 in cd4+ t cells (powell et al., 2012). we also observed reduced akt phosphorylation on both s473 and t308 in stimulated itk-deficient compared with wt cd4+ t cells, although these defects were less pronounced (fig. 4 e). together, these data indicate that itk is required for full tcr-induced activation of mtor and akt pathways in cd4+ t cells and suggest that alterations in these pathways may contribute to the increased expression of foxp3 in itk-deficient cells.",pmc3949578,1,10,19,1,29
181,pi3k,protein,lipid kinase,,uniprot,,,,akt,protein,serine-threonine protein kinase,akt1,uniprot,p31749,,,positive,d,phosphorylation,multiple,,t-cell,,human,['131'],nan,nan,"the phosphoinositide 3-kinase (pi3k) pathway is one of the most frequently activated signal transduction cascades in human cancer. this family of lipid kinases plays a major regulatory role in several biological processes, including proliferation, survival, apoptosis, differentiation, migration and metabolism [76]. these numerous functions are served by distinct pi3k isoforms, which can be grouped into three classes according to their structure and substrate specificity. class i pi3k, consisting of heterodimers of a catalytic subunit p110 and a regulatory subunit p85, is the most implicated in oncogenesis and is activated by growth factors through g protein-coupled receptors (gpcrs) and tyrosine kinase receptors (rtks) [77]. pi3ks phosphorylate phosphatidyl-inositol (4, 5) p2 (pip2) to phosphatidyl-inositol (3, 4, 5) p3 (pip3), a second messenger allowing the recruitment and activation of downstream effectors, such as phosphoinositide-dependent kinase 1 (pdk1) and akt, via pleckstrin homology (ph) domain-mediated docking. the serine-threonine protein kinase akt phosphorylates a wide range of cellular targets, including mouse double minute 2 homolog (mdm2), glycogen synthase kinase 3 beta (gsk-3β), forkhead box protein o1 (foxo1), bcl-2-associated death promoter (bad), tuberous sclerosis complex 2 (tsc2)/tuberin and caspase-9, and indirectly activates mechanistic target of rapamycin (mtor) and nuclear factor kappa-light-chain-enhancer of activated b cells (nf-κb), generating an overall anti-apoptotic effect and proliferative signal [78,79]. importantly, the phosphatase and tensin homolog (pten) tumor suppressor negatively regulates pi3k/akt/mtor signaling by dephosphorylating pip3. in normal t-cells, pi3k/akt cascade is a common effector pathway downstream of notch, il-7 and pre-tcr signaling, allowing their proper integration during early development and promoting survival of dn3 cells [80]. indeed, different knock-out models resulting in defective signaling display a block in t-cell differentiation at the β-selection stage [81,82]. moreover, the tcr and the co-stimulatory molecule cd28 signal through pi3k/akt to promote survival, proliferation and cytokine production in activated t-cells [83,84].",pmc5618553,1,10,19,1,29
182,pi3k,protein,,,,,,,akt,protein,,,,,,,negative,d,inhibit,akt ser‐473,,,,,['122'],nan,nan,"the pi3k and akt inhibitors also effectively inhibit phosphorylation of akt ser‐473, so combined therapy with these inhibitors might be more effective than the mtor inhibitors alone, but might also result in an increase of toxic side‐effects because of the broadening of downstream impacts. we show herein that pp242 is less toxic to normal pbmc in the short term. pp242 and azd8055 target both mtorc1 and mtorc2 without affecting pi3k activity and, theoretically, by inhibiting only their limited targets, supposedly lead to a reduction in toxicity. moreover, azd8055 has been tested on lymphoma patients and its safety was confirmed in a phase i study.56 recently, the use of the dual pi3k/mtor inhibitor to treat t‐cell acute lymphoblastic leukemia gave promising results,57 and a phase i study found that combined therapy with akt inhibitors was safe and feasible for recurrent pediatric solid tumors.58 however, as atl often develops in the elderly, and it is not certain how well these therapies are tolerated by seniors, further studies are needed to establish the value of the mtor inhibitors as single agent or combined therapies for atl.",pmc5765289,1,10,19,1,29
