Evidence Score,Match Score,Kind Score,Epistemic Value,Total Score
2,10,11,1,31
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,10,1,20
1,10,10,1,20
1,10,10,1,20
1,10,10,1,20
1,10,10,1,20
1,10,10,1,20
1,10,10,1,20
1,10,10,1,20
1,10,10,1,20
1,10,10,1,20
1,10,10,1,20
1,10,9,1,19
1,10,9,1,19
1,10,9,1,19
1,10,9,1,19
1,10,9,1,19
1,10,9,1,19
1,10,9,1,19
1,10,9,1,19
1,10,9,1,19
1,10,9,1,19
1,10,9,1,19
1,10,9,1,19
1,10,9,1,19
