index,Regulator Name,Regulator Type,Regulator Subtype,Regulator HGNC Symbol,Regulator Database,Regulator ID,Regulator Compartment,Regulator Compartment ID,Regulated Name,Regulated Type,Regulated Subtype,Regulated HGNC Symbol,Regulated Database,Regulated ID,Regulated Compartment,Regulated Compartment ID,Sign,Connection Type,Mechanism,Site,Cell Line,Cell Type,Tissue Type,Organism,Unnamed: 0,Score,Source,Statements,Paper IDs,Evidence Score,Match Score,Kind Score,Epistemic Value,Total Score
9,akt,protein,,akt1,uniprot,p31749,cytoplasm,go:0005737,tsc1/2,protein,,tsc,uniprot,p49815,cytoplasm,go:0005737,positive,d,phosphorylation,serine 21/9,,,,human,['564'],nan,nan,"two substrates of akt, gsk3β and tuberous sclerosis complex tsc1/2, play important roles in mediating cross talks between pi3k/akt signaling pathway and other signaling pathways (figure 2). gsk3β is phosphorylated by akt on serine 21/9 which inhibits its activity (76). gsk3β is an important regulator in wnt signaling. it phosphorylates β-catenin, resulting in its ubiquitin-mediated degradation. the crosstalk between pten and wnt signaling may underlie some of the effects of pten on the regulation of stem cell maintenance (77–79) and g0-g1 cell cycle regulation (80–84). another substrate of akt is tsc1/2. tsc1/2 plays a key role in incorporating metabolism and cell size control, together with cell growth and proliferation regulation (85). the heterodimer of tsc1 and tsc2 is essential for suppressing the function of mtor (mammalian target of rapamycin). tsc2 activity is inhibited when phosphorylated by akt (86). therefore, by acting on tsc2, akt induces the activity of mtor and the downstream events of mtor activation that include metabolic changes, protein translation as well as cell proliferation. this regulation of mtor by akt-tsc-mediated signal allows the crosstalk of pten with another tumor suppressor lkb1 (87).",pmc6046409,1,10,10,1,20
436,pten,protein,,pten,uniprot,p60484,exosomes,go:0070062,pten,protein,,pten,uniprot,p60484,cells,go:0005623,negative,d,modulate,proliferation,,,,,['128'],nan,nan,pten enriched exosomes modulate proliferation of cells lacking pten expression.,pmc3723640,1,10,10,1,20
577,pten,protein,,pten,uniprot,p60484,nucleus,go:0005634,pten,protein,,pten,uniprot,p60484,nucleus,go:0005634,negative,d,deletion,,,prostate cancer cells,prostate,human,['432'],nan,nan,"fluorescence in situ hybridization (fish) analyses have provided a robust evaluation of the genomic status of pten in prostate cancer. this assay design has a centromere probe as a chromosome copy number control, and the pten locus probe labeled in a different fluorochrome. using this fish method, early studies by yoshimoto et al. (23) analyzing 35 radical prostatectomy specimens showed no pten deletion in benign glandular epithelium or low-grade prostatic intra-epithelial neoplasia (pin), while pten deletions were found in 23% of high-grade prostatic intra-epithelial neoplasia (hgpin), a pre-malignant stage of prostate carcinoma, and 68% of overt prostate cancer. the authors concluded that acquisition of a pten deletion is an important step toward prostatic tumorigenesis (23). subsequent studies have demonstrated an association between pten loss and poor clinical outcomes in cohorts ranging from 59 to 322 tumors samples, confirming that pten alterations confer substantial malignant potential to prostate cancer cells (24–26). utilizing fish to determine the hemizygous or homozygous pten deletion status, yoshimoto et al. (8) analyzed paired primary adenocarcinomas and regional lymph node metastasis derived from 10 patients and determined that only 1 of the 10 patients retained both copies of the pten locus in his matched pair biopsy. hemizygous pten deletion was found in both the primary and the metastatic nodal tumor samples in 4 of 10 patients, while homozygous pten deletion was found in both the primary tumor and their metastatic lymph nodes in 3 of the 10 patients. interestingly, 2 of the 10 patients with a hemizygous pten deletion in their primary adenocarcinomas, had positive lymph node biopsies that had acquired a homozygous pten deletion (8). these findings suggest that the transition from one-copy loss to two-copy loss may be associated with metastasis (8). subsequent supporting studies demonstrated that hemizygous pten deletions were associated with increased risk and earlier biochemical relapse after radical prostatectomy, whereas homozygous deletions were strongly linked to metastasis and androgen-independent progression (24, 26, 27).",pmc3775430,1,10,10,1,20
518,pten,protein,,pten,uniprot,p60484,,,pten,protein,,pten,uniprot,p60484,,,negative,d,silencing,,hh3-4 chick embryos,,embryo,chicken,['636'],nan,nan,"pten expression was unilaterally silenced in hh3–4 chick embryos using pten-sirna as described schematically in panel a. (b,b′) in situ hybridizations confirming that pten has been unilaterally silenced, as indicated by the arrows, 6 hours after transfection. (c,c′) immunohistological staining confirms that pten proteins have also been correspondingly reduced by pten-sirna. (d) in situ hybridization for pten, 20 hours after transfection, showing in the pten silenced side area containing blood islands was significantly reduced (black arrows) as compared with the untransfected side of the embryo. (e) gfp and pten-sirna co-transfection confirmed that the transfection worked, and that most of transfection disseminated in the lower half of the embryo. (f) in situ hybridization for ve-cadherin, 20 hours after transfection, showing in the pten silenced side area containing blood islands was significantly reduced as compared with the untransfected side of the embryo. (g) gfp and pten-sirna co-transfection confirmed that the transfection worked, and that most of transfection disseminated in the lower half of the embryo. (f′) ve-cadherin labelled blood islands in the region of area opaca of control side. (f″) the merge image of gfp labelled co-transfection with pten sirna and ve-cadherin in situ hybridization, in which the blood islands labelled by ve-cadherin presented sparser in comparison to the corresponding region of contralateral control side. (h) chart showing the effect of blood islands density after transfection. abbreviations: ps, primitive streak; bi, blood islands. *p<0.05 vs control side. scale bars: 1 mm in b–g; 200 µm in b′,c′; 100 µm in f′,f″.",pmc3683161,1,10,10,1,20
517,pten,protein,,pten,uniprot,p60484,,,pten,protein,,pten,uniprot,p60484,,,negative,d,promoter methylation,,,breast cancer cells,breast,human,['408'],nan,nan,"out of 181 sporadic breast cancer cases, promoter methylation of pten was observed in 52% (94/181) cases. moreover, pten promoter methylation was found to demonstrate a significant level of association with the pten protein loss [p= 0.002, pten negative (63%) vs pten positive {low (26%), moderate(11), high(1)} cases]. moreover, in pten negative cases level of promoter hypermethylation was higher than unmethylated cases (i.e., 63% vs 44%) as illustrated in table 1. while correlating the pten expression in methylated cases, we observed a significant correlation of it with menopausal status, histological grade, er status, her-2 status and tnbc cases. in contrast, in pten negative cases, pten methylation showed a significant correlation only with clinical stage (table 2).",pmc6485588,1,10,10,1,20
516,pten,protein,,pten,uniprot,p60484,,,pten,protein,,pten,uniprot,p60484,,,negative,d,loss of expression,,,,,,['393'],nan,nan,"we found that loh and methylation of the pten promoter were significantly associated with loss of pten protein expression, while, pten mutation was a rare event. furthermore, out of 46 double hit cases (i.e., having both methylation and loh), 70% (32/46) cases showed complete loss of pten expression (p= 0.0249). both loh and pten promoter methylation were associated significantly with age and clinical stage, while, methylation and loss of pten expression were associated with high grade and her-2 negativity. in addition, a quadruple (er/pr/her-2 and pten) negative group with distinct features was found.",pmc6485588,1,10,10,1,20
515,pten,protein,,pten,uniprot,p60484,,,pten,protein,,pten,uniprot,p60484,,,negative,d,loss of expression,,,,,human,['701'],nan,nan,"immunohistochemical analysis of pten expression was interpretable in 992 ptc spots, and the incidence of pten loss of expression in our cohort was found to be 24.5% (243 of 992 spots). loss of pten expression was more frequently detected in the follicular variant (29.9%) compared with classical and tall cell variant of papillary carcinoma (24.8% and 9.7%, respectively; p=0.0039). loss of pten expression correlated significantly with absence of extrathyroidal extension (p=0.0337) (table 1).",pmc4580399,1,10,10,1,20
514,pten,protein,,pten,uniprot,p60484,,,pten,protein,,pten,uniprot,p60484,,,negative,d,dephosphorylation,,,,,,['556'],nan,nan,"while the lipid substrate is well characterized to be pip3, the identity of the protein substrates for pten in vivo has been illusive (13). however, in vitro study has revealed that pten is able to regulate cell migration by dephosphorylating itself, providing insights for investigating potential protein substrates for pten (14).",pmc6046409,1,10,10,1,20
438,pten,protein,,pten,uniprot,p60484,exosomes,,pten,protein,,pten,uniprot,p60484,exosomes,,negative,d,downregulate,,cancer cells,,,human,['133'],nan,nan,"an important observation made during the present study is that pten is expressed in exosomes derived from cancer cells, and it is not detected in exosomes from normal cells, although the normal cells themselves express pten. thus, the incorporation of pten in exosomes may represent a characteristic of cancer cells not found in normal cells. this finding may suggest an exclusionary mechanism used by cancer cells to downregulate pten. this new mechanism requires further investigation to characterize the molecules responsible for directing pten to exosomes. because this mechanism is detectable in cancer cells and we didn’t detect it in normal cells, we hypothesized that it might be under the control of oncogenes. therefore, we studied the effect of introducing egfr in cho cells. introducing egfr in these cells showed no effect on exosomal-pten (figure 5a), however when the introduced egfr was activated by egf treatment we saw an increase in exosomal-pten expression (figure 5b). in addition, we are studying molecules associated with pten in exosomes to identify possible chaperone molecules regulated by cancer cells to direct pten to exosomes. recently, it has been reported that ndfip1, an adaptor protein for members of the nedd4 family of e3 ubiquitin ligases, has a role in directing pten to exosomes [29]. decoding this mechanism may provide a unique opportunity to target cancer cells.",pmc3723640,1,10,10,1,20
393,pten,protein,,pten,uniprot,p60484,cytoplasm,go:0005737,pten,protein,,pten,uniprot,p60484,plasma membrane,go:0005886,negative,d,phosphorylation,"thr366, ser370, ser380, thr382, thr383, ser385",,,,human,['81'],nan,nan,"pten activity is closely regulated by phosphorylation at multiple sites by serine/threonine kinases. six inhibitory phosphorylation sites are located within the pten tail on residues thr366, ser370, ser380, thr382, thr383 and ser385 (figure 1a). these sites are targeted by the ck2 and gsk3β [22,33–35], preventing proteasomal degradation of pten [36]. two models of auto-inhibition have been proposed. in one model, the phosphorylated tail interacts with the calcium-binding region (cbr)3 loop of the c2 domain, either electrostatically [35] or non-electrostatically [37], preventing membrane binding and pip3 dephosphorylation. the second model argues that the phosphorylated tail interacts with the phosphatase domain and the pip2-binding domain (pbd) [22]. auto-dephosphorylation of pthr366 and pser370 can selectively remove these phosphates [38].",pmc4700475,1,10,10,1,20
