index,Regulator Name,Regulator Type,Regulator Subtype,Regulator HGNC Symbol,Regulator Database,Regulator ID,Regulator Compartment,Regulator Compartment ID,Regulated Name,Regulated Type,Regulated Subtype,Regulated HGNC Symbol,Regulated Database,Regulated ID,Regulated Compartment,Regulated Compartment ID,Sign,Connection Type,Mechanism,Site,Cell Line,Cell Type,Tissue Type,Organism,Score,Source,Statements,Paper IDs,Evidence Score,Match Score,Kind Score,Epistemic Value,Total Score
48338,tp53,protein,,tp53,hgnc,11998,,,tp53,protein,,tp53,hgnc,11998,,,positive,i,activation,,,,,,"0.65,0.65,0.65,0.65,0.65,0.86,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.86,0.65","nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan","activated ck2 phosphorylates p53 (at serine 392) to drive p53 for interaction with fact.,on the other hand, meg3 significantly increases p53 protein levels and stimulates p53 dependent transcription [xref_bibr].,in turn, igf-ir signaling induces p53 phosphorylation and inactivation, thus relieving p53 suppression on oct-4 and nanog.,meg3 significantly increases p53 protein level and stimulates p53 dependent transcription [xref_bibr].,furthermore, isoflurane promoted p53 ser15 phosphorylation and increased the binding of p53 to the p21 promoter.,in the naidu et al. study, sumoylation of both p53 and tip60 by piasy was shown to augment p53 k120 acetylation, promoting p53 cytoplasmic accumulation and induction of puma independent autophagic cell death [xref_bibr].,besides, ampk can also initiate cell cycle arrest through persistent phosphorylation and activation of p53, which leads to accelerated p53 dependent cellular senescence [xref_bibr].,thus, transient overexpression of wt p53 from an adenoviral vector was used to induce a wt p53 response and the level of p53 expression was consistent with a physiological stress response.,xref_bibr the targeting of mutant tp53 epitopes or tp53 overexpression in tumors by vaccine has shown promise in a number of in vivo settings.,yet, phosphorylation of p53 by kinases of the atm and atr pathway induces the dissociation of p53 from mdm2, and the subsequent reduction in p53 ubiquitinylation leads to a deceleration of proteasome mediated degradation and hence a stabilization of p53.,the phosphorylation of p53 disrupts its binding with hdm2, blocks ubiquitination and proteolysis, and results in a rapid increase in p53 protein levels, allowing p53 to enter the nucleus, bind to dna and induce expression of dna repair and cell cycle inhibitor genes.,xref_bibr, xref_bibr altogether, p53 isoforms can modulate the response to cellular stress either indirectly by regulating transcriptional activity of p53 family proteins or directly by binding to gene promoters implicated in apoptosis (bax) or cell-cycle arrest (p21 and mir34a).,increased levels of p53 upregulate the downstream molecules p21 (xref_fig and xref_fig) and p27 in p53 wt and, at least some, p53 mut cancer cells, downregulating foxm1, and leading to inhibition of cell cycle at g 2 -m. currently, small molecules designed to inhibit hdm2 mediated ubiquitination are apparently only being tested in patients with p53 wt tumours.,according to the allosteric model, acetylation of p53 causes p53 conformational changes to activate the dna binding domain and induce enhanced transcriptional activity [xref_bibr], leading to activation of cell cycle arrest and apoptosis.,subsequent studies revealed that sirt1 inhibition by dbc1 results in increased acetylation of p53 that, in turn, mediates p53 dependent apoptosis following dna damage [xref_bibr, xref_bibr].,in drosophila, male and female flies exhibited different responses to stress-induced p53 activation, and upregulation of p53 promoted a longer life in male flies, while reducing lifespan in females [ xref ].,these data suggest that p68, p53 and delta133p53alpha may form part of a complex feedback mechanism to regulate the expression of delta133p53, with consequent modification of p53 mediated transcription, and may modulate the function of p53 in breast and other cancers that harbour wild type p53.,the c-terminal phosphorylation of p53 by gsk-3beta at ser 315 and ser 376, on the other hand, directs the export of p53 from the nucleus and its subsequent degradation in the proteasome [xref_bibr, xref_bibr, xref_bibr].","pmc4142057,pmc3759866,pmc3912738,pmc3634483,pmc4626134,pmc4381250,pmc4200829,pmc2585595,pmc4397718,pmc3438527,pmc3431821,pmc3872270,pmc3694247,pmc3681717,pmc4466629,pmc4531141,pmc3016604,pmc3189171",18,10,19,1,199
6490,casp8,protein,,casp8,hgnc,1509,,,casp3,protein,,casp3,hgnc,1504,,,positive,i,activation,,,,,,"0.951,0.8775000000000001,0.8775000000000001,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.8775000000000001","nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan","both caspase 8, from the extrinsic pathway, and caspase 9, from the intrinsic pathway, have been observed to activate the main effector caspase 3, which in turn activates a caspase cascade to eventually evoke the morphological hallmarks of apoptosis such as dna fragmentation [xref_bibr, xref_bibr].,the death receptors activate caspase 8, which further activates caspase 3 via jun-kinase (jnk) to cause apoptosis.,fadd in turn can recruit and activate proximal caspase 8, which subsequently activates effector caspase 3, either by direct processing via a protease cascade or indirectly via a mitochondrial apoptotic pathway [ xref , xref ].,this complex formation triggers cleavage and activation of caspase-8 or caspase-10, which in turn activates downstream caspase-3, -6, -7 and causes eventual apoptosis xref_bibr xref_bibr.,activated caspase-8 activates its downstream effector caspase-3.,after autocatalytic activation of procaspase-8 at the disc, active initiator caspase-8 can either directly or indirectly (via the mitochondrial pathway) activate downstream effector caspases (caspase-3, -6 and -7), leading to the cleavage of cellular proteins and subsequent apoptosis [xref_bibr].,the most common and important effector caspase is caspase-3, which exists as a zymogen and activated by initiator caspases, mainly caspase-8 and caspase-9.,caspase-3 is considered to be the most important of the executioner caspases and is activated by any of the initiator caspases (caspase-8, caspase-9, or caspase-10)21.,in type i cells auto-activation of caspase-8 causes direct activation of downstream effector caspase-3 through proteolytic cleavage.,activated caspase-8 then directly activates the downstream effector caspase-3, resulting in cell death via the type i extrinsic apoptotic pathway, or cleaves bid, a pro-apoptotic member of the bcl-2 family, leading to activation of the type ii extrinsic apoptotic pathway xref , xref .,the antitumorigenic mechanism of fhit is not yet clear; however, for cervical and lung cancer cell lines its reintroduction by use of an adenoviral vector induces strong suppressive effects and reduces tumorigenicity due to an apoptotic effect associated with caspase-8 cleavage and activation of the effector caspase-3 [ xref ].,in type i cells, large amounts of active caspase-8 formed at the disc directly induces activation of pro-caspase-3 independently of mitochondria [xref_bibr].,consequently, the protein complex activates pro-caspase-8, which proceeds to trigger pro-caspase-3, the penultimate enzyme for the execution of the apoptotic process [xref_bibr].,finally, caspase-8 activates caspase-3 in order to trigger the final steps of apoptosis ( xref ).","pmc3397358,pmc3821660,pmc3348077,pmc4879700,pmc4650930,pmc2330055,pmc4549042,pmc4700493,pmc3759859,pmc4515820,pmc1291396,pmc4496101,pmc4455968,pmc2841246",14,10,18,1,158
6515,casp9,protein,,casp9,hgnc,1511,,,casp3,protein,,casp3,hgnc,1504,,,positive,i,activation,,,,,,"0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65","nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan","bh3-only and bax-like proteins are essential initiators of apoptosis while the bcl-2-like proteins are pro-survival factors that safeguard the cells against apoptosis.both caspase 8, from the extrinsic pathway, and caspase 9, from the intrinsic pathway, have been observed to activate the main effector caspase 3, which in turn activates a caspase cascade to eventually evoke the morphological hallmarks of apoptosis such as dna fragmentation [30,31].,active caspase-9 then activates caspase-3, initiating a cascade of additional caspase activations that culminates in apoptosis.,intrinsic pathways are directly or indirectly activated by intrinsic death stimuli such as reactive oxygen species (ros), dna-damaging reagents, resulting in the release of cytochrome-c and the activation of caspase-9 which in turn activates caspase-3 [ xref ].,activated caspase 9 in turn activated caspase 3.,the most common and important effector caspase is caspase-3, which exists as a zymogen and activated by initiator caspases, mainly caspase-8 and caspase-9.,proapoptotic members of the bcl-2 family, such as bax and bid, undergo conformational change, oligomerization, and translocation to the mitochondria, resulting in cytochrome c release that ultimately induces caspase 9 cleavage and activation; activated caspase 9 in turn activates caspase 3.,caspase-3 is considered to be the most important of the executioner caspases and is activated by any of the initiator caspases (caspase-8, caspase-9, or caspase-10)21.,however, concomitant knockdown of mda5 and tlr3 were more effective to suppress upregulation of caspase9 and activated caspase 3 triggered by poly(i:c) treatment in nb cells than either single knockdown or other double knockdowns of tlr3, mda5, and rig-i. interestingly, cleaved mavs and caspase8 were also most significantly decreased in double knockdown of mda5 and tlr3 (figure xref ).,the main mechanism by which manuka appears to exert its anti-proliferative effect on cancer cells is through the activation of the intrinsic apoptotic pathway, involving the induction of the initiator caspase-9 which in turns activates the executioner caspase-3 xref_bibr.,activated caspase-9 in this complex activates caspase-3 to execute apoptosis [ xref – xref ] ( xref ).,subsequently, caspase-9 cleaves and thereby activates downstream effector caspases, among them caspase-3 and caspase-7 which then cleave various substrates leading to the characteristic morphological changes associated with apoptosis [xref_bibr].","pmc3397358,pmc4695650,pmc3076298,pmc4296919,pmc4549042,pmc2064766,pmc4700493,pmc4694805,pmc3567021,pmc3431821,pmc3828874",11,10,18,1,128
13986,egfr,protein,,egfr,hgnc,3236,,,src,protein,,src,hgnc,11283,,,positive,i,activation,,,,,,"0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.8775000000000001,0.951","nan,nan,nan,nan,nan,nan,nan,nan,nan,nan","during this process, egfr signaling might activate the src family kinase fyn, leading to phosphorylation of beta4 on tyrosine, or might activate conventional pkc, leading to beta4 phosphorylation on serine.,xref_bibr egfr activates at least five different signaling pathways : the ras/raf/mapk, the phospholipase c, the pi3k and akt, the stat, and the src pathways.,intestinal epithelial cancer cells commonly display egfr mediated sustained activation of src interacting with fak and consequent mek and erk activation to resist anoikis [xref_bibr].,interestingly src, which is activated by egfr signaling, mediates cell proliferation of both du-145 and pc-3 cells [xref_bibr, xref_bibr].,many growth factor receptors or g-protein-coupled receptors located in the plasma membrane can activate src, including egfr, vegfr, pdgfd or fgfr.,up-regulation of egfr ligands and egfr activity stimulates proliferation and activates the src pathway to tyrosine phosphorylate pkc-delta, reducing its role as an essential component of the keratinocyte death pathway, thus inhibiting the terminal stage of differentiation.,to determine whether cam is implicated in egfr mediated src activation in egfr overexpressing a431 cells, we performed experiments in the presence of the cam antagonist n-(6-aminohexyl)-5-chloro-1-naphthalenesulfonamide (w-7) and the less potent but not inactive inhibitor n-(4-aminobutyl)-2-naphthalenesulfonamide (w-12).,resistant cells obtained from patients treated with ceritinib revealed activation of the egfr, mitogen activated protein (map) kinase, and src pathways, and the cells were sensitive to combination therapies with inhibitors for egfr, map kinase-erk kinase (mek), and src [xref_bibr].,activation of src by egfr further activates akt, which leads to both acquired and de novo trastuzumab resistance in breast cancer.,in fact, egfr-induced activation of src family kinases (sfk) is necessary and sufficient for induction of migration on vitronectin in vitro and metastasis in vivo .","pmc2172609,pmc3004666,pmc3439988,pmc4868713,pmc4810111,pmc3428947,pmc4461253,pmc4593363,pmc3392105,pmc3711644",10,10,19,1,119
44440,stat3,protein,,stat3,hgnc,11364,,,il6,protein,,il6,hgnc,6018,,,positive,i,activation,,,,,,"0.65,0.65,0.86,0.65,0.65,0.65,0.65,0.65,0.65","nan,nan,nan,nan,nan,nan,nan,nan,nan","cytokine profiling revealed lower levels of proinflammatory mediators il-6, ifn-gamma, il-17, and ccl5 produced by stat3 deficient tumors relative to wt controls.,il-6 also activated stat3, probably by direct phosphorylation of stat3 by jak.,(i) the stat3 inducing cytokines il-10, il-6, and lif were identified as part of the signaling network established in the present study.,the actions of many cytokines and chemokines that led to the discovery of the stat family, especially il-6 and interferon (ifn), are mediated principally by stat3 and are critical for proper immune function.,this effect is potentiated by stat3 activating cytokines il-6 and il-10 produced by stat3 activated tumor cells.,40 this assumption is underlined by following observational clinical studies : in 2000, ridker et al. 41 identified plasma concentration of the stat3 activating cytokine il-6 as a risk predictor for myocardial infarction.,therefore wp1066 inhibition of stat3 activity and tumour progression was due in part to reduced polymophonuclear infiltration and reduced stat3 dependent transcription of pro inflammatory il-6, il-11, il-1alpha, il-1beta and cox2 genes.,report elevations in these proteins in stat3 overexpressing livers, which provides evidence that stat3 mediates the major anti-apoptotic effects of il-6.,the du145 cell line exhibits reduced stat3 dna binding, which makes du145 cells unresponsive to stat3 mediated il-6 signaling.","pmc4827001,pmc3881601,pmc4877997,pmc3735336,pmc3670267,pmc4431663,pmc4013079,pmc4601860,pmc4347593",9,10,20,1,110
43964,src,protein,,src,hgnc,11283,,,egfr,protein,,egfr,hgnc,3236,,,,i,phosphorylation,,,,,,"0.65,0.65,0.8775000000000001,0.65,0.65,0.86,0.951,0.951","nan,nan,nan,nan,nan,nan,nan,nan","phosphorylation of egfr following lncap cells stimulation with egf, for example, may be induced by src which becomes activated after binding to ar and estrogen receptor beta (erbeta).,activated src phosphorylates egf receptor in a ligand-independent manner, which activates the erk and akt pathways, leading to bim degradation and suppression of anoikis.,oxidised src then promotes ligand-independent phosphorylation and activation of egfr.,moreover, ang ii activated egfr signalling in renal proximal tubule epithelial cells results mostly by the non-ligand-mediated receptor transactivation mediated by ros-dependant src activation, which leads to phosphorylation of both egfr and caveolin-1 and their association in the lipid rafts (xref_fig).,the protein tyrosine kinase c-src can directly phosphorylate tyr residues in the kinase domain her2 [ xref , xref ] and the cytoplasmic tail of egfr [ xref ], allowing the formation of stable homo- or heterocomplexes with other receptors or the binding of scaffold proteins and the activation of signal transduction.,egfr (tyr845) phosphorylation is mediated primarily by src kinase.,however, inhibition of src tyrosine kinase activity inhibiting the maximal activation of egfr by preventing the phosphorylation of egfr at y845 and y1101.,however, inhibition of src tyrosine kinase activity inhibiting the maximal activation of egfr by preventing the phosphorylation of egfr at y845 and y1101.","pmc3634711,pmc3296207,pmc3219092,pmc4784721,pmc4482606,pmc3485230,pmc4455704,pmc4455704",8,10,19,1,99
8191,cdkn1a,protein,,cdkn1a,hgnc,1784,,,tp53,protein,,tp53,hgnc,11998,,,positive,i,activation,,,,,,"0.65,0.65,0.65,0.86,0.65,0.65,0.65","nan,nan,nan,nan,nan,nan,nan","the known p53 targets p21 waf and bax substantially increased after doxorubicin treatment in mefs incubated with 4-oht; however, consistent with being reported as sall2 targets, xref_bibr, xref_bibr the increase of p21 waf and bax were almost lost in sall2 -/- mefs, even under the activation of p53 by 4-oht and doxorubicin (xref_fig).,hmgb1 depletion was associated with p21 upregulation in a p53 independent manner.,p21 is a transcriptional target of p53 and exhibits a crucial function in cell cycle arrest.,however, protein immunoblots indicated that mdm2 and the p53 target p21 were induced by nutlin-3 in both cell types (see xref_fig).,p21 mediates the p53 dependent cell cycle g1 phase arrest and might play an important role in sarcomagenesis.,activated p53 spurs p21 and waf1, an inhibitor for g2/m specific cell division control protein 2 kinase and cyclin dependent g1 kinase subsequently leading to g2/m and g1 checkpoint control.,they also reported that p53 dependent transcriptional activation of target genes, such as p21 cip1 and noxa, was not observed in chk2 -/- cells.","pmc4650718,pmc4171638,pmc4844642,pmc3193861,pmc3916197,pmc4637410,pmc3682694",7,10,19,1,89
4688,bcl2,protein,,bcl2,hgnc,990,,,bax,protein,,bax,hgnc,959,,,positive,i,activation,,,,,,"0.65,0.65,0.65,0.65,0.65,0.65","nan,nan,nan,nan,nan,nan","metformin significantly down-regulated the expression of the anti-apoptotic proteins bcl-2 and bcl-xl and up-regulated the pro apoptotic protein bax.,b-cell lymphoma 2 (bcl-2) homology 3 (bh3)-only proteins represent a class of pro apoptotic factors that neutralize pro survival bcl-2 proteins, and, in some cases, directly activate bax.,in type ii cells, activated caspase-8 at the disc cleaves the proapoptotic bcl-2 protein bid, which then translocates to the mitochondria and activates bax, leading to mitochondria permeabilization and subsequent activation of caspase-9.,xref_bibr jnks are known to phosphorylate bh3-only subgroup of bcl2 related proteins (bim and bmf) to induce bax dependent apoptosis, xref_bibr but they can also phosphorylate proapoptotic bcl-2 family bad protein to inhibit apoptosis.,puma and noxa then inhibit the anti-apoptotic proteins bcl-2 and bcl-x l, thus allowing the pro apoptotic molecules bax and bak to multi-merize and to insert into the mitochondrial membrane.,therefore, it appears that moap-1 may function similar to the canonical bh3-only proteins of the bcl-2 family that are known to promote bax activation and which are also inhibited by its anti-apoptotic family members.","pmc3518152,pmc3270271,pmc3332161,pmc3942331,pmc3828874,pmc3382356",6,10,19,1,79
4687,bcl2,protein,,bcl2,hgnc,990,,,bax,protein,,bax,hgnc,959,,,negative,i,inhibition,,,,,,"0.65,0.65,0.65,0.65,0.65,0.65","nan,nan,nan,nan,nan,nan","note that while the level of pro apoptotic protein bax was not altered, the antiapoptotic bcl-2 level was reduced, resulting in a higher ratio of bax over bcl-2 expression.,chop acts to induce apoptosis by promoting constitutively expressed bax translocation to the mitochondria through inhibition of anti-apoptotic bcl-2 transcription, as bcl-2 functions to inhibit bax in pro survival conditions.,in osteosarcoma u2-os cells, sclu depletion induced bax activation by suppressing bcl-2 protein and stabilizing p53, which leads to the activation of p21 and bax genes [xref_bibr].,likewise, adenovirus mediated gene delivery of an amino-terminal truncated version of bax (deltan bax : corresponding to amino acid 112-192 of full-length bax), that can not be suppressed by the anti-apoptotic bcl-2 family members has been generated.,moreover, the activation of akt by ser473 phosphorylation is reported to in part impair cisplatin induced apoptosis by inactivating bcl-2-associated death promoter (bad) or by increasing b-cell lymphoma 2 (bcl-2) expression levels, thereby blocking bcl-2 homologous antagonist/killer/bcl-2-associated x protein (bak and bax) activation [xref_bibr, xref_bibr].,as with bim, tbid, and puma, the ability of p53 to bind to and activate bak and bax in the mitochondria is limited by the relative abundance of anti-apoptotic bcl-2 family members [xref_bibr - xref_bibr].","pmc4776112,pmc3307021,pmc4951308,pmc4496101,pmc4565013,pmc3189171",6,10,19,1,79
21662,ifng,protein,,ifng,hgnc,5438,,,stat1,protein,,stat1,hgnc,11362,,,,i,phosphorylation,,,,,,"0.9419,0.951,0.86,0.9419,0.9419,0.949271","nan,nan,nan,nan,nan,nan","the cys712 of stat3 is unique ( xref ), which is consistent with the observation that eb had no effects on the ifn-γ-induced stat1 and stat5 phosphorylation while inhibited the stat3 phosphorylation ( xref ).,however, whereas ifngamma stimulation efficiently enhanced stat1 phosphorylation in both ct26 flag-socs1 and plpcx cells, but the fold induction of stat1 phosphorylation induced by ifngamma relative to non stimulated cells was slightly lower in flag-socs1 expressing ct26 than in the control cells (xref_fig).,this enabled the design of the stat3-specific hpdodn labeled here as hpdodn b. the ability of hpdodn b to discriminate between stat1 and stat3 was assessed by: i) its ability to kill cells without interfering with ifnγ-induced cell death; ii) its ability to inhibit stat3 targets, including cyclin d1, iii) the absence of inhibition of ifnγ-induced stat1 phosphorylation and irf1 expression, iv) its lack of interaction with stat1 in pull-down assays and iv) its inability to inhibit ifnγ-induced stat1 nuclear location.,in contrast to curcumin and other stat3 pathway inhibitors, ifn-γ-induced stat1 phosphorylation was not altered in the presence of flll32.,following ifn-γ stimulation with or without shp2 inhibition using the selective inhibitor nsc87877, we observed that akt-, gsk-3β r96a -, shp2-, and shp2 d61a -transfected mkn45 cells were significantly resistant to ifn-γ-induced stat1 phosphorylation at tyr701 ( xref ) and irf1 transactivation (figure xref ) in a shp2-dependent manner.,western blotting showed an increased level of galectin-3 in ifn-γ-insensitive ags cells accompanied by the generation of cellular unresponsiveness to ifn-γ-induced stat1 phosphorylation at tyr701 (figure xref ) and irf1 transactivation (figure xref ).","pmc4444003,pmc4585755,pmc3325846,pmc2902420,pmc4924776,pmc4924776",6,10,19,1,79
