index,Regulator Name,Regulator Type,Regulator Subtype,Regulator HGNC Symbol,Regulator Database,Regulator ID,Regulator Compartment,Regulator Compartment ID,Regulated Name,Regulated Type,Regulated Subtype,Regulated HGNC Symbol,Regulated Database,Regulated ID,Regulated Compartment,Regulated Compartment ID,Sign,Connection Type,Mechanism,Site,Cell Line,Cell Type,Tissue Type,Organism,Score,Source,Statements,Paper IDs,Evidence Score,Match Score,Kind Score,Epistemic Value,Total Score
116,atm,protein,,tlr2,hgnc,795,,,chek2,protein,,chek2,hgnc,16627,,,positive,i,activation,,,,,,"0.65,0.86,0.8775000000000001,0.65,0.8775000000000001,0.65","nan,nan,nan,nan,nan,nan","the transducer proteins include the kinases atm and atm- and rad3 related (atr); atm and atr phosphorylates and thereby activates the checkpoint kinases chk1 and chk2, which control hur cytoplasmic abundance and rna binding, respectively.,pp5 deficient mefs displayed a defect in the g2/m checkpoint after ir, a decrease in atm activity, and less phosphorylation of the atm targets chk2 and nbs1 after dna damage [xref_bibr].,although chk1 activation is primarily dependent on ataxia telangiectasia mutated (atm) and rad3-related kinase (atr) activated by stalled replication forks and single-strand dna breaks, chk2 is mainly activated by atm induced by dna double-strand breaks (dsbs) [ xref ].,here, we report that the inhibition of sirt1 by dbc1 in the dna damage response (ddr) also depends on chk2, the transducer kinase that is activated by atm upon dna lesions and contributes to the spreading of dna damage signal.,in mice, chk2 is activated by atm in female germ cells during early meiosis ( xref ) and regulates cell cycle progression and spindle assembly during oocyte maturation and early embryo development ( xref ).,for this, etoposide treated u2os-ccar2 +/+ and ccar2-/- cells were harvested 6h later and analysed for the phosphorylation of the atm targets chk2 and kap1.","pmc2925474,pmc2954851,pmc4159025,pmc4245943,pmc4296918,pmc4627348",6,10,3,1,63
880,mtor,protein,,mtor,hgnc,3942,,,autophagy,biologicalprocess,,,go,go:0006914,,,negative,i,inhibition,,,,,,"0.65,0.8775000000000001,0.8775000000000001,0.65","nan,nan,nan,nan","inhibition of mtor kinase by specific inhibitors, rapamycin or nutrient deprivation, induces activation of autophagy [xref_bibr].,akt activates mtor by a cascade of phosphorylations, and mtor inhibits autophagy through the inhibitory phosphorylation of ulk1 (unc-51 like autophagy activating kinase 1) and atg13, proteins required for autophagy induction.,generally, mtor inhibits autophagy, and the kinase activity of mtor is inferred by measuring the phosphorylation of substrates, such as s6k1 and 4e-bp1. xref , xref to determine whether rasfonin-induced autophagy is associated with mtor pathway, the phosphorylation of s6k1 and 4e-bp1 was examined; and the results showed that the phosphorylation of these proteins decreased in a concentration-dependent manner in response to rasfonin in achn cells ( xref ).,our findings suggest that the rapid rheostatic response, mediated by mtor, allows the cell to quickly adapt to metabolic changes, while the long-term, mtor independent homeostatic response controls the magnitude and duration of tfeb activation, and presumably limits excessive autophagy.","pmc3291999,pmc4091167,pmc4720880,pmc4896000",4,10,7,1,47
326,chek2,protein,,chek2,hgnc,16627,,,tp53,protein,,tp53,hgnc,11998,,,positive,i,activation,,,,,,"0.65,0.951,0.951","nan,nan,nan","x foci (xref_fig) and phosphorylation of p53 at serine 15, an indicator of atm activation and downstream chk2 mediated p53 stabilisation (xref_fig).,chk2 can also activate p53 via the phosphorylation of other proteins, such as che-1, strap, hdmx, as described above, and calcineurin binding protein 1 (cabin1).,both chk1 and chk2 can activate p53 upon dna damage (shieh et al ., xref ) and are important for cell cycle checkpoints, however, while chk1 is crucial for intra-s and g2/s transition, chk2 is more important for g1/s checkpoint (liu et al ., xref ; takai et al ., xref , xref ; hirao et al ., xref ).","pmc3325598,pmc4296918,pmc4331747",3,10,7,1,37
843,mdm2,protein,,mdm2,hgnc,6973,,,tp53,protein,,tp53,hgnc,11998,,,negative,i,inhibition,,,,,,"0.65,0.951,0.65","nan,nan,nan","further, 14-3-3 sigma decreases the half-life of mdm2 and blocks mdm2 mediated p53 degradation by inhibiting mdm2 's ubiquitin ligase activity and also interferes with the nuclear-export activity of mdm2 towards p53.,growing evidence suggests that since mdm2 can mediate degradation of p53 mut in normal tissue [xref_bibr, xref_bibr] the stabilization of p53 mut is not due to the lack of transcriptional activation of mdm2.,consequently, mdm2 loss can trigger a p53 independent senescence program.","pmc2817464,pmc4171619,pmc4480747",3,10,5,1,35
1193,rps6kb1,protein,,rps6kb1,hgnc,10436,,,irs1,protein,,irs1,hgnc,6125,,,,d,phosphorylation,,,,,,"0.8775000000000001,0.8775000000000001","nan,nan","the results show that only in irs-1 108-516 in which serines 302, 307, and 310 are mutated (xref_fig a, site 2) is irs-1 not phosphorylated in vitro by s6k1 (xref_fig c, left panels).,however an alternate event, p70 s6 kinase phosphorylation of irs-1 on s636/639, could also occur resulting in decreased igf-1r signaling.","pmc2172316,pmc3187934",2,10,7,1,27
908,mtor,protein,,mtor,hgnc,3942,,,rps6kb1,protein,,rps6kb1,hgnc,10436,,,positive,i,activation,,,,,,"0.65,0.86","nan,nan","recently we have demonstrated that rapamycin inhibits f-action reorganization and cell motility by inhibition of mtor mediated s6k1 and 4e-bp1/eif4e pathways xref_bibr, xref_bibr.,in summary, both the mtor downstream targets of p70s6k and eif4e were involved in regulating uc cell proliferation, and inhibiting both p70s6k and eif4e phosphorylation by rapamycin showed a more potent anti-proliferative effect than inhibiting p70s6k or 4e-bp1 phosphorylation alone.","pmc2868031,pmc4330487",2,10,7,1,27
278,cdkn2a,protein,,cdkn2a,hgnc,1787,,,mdm2,protein,,mdm2,hgnc,6973,,,negative,i,inhibition,,,,,,"0.65,0.65","nan,nan","further, e2f-1 upregulates p14 arf, which negatively regulates mdm2.,our results suggest that inhibition of mdm2 by npm and arf are not independent and respond to cellular stress via disruption of npm oligomerization.","pmc2817464,pmc4171619",2,10,5,1,25
1330,src,protein,,src,hgnc,11283,,,egfr,protein,,egfr,hgnc,3236,,,positive,i,activation,,,,,,"0.65,0.65","nan,nan","in some cases of nsclc expressing mutant egfr, gefitinib does not inhibit cell proliferation, but pp2 does, collectively suggesting that gefitinib resistance of the mutant egfr is due to the src dependent modulation of egfr activity.,in addition, beta-arrestin has been shown to recruit src to some gpcrs and the association of ep4, beta, arrestin1, and src complex has been shown to induce the activation of egfr and akt.","pmc3709701,pmc4624070",2,10,5,1,25
1451,tp53,protein,,tp53,hgnc,11998,,,tp53,protein,,tp53,hgnc,11998,,,negative,i,inhibition,,,,,,"0.65,0.65","nan,nan","p53 acetylation by p300 impairs the interaction of p53 with h1.2 and triggers a rapid activation of p53 dependent transcription.,importantly, both tip60 phosphorylation and p53 acetylation were blocked by treatment with the gsk3 inhibitor sb-21676, demonstrating the functional role of gsk3 in p53 activation.","pmc3330162,pmc3481126",2,10,5,1,25
763,ins,protein,,ins,hgnc,6081,,,rps6kb1,protein,,rps6kb1,hgnc,10436,,,positive,i,activation,,,,,,"0.65,0.65","nan,nan","xref_fig shows that despite increased basal p70 s6 kinase phosphorylation, insulin caused an additional up-regulation of p70 s6 kinase on thr389 after incubation with insulin for 15 min to 16 hours.,it has been described that insulin or igf-1 stimulates activation of s6k1, which is attributed to mtor repression of pp2a activity against s6k1 xref_bibr.","pmc150512,pmc2868031",2,10,5,1,25
