Regulator Name,Regulator Type,Regulator Subtype,Regulator HGNC Symbol,Regulator Database,Regulator ID,Regulator Compartment,Regulator Compartment ID,Regulated Name,Regulated Type,Regulated Subtype,Regulated HGNC Symbol,Regulated Database,Regulated ID,Regulated Compartment,Regulated Compartment ID,Sign,Connection Type,Mechanism,Site,Cell Line,Cell Type,Tissue Type,Organism,Score,Source,Statements,Paper IDs,Evidence Score,Match Score,Kind Score,Epistemic Value,Total Score
sirolimus,chemical,,,chebi,chebi:9168,,,mtor,protein,,mtor,hgnc,3942,,,negative,i,inhibition,,,,,,"0.65,0.86,0.65,0.86,0.65,0.65,0.923,0.923","nan,nan,nan,nan,nan,nan,nan,nan","in peutz jeghers syndrome, tuberous sclerosis, and other diseases where pten is inactivated, the use of rapamycin as a clinical means to reverse the effect of elevated mtor activity is an attractive option (inoki et al, 2005a).,active-site inhibitors of mtor target rapamycin resistant outputs of mtorc1 and mtorc2.,it was reported that the inhibition of mtor by rapamycin triggers the activation of two survival signaling pathways that may contribute to drug resistance.,the inhibition of phosphorylation of its downstream substrate p70s6 kinase (xref_fig) shows that mtor was effectively inhibited by rapamycin.,in addition, our data show that alpha-tea not only enhances rapamycin suppression of mtor and induction of apoptosis, but also suppresses rapamycin mediated feedback activation of akt, providing a rationale for developing a combination regimen of mtor+ alpha-tea for breast cancer treatment.,these studies demonstrated that two drugs (gsk inhibitor chir99021 and the mtor blocker rapamycin) increased the number of long-term hsc in vivo [xref_bibr].,inhibition of mtor by rapamycin blocked radiation induced mtor mitochondrial relocation and the shift of glycolysis to mitochondrial respiration, and reduced the clonogenic survival.,these findings suggest that both the mtor pathway downstream of eif4e and p70s6k can be successfully inhibited by high dose rapamycin only, and p70s6k and elf4e dual inhibition is essential to control bladder tumor growth and progression.","pmc2361102,pmc2637922,pmc2652403,pmc2653860,pmc3039802,pmc4102778,pmc4373728,pmc4330487",8,100,40,1,840
akt,other,,,text,akt,,,tsc2,protein,,tsc2,hgnc,12363,,,,d,phosphorylation,,,,,,"0.65,0.951,0.65,0.9804,0.65","nan,nan,nan,nan,nan","a connection between pten and tsc1-2 has also been proposed via pten loss of function leading to hyperactivation of the protein kinase pkb and akt, which phosphorylates tuberin.,tsc2 is also phosphorylated by akt leading to its inactivation and consequently to increased mtor activity.,these results confirmed that tuberin is a direct physiological substrate of akt and that phosphorylation of tuberin by pi3k and akt is a major mechanism controlling hamartin-tuberin function [xref_bibr].,in cells that express activated akt, akt may phosphorylate tsc2 resulting in its inactivation.,akt phosphorylates tuberous sclerosis 2 (tsc2 or hamartin).","pmc2172316,pmc2361102,pmc2652403,pmc3660063,pmc3837323",5,100,40,1,540
cdk4,protein,,cdk4,hgnc,1773,,,rb1,protein,,rb1,hgnc,9884,,,,i,phosphorylation,,,,,,"0.8775000000000001,0.65,0.65,0.65","nan,nan,nan,nan","cyclin d binds to cdk4, forming the active cyclin d–cdk4 complex, the cyclin d–cdk4 complex phosphorylates and inactivates the rb.,immunoblots for total rb showed accumulation of the slower migrating hyperphosphorylated forms of rb after the switch to 11 mm glucose, and cdk4 knockdown clearly inhibited the hyperphosphorylation of rb.,galectin-3 induces rb phosphorylation by cyclin d1 and cdk4.,ras and cdk4 co-expression promotes rb phosphorylation, ultimately resulting in human invasive neoplasm.","pmc3730417,pmc4135037,pmc4211374,pmc3742489",4,100,40,1,440
sirolimus,chemical,,,chebi,chebi:9168,,,mtor,protein,,mtor,hgnc,3942,,,positive,i,activation,,,,,,"0.65,0.65,0.65,0.65","nan,nan,nan,nan","the immunosuppressant rapamycin specifically inhibits mtor activity and retards cancer growth.,here, we show that rapamycin activates the upstream kinases, erk1/2 and rsk, of mtor in rat aortic vascular smooth muscle cells, mouse lung fibroblasts (b82l cells), human adrenal cortex adenocarcinoma cells (sw13) and cos7 cells.,rapamycin activates protein phosphatase 2a in an mtor dependent manner.,hek293 cells were co-transfected with egfp-mtor and dsred-raptor, and 24h later were treated with rapamycin at 2h or 24h.","pmc2361102,pmc2653860,pmc2868031,pmc3549280",4,100,40,1,440
akt,other,,,text,akt,,,tsc2,protein,,tsc2,hgnc,12363,,,,i,phosphorylation,,,,,,"0.65,0.65,0.65","nan,nan,nan","akt (also known as pkb) phosphorylates and inactivates tsc2 in response to growth factors xref , whereas ampk phosphorylates and activates tsc2 in response to low energy (high amp) xref , xref .,in the first, akt phosphorylates and inhibits the gtpase-activating protein tsc2, thereby allowing the small gtpase rheb to remain gtp-bound and activate mtorc1 (ref. xref ).,in response to growth factors, akt directly phosphorylates tsc2 on several distinct residues [ xref ] that prevents the formation of tsc1-tsc2 complex, thus allowing gtpase rheb to convert back into the gtp-bound active state [ xref ] which leads to mtorc1 activation [ xref , xref ].","pmc2075366,pmc4216640,pmc4258317",3,100,40,1,340
akt,other,,,text,akt,,,mtor,protein,,mtor,hgnc,3942,,,positive,i,activation,,,,,,"0.65,0.86,0.8775000000000001","nan,nan,nan","the phosphatidylinositol-3 kinase and akt signaling pathway activates mtor, in turn, directly phosphorylating ribosome protein s6 kinase 1 (s6k1) and eif4e binding protein 1, both of which are important in the control of protein translation initiation.,however, upon akt mediated activation of mtor, these latter mrnas are highly and disproportionately translated.,akt activates mtor by a cascade of phosphorylations, and mtor inhibits autophagy through the inhibitory phosphorylation of ulk1 (unc-51 like autophagy activating kinase 1) and atg13, proteins required for autophagy induction.","pmc3388235,pmc3660063,pmc4091167",3,100,40,1,340
ep300,protein,,ep300,hgnc,3373,,,tp53,protein,,tp53,hgnc,11998,,,,d,acetylation,,,,,,"0.65,0.65,0.65","nan,nan,nan","p53 ctd is acetylated at k370, k372, k381 and k382 by p300 and cbp and these acetylations have been shown to decrease the non specific dna binding of p53 ctd in vitro.,because p53 is acetylated by p300 at multiple lysine residues (k373, k381 and k382) within the c-terminal regulatory domain for its transcriptional activation function, a possible explanation for our transcription results is that the h1.2 core complex could interfere with p300 mediated acetylation of p53.,because p53 is acetylated by p300 at multiple lysine residues (k373, k381 and k382) within the c-terminal regulatory domain for its transcriptional activation function, a possible explanation for our transcription results is that the h1.2 core complex could interfere with p300 mediated acetylation of p53.","pmc2817464,pmc3330162,pmc3330162",3,100,40,1,340
mtorc1,biologicalprocess,,,go,go:0031931,,,autophagy,biologicalprocess,,,go,go:0006914,,,negative,i,inhibition,,,,,,"0.65,0.951","nan,nan","mtorc1 is a repressor of autophagy, a lysosome dependent degradation pathway which allows cells to recycle damaged or superfluous cytoplasmic content, such as lipids, proteins, and organelles [xref_bibr - xref_bibr].,furthermore, mtorc1 inhibits autophagy, an evolutionary-conserved, starvation-induced catabolic process wherein cellular organelles and/or long-lived proteins are enclosed in a double membrane structure and delivered to lysosomes for degradation [ xref , xref ].","pmc3660063,pmc3837323",2,100,40,1,240
akt,other,,,text,akt,,,tsc2,protein,,tsc2,hgnc,12363,,,negative,i,inhibition,,,,,,"0.8775000000000001,0.65","nan,nan","akt (also known as pkb) phosphorylates and inactivates tsc2 in response to growth factors xref , whereas ampk phosphorylates and activates tsc2 in response to low energy (high amp) xref , xref .,in the first, akt phosphorylates and inhibits the gtpase-activating protein tsc2, thereby allowing the small gtpase rheb to remain gtp-bound and activate mtorc1 (ref. xref ).","pmc2075366,pmc4216640",2,100,40,1,240
pi3k,other,,,text,pi3k,,,mtor,protein,,mtor,hgnc,3942,,,positive,i,activation,,,,,,"0.65,0.65","nan,nan","although pa can mimic mitogens in the activation of the mtor downstream signaling pathway, pi3k is not activated in pa treated cells xref_bibr, but wortmannin blocks the action of pa suggesting that basal pi3k activity is required for pa to activate mtor xref_bibr.,the phosphatidylinositol-3 kinase and akt signaling pathway activates mtor, in turn, directly phosphorylating ribosome protein s6 kinase 1 (s6k1) and eif4e binding protein 1, both of which are important in the control of protein translation initiation.","pmc3010991,pmc3388235",2,100,40,1,240
