index,Regulator Name,Regulator Type,Regulator Subtype,Regulator HGNC Symbol,Regulator Database,Regulator ID,Regulator Compartment,Regulator Compartment ID,Regulated Name,Regulated Type,Regulated Subtype,Regulated HGNC Symbol,Regulated Database,Regulated ID,Regulated Compartment,Regulated Compartment ID,Sign,Connection Type,Mechanism,Site,Cell Line,Cell Type,Tissue Type,Organism,Score,Source,Statements,Paper IDs,Evidence Score,Match Score,Kind Score,Epistemic Value,Total Score
279,mapk,other,,,text,mapk,,,stat3,protein,,hgnc:11364,hgnc,11364,,,positive,i,activation,,,,,,0.65,nan,"nevertheless, these observations strengthen our claim that belinostat treatment attenuates mapk signaling, which in return triggers positive stat3 activation as a feedback mechanism.",pmc5537703,1,100,40,1,140
178,gabpa,protein,,hgnc:4071,hgnc,4071,,,tert,protein,,hgnc:11730,hgnc,11730,,,positive,i,activation,,,,,,0.86,nan,"amongst the several ets1 members that have been shown to bind at the sites created by the mutation at -124 position, gabpa has been shown to drive efficient tert transcription [xref_bibr].",pmc5288173,1,100,40,1,140
522,tgn-020,other,,,text,tgn-020,,,il6,protein,,hgnc:6018,hgnc,6018,,,negative,i,decreaseamount,,,,,,0.86,nan,"we thus found that tgn-020 upregulated the threshold of thermal and mechanical allodynia, downregulated the expression of interleukin-1β, interleukin-6, and tumor necrosis factor-α, attenuated the astrocytic activation and suppressed the activation of mitogen-activated protein kinase pathways in the spinal dorsal horn and dorsal root ganglion.",pmc6113736,1,100,40,1,140
521,tgn-020,other,,,text,tgn-020,,,il1b,protein,,hgnc:5992,hgnc,5992,,,negative,i,decreaseamount,,,,,,0.65,nan,"we thus found that tgn-020 upregulated the
threshold of thermal and mechanical allodynia, downregulated the expression of
interleukin-1beta, interleukin-6, and tumor necrosis factor-alpha, attenuated the
astrocytic activation and suppressed the activation of mitogen-activated protein
kinase pathways in the spinal dorsal horn and dorsal root ganglion.",pmc6113736,1,100,40,1,140
503,tcf7l2,protein,,hgnc:11641,hgnc,11641,,,glucose,chemical,,,chebi,chebi:17234,,,negative,i,inhibition,,,,,,0.65,nan,"stable knockdown of foxo3, ncoa3, and tcf7l2 increased growth of dld-1 kras wt/- cells in low glucose without any growth advantage in normal glucose medium.",pmc5755028,1,100,40,1,140
79,dasatinib (anhydrous),chemical,,,chebi,chebi:49375,,,src,protein,,hgnc:11283,hgnc,11283,,,positive,i,activation,,,,,,0.65,nan,"due to the ability of dasatinib to target a number of kinases, in addition to src xref_bibr, xref_bibr, we wanted to next validate the role of src in mediating tumorigenesis and regulating the pi3k pathway, in the dasatinib-intrinsically resistant cell lines.",pmc5833015,1,100,40,1,140
81,dexamethasone,chemical,,,chebi,chebi:41879,,,bcl2,protein,,hgnc:990,hgnc,990,,,negative,i,inhibition,,,,,,0.65,nan,"for meki, synergism has been demonstrated for pi3k and akt inhibitors, dexamethasone, nutlin-3a, which induces the mdm2-p53 axis, and the bcl-2 and bcl-x (l) inhibitor, navitoclax (abt263).",pmc4067595,1,100,40,1,140
122,erk,other,,,text,erk,,,autophagy,biologicalprocess,,,go,go:0006914,,,negative,i,inhibition,,,,,,0.923,nan,the suppression of mek and erk pathway in nabut-senescent eras cells with high torc1 activity initially induces mtorc1 independent autophagy that destabilizes stringent anabolic and catabolic equilibrium of senescent cells resulting in apoptosis.,pmc5723691,1,100,40,1,140
123,erk,other,,,text,erk,,,autophagy,biologicalprocess,,,go,go:0006914,,,positive,i,activation,,,,,,0.65,nan,inhibition of mek and erk pathway in eras cells induced to senescence with nabut impairs autophagy and cellular survival.,pmc5723691,1,100,40,1,140
440,ras,other,,,text,ras,,,stat3,protein,,hgnc:11364,hgnc,11364,,,,i,phosphorylation,,,,,,0.86,nan,these data support the conclusion that ras-dependent stat3 s727 phosphorylation is mek dependent in tumors of both mouse and human origin.,pmc3843736,1,100,40,1,140
439,ras,other,,,text,ras,,,stat3,protein,,hgnc:11364,hgnc,11364,,,,d,phosphorylation,,,,,,0.65,nan,"these data suggest that activated ras is sufficient to maximally phosphorylate mitochondrial stat3, at least to an extent that saturates any function required for transformation.",pmc3843736,1,100,40,1,140
432,ras,other,,,text,ras,,,myc,protein,,hgnc:7553,hgnc,7553,,,negative,i,decreaseamount,,,,,,0.65,nan,"downregulation of ras and mapk1 resulted in ras-mapk1 inhibition, decreased mek and akt phosphorylation and decreased myc levels.",pmc5312311,1,100,40,1,140
158,ets1,protein,,hgnc:3488,hgnc,3488,,,tert,protein,,hgnc:11730,hgnc,11730,,,positive,i,activation,,,,,,0.65,nan,these data demonstrate that ets1 is selectively recruited to the mutant tert allele in melanoma cell lines and induce an allele specific activation of tert.,pmc5288173,1,100,40,1,140
159,ets1,protein,,hgnc:3488,hgnc,3488,,,tert,protein,,hgnc:11730,hgnc,11730,,,positive,i,increaseamount,,,,,,0.86,nan,"u0126 inhibited erk activation and reduced tert expression, which was not further decreased by ets1 or gabpa depletion.",pmc5288173,1,100,40,1,140
171,foxo3,protein,,hgnc:3821,hgnc,3821,,,glucose,chemical,,,chebi,chebi:17234,,,negative,i,inhibition,,,,,,0.65,nan,"stable knockdown of foxo3, ncoa3, and tcf7l2 increased growth of dld-1 kras wt/- cells in low glucose without any growth advantage in normal glucose medium.",pmc5755028,1,100,40,1,140
177,gabpa,protein,,hgnc:4071,hgnc,4071,,,tert,protein,,hgnc:11730,hgnc,11730,,,negative,i,inhibition,,,,,,0.65,nan,"gabpa could be in a complex preventing binding of the antibody by masking the epitope, or epigenetic modifications of the tert promoter in our cells could prevent binding of the transcription factor [xref_bibr].",pmc5288173,1,100,40,1,140
179,gabpa,protein,,hgnc:4071,hgnc,4071,,,tert,protein,,hgnc:11730,hgnc,11730,,,positive,i,increaseamount,,,,,,0.9419,nan,"as gabpa has been previously shown to drive efficient tert transcription in cell lines with the mutations [xref_bibr], we tested whether inhibition of gabpa by rna interference decreased tert expression.",pmc5288173,1,100,40,1,140
525,tiam1,protein,,hgnc:11805,hgnc,11805,,,rac1,protein,,hgnc:9801,hgnc,9801,,,positive,i,activation,,,,,,0.65,nan,"although the exact mechanism is unknown, nm23-h1 was shown to interact with factors involved in rac1 activation, such as the small gtpase arf6 or the nucleotide exchange factor tiam1 [xref_bibr, xref_bibr].",pmc4020307,1,100,40,1,140
185,gk,protein,,hgnc:4289,hgnc,4289,,,rps6,protein,,hgnc:10429,hgnc,10429,,,,i,dephosphorylation,,,,,,0.65,nan,"importantly, the c-src gk mutant abrogates the reduction in akt and rps6 phosphorylation observed with either single agent or the combination, indicating that the ability of dasatinib to reduce signaling through the pi3k pathway is mediated through its inhibitory effects on src.",pmc5833015,1,100,40,1,140
394,pi3k,other,,,text,pi3k,,,stat3,protein,,hgnc:11364,hgnc,11364,,,,i,phosphorylation,,,,,,0.65,nan,"these data also show that the raf-mek-erk pathway, and not the pi3k pathway triggered by ras oncoproteins leads to stat3 s727 phosphorylation.",pmc3843736,1,100,40,1,140
390,pi3k,other,,,text,pi3k,,,bcl2,protein,,hgnc:990,hgnc,990,,,negative,i,inhibition,,,,,,0.65,nan,"for meki, synergism has been demonstrated for pi3k and akt inhibitors, dexamethasone, nutlin-3a, which induces the mdm2-p53 axis, and the bcl-2 and bcl-x (l) inhibitor, navitoclax (abt263).",pmc4067595,1,100,40,1,140
217,integrins,biologicalprocess,,,go,go:0034666,,,hras,protein,,hgnc:5173,hgnc,5173,,,negative,i,inhibition,,,,,,0.65,nan,we demonstrated here that epithelial cells expressing the alpha4beta1 integrin and persistently engaged in vitro with the ecm glycoprotein emilin1 and gc1q promoted an integrin dependent downregulation of hras signaling.,pmc5432316,1,100,40,1,140
230,jnk,other,,,text,jnk,,,tnf,protein,,hgnc:11892,hgnc,11892,,,positive,i,activation,,,,,,0.86,nan,"finally, the negative regulation of the jnk mapk pathway by ptpn1 was found to reduce the tumor necrosis factor alpha (tnfalpha)-dependent cell death response.",pmc5636874,1,100,40,1,140
365,p70s6k-ca,other,,,text,p70s6k-ca,,,rps6,protein,,hgnc:10429,hgnc,10429,,,,i,dephosphorylation,,,,,,0.65,nan,"expression of p70s6k-ca was able to partially rescue the inhibition of rps6 phosphorylation in the presence of the combination therapy, as we observed a 2-fold to 5-fold attenuation in the reduction in rps6 phosphorylation when treating with the combination therapy, in comparison to the controls.",pmc5833015,1,100,40,1,140
248,let-7,other,,,text,let-7,,,hras,protein,,hgnc:5173,hgnc,5173,,,positive,i,activation,,,,,,0.65,nan,"to date, let-7 has been reported to target hras [xref_bibr] and kras [xref_bibr], mir-200c and mir-30c target kras, mir-148b targets nras, mir-7 targets raf1, mir-206 targets rasa1 and mir-21 targets spred1 in breast cancer cells [xref_bibr].",pmc5410235,1,100,40,1,140
347,nras,protein,,hgnc:7989,hgnc,7989,,,tert,protein,,hgnc:11730,hgnc,11730,,,positive,i,increaseamount,,,,,,0.65,nan,"the acquisition of tert promoter mutation in braf or nras mutated melanoma probably allows the re-expression of tert leading to the immortalization process on path to melanoma development, together with other alterations such as inactivation of cyclin dependent kinase inhibitor 2a (cdkn2a).",pmc5288173,1,100,40,1,140
