index,Regulator Name,Regulator Type,Regulator Subtype,Regulator HGNC Symbol,Regulator Database,Regulator ID,Regulator Compartment,Regulator Compartment ID,Regulated Name,Regulated Type,Regulated Subtype,Regulated HGNC Symbol,Regulated Database,Regulated ID,Regulated Compartment,Regulated Compartment ID,Sign,Connection Type,Mechanism,Site,Cell Line,Cell Type,Tissue Type,Organism,Score,Source,Statements,Paper IDs,Evidence Score,Match Score,Kind Score,Epistemic Value,Total Score
293,pten,protein,,9588.0,uniprot,p60484,,,pi3k,other,,,fplx,pi3k,,,positive,i,activation,,,,,,"0.65,0.65","indra,indra","thus, put another way, negative regulation of pi3k signaling by pten enforces the requirement for co-stimulation in naive t cells.,however, we show here that impaired tcr signaling via loss of itk also leads to a negative feedback loop in which defective repression of pten prevents downstream activation of pi3k- and mtor mediated pathways not just from the tcr, but from multiple cellular inputs.","pmc3375464,pmc3949578",2,1,40,1,42
278,pten,protein,,9588.0,uniprot,p60484,,,akt,other,,,fplx,akt,,,negative,i,inhibition,,,,,,"0.65,0.65","indra,indra","consistently, magi1 knockdown efficiently abrogated pten binding to mek1 (xref_fig g), reduced pten membrane localization, and increased akt activation.,the authors found no phosphatidyl inositol 3-kinase catalytic subunit (pik3ca) mutations in the primary specimens or cell lines, suggesting that loss of pten activates the pi3k and akt pathway in mcl.","pmc3625979,pmc4712330",2,1,40,1,42
135,il2,protein,,6001.0,uniprot,p60568,,,foxp3,other,,6106.0,up,q9bzs1,,,positive,i,increaseamount,,,,,,"0.65,0.86","indra,indra","in addition, in vitro activation of peripheral cd4 + cd25 - t cells in the presence of tgf-beta and il-2 induces foxp3 expression and conversion to t reg cells in various model systems.,furthermore, although il-2 and the downstream activation of stat5 are required to induce the expression of foxp3 by t reg cells, il-2 can interfere with the differentiation of th17 cells through the activation of stat5.","pmc2275380,pmc3949578",2,1,40,1,42
142,il2ra,protein,,6008.0,uniprot,p01589,,,foxp3,other,,6106.0,up,q9bzs1,,,positive,i,increaseamount,,,,,,0.65,indra,"to explore the functional relevance of a hyperactivated pi3k-akt pathway on t reg cell generation and maintenance, we first used an in vitro system wherein the activation of cd4 + cd25 - cells in the presence of tgf-beta and il-2 induces de novo expression of foxp3.",pmc2275380,1,1,40,1,41
141,il2ra,protein,,6008.0,uniprot,p01589,,,cd4,other,,1678.0,up,p01730,,,negative,i,inhibition,,,,,,0.65,indra,"similar results were obtained with cd25 depleted cd4 + t cells (xref_supplementary) to determine if pten activity regulated cd4 + t cell differentiation, activation assays were performed in the presence of a pten inhibitor.",pmc4418530,1,1,40,1,41
269,pik3ca,protein,,8975.0,uniprot,p42336,,,phosphatidylinositol phosphate,other,,,chebi,chebi:28765,,,positive,i,activation,,,,,,0.65,indra,"in response to stimuli, p110alpha produces an acute flux of pip 3, which is efficiently coupled to akt phosphorylation.",pmc4712330,1,1,40,1,41
138,il2,protein,,6001.0,uniprot,p60568,,,pi3k,other,,,fplx,pi3k,,,positive,i,activation,,,,,,0.65,indra,"however, il-2 also activates pi3k mediated pathways and thus would be predicted to increase t cell activation and metabolism.",pmc3949578,1,1,40,1,41
137,il2,protein,,6001.0,uniprot,p60568,,,metabolic process,other,,,go,go:0008152,,,positive,i,activation,,,,,,0.65,indra,"however, il-2 also activates pi3k mediated pathways and thus would be predicted to increase t cell activation and metabolism.",pmc3949578,1,1,40,1,41
136,il2,protein,,6001.0,uniprot,p60568,,,itk,other,,6171.0,up,q08881,,,positive,i,activation,,,,,,0.65,indra,altered il-2 signaling in the absence of itk.,pmc3949578,1,1,40,1,41
121,foxp3,protein,,6106.0,uniprot,q9bzs1,,,gpr83,other,,4523.0,up,q9nym4,,,positive,i,activation,,,,,,0.65,indra,"however, restoration of foxp3 did not restore the expression levels of ctla4 or gpr83 transcripts (xref_fig), validating the conclusion that akt * affected transcripts of the t reg signature independent of its effect on foxp3.",pmc2275380,1,1,40,1,41
134,il2,protein,,6001.0,uniprot,p60568,,,cell differentiation,other,,,go,go:0030154,,,negative,i,inhibition,,,,,,0.65,indra,"in contrast, although il-2 promotes expression of foxp3 via activation of stat5, il-2 and stat5 activation inhibit th17 cell differentiation.",pmc3949578,1,1,40,1,41
133,il2,protein,,6001.0,uniprot,p60568,,,cell differentiation,other,,10371.0,go,go:0030154,,,positive,i,activation,,,,,,0.65,indra,"although these data indicate an important role for tcr signaling in regulating cellular metabolism and the differentiation of t reg cells, cytokines, particularly il-2, are also important contributors to t reg cell differentiation.",pmc3949578,1,1,40,1,41
270,pik3cg,protein,,8978.0,uniprot,p48736,,,phosphatidylinositol phosphate,other,,,chebi,chebi:28765,,,negative,i,inhibition,,,,,,0.65,indra,"moreover, pip 3 decreased in a concentration dependent fashion in loucy cells treated with the dual p110gamma and delta inhibitor ipi-145 (0.5, 1 and 5 mum; fig.",pmc4496363,1,1,40,1,41
276,pten,protein,,9588.0,uniprot,p60484,,,activity,other,,,text,activity,,,negative,i,inhibition,,,,,,0.65,indra,"the activation of its selective ligand, rosiglitazone, leads to the binding of pparγ at two pten promoter sites, ppar response element 1 and ppar response element 2, thus upregulating pten and inhibiting pi3k activity.",pmc4712330,1,1,40,1,41
277,pten,protein,,9588.0,uniprot,p60484,,,akt,other,,9588.0,fplx,akt,,,negative,i,inhibition,,,,,,0.9419,indra,"although the lipid phosphatase phosphatase and tensin homolog (pten) suppresses akt activity, the control of pten activity is poorly studied in t cells.",pmc4418530,1,1,40,1,41
64,cd28,protein,,1653.0,uniprot,p10747,,,pi3k,other,,,fplx,pi3k,,,positive,i,activation,,,,,,0.65,indra,"pi3k is activated by tcr and cd28 signaling and is involved in cell cycle progression, cell survival, proliferation, and regulation of cell trafficking, in part through the activation of pi (3,4,5) p 3 -binding pleckstrin homology (ph) domain containing proteins.",pmc3949578,1,1,40,1,41
279,pten,protein,,9588.0,uniprot,p60484,,,akt,other,,,fplx,akt,,,positive,d,increaseamount,,,,,,0.86,indra,we demonstrate that differential akt and mammalian target of rapamycin signaling regulates pten transcription via the foxo1 transcription factor.,pmc4418530,1,1,40,1,41
122,foxp3,protein,,6106.0,uniprot,q9bzs1,,,itk,other,,6171.0,up,q08881,,,positive,i,activation,,,,,,0.86,indra,"consistent with the increased foxp3 induction in itk -/- cells exposed to il-2, itk deficient cells showed increased il-2-induced pstat5 compared with wt cells (xref_fig, left).",pmc3949578,1,1,40,1,41
120,foxp3,protein,,6106.0,uniprot,q9bzs1,,,foxp3,other,,6106.0,up,q9bzs1,,,positive,i,increaseamount,,,,,,0.65,indra,"the reduction in the number of foxp3 + cells was less severe at later time points, although akt * could still reduce the intensity of foxp3 expression in positive cells (xref_fig, bottom).",pmc2275380,1,1,40,1,41
168,jun,protein,,6204.0,uniprot,p05412,,,pten,other,,9588.0,up,p60484,,,negative,i,decreaseamount,,,,,,0.65,indra,"c-jun negatively regulates the expression of pten by binding to the activator protein 1 site of the pten promoter, resulting in the concomitant activation of the akt pathway.",pmc4712330,1,1,40,1,41
296,pten,protein,,9588.0,uniprot,p60484,,,th,other,,11782.0,up,p07101,,,negative,i,inhibition,,,,,,0.86,indra,"however, under low-dose stimulation, pten inhibition enhanced th (xref_fig) and suppressed treg (xref_fig) induction.",pmc4418530,1,1,40,1,41
281,pten,protein,,9588.0,uniprot,p60484,,,apc-cdh1,other,,,text,apc-cdh1,,,positive,i,activation,,,,,,0.65,indra,"additionally, nuclear exclusion of pten, but not a phosphatase inactive mutant, was shown to impair the tumor-suppressive apc-cdh1 nuclear complex, again demonstrating tumor-suppressive capability of catalytically inactive pten.",pmc3375464,1,1,40,1,41
282,pten,protein,,9588.0,uniprot,p60484,,,cd4,other,,1678.0,up,p01730,,,positive,i,activation,,,,,,0.65,indra,"by combining biochemical and computational modeling approaches, our work defines how differential regulation of pten can produce alternate cd4 + t cell fate outcomes.",pmc4418530,1,1,40,1,41
283,pten,protein,,9588.0,uniprot,p60484,,,cd8,other,,,fplx,cd8,,,positive,i,activation,,,,,,0.65,indra,"deletion of pten, or expression of constitutively active myristoylated-akt, within the cd8 + t cell compartment inhibits the development and survival of memory cd8 + t cells.",pmc3375464,1,1,40,1,41
284,pten,protein,,9588.0,uniprot,p60484,,,cell migration,other,,,mesh,d002465,,,negative,i,inhibition,,,,,,0.65,indra,"pten has been shown to inhibit cell migration through its c2 domain, independent of pten 's lipid phosphatase activity [xref_bibr].",pmc4712330,1,1,40,1,41
285,pten,protein,,9588.0,uniprot,p60484,,,clec4d,other,,14554.0,up,q8wxi8,,,negative,i,inhibition,,,,,,0.65,indra,"the authors found no phosphatidyl inositol 3-kinase catalytic subunit (pik3ca) mutations in the primary specimens or cell lines, suggesting that loss of pten activates the pi3k and akt pathway in mcl.",pmc4712330,1,1,40,1,41
286,pten,protein,,9588.0,uniprot,p60484,,,localization,other,,,go,go:0051179,,,positive,i,activation,,,,,,0.65,indra,"consistently, magi1 knockdown efficiently abrogated pten binding to mek1 (xref_fig g), reduced pten membrane localization, and increased akt activation.",pmc3625979,1,1,40,1,41
287,pten,protein,,9588.0,uniprot,p60484,,,mtor,other,,3942.0,hgnc,3942,,,positive,d,increaseamount,,,,,,0.65,indra,we demonstrate that differential akt and mammalian target of rapamycin signaling regulates pten transcription via the foxo1 transcription factor.,pmc4418530,1,1,40,1,41
288,pten,protein,,9588.0,uniprot,p60484,,,mtor,other,,3942.0,up,p42345,,,positive,i,activation,,,,,,0.65,indra,"however, we show here that impaired tcr signaling via loss of itk also leads to a negative feedback loop in which defective repression of pten prevents downstream activation of pi3k- and mtor mediated pathways not just from the tcr, but from multiple cellular inputs.",pmc3949578,1,1,40,1,41
289,pten,protein,,9588.0,uniprot,p60484,,,myc,other,,7553.0,up,p01106,,,negative,i,decreaseamount,,,,,,0.65,indra,"similarly, myc expression is also repressed by increased pten, providing another level of systems amplification.",pmc3949578,1,1,40,1,41
290,pten,protein,,9588.0,uniprot,p60484,,,phosphatase,other,,,fplx,phosphatase,,,negative,i,inhibition,,,,,,0.65,indra,"other studies have shown that the pip 3 -dependent rac exchange factor 2 and shank associated rh domain interactor proteins bind directly to pten to inhibit its lipid phosphatase activity [xref_bibr, xref_bibr].",pmc4712330,1,1,40,1,41
291,pten,protein,,9588.0,uniprot,p60484,,,phosphatidylinositol,other,,,text,pi,,,negative,i,inhibition,,,,,,0.65,indra,"impaired pten function, which antagonizes phosphoinositide 3-kinase (pi3k) signaling, causes the accumulation of phosphatidylinositol (3,4,5)-triphosphate and thereby the suppression of downstream components of the pi3k pathway, including the protein kinase b and mammalian target of rapamycin kinases.",pmc4712330,1,1,40,1,41
292,pten,protein,,9588.0,uniprot,p60484,,,pi3k,other,,,fplx,pi3k,,,negative,i,inhibition,,,,,,0.65,indra,"the authors found no phosphatidyl inositol 3-kinase catalytic subunit (pik3ca) mutations in the primary specimens or cell lines, suggesting that loss of pten activates the pi3k and akt pathway in mcl.",pmc4712330,1,1,40,1,41
119,foxp3,protein,,6106.0,uniprot,q9bzs1,,,foxp3,other,,6106.0,up,q9bzs1,,,positive,i,activation,,,,,,0.65,indra,the forced expression of exogenous foxp3 restored the levels of foxp3 transcripts comparable to those of uninfected cells (xref_fig).,pmc2275380,1,1,40,1,41
294,pten,protein,,9588.0,uniprot,p60484,,,pten,other,,9588.0,up,p60484,,,positive,i,activation,,,,,,0.65,indra,"consistently, magi1 knockdown efficiently abrogated pten binding to mek1 (xref_fig g), reduced pten membrane localization, and increased akt activation.",pmc3625979,1,1,40,1,41
295,pten,protein,,9588.0,uniprot,p60484,,,tcr,other,,,fplx,tcr,,,negative,i,inhibition,,,,,,0.65,indra,"however, altered myc and pten expression are likely not to be the only mechanisms by which itk deficiency and decreased tcr signaling influence t reg cell development.",pmc3949578,1,1,40,1,41
118,foxp3,protein,,6106.0,uniprot,q9bzs1,,,ctla4,other,,2505.0,up,p16410,,,positive,i,activation,,,,,,0.65,indra,"however, restoration of foxp3 did not restore the expression levels of ctla4 or gpr83 transcripts (xref_fig), validating the conclusion that akt * affected transcripts of the t reg signature independent of its effect on foxp3.",pmc2275380,1,1,40,1,41
280,pten,protein,,9588.0,uniprot,p60484,,,akt,other,,,fplx,akt,,,positive,i,activation,,,,,,0.65,indra,"although akt pathway activation can explain many of the phenotypes associated with pten inactivation, pten gene targeting and genetic activation of akt do not have completely overlapping biological consequences.",pmc4712330,1,1,40,1,41
199,mtor,protein,,3942.0,uniprot,p42345,,,"transcription, dna-templated",other,,,go,go:0006351,,,positive,i,activation,,,,,,0.65,indra,"notably, cd4 + t cells deficient in hif1alpha, an mtor induced transcription factor that helps induce the expression of genes encoding glycolytic enzymes, preferentially differentiate into t reg cells rather than th17 cells, similar to our findings in itk deficient cells.",pmc3949578,1,1,40,1,41
198,mtor,protein,,3942.0,uniprot,p42345,,,pak1,other,,8590.0,up,q13153,,,positive,i,activation,,,,,,0.65,indra,"low mtor activity, as seen in dm t cells and as mimicked by rapamycin, rapalog, ku, and raptor sirna treatment, increased pak1 signaling whereas mtor activation, by treatment with leucine, non essential amino acids and pyruvate, decreased pak1 signaling.",pmc4487994,1,1,40,1,41
195,mtor,protein,,3942.0,uniprot,p42345,,,cell differentiation,other,,,go,go:0030154,,,negative,i,inhibition,,,,,,0.65,indra,"however, recent data implicates the transcription factor foxo1 in the induction of treg, and phosphorylation of foxo1 by akt was established as a mechanism by which akt and mtor signaling inhibits treg differentiation.",pmc4418530,1,1,40,1,41
196,mtor,protein,,3942.0,uniprot,p42345,,,eif4ebp1,other,,3288.0,up,q13541,,,negative,i,inhibition,,,,,,0.65,indra,the active mtor complex 1 phosphorylates the p70 ribosomal protein s6 kinase (s6k) and inhibits 4e-binding protein 1 to activate protein translation [ xref ].,pmc4712330,1,1,40,1,41
197,mtor,protein,,3942.0,uniprot,p42345,,,pak1,other,,8590.0,up,q13153,,,negative,i,inhibition,,,,,,0.65,indra,"low mtor activity, as seen in dm t cells and as mimicked by rapamycin, rapalog, ku, and raptor sirna treatment, increased pak1 signaling whereas mtor activation, by treatment with leucine, non essential amino acids and pyruvate, decreased pak1 signaling.",pmc4487994,1,1,40,1,41
