Regulator Name,Regulator Type,Regulator Subtype,Regulator HGNC Symbol,Regulator Database,Regulator ID,Regulator Compartment,Regulator Compartment ID,Regulated Name,Regulated Type,Regulated Subtype,Regulated HGNC Symbol,Regulated Database,Regulated ID,Regulated Compartment,Regulated Compartment ID,Sign,Connection Type,Mechanism,Site,Cell Line,Cell Type,Tissue Type,Organism,Score,Source,Statements,Paper IDs,Evidence Score,Match Score,Kind Score,Epistemic Value,Total Score
mtor,protein,,3942.0,uniprot,p42345,,,cell differentiation,other,,,go,go:0030154,,,negative,i,inhibition,,,,,,0.65,indra,"however, recent data implicates the transcription factor foxo1 in the induction of treg, and phosphorylation of foxo1 by akt was established as a mechanism by which akt and mtor signaling inhibits treg differentiation.",pmc4418530,1,1,40,1,41
pten,protein,,9588.0,uniprot,p60484,,,th,other,,11782.0,up,p07101,,,negative,i,inhibition,,,,,,0.86,indra,"however, under low-dose stimulation, pten inhibition enhanced th (xref_fig) and suppressed treg (xref_fig) induction.",pmc4418530,1,1,40,1,41
pten,protein,,9588.0,uniprot,p60484,,,mtor,other,,3942.0,hgnc,3942,,,positive,d,increaseamount,,,,,,0.65,indra,we demonstrate that differential akt and mammalian target of rapamycin signaling regulates pten transcription via the foxo1 transcription factor.,pmc4418530,1,1,40,1,41
pten,protein,,9588.0,uniprot,p60484,,,cd4,other,,1678.0,up,p01730,,,positive,i,activation,,,,,,0.65,indra,"by combining biochemical and computational modeling approaches, our work defines how differential regulation of pten can produce alternate cd4 + t cell fate outcomes.",pmc4418530,1,1,40,1,41
pten,protein,,9588.0,uniprot,p60484,,,akt,other,,,fplx,akt,,,positive,d,increaseamount,,,,,,0.86,indra,we demonstrate that differential akt and mammalian target of rapamycin signaling regulates pten transcription via the foxo1 transcription factor.,pmc4418530,1,1,40,1,41
il2ra,protein,,6008.0,uniprot,p01589,,,cd4,other,,1678.0,up,p01730,,,negative,i,inhibition,,,,,,0.65,indra,"similar results were obtained with cd25 depleted cd4 + t cells (xref_supplementary) to determine if pten activity regulated cd4 + t cell differentiation, activation assays were performed in the presence of a pten inhibitor.",pmc4418530,1,1,40,1,41
pten,protein,,9588.0,uniprot,p60484,,,akt,other,,9588.0,fplx,akt,,,negative,i,inhibition,,,,,,0.9419,indra,"although the lipid phosphatase phosphatase and tensin homolog (pten) suppresses akt activity, the control of pten activity is poorly studied in t cells.",pmc4418530,1,1,40,1,41
nedd4,other,,7727.0,up,p46934,,,pten,other,,9588.0,up,p60484,,,positive,i,ubiquitination,,,,,,0.65,indra,nan,pmc4418530,1,0.1,39,1,39.1
tcr,other,,,fplx,tcr,,,pten,other,,9588.0,up,p60484,,,positive,i,phosphorylation,,,,,,0.65,indra,nan,pmc4418530,1,0.1,39,1,39.1
tcr,other,,,fplx,tcr,,,pten,other,,9588.0,up,p60484,,,negative,i,decreaseamount,,,,,,0.65,indra,"tcr signaling perturbs pten protein levels (xref_fig), but the molecular mechanisms that regulate pten protein levels in t cells are unexplored.",pmc4418530,1,0.1,39,1,39.1
