index,Regulator Name,Regulator Type,Regulator Subtype,Regulator HGNC Symbol,Regulator Database,Regulator ID,Regulator Compartment,Regulator Compartment ID,Regulated Name,Regulated Type,Regulated Subtype,Regulated HGNC Symbol,Regulated Database,Regulated ID,Regulated Compartment,Regulated Compartment ID,Sign,Connection Type,Mechanism,Site,Cell Line,Cell Type,Tissue Type,Organism,Score,Source,Statements,Paper IDs,Evidence Score,Match Score,Kind Score,Epistemic Value,Total Score
687,tgfb1,protein,,11766.0,uniprot,p01137,,,furin,other,,8568.0,up,p09958,,,positive,i,activation,,,,,,0.65,indra,furin is induced by its substrate tgf-beta1 [xref_bibr].,pmc5342350,1,1,40,1,41
62,adam17,protein,,195.0,uniprot,p78536,,,egfr,other,,3236.0,up,p00533,,,positive,i,activation,,,,,,"0.65,0.65,0.65,0.65,0.923,0.86,0.65","indra,indra,indra,indra,indra,indra,indra","moreover, adam17-dependent egfr activation protects hepatocytes from apoptosis during drug-induced toxicity ( xref ) and supports intestinal proliferative regeneration in experimental colitis ( xref ).,for example, egfr ligands such as amphiregulin, epiregulin, epigen and tgfalpha are activated by tace.,in differentiated primary bronchial epithelial cells (hbec-ali), inhibitors of egfr and of adam17 completely abolished adam17 substrate shedding as well as egfr dependent cxcl8 mrna induction [xref_bibr], illustrating the strong interrelationship between the key elements of the egfr and adam17 axis (xref_fig).,a growing number of studies reported that adam17 induces egfr transactivation in different types of cells such as vascular smooth muscle cell [xref_bibr], cardiac cell [xref_bibr], hepatic stellate cell [xref_bibr], and endothelial cell [xref_bibr], and the same effect was also observed in our results as well.,adam17wavedx and wavedx mice generated by brandl et al. also showed severe weight loss during dss administration, and the authors demonstrated that adam17 mediated egfr signaling in non hematopoietic cells plays a protective role against dss induced colitis.,we hypothesized that the failure of intestinal epithelial cells to proliferate was caused by the fact that adam17 ex/ex mice could not cleave and thereby systemically activate ligands of the egf-r.,adam17 dependent shedding of egfr ligands such as areg results in activation of egfr through an autocrine feedback loop, which modulates basal egfr activity (dewitt etal.","pmc3371728,pmc5159831,pmc5818912,pmc6038660,pmc4816818,pmc2916135,pmc5002905",7,0.1,39,1,39.7
442,lipopolysaccharide,simplechemical,,,chebi,chebi:16412,,,inflammatory response,other,,,go,go:0006954,,,positive,i,activation,,,,,,"0.65,0.65,0.65,0.65,0.65,0.65","indra,indra,indra,indra,indra,indra","taken together, our in vivo and in vitro findings strongly support the notion that isoflurane accelerates resolution of lps induced lung inflammation and injury through modulation of efferocytosis.,conversely, the mice exposed to the adam17-shrna lentivirus exhibited less lps mediated inflammation in the liver, kidney and lung tissues, and fewer signs of degeneration and necrosis.,to test if furin in lysm+ cells also restrains inflammatory responses in vivo we subjected mice to lipopolysaccharide (lps) triggered inflammation.,since endothelial barrier dysfunction is critical for the development of ali, the present study was designed to investigate the relevance of endothelial adam17 activity in acute lung inflammation induced by intranasal instillation of e. coli lipopolysaccharide (lps).,in addition, because toll like receptor 4 has been reported to be a lps receptor that mediates the lps induced inflammatory response [xref_bibr], we also examined whether dex has an effect on lps induced toll like receptor signaling.,the selective inhibitor tmi-2 used in this study, reduced lps induced inflammation invivo (zhang etal.","pmc5495389,pmc5865799,pmc5342350,pmc3403298,pmc5564803,pmc5002905",6,0.1,39,1,39.6
77,adam17,protein,,195.0,uniprot,p78536,,,inflammatory response,other,,,go,go:0006954,,,positive,i,activation,,,,,,"0.65,0.86,0.923,0.65,0.65,0.65","indra,indra,indra,indra,indra,indra","altogether, our study suggests that leukocyte adam17 promotes inflammation in the lung, and thus this sheddase may be a potential target in the design of pharmacologic therapies for acute lung injury.,in the present study, we hypothesized that tace may promote plaque instability by enhancing inflammatory response in atherosclerotic lesions and gene silencing of tace may attenuate lesion inflammation and positive vascular remodeling and thus enhance plaque stability.,in addition, targeting adam17 by pharmacologic inhibition or gene knockout attenuates the inflammatory response in animal models of vascular damage, including hypertension, atherosclerosis, and pulmonary vascular inflammation [xref_bibr, xref_bibr - xref_bibr].,thus, activation of endothelial adam17 promotes acute pulmonary inflammation in response to endotoxin by multiple endothelial shedding events most likely independently of endothelial tnf-alpha release leading to enhanced vascular permeability and leukocyte recruitment.,targeting leukocyte adam17 in animal models has been shown to greatly reduce damaging inflammation.,these results showed that adam17 promoted ang ii induced vsmc inflammation.","pmc3095620,pmc4677302,pmc4438184,pmc3403298,pmc5403810,pmc6038660",6,0.1,39,1,39.6
116,adam17,protein,,195.0,uniprot,p78536,,,tnf,other,,11892.0,up,p01375,,,positive,i,activation,,,,,,"0.65,0.86,0.65,0.65,0.65","indra,indra,indra,indra,indra","the rationale of this study was to inhibit adam17 induced shedding of soluble tnf-alpha in order to reduce detrimental inflammation after spinal cord injury (sci).,moreover, activated tace may drive macrophage homing by generating soluble tnf-alpha, while gene silencing of tace may decrease macrophages infiltration, which may also contribute to the attenuation of mmp activities xref_bibr.,in vitro, the adam17 shrna lentivirus reduced adam17 expression, and prevented tnf-alpha maturation in u937 cells.,in accordance, aspirin induced gastric mucosal damage as well as increased tnf-alpha release was prevented by inhibitors of adam17.,tace has been shown to promote tnf-alpha secretion via the efficient shedding of the preform of tnf-alpha (pro-tnf-alpha) into the mature soluble form that is released, which results in increased levels of tnf-alpha in the culture medium [xref_bibr, xref_bibr].","pmc3877539,pmc4677302,pmc5865799,pmc5776559,pmc5564803",5,0.1,39,1,39.5
115,adam17,protein,,195.0,uniprot,p78536,,,tnf,other,,11892.0,up,p01375,,,negative,i,inhibition,,,,,,"0.65,0.65,0.65,0.65,0.65","indra,indra,indra,indra,indra","it is well recognized that tnf-alpha induces an extensive array of downstream events that further promote inflammation, and thus the greatly diminished production of soluble tnf-alpha by adam17 deficient leukocytes likely contributed to the reduced levels of alveolar neutrophils as lung inflammation progressed after lps exposure.,tpd significantly attenuated tace mediated disease models of sepsis, rheumatoid arthritis (ra) and inflammatory bowel disease (ibd), and reduced tnfalpha in synovial fluids from ra patients.,compared with the ang ii group, adam17 sirna remarkably diminished the protein release and mrna expression of il-1beta, il-6, and tnf-alpha in vsmcs stimulated by ang ii.,these findings suggest that maintaining adam17-egfr epithelial signaling is necessary for the recovery from uc and would be beneficial to therapeutic strategies targeting adam17 mediated tnf-alpha shedding.,the failure of tace to exit the er in the absence of irhom2 prevents tnfα mature and secretion.","pmc3095620,pmc5159831,pmc6038660,pmc4816818,pmc6130561",5,0.1,39,1,39.5
452,lipopolysaccharide,simplechemical,,,chebi,chebi:16412,,,tnf,other,,11892.0,up,p01375,,,positive,i,activation,,,,,,"0.65,0.923,0.65,0.65,0.9499940951","indra,indra,indra,indra,indra","overall, therefore, lps inducible tnfr-1 and tnfr-2 shedding was attenuated in patients with sepsis, but not in patients with sirs, indicating a similar pattern to lps induced tnf cleavage.,while lps stimulation did elicit a tnf-alpha response in cells infected with the adam17-shrna lentivirus, the concentration of stnf-alpha in the adam17-shrna + lps group was significantly decreased compared with in the lps group.,similarly, exogenous treatment with human tpd inhibited lps induction of tnfalpha release from primary macrophages in a dose dependent manner (xref_fig), with 80% inhibition at 1mum.,s-44029 inhibits lps induced tnf-alpha release in thp-1 cells with an ic 50 of 5.9 mum (a gift from kaken pharmaceutical co., ltd.; patent no.,this showed that dex did not change the expression level of lps induced tnf receptor 1 on the cell surface (xref_supplementary).","pmc4467590,pmc5865799,pmc5159831,pmc4816818,pmc5564803",5,0.1,39,1,39.5
432,lipopolysaccharide,simplechemical,,,chebi,chebi:16412,,,adam17,other,,195.0,up,p78536,,,positive,i,activation,,,,,,"0.86,0.94757,0.86,0.65","indra,indra,indra,indra","in primary monocytes, lps induced activation of adam17 is also mediated by ros and p38 [xref_bibr].,similarly, the absolute lps induced tace activity values also differed between these groups (146.7 +/-75.3 fu/min survivors vs 98.8 +/-28.7 fu/min for nonsurvivors; p = 0.05).,we found that lps challenge increased adam17 mrna in lung tissue (perfused free of blood) of control mice (xref_fig), whereas adam10 expression was not affected.,diac-dex was unable to suppress lps induced tace activation compare to lps alone, while dex did significantly suppressed lps induced tace activation.","pmc5651112,pmc4467590,pmc3403298,pmc5564803",4,0.1,39,1,39.4
113,adam17,protein,,195.0,uniprot,p78536,,,tgfa,other,,11765.0,up,p01135,,,positive,i,activation,,,,,,"0.65,0.65,0.86,0.65","indra,indra,indra,indra","in mice, adam17 mediated tgf-alpha shedding contributes to angii induced experimental renal fibrosis [xref_bibr].,upon activation of the erk or p38 mapk pathway, adam17 dissociates from an endogenous extracellular tissue inhibitor of metalloproteinase-3 (timp-3) [xref_bibr - xref_bibr], accumulates on the cell surface [xref_bibr, xref_bibr], and induces release of tgf-alpha [xref_bibr].,results from this study indicate that adam17 mediates il-13-induced proliferation and tgfalpha shedding in nhbe cells.,additionally, compound 17 exhibited unusual substrate selectivity by sparing adam17 mediated cleavage of tgfalpha.","pmc4438184,pmc5818912,pmc1976612,pmc5688260",4,0.1,39,1,39.4
724,tnf,protein,,11892.0,uniprot,p01375,,,inflammatory response,other,,,go,go:0006954,,,positive,i,activation,,,,,,"0.65,0.65,0.65","indra,indra,indra","the mechanisms may involve attenuated local inflammation, neovascularization and mmp activation, as well as enhanced collagen production probably via down-regulated erk-nf-κb and upregulated tgf-β1 signaling pathways.tumor necrosis factor alpha converting enzyme (tace), also known as adam17 (a disintegrin and a metalloproteinase 17), was initially discovered as a protease that cleaves the 26-kda precursor of tnf-α and sheds transmembrane tnf-α to generate a soluble form of tnf-α that can bind to tnf-α receptors to induce inflammatory response 1 .,for example adam17, which is also known as tumor necrosis factor alpha (tnf-alpha) converting enzyme (tace), cleaves membrane bound pro-tnf-alpha to soluble tnf-alpha which may enhance inflammatory response.,the cytokine tnf is the primary trigger of inflammation, and tnf signalling requires irhom2 to promote trafficking and activation of tace.","pmc4677302,pmc5776559,pmc6130561",3,0.1,39,1,39.3
