Evidence Score,Match Score,Kind Score,Epistemic Value,Total Score
59,10,3,1,593
39,10,1,1,391
23,10,5,1,235
20,10,3,1,203
17,10,1,1,171
14,10,1,1,141
12,10,5,1,125
11,10,5,1,115
11,10,5,1,115
11,10,5,1,115
11,10,5,1,115
11,10,3,1,113
10,10,5,1,105
10,10,5,1,105
10,10,5,1,105
10,10,1,1,101
10,10,1,1,101
8,10,5,1,85
8,10,5,1,85
8,10,5,1,85
8,10,1,1,81
7,10,5,1,75
7,10,3,1,73
7,10,1,1,71
6,10,7,1,67
6,10,5,1,65
6,10,5,1,65
6,10,3,1,63
6,10,3,1,63
6,10,3,1,63
6,10,1,1,61
6,10,1,1,61
5,10,5,1,55
5,10,3,1,53
5,10,1,1,51
4,10,5,1,45
4,10,5,1,45
4,10,5,1,45
4,10,5,1,45
4,10,5,1,45
4,10,3,1,43
4,10,3,1,43
4,10,3,1,43
3,10,5,1,35
3,10,5,1,35
3,10,5,1,35
3,10,5,1,35
3,10,5,1,35
3,10,5,1,35
3,10,5,1,35
3,10,5,1,35
3,10,5,1,35
3,10,5,1,35
3,10,5,1,35
3,10,3,1,33
3,10,3,1,33
3,10,3,1,33
3,10,3,1,33
3,10,3,1,33
3,10,3,1,33
3,10,3,1,33
3,10,1,1,31
3,10,1,1,31
3,10,1,1,31
3,10,1,1,31
2,10,5,1,25
2,10,5,1,25
2,10,5,1,25
2,10,5,1,25
2,10,5,1,25
2,10,5,1,25
2,10,5,1,25
2,10,5,1,25
2,10,5,1,25
2,10,5,1,25
2,10,5,1,25
2,10,5,1,25
2,10,5,1,25
2,10,5,1,25
2,10,5,1,25
2,10,5,1,25
2,10,5,1,25
2,10,5,1,25
2,10,5,1,25
2,10,5,1,25
2,10,5,1,25
2,10,5,1,25
2,10,5,1,25
2,10,5,1,25
2,10,5,1,25
2,10,5,1,25
2,10,3,1,23
2,10,3,1,23
2,10,3,1,23
2,10,3,1,23
2,10,3,1,23
2,10,3,1,23
2,10,3,1,23
2,10,3,1,23
2,10,3,1,23
2,10,3,1,23
2,10,3,1,23
2,10,3,1,23
2,10,3,1,23
2,10,1,1,21
2,10,1,1,21
2,10,1,1,21
2,10,1,1,21
