index,Regulator Name,Regulator Type,Regulator Subtype,Regulator HGNC Symbol,Regulator Database,Regulator ID,Regulator Compartment,Regulator Compartment ID,Regulated Name,Regulated Type,Regulated Subtype,Regulated HGNC Symbol,Regulated Database,Regulated ID,Regulated Compartment,Regulated Compartment ID,Sign,Connection Type,Mechanism,Site,Cell Line,Cell Type,Tissue Type,Organism,Score,Source,Statements,Paper IDs,Evidence Score,Match Score,Kind Score,Epistemic Value,Total Score
6490,casp8,protein,,casp8,hgnc,1509,,,casp3,protein,,casp3,hgnc,1504,,,positive,i,activation,,,,,,"0.951,0.8775000000000001,0.8775000000000001,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.8775000000000001","nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan","both caspase 8, from the extrinsic pathway, and caspase 9, from the intrinsic pathway, have been observed to activate the main effector caspase 3, which in turn activates a caspase cascade to eventually evoke the morphological hallmarks of apoptosis such as dna fragmentation [xref_bibr, xref_bibr].,the death receptors activate caspase 8, which further activates caspase 3 via jun-kinase (jnk) to cause apoptosis.,fadd in turn can recruit and activate proximal caspase 8, which subsequently activates effector caspase 3, either by direct processing via a protease cascade or indirectly via a mitochondrial apoptotic pathway [ xref , xref ].,this complex formation triggers cleavage and activation of caspase-8 or caspase-10, which in turn activates downstream caspase-3, -6, -7 and causes eventual apoptosis xref_bibr xref_bibr.,activated caspase-8 activates its downstream effector caspase-3.,after autocatalytic activation of procaspase-8 at the disc, active initiator caspase-8 can either directly or indirectly (via the mitochondrial pathway) activate downstream effector caspases (caspase-3, -6 and -7), leading to the cleavage of cellular proteins and subsequent apoptosis [xref_bibr].,the most common and important effector caspase is caspase-3, which exists as a zymogen and activated by initiator caspases, mainly caspase-8 and caspase-9.,caspase-3 is considered to be the most important of the executioner caspases and is activated by any of the initiator caspases (caspase-8, caspase-9, or caspase-10)21.,in type i cells auto-activation of caspase-8 causes direct activation of downstream effector caspase-3 through proteolytic cleavage.,activated caspase-8 then directly activates the downstream effector caspase-3, resulting in cell death via the type i extrinsic apoptotic pathway, or cleaves bid, a pro-apoptotic member of the bcl-2 family, leading to activation of the type ii extrinsic apoptotic pathway xref , xref .,the antitumorigenic mechanism of fhit is not yet clear; however, for cervical and lung cancer cell lines its reintroduction by use of an adenoviral vector induces strong suppressive effects and reduces tumorigenicity due to an apoptotic effect associated with caspase-8 cleavage and activation of the effector caspase-3 [ xref ].,in type i cells, large amounts of active caspase-8 formed at the disc directly induces activation of pro-caspase-3 independently of mitochondria [xref_bibr].,consequently, the protein complex activates pro-caspase-8, which proceeds to trigger pro-caspase-3, the penultimate enzyme for the execution of the apoptotic process [xref_bibr].,finally, caspase-8 activates caspase-3 in order to trigger the final steps of apoptosis ( xref ).","pmc3397358,pmc3821660,pmc3348077,pmc4879700,pmc4650930,pmc2330055,pmc4549042,pmc4700493,pmc3759859,pmc4515820,pmc1291396,pmc4496101,pmc4455968,pmc2841246",14,10,18,1,158
6515,casp9,protein,,casp9,hgnc,1511,,,casp3,protein,,casp3,hgnc,1504,,,positive,i,activation,,,,,,"0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65","nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan","bh3-only and bax-like proteins are essential initiators of apoptosis while the bcl-2-like proteins are pro-survival factors that safeguard the cells against apoptosis.both caspase 8, from the extrinsic pathway, and caspase 9, from the intrinsic pathway, have been observed to activate the main effector caspase 3, which in turn activates a caspase cascade to eventually evoke the morphological hallmarks of apoptosis such as dna fragmentation [30,31].,active caspase-9 then activates caspase-3, initiating a cascade of additional caspase activations that culminates in apoptosis.,intrinsic pathways are directly or indirectly activated by intrinsic death stimuli such as reactive oxygen species (ros), dna-damaging reagents, resulting in the release of cytochrome-c and the activation of caspase-9 which in turn activates caspase-3 [ xref ].,activated caspase 9 in turn activated caspase 3.,the most common and important effector caspase is caspase-3, which exists as a zymogen and activated by initiator caspases, mainly caspase-8 and caspase-9.,proapoptotic members of the bcl-2 family, such as bax and bid, undergo conformational change, oligomerization, and translocation to the mitochondria, resulting in cytochrome c release that ultimately induces caspase 9 cleavage and activation; activated caspase 9 in turn activates caspase 3.,caspase-3 is considered to be the most important of the executioner caspases and is activated by any of the initiator caspases (caspase-8, caspase-9, or caspase-10)21.,however, concomitant knockdown of mda5 and tlr3 were more effective to suppress upregulation of caspase9 and activated caspase 3 triggered by poly(i:c) treatment in nb cells than either single knockdown or other double knockdowns of tlr3, mda5, and rig-i. interestingly, cleaved mavs and caspase8 were also most significantly decreased in double knockdown of mda5 and tlr3 (figure xref ).,the main mechanism by which manuka appears to exert its anti-proliferative effect on cancer cells is through the activation of the intrinsic apoptotic pathway, involving the induction of the initiator caspase-9 which in turns activates the executioner caspase-3 xref_bibr.,activated caspase-9 in this complex activates caspase-3 to execute apoptosis [ xref – xref ] ( xref ).,subsequently, caspase-9 cleaves and thereby activates downstream effector caspases, among them caspase-3 and caspase-7 which then cleave various substrates leading to the characteristic morphological changes associated with apoptosis [xref_bibr].","pmc3397358,pmc4695650,pmc3076298,pmc4296919,pmc4549042,pmc2064766,pmc4700493,pmc4694805,pmc3567021,pmc3431821,pmc3828874",11,10,18,1,128
40807,rps6kb1,protein,,rps6kb1,hgnc,10436,,,rps6,protein,,rps6,hgnc,10429,,,,d,phosphorylation,,,,,,"0.65,0.65,0.65,0.65","nan,nan,nan,nan","among the best characterized mtor substrates are s6k1, which phosphorylates the ribosomal protein s6 and regulates the translation process [xref_bibr], and eif4e-bp1, which is involved in the formation of an active translation initiation complex [xref_bibr, xref_bibr, xref_bibr].,s6 is phosphorylated at ser235/236 by p70s6 kinase.,upon activation by mtor, s6k1 phosphorylates s6 ribosomal protein, leading to increased translation of mrna with oligopyrimidine tract at the 5 ' terminal (5 ' top) [xref_bibr].,since a key downstream target of pdk1 is p70s6k, which phosphorylates s6 [xref_bibr, xref_bibr], we hypothesized that if ucn-01 inhibited pdk1, we would observe reduced ps6.","pmc3775402,pmc4858236,pmc3335255,pmc3102212",4,10,18,1,58
44773,stk11,protein,,stk11,hgnc,11389,,,tp53,protein,,tp53,hgnc,11998,,,,d,phosphorylation,,,,,,"0.8775000000000001,0.65,0.65","nan,nan,nan","in response to specific stimuli, lkb1 phosphorylates the p53 transcription factor at specific sites, which increases the affinity of p53 for its target promoters, including that of the p21 gene, thereby increasing target gene expression.,zeng et al reported that lkb1 physically associates with p53 in the nucleus and phosphorylates p53 at the amino acid residues ser15 and ser392.,zeng et al reported that lkb1 physically associates with p53 in the nucleus and phosphorylates p53 at the amino acid residues ser15 and ser392.","pmc4626134,pmc4626134,pmc4626134",3,10,19,1,49
43963,src,protein,,src,hgnc,11283,,,egfr,protein,,egfr,hgnc,3236,,,,d,phosphorylation,,,,,,"0.65,0.951,0.8775000000000001","nan,nan,nan","treatment with linsitinib also increased in the src specific phosphorylation of egfr at tyrosine 845, confirming induction of src activation by linsitinib treatment (additional file 10 : figure s9).,another point of interest is the fact that the two partners in the well-known bidirectional activatory trans-phosphorylation between egfr and src, where src phosphorylates the egfr [xref_bibr - xref_bibr], and the egfr phosphorylates src [xref_bibr], are regulated by cam, albeit in different manners.,as a consequence, c-src phosphorylated egfr, promoting the invasion and metastasis of hccs.","pmc4453276,pmc4461253,pmc4455704",3,10,19,1,49
19681,hif1a,protein,,hif1a,hgnc,4910,,,hif1a,protein,,hif1a,hgnc,4910,,,positive,i,activation,,,,,,"0.65,0.65,0.65","nan,nan,nan","similarly, mftz-1 also abrogated the accumulation of hif-1alpha protein driven by the growth factors egf (xref_fig), which are known to stimulate the expression of hif-1alpha protein [xref_bibr, xref_bibr, xref_bibr].,stat3 converted to p-stat3, and p-stat3 directly bound hif-1alpha and upregulated hif-1alpha stability through delaying protein degradation and accelerating protein synthesis.,indeed, the hepatitis b x protein (hbx) blocks hif-1alpha ubiquitination thus increasing hif-1alpha stability and activity in a hypoxia independent manner [xref_bibr].","pmc3822569,pmc4063567,pmc2845135",3,10,18,1,48
40808,rps6kb1,protein,,rps6kb1,hgnc,10436,,,rps6,protein,,rps6,hgnc,10429,,,,i,phosphorylation,,,,,,"0.65,0.8775000000000001,0.8775000000000001","nan,nan,nan","mtor activates the downstream p70s6 ser/thr kinase that phosphorylates ribosomal protein s6, required for biosynthesis of the cell's translational apparatus, a critical component of cell growth and proliferation xref .,together, these results suggest either that the fl772 inhibitor has poor cell membrane permeability or that inhibition of s6k1 in cells does not significantly reduce s6 phosphorylation.,rps6 is phosphorylated by p70s6k, which in turn is activated by mtor ( xref ).","pmc4229093,pmc4289024,pmc2361810",3,10,18,1,48
44081,src,protein,,src,hgnc,11283,,,src,protein,,src,hgnc,11283,,,,i,phosphorylation,,,,,,"0.65,0.65,0.86","nan,nan,nan","likewise, we showed that src inhibition by saracatinib at 4 mum was able to down-regulate phosphorylation of src at y416 and its immediate downstream targets fak at y861 and pxn at y118.,although it appeared sometimes in our investigations that stat3 phosphorylation could be affected by brevilin a in serum-starved src over-expressing hek293t cells (not shown), the most significant induction, as well as src phosphorylation itself shown in xref and xref didn’t change after brevilin a treatment, while src inhibitor pd-180970 blocked src phosphorylation dramatically, revealing that brevilin a does not suppress src activity directly.,pharmacological inhibition of src kinase activity fully prevented cilengitide induced phosphorylation of src, fak and ve-cadherin, and redistribution of alphavbeta3 and ve-cadherin and partially prevented increased permeability, but did not prevent huvec detachment from low-density matrices.","pmc4745777,pmc3660600,pmc2636874",3,10,18,1,48
44082,src,protein,,src,hgnc,11283,,,src,protein,,src,hgnc,11283,,,negative,i,inhibition,,,,,,"0.65,0.65,0.65","nan,nan,nan","the results revealed that bmp-7 was not able to promote cell migration when c-src was inhibited by pp2 ( xref ) and c-src mutant ( xref ).,75 moreover, ptprj associates with and dephosphorylates src on tyrosine residues where phosphorylation inhibits src kinase activity.,alternatively, c-src was found to be activated by the inhibition of csk kinase, which phosphorylates c-src at a tyrosine residue (tyr527 in mouse c-src), inhibiting src kinase activity.","pmc4229252,pmc4377308,pmc4700404",3,10,18,1,48
44083,src,protein,,src,hgnc,11283,,,src,protein,,src,hgnc,11283,,,positive,i,activation,,,,,,"0.65,0.65,0.65","nan,nan,nan","src is activated by vgscs and src phosphorylates cortactin.,these data further substantiate significant differences between gd2-induced src signaling versus gpcr and trkb-induced src signaling.,uv induced pparbeta and delta activity, which directly stimulated src expression, increased src kinase activity and enhanced the egfr/erk1/2 signalling pathway, resulting in increased epithelial-to-mesenchymal transition (emt) marker expression.","pmc4920216,pmc4529173,pmc3936491",3,10,18,1,48
