Evidence Score,Match Score,Kind Score,Epistemic Value,Total Score
44,100,40,1,4440
27,100,40,1,2740
25,100,40,1,2540
21,100,40,1,2140
19,100,40,1,1940
19,100,40,1,1940
18,100,40,1,1840
16,100,40,1,1640
16,100,40,1,1640
15,100,40,1,1540
15,100,40,1,1540
15,100,40,1,1540
15,100,40,1,1540
15,100,40,1,1540
14,100,40,1,1440
14,100,40,1,1440
14,100,40,1,1440
13,100,40,1,1340
13,100,40,1,1340
13,100,40,1,1340
13,100,40,1,1340
13,100,40,1,1340
12,100,40,1,1240
12,100,40,1,1240
12,100,40,1,1240
12,100,40,1,1240
12,100,40,1,1240
12,100,40,1,1240
11,100,40,1,1140
11,100,40,1,1140
11,100,40,1,1140
11,100,40,1,1140
10,100,40,1,1040
10,100,40,1,1040
10,100,40,1,1040
9,100,40,1,940
9,100,40,1,940
9,100,40,1,940
9,100,40,1,940
9,100,40,1,940
9,100,40,1,940
9,100,40,1,940
8,100,40,1,840
8,100,40,1,840
8,100,40,1,840
8,100,40,1,840
8,100,40,1,840
8,100,40,1,840
8,100,40,1,840
8,100,40,1,840
8,100,40,1,840
7,100,40,1,740
7,100,40,1,740
7,100,40,1,740
7,100,40,1,740
7,100,40,1,740
7,100,40,1,740
7,100,40,1,740
7,100,40,1,740
7,100,40,1,740
7,100,40,1,740
7,100,40,1,740
7,100,40,1,740
7,100,40,1,740
7,100,40,1,740
7,100,40,1,740
6,100,40,1,640
6,100,40,1,640
6,100,40,1,640
6,100,40,1,640
6,100,40,1,640
6,100,40,1,640
6,100,40,1,640
6,100,40,1,640
6,100,40,1,640
6,100,40,1,640
6,100,40,1,640
6,100,40,1,640
6,100,40,1,640
6,100,40,1,640
6,100,40,1,640
6,100,40,1,640
6,100,40,1,640
6,100,40,1,640
6,100,40,1,640
6,100,40,1,640
6,100,40,1,640
6,100,40,1,640
6,100,40,1,640
59,10,3,1,593
5,100,40,1,540
5,100,40,1,540
5,100,40,1,540
5,100,40,1,540
5,100,40,1,540
5,100,40,1,540
5,100,40,1,540
5,100,40,1,540
5,100,40,1,540
5,100,40,1,540
5,100,40,1,540
5,100,40,1,540
5,100,40,1,540
5,100,40,1,540
5,100,40,1,540
5,100,40,1,540
5,100,40,1,540
5,100,40,1,540
5,100,40,1,540
5,100,40,1,540
5,100,40,1,540
5,100,40,1,540
5,100,40,1,540
5,100,40,1,540
5,100,40,1,540
5,100,40,1,540
5,100,40,1,540
5,100,40,1,540
5,100,40,1,540
5,100,40,1,540
5,100,40,1,540
5,100,40,1,540
5,100,40,1,540
5,100,40,1,540
4,100,40,1,440
4,100,40,1,440
4,100,40,1,440
4,100,40,1,440
4,100,40,1,440
4,100,40,1,440
4,100,40,1,440
4,100,40,1,440
4,100,40,1,440
4,100,40,1,440
4,100,40,1,440
4,100,40,1,440
4,100,40,1,440
4,100,40,1,440
4,100,40,1,440
4,100,40,1,440
4,100,40,1,440
4,100,40,1,440
4,100,40,1,440
4,100,40,1,440
4,100,40,1,440
4,100,40,1,440
4,100,40,1,440
4,100,40,1,440
4,100,40,1,440
4,100,40,1,440
4,100,40,1,440
4,100,40,1,440
4,100,40,1,440
4,100,40,1,440
4,100,40,1,440
4,100,40,1,440
4,100,40,1,440
4,100,40,1,440
4,100,40,1,440
4,100,40,1,440
4,100,40,1,440
4,100,40,1,440
4,100,40,1,440
4,100,40,1,440
4,100,40,1,440
4,100,40,1,440
4,100,40,1,440
4,100,40,1,440
4,100,40,1,440
4,100,40,1,440
4,100,40,1,440
4,100,40,1,440
4,100,40,1,440
4,100,40,1,440
4,100,40,1,440
4,100,40,1,440
4,100,40,1,440
4,100,40,1,440
4,100,40,1,440
4,100,40,1,440
4,100,40,1,440
4,100,40,1,440
4,100,40,1,440
4,100,40,1,440
4,100,40,1,440
4,100,40,1,440
39,10,1,1,391
3,100,40,1,340
3,100,40,1,340
3,100,40,1,340
3,100,40,1,340
3,100,40,1,340
3,100,40,1,340
3,100,40,1,340
3,100,40,1,340
3,100,40,1,340
3,100,40,1,340
3,100,40,1,340
3,100,40,1,340
3,100,40,1,340
3,100,40,1,340
3,100,40,1,340
3,100,40,1,340
3,100,40,1,340
3,100,40,1,340
3,100,40,1,340
3,100,40,1,340
3,100,40,1,340
3,100,40,1,340
3,100,40,1,340
3,100,40,1,340
3,100,40,1,340
3,100,40,1,340
3,100,40,1,340
3,100,40,1,340
3,100,40,1,340
3,100,40,1,340
3,100,40,1,340
3,100,40,1,340
3,100,40,1,340
3,100,40,1,340
3,100,40,1,340
3,100,40,1,340
3,100,40,1,340
3,100,40,1,340
3,100,40,1,340
3,100,40,1,340
3,100,40,1,340
3,100,40,1,340
3,100,40,1,340
3,100,40,1,340
