index,Regulator Name,Regulator Type,Regulator Subtype,Regulator HGNC Symbol,Regulator Database,Regulator ID,Regulator Compartment,Regulator Compartment ID,Regulated Name,Regulated Type,Regulated Subtype,Regulated HGNC Symbol,Regulated Database,Regulated ID,Regulated Compartment,Regulated Compartment ID,Sign,Connection Type,Mechanism,Site,Cell Line,Cell Type,Tissue Type,Organism,Score,Source,Statements,Paper IDs,Database Source,Database ID,Evidence Score,Match Score,Kind Score,Epistemic Value,Total Score
12,acetic acid,simplechemical,,,chebi,chebi:15366,,,mtor,protein,,3942.0,uniprot,p42345,,,negative,i,inhibition,,,,,,0.65,indra,nimocinol acetate inhibited mtor mediated pro survival signalling that resulted in inhibition of growth in bca cells without affecting normal breast epithelial cells.,pmc4102935,['nan'],['nan'],1,100,40,1,140
34,ampk,other,,,fplx,ampk,,,tsc2,protein,,12363.0,uniprot,p49815,,,positive,i,activation,,,,,,0.65,indra,"upon starvation and activation of calcium signaling, ampk phosphorylates and activates tsc2, which inhibits mtor signaling.",pmc4182068,['nan'],['nan'],1,100,40,1,140
536,sodium atom,simplechemical,,,chebi,chebi:26708,,,mtor,protein,,3942.0,uniprot,p42345,,,negative,i,inhibition,,,,,,0.9419,indra,"therefore, we analysed whether na inhibits the mtor pathway.",pmc4102935,['nan'],['nan'],1,100,40,1,140
334,mir-155,other,,,text,mir-155,,,mtor,protein,,3942.0,uniprot,p42345,,,positive,i,activation,,,,,,0.65,indra,"mir-155 might target multiple players in mtor signaling, including rheb, rictor (rptor independent companion of mtor), and rps6kb2 (ribosomal protein s6 kinase).",pmc4182068,['nan'],['nan'],1,100,40,1,140
566,tsc,other,,,fplx,tsc,,,mtor,protein,,3942.0,uniprot,p42345,,,positive,i,activation,,,,,,0.65,indra,"alternatively, the mtor kinase can be activated by akt independently of tsc 1/2 and can be regulated by mapks.",pmc4260725,['nan'],['nan'],1,100,40,1,140
199,dactolisib,simplechemical,,,chebi,chebi:71952,,,mtor,protein,,3942.0,uniprot,p42345,,,negative,i,inhibition,,,,,,0.65,indra,"85 the imidazo [4,5-c] quinoline derivative nvp-bez235 inhibits pi3k and mtor activities by binding to the atp binding cleft of both enzymes, thereby leading to the induction of autophagy in glioma cells.",pmc3920945,['nan'],['nan'],1,100,40,1,140
394,nsc74859,other,,,text,nsc74859,,,mtor,protein,,3942.0,uniprot,p42345,,,negative,i,inhibition,,,,,,0.65,indra,"after incubation with nsc74859 at indicated concentration, western blot analysis showed that nsc74859 decreased the levels of p-akt s473 and p-mtor s2448.",pmc4791252,['nan'],['nan'],1,100,40,1,140
11,acetic acid,simplechemical,,,chebi,chebi:15366,,,mtor,protein,,3942.0,uniprot,p42345,,,negative,i,decreaseamount,,,,,,0.65,indra,nimocinol acetate downregulated the expression of phospho-mtor in a time dependent manner in both bca cells (xref_fig).,pmc4102935,['nan'],['nan'],1,100,40,1,140
26,akt,other,,,fplx,akt,,,mtor,protein,,3942.0,uniprot,p42345,,,positive,i,activation,,,,,,0.65,indra,"alternatively, the mtor kinase can be activated by akt independently of tsc 1/2 and can be regulated by mapks.",pmc4260725,['nan'],['nan'],1,100,40,1,140
524,sirolimus,simplechemical,,,chebi,chebi:9168,,,mtor,protein,,3942.0,uniprot,p42345,,,negative,i,inhibition,,,,,,0.65,indra,inhibition of mtor signalling by rapamycin activates autophagy that in turn causes growth arrest in many preclinical models of cancer.,pmc4102935,['nan'],['nan'],1,100,40,1,140
347,mtor,protein,,3942.0,uniprot,p42345,,,autophagy,bioprocess,,,go,go:0006914,,,negative,i,inhibition,,,,,,"0.8775000000000001,0.9419","indra,indra","a possible mechanism by which activated mtor inhibits cytotoxic autophagy is by preventing ulk1 activation [ xref ].,although it has been well established that the activation of mammalian target of rapamycin (mtor) negatively regulates autophagy, in a number of preclinical studies, rapamycin, an mtor inhibitor, has been shown to induce growth arrest by activating autophagy.","pmc4100138,pmc4102935","['nan', 'nan']","['nan', 'nan']",2,1,40,1,42
348,mtor,protein,,3942.0,uniprot,p42345,,,autophagy,bioprocess,,,go,go:0006914,,,positive,i,activation,,,,,,"0.65,0.65","indra,indra","although it has been well established that the activation of mammalian target of rapamycin (mtor) negatively regulates autophagy, in a number of preclinical studies, rapamycin, an mtor inhibitor, has been shown to induce growth arrest by activating autophagy.,as autophagy is an adaptive response to nutrient starvation and resveratrol 's ability to induce a starvation like signaling response, that is, reducing the levels of phosphorylated akt and mtor to initiate autophagy, is observed in ovarian cancer cells.","pmc4102935,pmc4260725","['nan', 'nan']","['nan', 'nan']",2,1,40,1,42
320,kras,protein,,6407.0,uniprot,p01116,,,becn1,protein,,1034.0,uniprot,q14457,,,negative,i,decreaseamount,,,,,,0.65,indra,mutant kras oncogene can decrease the expression of the autophagic marker becn1.,pmc4891035,['nan'],['nan'],1,1,40,1,41
488,rela,protein,,9955.0,uniprot,q04206,,,hif1a,protein,,4910.0,uniprot,q16665,,,negative,i,inhibition,,,,,,0.65,indra,"similarly, the hif-1alpha upregulation was inhibited by nf-kappab p65 sirna in sgc-shbecn1 cells (xref_supplementary & xref_supplementary).",pmc4741864,['nan'],['nan'],1,1,40,1,41
568,tsc2,protein,,12363.0,uniprot,p49815,,,signaling,other,,,text,signaling,,,negative,i,inhibition,,,,,,0.65,indra,"upon starvation and activation of calcium signaling, ampk phosphorylates and activates tsc2, which inhibits mtor signaling.",pmc4182068,['nan'],['nan'],1,1,40,1,41
346,mtor,protein,,3942.0,uniprot,p42345,,,autophagy,bioprocess,,3236.0,go,go:0006914,,,negative,i,inhibition,,,,,,0.65,indra,"inhibition of mtor with the specific mtor inhibitor ccl-779 stimulated autophagy, leading to elimination of rip kinases via autophagy mediated degradation.",pmc4734605,['nan'],['nan'],1,1,40,1,41
349,mtor,protein,,3942.0,uniprot,p42345,,,cell growth,bioprocess,,1034.0,go,go:0016049,,,positive,i,activation,,,,,,0.65,indra,"in response to nutrient and growth factor availability, mtor promotes cell growth while suppressing autophagy.",pmc4734605,['nan'],['nan'],1,1,40,1,41
548,tat,protein,,,uniprot,p04608,,,autophagy,bioprocess,,,go,go:0006914,,,positive,i,activation,,,,,,0.65,indra,"however, hiv-1 tat protein was also able to stimulate autophagy through increasing bag3 levels in human glial cells [xref_bibr].",pmc5008281,['nan'],['nan'],1,1,40,1,41
444,pten,protein,,9588.0,uniprot,p60484,,,gefitinib,simplechemical,,,chebi,chebi:49668,,,negative,i,inhibition,,,,,,0.65,indra,"knockdown of pten, an established tumor suppressor gene, which is found to be inactivated in a number of cases of non small cell lung cancer increased resistance and reduced sensitivity of nsclc cells to radiation as well as gefitinib, which is a commonly used to treat lung cancer [xref_bibr].",pmc4100138,['nan'],['nan'],1,1,40,1,41
3,3,protein,,,uniprot,q77zf7,,,autophagy,bioprocess,,,go,go:0006914,,,negative,i,inhibition,,,,,,0.65,indra,"when autophagy was inhibited by 3-ma or beclin-1 sirna, the cells were sensitized to apoptosis, and the antiapoptotic effect of hsp72 was abolished.",pmc4260725,['nan'],['nan'],1,1,40,1,41
443,pten,protein,,9588.0,uniprot,p60484,,,akt,other,,,fplx,akt,,,negative,i,inhibition,,,,,,0.65,indra,"most gbms carry mutations on the pten gene, whose function is to inhibit the continuous activation of pi3k and akt [xref_bibr, xref_bibr].",pmc4100138,['nan'],['nan'],1,1,40,1,41
285,hras,protein,,5173.0,uniprot,p01112,,,eaf2,protein,,23115.0,uniprot,q96cj1,,,positive,i,activation,,,,,,0.65,indra,"in other studies, mutant hras has been shown to induce autophagic traits [xref_bibr] and cell death through autophagy or ras was shown to promote autophagic cell death [xref_bibr].",pmc4891035,['nan'],['nan'],1,1,40,1,41
81,autophagy,bioprocess,,,go,go:0006914,,,cell death,bioprocess,,,go,go:0008219,,,positive,i,activation,,,,,,"0.94757,0.65,0.65,0.65,0.65,0.9419","indra,indra,indra,indra,indra,indra","studies conducted by akar et al. [xref_bibr] have shown that when beclin-1 function is left unchecked by silencing of bcl-2, excessive levels of autophagy induce cell death in mcf-7 breast tumor cells exposed to doxorubicin.,however, persistent or excessive autophagy is also shown to promote cell death, termed autophagy associated cell death or type ii programmed cell death in contrast to type i programmed cell death or apoptosis [xref_bibr, xref_bibr].,the evidence suggests that autophagy leads to cell death in response to several compounds, including rottlerin, cytosine arabinoside, etoposide, and staurosporine, as well as growth-factor deprivation.,in addition, autophagy dysfunction also contributes to cell death associated immune responses through regulation of phagocytosis, dc activation and maturation, and damp release and degradation, which will also be further discussed in the sections ' autophagy, immunity, and tumor cell death ' and ' interplay between damps and autophagy '.,although autophagy functions as a survival mechanism in response to cellular stressors such as nutrient or growth factor deprivation, it can also lead to a non apoptotic form of programmed cell death (pcd) called autophagy induced cell death or autophagy associated cell death (type ii pcd).,the induction of autophagy may be useful for cancer chemoprevention in normal cells or triggering an alternative cell death mechanism in certain cancer cells, especially those with compromised apoptotic functions.","pmc4100138,pmc5008281,pmc4182068,pmc3877563,pmc4260725,pmc3296807","['nan', 'nan', 'nan', 'nan', 'nan', 'nan']","['nan', 'nan', 'nan', 'nan', 'nan', 'nan']",6,0.1,39,1,39.6
115,becn1,protein,,1034.0,uniprot,q14457,,,autophagy,bioprocess,,,go,go:0006914,,,positive,i,activation,,,,,,"0.65,0.65,0.65,0.65,0.923,0.86","indra,indra,indra,indra,indra,indra","beclin 1 further activated pi3k (phosphoinositide 3-kinase), leading to formation of autophagosomes and hence an increase in autophagy as shown by tem (transmission electron microscope).,the deletion of atg3, atg5, atg7, beclin-1 and the class iii phosphoinositide 3-kinase vps34, the positive mediators of autophagy, caused impaired autophagy and defective t cell homeostasis by inhibiting t-cell survival through quality control of mitochondria [xref_bibr, xref_bibr, xref_bibr].,we report here that expression of hrasv12 oncogene, an isoform of the ras family, does not affect the autophagy state, though enhancing the levels of the autophagic marker becn1, which has been described to increase basal autophagy and limit the starvation induced autophagy [xref_bibr - xref_bibr].,cytoplasmic hmgb1 induces autophagy by binding to beclin-1 and subsequent activation of the autophagy initiating beclin-1 and pi3kc3 complex.,xref_bibr, xref_bibr although beclin-1 and lc3 are important mediators of autophagy, other molecules and signaling pathways (for example, p53, pi3k/akt/mtor) require critical examination to determine their roles in cells ' autophagic capacity toward cell death or survival following various triggers.,beclin-1 can positively regulate autophagy by combining with pi3kciii and vps34, and other positive and negative cofactors such as vps15, atg14l and barkor, uvrag, bif-1, rubicon, ambra1, hmgb1, survivin, akt and bcl-2 and bcl-x l to form the beclin-1 interactome.","pmc4100138,pmc5008281,pmc4891035,pmc3877563,pmc4260725,pmc3920945","['nan', 'nan', 'nan', 'nan', 'nan', 'nan']","['nan', 'nan', 'nan', 'nan', 'nan', 'nan']",6,0.1,39,1,39.6
