index,Regulator Name,Regulator Type,Regulator Subtype,Regulator HGNC Symbol,Regulator Database,Regulator ID,Regulator Compartment,Regulator Compartment ID,Regulated Name,Regulated Type,Regulated Subtype,Regulated HGNC Symbol,Regulated Database,Regulated ID,Regulated Compartment,Regulated Compartment ID,Sign,Connection Type,Mechanism,Site,Cell Line,Cell Type,Tissue Type,Organism,Score,Source,Statements,Paper IDs,Evidence Score,Match Score,Kind Score,Epistemic Value,Total Score
27621,mdm2,protein,,mdm2,hgnc,6973,,,tp53,protein,,tp53,hgnc,11998,,,positive,i,activation,,,,,,"0.65,0.86,0.65,0.65,0.65,0.923,0.86,0.65,0.65,0.923,0.65,0.65,0.65,0.65,0.97305,0.65","nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan","serdemetan (jnj-26854165) was originally developed as an mdm2 antagonist that activates the p53 protein to induce apoptosis in cancer cell lines.,when we restored usf1 expression, the degradation of p53 mediated by mdm2 was completly counteracted (xref_fig).,mdm2 was reported to inhibit p53 transcription function by blocking p53 surface that interact with the basal transcription factors such as tfiie [xref_bibr].,the e3 ubiquitin ligase mdm2 is a transcriptional target of p53 and regulates p53 expression via a negative feedback loop [xref_bibr].,ebna-3c associates with sumo-1, p300, prothymolysin (protalpha), histone deacetylase 1/2, metastatic suppressor nm23-h1 through ebna-3c glutamine- and proline rich domain, corepressor msina and ncor, scf-skp2, cyclin a/d1 277 and cmyc, gemin3 (also called ddx20 or dp103), p53, p53 regulatory proteins, the inhibitor of growth family proteins ing4/5, irf4/8, aurora kinase b, h2ax and pim-1; xref_bibr, xref_bibr, xref_bibr, xref_bibr, xref_bibr, xref_bibr, xref_bibr it regulates chromatin remodeling via recruitment of histone (de) acetyltransferases, facilitates cell cycle entry, stabilizes geminin3 and cmyc, induces the mdm2 mediated p53 degradation and represses p53 dependent transactivation on its downstream genes p21 and bax, as well as p53- and e2f mediated apoptosis in part through targeted regulation of interferon regulatory factors 4 and 8.,notably, tip60 can block mdm2 mediated p53 neddylation [xref_bibr], a modification known to inhibit its transcriptional activity [xref_bibr].,n-terminal modifications of p53 act to inhibit the p53-mdm2 interaction thereby preventing mdm2 mediated inactivation and degradation of p53.,the diminished capacity of mdm2 to target p53 for degradation in the am is therefore seen as a likely contributor to the extreme elevation in p53 levels following uvr in the am (xref_fig).,[xref_bibr] the protein mdm2 is related to p53, and the increase in mdm2 functions to reduce the tumor suppressing activity of p53.,however, mdm2 downregulation in cells in which usp15 was knocked down resulted in upregulation of p53 and its target genes p21 and puma (xref_fig), coupled with enhanced apoptosis (xref_fig).,mdm2 targets p53 for degradation and its amplification and overexpression mimics tp53 loss [xref_bibr, xref_bibr].,consequently, although mdm2 can modulate p53 half life and cellular distribution (by its known roles as an e3 ubiquitin ligase and cytoplasmic-nuclear shuttle, respectively), our data point to a direct control of p53 function as a central role of mdm2 in melanoma cells (see schematic in xref_fig).,xref_bibr in unstressed cells, p53 is kept at a low level by mdm2, an e3 ubiquitin ligase, which targets p53 for degradation.,51 mdm2 mediates p53 protein turnover through constant monoubiquitination, a critical step in the polyubiquitnation of p53 and targeted degradation by the 26s proteasome.,nutlin-3 prevents the mdm2 mediated ligation of ubiquitin to p53, thereby increasing p53 mediated transcription.,low levels of p53 were associated with higher levels of the p53 ubiquitin ligase mdm2, which targets p53 for proteasomal degradation and is prevalent in melanoma cell lines [xref_bibr].","pmc3668267,pmc4022457,pmc4142057,pmc2929606,pmc4314583,pmc4381250,pmc3508619,pmc4366313,pmc4561439,pmc4032322,pmc4741644,pmc3193861,pmc4198344,pmc4227549,pmc2447902,pmc4694971",16,10,10,1,170
44440,stat3,protein,,stat3,hgnc,11364,,,il6,protein,,il6,hgnc,6018,,,positive,i,activation,,,,,,"0.65,0.65,0.86,0.65,0.65,0.65,0.65,0.65,0.65","nan,nan,nan,nan,nan,nan,nan,nan,nan","cytokine profiling revealed lower levels of proinflammatory mediators il-6, ifn-gamma, il-17, and ccl5 produced by stat3 deficient tumors relative to wt controls.,il-6 also activated stat3, probably by direct phosphorylation of stat3 by jak.,(i) the stat3 inducing cytokines il-10, il-6, and lif were identified as part of the signaling network established in the present study.,the actions of many cytokines and chemokines that led to the discovery of the stat family, especially il-6 and interferon (ifn), are mediated principally by stat3 and are critical for proper immune function.,this effect is potentiated by stat3 activating cytokines il-6 and il-10 produced by stat3 activated tumor cells.,40 this assumption is underlined by following observational clinical studies : in 2000, ridker et al. 41 identified plasma concentration of the stat3 activating cytokine il-6 as a risk predictor for myocardial infarction.,therefore wp1066 inhibition of stat3 activity and tumour progression was due in part to reduced polymophonuclear infiltration and reduced stat3 dependent transcription of pro inflammatory il-6, il-11, il-1alpha, il-1beta and cox2 genes.,report elevations in these proteins in stat3 overexpressing livers, which provides evidence that stat3 mediates the major anti-apoptotic effects of il-6.,the du145 cell line exhibits reduced stat3 dna binding, which makes du145 cells unresponsive to stat3 mediated il-6 signaling.","pmc4827001,pmc3881601,pmc4877997,pmc3735336,pmc3670267,pmc4431663,pmc4013079,pmc4601860,pmc4347593",9,10,11,1,101
4854,becn1,protein,,becn1,hgnc,1034,,,autophagy,biologicalprocess,,,go,go:0006914,,,negative,i,inhibition,,,,,,"0.65,0.65,0.65,0.86,0.65,0.65,0.65,0.65,0.65","nan,nan,nan,nan,nan,nan,nan,nan,nan","we found that in the cells with silencing of beclin 1 expression, tmz-se still caused an increase in lc3 ii (xref_fig), indicating that dysfunction of beclin 1 fails to block the activation of autophagy by tmz-se, and the tmz-se-activated autophagy is indeed beclin 1 independent.,inhibition of beclin1 mediated autophagy by vbcl2 has opened an alternative survival signal for persistent amplification of virus [xref_bibr].,additionally, bcl-2 mediated inhibition of beclin-1 to suppress autophagy was also attenuated via inhibition of bcl-2 by sd118-xanthocillin [xref_bibr].,moreover, knockdown of beclin1 inhibited autophagy induced by treatment with exogenous hmgb1 and overexpression of hmgb1 with or without starvation, suggesting that beclin1 was required for hmgb1-mediated autophagy ( xref ).,the autophagy induced by anticancer agents is suppressed by 3-ma or knockdown of beclin-1, atg7 or pi3kc3, which may sensitize the osteosarcoma to the anticancer agents.,xref_bibr inhibition of autophagy by becn1 or atg5 shrna increased cleavage of bid (tbid), decreased mitochondrial membrane potential (deltapsim) and increased casp9 activation (xref_fig).,disruption of the physical association between prosurvival bcl2 family proteins and becn1 triggers autophagy.,for instance, anti-apoptotic bcl-2 proteins can bind beclin 1, thereby preventing its pro autophagic function and thus co-regulating apoptosis and autophagy [xref_bibr].,recently, wirawan et al showed that cleavage of beclin-1 by caspases inhibited autophagy and triggered apoptosis through association of c-terminal fragment of beclin-1 (a bh3-only protein of the bcl-2 family) to mitochondria and liberation of proapoptotic factors, in a positive loop of apoptosis activation xref_bibr.","pmc3320619,pmc4810139,pmc4245538,pmc2935581,pmc4579870,pmc3590253,pmc4590596,pmc4896244,pmc3113895",9,10,10,1,100
30451,mtor,protein,,mtor,hgnc,3942,,,mtor,protein,,mtor,hgnc,3942,,,negative,i,inhibition,,,,,,"0.65,0.65,0.65,0.65,0.65","nan,nan,nan,nan,nan","second-generation mtor catalytic site inhibitors directly inhibit both mtor complexes, mtorc1 and mtorc2, and are more effective inhibitors of downstream signaling and ultimately rna translation than the first generation rapalogues [ xref , xref ].,pharmaceutic reagents that specifically target mammalian target of rapamycin (mtor) have been approved by the food and drug administration (fda) of the united states for treating advanced renal cancer, progressive or metastatic pancreatic cancer, and breast cancer in post-menopausal women with estrogen receptor (er) - or progesterone receptor (pr)-positive and human epidermal growth factor receptor 2 (her2)-negative lesions.,an interesting paper from liu et al. showed that nvp-bez235, a novel dual pi3k and mammalian target of rapamycin (mtor) inhibitor, was able to inhibit pi3k and mtor signaling, and induce cell cycle arrest, down-regulation of vegf and autophagy in gliomas [xref_bibr].,conversely, under starvation conditions, ampk induced mtor inhibition prevents mtor from binding to ulk1.,this activation triggers a cascade of signals that stimulates protein kinase b (akt) and the mammalian target of rapamycin (mtor).","pmc4846854,pmc3845579,pmc3116122,pmc4502786,pmc4810111",5,10,11,1,61
44441,stat3,protein,,stat3,hgnc,11364,,,il6,protein,,il6,hgnc,6018,,,positive,i,increaseamount,,,,,,"0.65,0.65,0.65,0.86,0.65","nan,nan,nan,nan,nan","the pstat3 in turn promotes the expression of il-6, thus forming amplification loops of the production of il-6, which can induce the vast expression of autocrine and paracrine cytokines and growth factors, including il-8, ccl5, ccl2, ccl3, il1-beta, gm-csf, vegf, and mcp-1, which are highly expressed and play an important role in the generation and development of cancer.,in vitro blockade of stat3 using sirna reduced the microglial expression of immunosuppressive cytokines, il-6 and il-10.,since stat3 hyperactivation is frequently fueled by excessive il6, an important autocrine amplification loop arises from the capacity of phosphorylated stat3 to induce its own transcription, where de novo stat3 protein in turn directly promotes expression of il6 without a requirement for tyrosine phosphorylation [xref_bibr].,consequently, the uncoupling of stat3 from mir-146b expression elicits aberrant activation of nfkappab and its induction of il-6 expression, which initiates a positive feed-forward loop that culminates in constitutive stat3 signaling and its stimulation of migratory and invasive phenotypes in er-alpha-negative breast cancers.,because the il-6 cytokine is a major physiological stat3 activator critical for stat3 mediated oncogenesis, and given that stat3 activation increases il6 gene expression in tumors xref_bibr, xref_bibr, xref_bibr, xref_bibr, we examined whether increasing s1pr1 expression in tumor cells could impact il6 expression levels in myeloid cells in vitro.","pmc4668392,pmc4492080,pmc2887830,pmc4024059,pmc3088498",5,10,11,1,61
49017,tsc2,protein,,tsc2,hgnc,12363,,,mtor,protein,,mtor,hgnc,3942,,,positive,i,activation,,,,,,"0.65,0.65,0.8775000000000001,0.65,0.65","nan,nan,nan,nan,nan","inhibition of mtor through rapamycin treatment caused the monocytes to differentiate toward a m1 phenotype, whereas activation of mtor by rna interference mediated knockdown of the mtor repressor tsc2 induced the differentiation of monocytes toward a m2 macrophage phenotype [xref_bibr].,this destabilization of the tumor suppressors tsc1 and tsc2 subsequently activates mtor via a small protein called rheb (ras homolog enriched in brain).,to validate whether rheb was involved in prl-3-mediated tsc2 suppression and activation of mtor, we used a rheb activation assay to directly study the levels of active rheb (rheb-gtp) in prl-3-overexpressing cells.,the heterodimer of hamartin (encoded by tsc1) and tuberin (tsc2) suppress the mammalian target of rapamycin (mtor), a major regulator of cell cycle progression, cell growth, and proliferation xref_bibr, xref_bibr.,on the other hand, growth inhibiting signals can activate the amp activated protein kinase (ampk) that directly phosphorylates and activates tsc1 and tsc2 and therefore causes mtor inhibition [xref_bibr].","pmc4499609,pmc2687803,pmc4657013,pmc3376142,pmc3048474",5,10,10,1,60
30475,mtor,protein,,mtor,hgnc,3942,,,rps6kb1,protein,,rps6kb1,hgnc,10436,,,,d,phosphorylation,,,,,,"0.65,0.65,0.65,0.65","nan,nan,nan,nan","during terminal muscle differentiation a conserved tos motif in eif3f connects mtor and raptor complex, which phosphorylates s6k1 and regulates downstream effectors of mtor and cap dependent translation initiation.,as shown in xref , activated mtor also phosphorylates the downstream substrate s6k1, which then phosphorylates the irs protein and induces irs degradation, resulting in less interaction between irs with igf1r and insulin receptors.,1 in addition to pdk1, mtor is also involved in the activation of s6k1 2 and phosphorylates s6k1 at residue t412.,mtor in turn phosphorylates p70 s6k at thr 389.","pmc2813880,pmc4821380,pmc4289024,pmc3546980",4,10,10,1,50
48995,tsc1,protein,,tsc1,hgnc,12362,,,mtor,protein,,mtor,hgnc,3942,,,positive,i,activation,,,,,,"0.65,0.65,0.65,0.65","nan,nan,nan,nan","this destabilization of the tumor suppressors tsc1 and tsc2 subsequently activates mtor via a small protein called rheb (ras homolog enriched in brain).,in the tumor syndrome tuberous sclerosis (tsc) mtor is indirectly activated by mapk mediated phosphorylation of tsc1 and 2 that alleviates inhibition of mtor [xref_bibr].,the heterodimer of hamartin (encoded by tsc1) and tuberin (tsc2) suppress the mammalian target of rapamycin (mtor), a major regulator of cell cycle progression, cell growth, and proliferation xref_bibr, xref_bibr.,on the other hand, growth inhibiting signals can activate the amp activated protein kinase (ampk) that directly phosphorylates and activates tsc1 and tsc2 and therefore causes mtor inhibition [xref_bibr].","pmc2687803,pmc4358942,pmc3376142,pmc3048474",4,10,10,1,50
47712,tnf,protein,,tnf,hgnc,11892,,,rela,protein,,rela,hgnc,9955,,,,i,phosphorylation,,,,,,"0.65,0.86,0.65","nan,nan,nan","in addition, the treatment with parthenolide or pdtc suppressed the phosphorylation of p65 activated by tnf-alpha.,tumor necrosis factor alpha (tnfalpha), a bona fide nf-kappab activator, was shown to mediate a redox dependent activation of protein kinase a xref_bibr which subsequently phosphorylated ser276 on rela (v-rel avian reticuloendotheliosis viral oncogene homolog a).,moreover, piceatannol inhibits tnf induced ikappa-ba phosphorylation, p65 phosphorylation, and p65 nuclear translocation.","pmc4279193,pmc4565025,pmc4698548",3,10,10,1,40
24507,jak1,protein,,jak1,hgnc,6190,,,stat1,protein,,stat1,hgnc,11362,,,,i,phosphorylation,,,,,,"0.65,0.65,0.86","nan,nan,nan","stat1 and jak1 have been identified to be direct binding targets of mev v protein, which results in inhibition of stat1 phosphorylation by jak1 [ xref ].,binding of type i ifns, such as ifn-α and ifn-β, to their specific receptor leads to phosphorylation of jak1 and tyk2, which in turn phosphorylate stat2 and stat1.,upon virus infections, type i ifns bind with ifnars and activate jak1and tyk2 which phosphorylate stat1and stat2, leading to the transcription of isgs [ xref ].","pmc3185518,pmc1865558,pmc4690884",3,10,10,1,40
