Evidence Score,Match Score,Kind Score,Epistemic Value,Total Score
16,10,10,1,170
9,10,11,1,101
9,10,10,1,100
5,10,11,1,61
5,10,11,1,61
5,10,10,1,60
4,10,10,1,50
4,10,10,1,50
3,10,10,1,40
3,10,10,1,40
3,10,10,1,40
2,10,11,1,31
2,10,11,1,31
2,10,11,1,31
2,10,11,1,31
2,10,10,1,30
2,10,10,1,30
2,10,10,1,30
2,10,10,1,30
2,10,10,1,30
2,10,10,1,30
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,10,1,20
1,10,10,1,20
1,10,10,1,20
1,10,10,1,20
1,10,10,1,20
1,10,10,1,20
1,10,10,1,20
1,10,10,1,20
1,10,10,1,20
1,10,10,1,20
1,10,10,1,20
1,10,10,1,20
1,10,10,1,20
1,10,10,1,20
1,10,10,1,20
1,10,10,1,20
1,10,10,1,20
1,10,10,1,20
1,10,10,1,20
1,10,10,1,20
1,10,10,1,20
1,10,10,1,20
1,10,10,1,20
1,10,10,1,20
