index,Regulator Name,Regulator Type,Regulator Subtype,Regulator HGNC Symbol,Regulator Database,Regulator ID,Regulator Compartment,Regulator Compartment ID,Regulated Name,Regulated Type,Regulated Subtype,Regulated HGNC Symbol,Regulated Database,Regulated ID,Regulated Compartment,Regulated Compartment ID,Sign,Connection Type,Mechanism,Site,Cell Line,Cell Type,Tissue Type,Organism,Score,Source,Statements,Paper IDs,Database Source,Database ID,Evidence Score,Match Score,Kind Score,Epistemic Value,Total Score
42,akt,other,,,fplx,akt,,,pten,protein,,pten,uniprot,p60484,,,positive,i,activation,,,,,,"0.65,0.86,0.65","indra,indra,indra","prevention of akt activation mediates the pro apoptotic effect of pten.,downstream genes of akt are also involved in a series of processes regulating the synthesis of protein and fat and glycometabolism, suggesting that an akt mediated signaling pathway plays a major role in pten sensitive cell proliferation, cell survival, and anabolic metabolism xref_bibr.,in addition, we validated that the levels of phosphorylated-akt (p-akt), a downstream effector of pten, were also increased in the system, but not by pten-sh-mut (xref_fig), thus suggesting that pten-sh functions in regulating pten.","pmc3606387,pmc4092105,pmc4933753","['nan', 'nan', 'nan']","['nan', 'nan', 'nan']",3,100,40,1,340
127,egr1,protein,,egr1,uniprot,p18146,,,pten,protein,,pten,uniprot,p60484,,,positive,i,increaseamount,,,,,,"0.65,0.65","indra,indra","egr1 binds to the pten promoter and upregulates pten expression in response to insulin like growth factor-2 (igf-2) stimulation or radiation.,this is accompanied by activation of egr-1, which transactivates pten transcription and upregulates pten protein levels xref_bibr.","pmc4329810,pmc3606387","['nan', 'nan']","['nan', 'nan']",2,100,40,1,240
249,nfkappab,bioprocess,,,mesh,d016328,,,pten,protein,,pten,uniprot,p60484,,,negative,i,decreaseamount,,,,,,"0.65,0.65","indra,indra","on the contrary, snail, c-jun, and nuclear factor kappa-b (nf-kb) have been reported to negatively regulate pten transcription.,likewise, nuclear factor kappa b (nf-kappab) negatively regulates pten expression through sequestration of the transcriptional co-activator cbp and p300.","pmc4329810,pmc4515857","['nan', 'nan']","['nan', 'nan']",2,100,40,1,240
248,nedd4,protein,,nedd4,uniprot,p46934,,,pten,protein,,pten,uniprot,p60484,,,positive,i,activation,,,,,,"0.65,0.65","indra,indra","16 consistent with the function of the c-terminal region as a determinant of stability and nuclear translocation of pten, deletion of this region increases interaction of pten with e3 ligases nedd4 that leads both mono- and polyubiquitylation on pten at the same residues k13 and k289.,pten monoubiquitinylation by the e3-ligase nedd4-1 allows pten to accumulate in the nucleus xref_bibr, whereas pten deubiquitinylation hausp favors pten accumulation in the cytoplasm xref_bibr.","pmc5491373,pmc4396696","['nan', 'nan']","['nan', 'nan']",2,100,40,1,240
326,pi3k,other,,,fplx,pi3k,,,pten,protein,,pten,uniprot,p60484,,,negative,i,inhibition,,,,,,"0.65,0.65","indra,indra","furthermore, p110δ pi3k can inhibit pten via rhoa/rock (rho-associated protein kinase) (eickholt et al., xref ; papakonstanti et al., xref ).,the pi3k is the main antagonist of pten, which dephosphorylates ptdins (3,4,5) p 3 signaling messengers and thereby inhibits downstream akt activation [xref_bibr].","pmc3978343,pmc6025732","['nan', 'nan']","['nan', 'nan']",2,100,40,1,240
299,phosphatidylinositol phosphate,simplechemical,,,chebi,chebi:28765,,,pten,protein,,pten,uniprot,p60484,,,positive,i,activation,,,,,,"0.86,0.98922","indra,indra","pten-l was suggested to be in a constitutively active state with regard to pip 2 -mediated activation of pten, possibly due to an altered structure surrounding the pbm [ xref ].,still, in assays using soluble lipidic and liposomal substrates, the malachite green based assay has revealed that pten is activated by its pip 2 product, which binds near the n terminus.","pmc4700475,pmc4301912","['nan', 'nan']","['nan', 'nan']",2,100,40,1,240
612,ubiquitin,bioprocess,,,mesh,d025801,,,pten,protein,,pten,uniprot,p60484,,,positive,i,activation,,,,,,"0.86,0.65","indra,indra","furthermore, ubiquitin k48r, but not ubiquitin, increased the abundance of pten l320s -gfp, suggesting that the nuclear targeting mono-ubiquitination decreases polyubiquitination, which drives the degradation of pten l320s -gfp.,furthermore, ubiquitin k48r, but not ubiquitin, increased the abundance of pten l320s -gfp, suggesting that the nuclear targeting mono-ubiquitination decreases polyubiquitination, which drives the degradation of pten l320s -gfp.","pmc5491373,pmc5491373","['nan', 'nan']","['nan', 'nan']",2,100,40,1,240
32,akt,other,,,fplx,akt,,,mtor,protein,,mtor,uniprot,p42345,,,positive,i,activation,,,,,,"0.65,0.65","indra,indra","therefore, by acting on tsc2, akt induces the activity of mtor and the downstream events of mtor activation that include metabolic changes, protein translation as well as cell proliferation.,akt can stimulate the translation of milk proteins through its ability to phosphorylate eukaryotic translation initiation factor 4e binding protein 1 (4ebp1), and the akt-dependent activation of mammalian target of rapamycin (mtor) stimulates translation through ribosomal protein s6 kinase (s6k1) and eukaryotic translation elongation factor 2.","pmc6046409,pmc4092105","['nan', 'nan']","['nan', 'nan']",2,100,40,1,240
574,sh3pxd2a,protein,,sh3pxd2a,uniprot,q5tcz1,,,pten,protein,,pten,uniprot,p60484,,,negative,i,inhibition,,,,,,"0.65,0.86","indra,indra","for example, in 3 cases where there was heterogeneous pten loss by immunohistochemistry and homozygous pten loss by fish in the tissue microarray cores, two of these tumors had clonal homozygous pten deletions, and the third tumor had a region with homozygous loss surrounded by a larger area with pten hemizygous loss.,in five of these tumors, pten signal losses by fish were found in all analyzed tissue blocks.","pmc4967011,pmc5630353","['nan', 'nan']","['nan', 'nan']",2,100,40,1,240
279,phosphatase,other,,,fplx,phosphatase,,,pten,protein,,pten,uniprot,p60484,,,negative,i,inhibition,,,,,,"0.65,0.65","indra,indra","further, lipid phosphatase active pten decreased activated akt (pakt) levels in pten double homozygous zebrafish embryos at 4dpf.,moreover, exogenous expression of wild-type ptenbeta but not protein phosphatase activity abolished ptenbeta efficiently downregulated nucleolin phosphorylation levels at thr84 (xref_fig).","pmc4743836,pmc5376652","['nan', 'nan']","['nan', 'nan']",2,100,40,1,240
