Regulator Name,Regulator Type,Regulator Subtype,Regulator HGNC Symbol,Regulator Database,Regulator ID,Regulator Compartment,Regulator Compartment ID,Regulated Name,Regulated Type,Regulated Subtype,Regulated HGNC Symbol,Regulated Database,Regulated ID,Regulated Compartment,Regulated Compartment ID,Sign,Connection Type,Mechanism,Site,Cell Line,Cell Type,Tissue Type,Organism,Score,Source,Statements,Paper IDs,Database Source,Database ID,Evidence Score,Match Score,Kind Score,Epistemic Value,Total Score
mir-26b,other,,,text,mir-26b,,,pik3cd,protein,,pik3cd,uniprot,o00329,,,positive,i,activation,,,,,,0.65,indra,"xref_bibr, xref_bibr, xref_bibr our study showed that mir-26b directly targets pik3cd, the gene encoding the pi3k p110delta isoform, and inhibits t-all cell proliferation by inactivating the pi3k and akt pathway in vitro and in vivo.",pmc5986278,['nan'],['nan'],1,100,40,1,140
anti-cd3 mab,other,,,text,anti-cd3 mab,,,th,protein,,th,uniprot,p07101,,,positive,i,activation,,,,,,0.65,indra,"to test this prediction, we performed t cell activation assays with low and high doses of anti-cd3 mab, which drive treg and th differentiation respectively (xref_supplementary).",pmc4418530,['nan'],['nan'],1,100,40,1,140
tcr,other,,,fplx,tcr,,,il2ra,protein,,il2ra,uniprot,p01589,,,positive,i,activation,,,,,,0.65,indra,"although tcr signaling up-regulates cd25, which is required for il-2 responses in mouse t cells, high tcr engagement paradoxically decreases stat5 phosphorylation so that more efficient stat5 phosphorylation occurs with low tcr engagement.",pmc3949578,['nan'],['nan'],1,100,40,1,140
tcr,other,,,fplx,tcr,,,foxp3,protein,,foxp3,uniprot,q9bzs1,,,negative,i,inhibition,,,,,,0.65,indra,"accordingly, tcr stimulation in the presence of anti-cd28 further decreased the percentage of foxp3 expressing cells seen with wt cells stimulated under t reg cell conditions.",pmc3949578,['nan'],['nan'],1,100,40,1,140
akti viii,other,,,text,akti viii,,,akt1,protein,,akt1,uniprot,p31749,,,negative,i,inhibition,,,,,,0.65,indra,"akti viii, which selectively inhibits akt1 and akt2 activity, has been shown to be able to induce memory t cell formation at a concentration of 1mum [xref_bibr].",pmc5359873,['nan'],['nan'],1,100,40,1,140
il-7ralpha [,other,,,text,il-7ralpha [,,,pten,protein,,pten,uniprot,p60484,,,negative,i,inhibition,,,,,,0.65,indra,"moreover, notch1 mediated transcriptional upregulation of il-7ralpha [xref_bibr] and hes1 mediated transcriptional repression of pten [xref_bibr] further contribute to enhance pi3k/akt/mtor signaling in notch1 dependent t-all.",pmc5618553,['nan'],['nan'],1,100,40,1,140
ifng,protein,,ifng,uniprot,p01579,,,pten,protein,,pten,uniprot,p60484,,,positive,i,activation,,,,,,0.65,indra,"because the development of this t reg subset is dependent upon ifn-gamma signaling 3, we examined whether excessive ifn-gamma production in pten fl/fl foxp3-cre mice was involved in the dysregulation of t-bet and cxcr3.",pmc4297581,['nan'],['nan'],1,100,40,1,140
idelalisib,simplechemical,,,chebi,chebi:82701,,,pik3cd,protein,,pik3cd,uniprot,o00329,,,negative,i,inhibition,,,,,,0.8775000000000001,indra,"inhibition of pik3cd by cal-101 or shrnas reduces the growth of t-all
cells.",pmc5986278,['nan'],['nan'],1,100,40,1,140
anti-cd28,other,,,text,anti-cd28,,,foxp3,protein,,foxp3,uniprot,q9bzs1,,,negative,i,inhibition,,,,,,0.65,indra,"accordingly, tcr stimulation in the presence of anti-cd28 further decreased the percentage of foxp3 expressing cells seen with wt cells stimulated under t reg cell conditions.",pmc3949578,['nan'],['nan'],1,100,40,1,140
icn1,other,,,text,icn1,,,nfkb2,protein,,nfkb2,uniprot,q00653,,,positive,i,increaseamount,,,,,,0.65,indra,"notch1, which is mutated in half of t-all cases (see section 5.1), can activate nf-kappab pathway in t-all cell lines and in the intracellular notch1 (icn1)-induced mouse model, either transcriptionally, promoting relb and p52 expression, or indirectly via ikk complex activation [xref_bibr].",pmc5618553,['nan'],['nan'],1,100,40,1,140
