index,Regulator Name,Regulator Type,Regulator Subtype,Regulator HGNC Symbol,Regulator Database,Regulator ID,Regulator Compartment,Regulator Compartment ID,Regulated Name,Regulated Type,Regulated Subtype,Regulated HGNC Symbol,Regulated Database,Regulated ID,Regulated Compartment,Regulated Compartment ID,Sign,Connection Type,Mechanism,Site,Cell Line,Cell Type,Tissue Type,Organism,Unnamed: 0,Score,Source,Statements,Paper IDs,Evidence Score,Match Score,Kind Score,Epistemic Value,Total Score
300,mtor,protein,,pi3k1,uniprot,q9hzg7,cytoskeleton,go:0005739,akt,protein,,prkba,uniprot,o14727,cytoskeleton,go:0005739,negative,d,phosphorylation,,,,,human,['411'],nan,nan,"on the basis of distinct cell morphology, three major types of cell death have been described: apoptosis, autophagic cell death, and programmed necrosis.1, 2, 3 accumulating evidence suggests the existence of several molecular connections among apoptosis, necrosis, and autophagy.3, 4 macroautophagy (hereafter called autophagy), an evolutionarily conserved catabolic and intracellular membrane trafficking process, is involved in the delivery of cytoplasmic contents and organelles to lysosomes for degradation.5 in general, the mammalian target of rapamycin (mtor) is a negative regulator of autophagy.6, 7, 8 as a member of the pi3k-related kinase family, mtor has been detected in two distinct complexes, mtorc1 and mtorc2, which regulate many aspects of cellular functions.9, 10 mtorc2 activates akt (protein kinase b), while pi3k/akt primarily activates mtorc1.11 once activated by akt, mtorc1 elicits a negative feedback loop to inhibit the activity of akt. mtorc1 phosphorylates two main substrates, ribosomal protein s6 kinase 1 (s6k1) and eukaryotic initiation factor 4e-binding protein 1 (4e-bp1).12",pmc4720880,1,10,11,1,21
311,mtor,protein,,tor1,uniprot,q96473,cytoplasm,go:0005730,s6k1,protein,,akt1,uniprot,p17312,cytoplasm,go:0005730,positive,d,phosphorylation,,pc3,prostate,prostate,human,['178'],nan,nan,schematic representation of activation of mtor by common and distinct signaling pathways leading to translational up-regulation in (a) pc3 and (b) 293t cell lines.,pmc3010991,1,10,11,1,21
314,mtorc1,protein,,,uniprot,,plasma membrane,go:0005886,akt,protein,,akt1,uniprot,q05202,plasma membrane,go:0005886,positive,d,phosphorylation,,,b-cell,,mouse,['87'],nan,nan,"mammalian target of rapamycin complex 1 and 2 (mtorc1/2) are overactive in colorectal carcinomas; however, the first generation of mtor inhibitors such as rapamycin have failed to show clinical benefits in treating colorectal carcinoma in part due to their effects only on mtorc1. the second generation of mtor inhibitors such as pp242 targets mtor kinase; thus, they are capable of inhibiting both mtorc1 and mtorc2. to examine the therapeutic potential of the mtor kinase inhibitors, we treated a panel of colorectal carcinoma cell lines with pp242. western blotting showed that the pp242 inhibition of mtorc2-mediated akt phosphorylation at ser 473 (akts473) was transient only in the first few hours of the pp242 treatment. receptor tyrosine kinase arrays further revealed that pp242 treatment increased the phosphorylated epidermal growth factor receptor (egfr) at tyr 1068 (egfrt1068). the parallel increase of akts473 and egfrt1068 in the cells following pp242 treatment raised the possibility that egfr phosphorylation might contribute to the pp242 incomplete inhibition of mtorc2. to test this notion, we showed that the combination of pp242 with erlotinib, an egfr small molecule inhibitor, blocked both mtorc1 and mtorc2 kinase activity. in addition, we showed that the combination treatment inhibited colony formation, blocked cell growth and induced apoptotic cell death. a systemic administration of pp242 and erlotinib resulted in the progression suppression of colorectal carcinoma xenografts in mice. this study suggests that the combination of mtor kinase and egfr inhibitors may provide an effective treatment of colorectal carcinoma.",pmc3750018,1,10,11,1,21
355,p38,protein,,mapk14,uniprot,q04172,cytoplasm,go:0005634,total p38,protein,,mapk14,uniprot,q04172,cytoplasm,go:0005634,negative,d,binds,,,,,human,['30'],nan,nan,"(carlsbad, ca). the anti-phospho p38, total p38, phospho-jnk, total erk 1/2,",pmc3084876,1,10,11,1,21
362,p53,protein,,tp53,uniprot,q04677,nucleus,go:0005739,mdm2,protein,,mdm2,uniprot,p00717,cytoplasm,go:0005886,positive,d,phosphorylation,,,,,human,['161'],nan,nan,"stabilization of p53 in response to dna damage is associated primarily with inhibition of mdm2-mediated degradation. this inhibition is achieved through different routes such as phosphorylation of p53 resulting in reduced affinity of mdm2 to p53, activation of p19arf leading to inhibition of ubiquitin-ligase activity and regulation of subcellular localization of mdm2 (36). in an interesting study, yang et al. (22) have reported that 14-3-3 enhances the transcriptional activity of p53 by increasing its half-life. further, 14-3-3 σ decreases the half-life of mdm2 and blocks mdm2-mediated p53 degradation by inhibiting mdm2’s ubiquitin ligase activity and also interferes with the nuclear-export activity of mdm2 towards p53 (22). our results, in general, are consistent with these observations and, further suggest that in addition to the previously identified σ isoform, τ might exert a similar regulatory mechanism towards p53. however, from our results, (i) it is possible that p53 might have additional σ and τ binding sites, which could directly interfere with mdm2-mediated degradation, (ii) these sites are created only upon dna damage. this hypothesis is supported by previous report that upon dna damage, 14-3-3σ stabilize p53 partly by direct binding and that this characteristic was not observed in p19arf (22). it must be noted that 14-3-3 proteins can also bind unphosphorylated targets and these targets bind to 14-3-3 proteins in the same location as phosphorylated targets (37). moreover, 14-3-3 σ has been shown to have different substrate specificity in comparison to other isoforms. hence, if p53 tad anchors additional binding sites for σ and τ that are created upon dna damage, it is possible that binding of σ and τ to p53 tad could competitively inhibit the binding of mdm2 to p53 tad, resulting in increased p53 levels, similar to competitive binding of p300 and mdm2 to p53 tad (29). while this is speculative at the moment, further experiments to identify σ and τ interaction sites on p53 would unravel the stabilization mechanism behind direct 14-3-3 and p53 interaction. perhaps there exist parallel pathways that could also lead to stabilization of p53 in the presence of 14-3-3. for instance, 14-3-3 τ stabilizes e2f-1 and e2f-1, in turn, stabilizes p53 by direct binding. further, e2f-1 upregulates p14arf, which negatively regulates mdm2 (38,39). in a different pathway, akt (protein kinase b) activation enhances p53 degradation. 14-3-3 σ binds and inhibits akt, resulting in p53 stabilization (40). hence, stabilization of p53 by 14-3-3 could be achieved through different pathways. perhaps, several other mechanisms of 14-3-3 mediated p53 stabilization remain unexplored.",pmc2817464,1,10,11,1,21
368,p65/rela,protein,,rela,uniprot,q15555,nucleus,go:0005739,phospho-akt,protein,,akt1,uniprot,p00738,cytoplasm,go:0005739,positive,d,staining,,,epithelial-like,,human,['58'],nan,nan,"staining for p65/rela, phospho-akt and ciap-2 on serial biopsy sections. serial sections from a moderate dysplasia (a–c) or adenocarcinoma (d–f) underwent immunohistochemical staining with antibodies directed against p65/rela (a and d), phospho-akt (b and e) or ciap-2 (c and f). cells with nuclear localization of p65/rela (arrows in a) correlated with regions of increased staining for phospho-akt and ciap-2 in this moderate dysplasia but the correlation was not consistently observed. high levels of cytoplasmic p65/rela staining in the adenocarcinoma corresponded with faint to moderate staining for phospho-akt and ciap-2 (d–f). there was a statistically significant correlation between ciap-2 and phospho-akt staining intensity at all pathology grades.",pmc1325242,1,10,11,1,21
461,raptor,protein,,rptor,uniprot,q92574,plasma membrane,go:0005886,mtor,protein,,mtor,uniprot,q92574,plasma membrane,go:0005886,positive,d,immunoprecipitation,,hek293,epithelial-like,,human,['404'],nan,nan,"hek293 cells were grown in complete medium and stimulated with 50 ng/ml igf1 for 30 min to hyper-activate mtor prior to lysis in chaps buffer (20 mm tris ph 7.4, 137 mm nacl, 2 mm edta, 10% (v/v) glycerol, 2% (w/v) chaps). endogenous raptor was immunoprecipitated with protein g sepharose and washed twice with chaps buffer + nacl (0.5 m total), twice with chaps buffer and twice with kinase buffer (25 mm hepes ph 7.4, 50 mm kcl) and left with ∼10 μl buffer on the beads. per reaction, 1 μg substrate was added in 20 μl kinase buffer prior to the addition of 10 μl atp mix (40 mm mncl2, 80 μm atp, 1 μci 32p γ-atp in kinase buffer). reactions were agitated at 30°c for 30 min and terminated by addition of 10 μl 5× sample buffer (300 mm tris ph 6.8, 8% (w/v) sds, 50% (v/v) glycerol, 0.025% (w/v) bromophenol blue).",pmc4585463,1,10,11,1,21
537,tsc2,protein,,tsc2,uniprot,q92537,cytoplasm,go:0005634,akt,protein,,akt1,uniprot,p04609,plasma membrane,go:0005886,positive,d,immunoprecipitation,,mefs,b-cell,,mouse,['98'],nan,nan,−/− mefs reconstituted with wild-type tsc2 (+wt) or a disease-causing mutant tsc2 (+n1643k) after stimulation with igf-1. results are expressed as values relative to unstimulated controls. (d) pip3 levels in tsc2,pmc2172316,1,10,11,1,21
40,arf,protein,,arf,uniprot,q92689,cytoplasm,go:0005739,mdm2,protein,,mdm2,uniprot,p00714,cytoplasm,go:0005739,positive,d,phosphorylation,ser48,,,,human,['51'],nan,nan,"the induction of senescence following oncogene activation has been unequivocally demonstrated to require arf [19-22]. however, our data and reports by others [41, 46-48, 81] suggest that the regulation of arf cellular localization is also required for inhibition of mdm2. recent studies have reported that the strength of signal originating from oncogene activation is also important in the arf mediated activation of p53 [88-90]. as arf localization depends on npm oligomerisation this suggests that the strength of a signal must be sufficient to disrupt the equilibrium and release arf, thereby creating a cellular sensor of stress or oncogene activation. we have demonstrated that phosphorylation of ser48 by akt contributes to this process, but additional residues of the n-terminal of npm have been predicted in-silico to regulate oligomerisation [53]. therefore, npm may be able to integrate multiple signals from different kinases in order to control arf localization.",pmc4171619,1,10,10,1,20
120,chk2,protein,,chek2,uniprot,q96x78,nucleus,go:0005739,p53,protein,,tp53,uniprot,q04727,nucleus,go:0005739,negative,d,inhibits,,,,,human,['10'],nan,nan,"we need to define those mechanisms and proteins that fine-tune the different biological outcomes of the ddr in relation to lesions, cellular types, and genetic background. indeed, a more detailed knowledge of chk2 activities in human cells in relation to damage type and extent could help define the possibility of treating specific tumors by chk2 activation or inactivation, alone or in combination with other therapies. particularly interesting is the possibility of targeting chk2 in patients with known carcinogenic mutations in p53.",pmc4296918,1,10,10,1,20
