index,Regulator Name,Regulator Type,Regulator Subtype,Regulator HGNC Symbol,Regulator Database,Regulator ID,Regulator Compartment,Regulator Compartment ID,Regulated Name,Regulated Type,Regulated Subtype,Regulated HGNC Symbol,Regulated Database,Regulated ID,Regulated Compartment,Regulated Compartment ID,Sign,Connection Type,Mechanism,Site,Cell Line,Cell Type,Tissue Type,Organism,Unnamed: 0,Score,Source,Statements,Paper IDs,Evidence Score,Match Score,Kind Score,Epistemic Value,Total Score
49,b-raf,protein,,braf,uniprot,q04989,plasma membrane,go:0005886,cdkn2a,protein,,cdkn2a,uniprot,q05028,nucleus,go:0005634,positive,d,phosphorylation,,,melanoma,,human,['383'],nan,nan,proliferation of melanoma cells expressing wild-type and v599e mutant b-raf,pmc1289294,1,10,19,1,29
135,cyclin d1,protein,,ccnd1,uniprot,q92063,nucleus,go:0005634,cdk4,protein,,cdkn1a,uniprot,p13183,nucleus,go:0005634,negative,d,binds,,hela,epithelial-like,,human,['192'],nan,nan,cyclin d1-cdk4 controls glucose metabolism independently of cell cycle progression,pmc4076706,1,10,19,1,29
441,pten,protein,lipid phosphatase,pten,uniprot,q02253,plasma membrane,go:0005886,akt,protein,,akt1,uniprot,p02739,plasma membrane,go:0005886,positive,d,inhibition,,hct116,colon cancer,colon,human,['560'],nan,nan,"pten is commonly mutated in various cancers,40, 41 as it normally functions as a tumor suppressor to antagonize the effects of pi3k through its lipid phosphatase activity. consequently, akt activation is balanced by both pten and pi3k. in the present study, we observed that selenite inhibited the phosphorylation of src and the p85 subunit of pi3k and its downstream effectors pdk1 and akt. additionally, pten expression was upregulated by foxo3a and (figures 2f and 4c), and pten activity was enhanced in response to selenite treatment (figure 4d). these findings are supported by work from meuillet and coworkers.42 therefore, we hypothesized that selenite-induced activation of pten was involved in regulation of the akt/foxo3a/bim signaling pathway. we transfected cells with lipid phosphatase-dead pten plasmids or pten sirna as well as inhibiting pten with sf1670 and discovered that selenite-mediated modulation of the akt/foxo3a/bim pathway was abrogated when pten was inhibited. furthermore, activating pten with nabt in hct116 and sw480 crc cells exerted further inhibitory effects on the akt/foxo3a/bim signaling pathway (supplementary figure s4). we concluded that selenite-induced pten was associated with the akt/foxo3a/bim pathway and apoptosis in hct116 and sw480 crc cells, which is consistent with the findings from other groups showing that pten directly regulates akt/foxo3a under various circumstances.43, 44 however, whether a positive feedback loop exists between pten and the akt/foxo/bim signaling pathway requires further study.",pmc3734838,1,10,19,1,29
442,pten,protein,,pten,uniprot,q04272,plasma membrane,go:0005886,akt,protein,,akt1,uniprot,o15277,plasma membrane,go:0005886,positive,d,phosphorylation,,hela,epithelial,,human,['319'],nan,nan,"cells were plated in 60-mm dishes in rpmi 1640 containing 10% fbs and 1% penicillin-streptomycin mixture at a density of 1×106 cells/dish. the next day transfections were performed using lipofectamine (invitrogen life technologies, carlsbad, ca). cells were transfected with expression constructs encoding wild type pten (psg5l-ha-ptenwt), mutant pten (psg5l-ha-pten-g 129e and psgl5-ha-pten-g 129r), wild type-akt (puse-wt-akt), constitutively active-akt (puse-ca-akt), dominant negative-akt (puse-dn-akt), or the corresponding empty vectors (psg5l or puse ) in the presence of an expression vector pcmv-lacz (invitrogen life technologies) expressing β-galactosidase. for each transfection, 2 µg of dna was diluted into 50 µl of medium without serum. after the addition of 3 µl of lipofectamine into 50 µl opti-mem medium, the transfection mixture was incubated for 10 min at room temperature. cells were washed with serum-free medium, the transfection mixture was added, and cultures were incubated for 24 hrs in the incubator. the next day, culture medium was replaced with fresh rpmi 1640 containing 10% fbs and 1% penicillin-streptomycin mixture and resveratrol was added for desired times for the measurement of apoptosis and protein expression.",pmc3181262,1,10,19,1,29
443,pten,protein,,pten,uniprot,q04289,plasma membrane,go:0005886,akt,protein,,akt1,uniprot,p00610,plasma membrane,go:0005886,negative,d,phosphorylation,,,glial cell,brain,human,['573'],nan,nan,"loss of pten protein was reported to correlate with pathological markers of poor prognosis in prostate cancer [361]. a relative reciprocity of mutations in pten and nras was also reported in melanoma, suggesting that the two genetic changes, in a subset of cutaneous melanomas, are functionally overlapping [362]. in multiple myeloma (mm) it was shown that human lines possessing the highest akt activity lost pten expression [363]. sequencing analysis demonstrated that the pten gene contained a deletion. restoration of pten expression suppressed igf-i-induced akt activity, suggesting that loss of pten is responsible for uncontrolled akt activity in mm lines [363]. in lymphoma/leukemia-derived cell lines, an inverse relationship between pten and phosphorylated akt was observed in 63% of cell lines [364]. no cell lines showed absence of pten expression, whereas 50% of cell lines showed low pten expression [364]. another study demonstrated the phosphorylation of akt is accompanied by the loss of pten in clinical specimens of endometrial carcinomas [365]. phosphorylation of akt was accompanied by the loss of pten in clinical specimens of endometrial cancers [366]. the survival rate for pten-positive patients was significantly higher than that for pten-negative or -heterogeneous staining patients, and thus pten-positive staining was proposed to be a significant prognostic indicator of favorable survival for patients with advanced endometrial cancer [366]. in glioma, a strong inverse correlation was described between pten levels and both phosphorylated akt expression and akt activity [367]. a significant association was evident between pten expression level and histology. pten levels were highest in normal brain, lowest in gbm tumors, and intermediate in grade ii oligoastrocytomas [367]. another study demonstrated that loss pten was highly correlated with activation of the main pi3k effector akt in vivo [368]. it was also shown that akt activation is significantly correlated with mtor, the family of forkhead transcription factors (foxo1, foxo3a, and foxo4) and the s6 protein [368]. expression of the mutant egfrviii was also tightly correlated with phosphorylation of these effectors, demonstrating an additional route to pi3k pathway activation in glioblastomas in vivo [368]. pten expression correlated significantly with survival time within the entire cohort and was associated with survival within the subgroup of gbm tumors [367]. thus, reduced pten expression is ubiquitous among gbm tumors and may play a role in the development of low-grade gliomas. pten inactivation in gliomas portends a particularly aggressive clinical behavior [367].",pmc2652403,1,10,19,1,29
444,pten,protein,,pten,uniprot,q04677,plasma membrane,go:0005886,akt,protein,,akt1,uniprot,p13240,plasma membrane,go:0005886,negative,d,inhibits,,hct116,epithelial-like,colon,human,['555'],nan,nan,pten-regulated akt/foxo3a/bim signaling contributes to reactive oxygen species-mediated apoptosis in selenite-treated colorectal cancer cells,pmc3734838,1,10,19,1,29
446,pten,protein,,pten,uniprot,q05243,plasma membrane,go:0005886,akt,protein,,akt1,uniprot,q05215,plasma membrane,go:0005886,positive,d,inhibition,,,,,human,['304'],nan,nan,"the level of pten expression does not always correlate with the degree of phosphorylation of akt [344]. although the picture concerning pten-inactivation and corresponding akt-activation is not clear, in vivo studies indicate, that pten dysregulation promotes leukemogenesis. pten-deficient hematopoietic stem cells display dysregulated cell cycle progression, and the mice develop a myeloproliferative disease which leads to leukemic transformation [346]. in t-acute lymphoblastic leukemia (t-all), pten-downregulation is also closely correlated with akt-activation [347,348]. to discern the role of pten for akt-activation, it may be useful to exclude concomitant causes for akt-activation such as mutant upstream targets and to include the investigation of regulators of pten such as c-myc and notch/hes1 [347,348].",pmc3660063,1,10,19,1,29
447,pten,protein,,pten,uniprot,q05283,plasma membrane,go:0005886,kras,protein,,kras,uniprot,q05283,plasma membrane,go:0005886,negative,d,inhibition,,h157,lung carcinoma,lung,human,['415'],nan,nan,"pten loss-of-function mutation is another critical factor causing rtk inhibitor resistance. the h157 nsclc cell line harboring comutant kras/pten was chosen to observe the gefitinib resistance. as shown in figure 2a (curve lines), atorvastatin dose dependently enhanced gefitinib efficacy in comutant kras/pten h157 cells (gefitinib treatment versus 1 or 5 μm atorvastatin+gefitinib treatment, ic50=18 versus 2.08 or 0.71 μm). as shown in figures 2c and e, although mutant pten increased the gefitinib concentration required for inhibition of proliferation of kras mutant nsclc cells (a549 and calu1 cells), addition of 1 or 5 μm atorvastatin could sensitize comutant kras/pten nsclc cells to gefitinib compared with each agent alone.",pmc3789171,1,10,19,1,29
448,pten,protein,,pten,uniprot,q92377,plasma membrane,go:0005886,mtor,protein,,mtor,uniprot,q92377,plasma membrane,go:0005886,positive,d,inhibition,,,,,human,['486'],nan,nan,"in peutz jeghers syndrome, tuberous sclerosis, and other diseases where pten is inactivated, the use of rapamycin as a clinical means to reverse the effect of elevated mtor activity is an attractive option (inoki et al, 2005a). these diseases are distinct from other hamartoma-associated disorders (such as vhl syndrome) since they have an established molecular link to mtor (inoki et al, 2005a). earlier studies demonstrated that pten-inactivated tumour cells exhibit enhanced sensitivity to the rapamycin analog cci-779 (guertin and sabatini, 2005). more recently, several studies have shown that rapamycin treatment, in combination with other chemotherapeutic drugs, can lead to enhanced selective killing of cancer cells. in particular, the protein tyrosine kinase (ptk) inhibitor, imatinib (gleevec, sti571) synergises with rapamycin to inhibit bcr/abl transformed cells (mohi et al, 2004). the effect of rapamycin may be enhanced as a result of imatinib-induced akt/mtor signaling, a complication that is thought to lead to imatinib resistance (burchert et al, 2005). rapamycin can also synergise with paclitaxel, carboplatin, and vinorelbine to induce apoptosis in breast cancer cells (mondesire et al, 2004). cisplatin-induced apoptosis of a549 lung cancer cells is also significantly enhanced when combined with rad001 (beuvink et al, 2005). this could be in part due to reduced translation of p53-activated p21 mrna in a549 and mcf7 cells treated with rad001, thereby allowing the dosage of cisplatin to be reduced (beuvink et al, 2005). also, the use of the egfr/vegfr inhibitor, aee788, in combination with rad001 greatly decreased tumour growth in glioma xenografts (goudar et al, 2005). furthermore, targeting the glycolytic pathway in combination with mtor inhibition may also be useful in cases where dna-damaging agents are less efficient in inhibiting growth and promoting apoptosis of cancer cells (xu et al, 2005).",pmc2361102,1,10,19,1,29
450,pten,protein,negative regulator,pten,uniprot,q04487,plasma membrane,go:0005886,ras,protein,gtpase,ras,uniprot,q92079,plasma membrane,go:0005886,positive,d,amplification,,,melanoma,skin,human,['125'],nan,nan,"loss of pten, the negative regulator of pi3k pathway, was described in 30–50% of melanomas, and correlates with melanoma progression and with shorter 5-year survival [156,157]. studies in melanoma cell lines and primary or metastatic melanomas described that disruption of pten by allelic loss or mutation contributes to the pathogenesis of malignant melanoma [158,159]. loss of pten and ras activation seems comparable in their ability to increase oncogenic signalling through pi3k pathway [160], due to the coexistence of pten somatic mutations in melanoma harbouring braf mutations but not with nras [161]. akt gene amplification, owing to copy number increase in the long arm of chromosome 1 and activating mutation, was also described in cutaneous melanomas [156,162]. immunohistochemistry studies described akt overexpression in 60% of melanomas, differing from common and dysplastic nevi that do not exhibit significant akt expression [163]. amongst the three akt isoforms, akt3 is the isoform more frequently deregulated in melanoma cells [164]. in melanoma, the increased pakt expression associates with tumour progression and shorter survival of patients [164,165]. notably, akt activity seems to cooperate in brafv600e-mediated model of melanoma development [166]. pras40, a substrate of the akt, was described to be downregulated in melanoma [167]. concordantly, results from our group indicate that the mtor pathway is activated in cutaneous melanoma, displaying different levels of activation in different histological subtypes, and relate with mapk pathway activation. our results suggest an association between higher mtor effectors expression and worse prognosis as well as with the presence of braf mutations [138].",pmc3291999,1,10,19,1,29
