Regulator Name,Regulator Type,Regulator Subtype,Regulator HGNC Symbol,Regulator Database,Regulator ID,Regulator Compartment,Regulator Compartment ID,Regulated Name,Regulated Type,Regulated Subtype,Regulated HGNC Symbol,Regulated Database,Regulated ID,Regulated Compartment,Regulated Compartment ID,Sign,Connection Type,Mechanism,Site,Cell Line,Cell Type,Tissue Type,Organism,Unnamed: 0,Score,Source,Statements,Paper IDs,Evidence Score,Match Score,Kind Score,Epistemic Value,Total Score
14-3-3 isoform-specific antibodies,protein,,,uniprot,,,,p53,protein,,tp53,uniprot,q05252,nucleus,go:0005634,positive,d,immunoprecipitation,,,,,human,['157'],nan,nan,"for immunoprecipitations, transfected cells from three wells of a 6-well plate were washed twice in cold pbs and scraped into 400 µl of ripa buffer containing a complete edta-free protease inhibitor mix. after removing debris by centrifugation, the pre-cleared extract was incubated overnight with 30 µg of 14-3-3 isoform-specific antibodies [σ: ab60311 (abcam), τ: sc-732, γ: sc-731, ε: sc-1020, (santa cruz biotechnology, santa cruz, ca, usa)] and 15 µl of protein g agarose. beads were collected by centrifugation and washed three times in 10s buffer (50 mm hepes, ph 7.5, 150 mm nacl, 0.2% np-40, 0.1% triton x-100 and 0.01% sds). bound proteins were eluted in 60 µl sds–page sample buffer containing 3 mm dtt. eluted proteins were separated on 4–12% sds–page gels and electroblotted onto nitrocellulose membranes. proteins were detected using mouse anti-p53 (pab1801) antibodies. horseradish peroxidase (hrp)-conjugated goat anti-mouse was used at dilution of 1 : 5000. ecl western blotting detection kit (amersham pharmacia biotech, sweden) was used for protein detection. immunoprecipitation using phospho-specific antibodies for ps366, ps378 and pt387 (generous gift from sheau-yann shieh, taiwan) were carried out as described above (10).",pmc2817464,1,100,40,1,140
cdk6,protein,,cdk6,uniprot,q02308,cytoplasm,go:0005739,tp53,protein,,tp53,uniprot,q00454,nucleus,go:0005739,positive,d,translocation,,,,,human,['388'],nan,nan,"cdk6 gene amplification and overexpression have been described in lymphomas, leukemias, squamous cell carcinoma, gliomas and medulloblastoma [186,187,191]. this overexpression can lead to translocation of cdk6 in some leukemias, and may link the tp53 and rb1 tumor suppressor pathways to medulloblastoma pathomechanisms [191]. the cosmic database reports on 33 simple coding mutations in cdk6, with 1 nonsense substitution at position 157, 18 missense mutations (amino acids 18, 84, 87, 113, 118 and 139) and 11 synonymous mutations that encode silent substitutions at positions 65 and 148 [135].",pmc4381256,1,100,40,1,140
h1.2,protein,,h12,uniprot,p02277,cytoplasm,go:0005634,p53,protein,,tp53,uniprot,q04674,nucleus,go:0005634,positive,d,acetylation,,h1299,b-cell,,human,['524'],nan,nan,"based on our findings that p53 acetylation and h1.2 phosphorylation are key events in p53-mediated transactivation, we explored whether these modifications coordinately regulate cell growth and apoptosis. in our clonogenic assays, h1299 cells displayed a reduced ability to form colonies after transfection of wild type p53 or acetylation mimicking mutant p53 (3kq), as compared with empty vector-transfected cells (figure 5a, assays 2 and 3 versus assay 1). by contrast, the observed reduction in colony formation could not be recapitulated by transfection of the h1.2 core complex (assays 4 and 5). consistent with the transcription results indicating h1.2-induced repression of p53 activity, simultaneous expression of wild type p53 and the h1.2 core complex increased the rate of colony formation similar to that observed in the empty vector-transfected cells (assay 6). notably, however, when wild type h1.2 in the core complex was replaced by phosphorylation mimicking mutant h1.2 (t146e), colony numbers were decreased back to those obtained by transfection of p53 alone (assay 7). likewise, transfection of cells with acetylation mimicking mutant p53 (3kq) decreased cell proliferation in all cases, regardless of whether wild type or mutant h1.2 is cotransfected (assays 8 and 9).",pmc3330162,1,100,40,1,140
her-2,receptor,growth factor,her2,uniprot,q02777,plasma membrane,go:0005886,akt,protein,serine/threonine kinase,akt1,uniprot,q02777,cytoplasm,go:0005930,negative,d,binds,,,,,human,['124'],nan,nan,"upstream, pi3k/akt signalling is deregulated through a variety of mechanisms, including overexpression or activation of growth factor receptors, such as her-2 (human epidermal growth factor receptor 2) and igfr (insulin-like growth factor receptor), mutations in pi3k and mutations/amplifications of akt [121–123].",pmc3291999,1,100,40,1,140
hur,protein,,esrp1,uniprot,p32587,cytoplasm,go:0005636,chk2,protein,,chek2,uniprot,q96xa2,cytoplasm,go:0005636,negative,d,phosphorylation,hur residue k182,,,,human,['338'],nan,nan,"unexpectedly, hur phosphorylation by chk2 in response to heat shock helped to prevent its degradation in this stress paradigm [38]. following heat shock, the nonphoshorylatable hur mutants (s88a, s100a, and t118a) were more labile while hur phosphomimic mutants (s88d, s100d, and t118d) were more resistant to degradation [38]. although details of this process await further analysis, chk2 phosphorylation of hur appeared to block hur proteolysis mediated by ubiquitination at hur residue k182 [38]. whether dna damage also helps to increase hur stability via chk2-mediated phosphorylation also warrants careful consideration.",pmc2925474,1,100,40,1,140
hur,protein,rna-binding,hur,uniprot,p13969,nucleus,go:0005739,chk1,protein,checkpoint kinase,chek1,uniprot,q92037,cytoplasm,go:0005739,positive,d,phosphorylation,,,b-cell,,vein,['335'],nan,nan,"as many dna-damaging conditions repress transcription, posttranscriptional processes critically influence gene expression during the genotoxic stress response. the rna-binding protein hur robustly influences gene expression following dna damage. hur function is controlled in two principal ways: (1) by mobilizing hur from the nucleus to the cytoplasm, where it modulates the stability and translation of target mrnas and (2) by altering its association with target mrnas. here, we review evidence that two main effectors of ataxia-telangiectasia-mutated/atm- and rad3-related (atm/atr), the checkpoint kinases chk1 and chk2, jointly influence hur function. chk1 affects hur localization by phosphorylating (hence inactivating) cdk1, a kinase that phosphorylates hur and thereby blocks hur's cytoplasmic export. chk2 modulates hur binding to target mrnas by phosphorylating hur's rna-recognition motifs (rrm1 and rrm2). we discuss how hur phosphorylation by kinases including chk1/cdk1 and chk2 impacts upon gene expression patterns, cell proliferation, and survival following genotoxic injury.",pmc2925474,1,100,40,1,140
ing1,protein,,ing1,uniprot,q96777,cytoplasm,go:0005634,src,protein,,src,uniprot,p16646,plasma membrane,go:0005886,negative,d,phosphorylation,,,b-cell,,vein,['554'],nan,nan,"ing1 is a type ii tumor suppressor whose activity affects many different pathways, including growth regulation, apoptosis, dna repair, chromatin remodeling, and gene expression [6], [7], [12], [13]. in this study we have shown that ing1 physically associates with, and is a target substrate of the src tyrosine kinase in vitro and in vivo, that src contributes to reducing levels of ing1 by phosphorylation-dependent and phosphorylation-independent mechanisms, and that such reduction blocks the ability of ing1 to induce apoptosis. this suggests that src may contribute to regulating ing1 levels and thus act to alter cell susceptibility to undergoing apoptosis since ing1 has been reported by many groups to enhance apoptosis [9]–[11], [41]–[47].",pmc3621671,1,100,40,1,140
mapk/sapk,protein,,,uniprot,q07817,plasma membrane,go:0005886,jnk,protein,,jnk,uniprot,p01730,plasma membrane,go:0005886,positive,d,phosphorylate,,,b-cell,,vein,['26'],nan,nan,mapk/sapk family such as p38 and erk were potential candidates as they also,pmc3084876,1,100,40,1,140
metformin,drug,,,uniprot,,,go:0005886,mtorc1,proteincomplex,,,uniprot,,,go:0005886,negative,d,inhibition,,,b-cell,,human,['308'],nan,nan,"the ability of metformin to suppress the proliferation of t-acute lymphoblastic leukemias (t-all) cell lines and primary t-all patient samples displaying mtorc1 activation was examined. metformin induced autophagy and apoptosis and inhibited proliferation. the effects of metformin on control cd4+ t-lymphocytes were examined. metformin was much less toxic against cd4+ t-lymphocytes from healthy donors than against either the t-all cell lines or primary patient cells. these studies documented the dephosphorylation of downstream targets of mtorc1. in addition, inhibition of mrna translation in metformin-treated t-all cells was observed. in contrast, a similar inhibition of translation was not observed after rapamycin treatment. importantly in primary patient samples, metformin targeted the side population of t-all cell lines as well as a putative leukemia initiating cell (lic) subpopulation (cd34+, cd7-, cd4-). metformin exhibited anti-leukemic activity, which supports further development of lkb1/ampk pathway activators as potential clinical candidates for t-all therapy [170]. ampk is also important in bcr-abl-induced chronic myeloid leukemia (cml) and ampk pathway activators may prove useful as combination drug therapy (with bcr-abl inhibitors) for this disease [171]. ampk can also be activated by rapamycin [172].",pmc4102778,1,100,40,1,140
mig6,protein,,mig6,uniprot,q9h2d7,nucleus,go:0005739,egfr,protein,,egfr,uniprot,p00838,plasma membrane,go:0005886,negative,d,downregulation,,,melanoma,skin,human,['19'],nan,nan,"through rppa analysis, we observed downregulation of mig6 in mek-inhibited mutant nras melanoma that is associated with increased levels of egfr and akt phosphorylation. a previous phospho-proteomic analysis of a mek-inhibited mutant nras melanoma cell line also identified upregulation of egfr signaling (fedorenko et al, 2015). our data in cell lines were supported by findings in an ex vivo explant system, in which treatment of two mutant nras patient biopsy samples led to decreased levels of mig6. additionally, analysis of tcga melanoma samples showed a negative correlation between mig6 and levels of phospho-akt. mig6 is an immediate early response gene that has been shown to be up-regulated by nrg1 and egf in vitro and in vivo and acts as a negative regulator of erbb receptors (hackel et al, 2001, ferby et al, 2006). previous studies have shown compensatory upregulation of akt signaling following mek inhibition (gopal et al, 2010, deuker et al, 2015). in mutant nras melanoma, we show that the expression of mig6 led to a decrease in egfr phosphorylation and downstream akt and erk1/2 signaling. effects of mig6 were selective to egf stimulation compared to other growth factors. conversely, the depletion of mig6 enhanced egfr phosphorylation and akt and erk1/2 signaling although some differences were observed between cell lines. mig6 expression also appears to be regulated by mek-erk1/2 signaling in mutant braf melanoma lines as treatment of a375 cells with either raf or mek inhibitor led to decreased mig6 expression (figure s4).",pmc4789776,1,100,40,1,140
