index,Regulator Name,Regulator Type,Regulator Subtype,Regulator HGNC Symbol,Regulator Database,Regulator ID,Regulator Compartment,Regulator Compartment ID,Regulated Name,Regulated Type,Regulated Subtype,Regulated HGNC Symbol,Regulated Database,Regulated ID,Regulated Compartment,Regulated Compartment ID,Sign,Connection Type,Mechanism,Site,Cell Line,Cell Type,Tissue Type,Organism,Unnamed: 0,Score,Source,Statements,Paper IDs,Evidence Score,Match Score,Kind Score,Epistemic Value,Total Score
153,tnf-α converting enzyme (tace),protein,,adam17,uniprot,q92574,plasma membrane,go:0005886,tnf-α,protein,,tnf,uniprot,q92573,plasma membrane,go:0005886,negative,d,shedding,,,,,human,['108'],nan,nan,"tumor necrosis factor-α (tnf-α) converting enzyme (tace), also known as adam17,1 is a sheddase involved in multiple cell signaling pathways.2 its first discovered biological function was the shedding of the membrane-bound form of tnf-α (mtnf-α)1 and has since had many other factors reported as substrates.3 it is also required for the processing of both tnf-α receptors (tnfrs),4 p75 neurotrophin receptor (p75ntr),5 and ligands of the epidermal growth factor receptor (egfr) family.6, 7 first indications for a functional role of adam17 in neurodegenerative diseases have been found in ischemia8 and alzheimer's disease.9 however, its role in traumatic injuries of the central nervous system (cns) is unclear.",pmc3877539,1,1,40,1,41
48,adam17,protein,sheddase,ptch1,uniprot,q92574,plasma membrane,go:0005886,neutrophil,leukocyte,,,uniprot,none,blood,go:0005886,negative,d,cleavage,,none,none,none,human,['66'],nan,nan,"despite years of active research, novel mechanistic insights about sepsis have not yet translated into effective host-directed drug treatments. inflammation modulating research is shifting to therapeutic strategies to optimize the host's response to infection during sepsis. therefore, it will be interesting to examine the targeting of adam17 as a host-directed therapeutic approach in patients. the potential benefits of adam17 inhibition on increasing neutrophil infiltration at sites of infection and reducing damaging inflammation may be exploited in clinical settings to reduce sepsis progression as well as its occurrence in high risk, general surgery patients. of course, extrapolation of mouse model findings related to the effects of adam17 inactivation need to be confirmed in humans in which sepsis is a highly complex clinical syndrome. in addition, adam17-deficient mice are perinatal lethal (peschon et al., 1998), mice expressing greatly reduced levels of adam17 demonstrate increased susceptibility to inflammatory diseases (brandl et al., 2010; chalaris et al., 2010), and loss-of-function mutations in adam17 cause inflammatory diseases in humans (blaydon et al., 2011). in consideration of this, prolonged inhibition of adam17 could have detrimental consequences. however, pharmacological inhibitors of adam17 have advanced in specificity and progressed to clinical trials for cancer (for example, https://clinicaltrials.gov/ct2/show/record/nct02141451), and have been reported to be well-tolerated (friedman et al., 2009; duffy et al., 2011). thus, temporarily targeting adam17 for sepsis with highly specific inhibitors may not result in significant adverse effects. moreover, it may be possible to selectively prevent the shedding of critical adam17 substrates that regulate leukocyte recruitment expressed by neutrophils, platelets, or endothelial cells by targeting their cleavage regions, which tend to vary between adam17 substrates, and in turn more precisely modulate leukocyte interactions with the vascular endothelium during sepsis.",pmc5403810,1,1,40,1,41
60,cd4-,protein,,,uniprot,p01730,plasma membrane,go:0005886,tcr,other,,,fplx,tcr,plasma membrane,go:0005886,positive,d,phosphorylation,,,b-cell,,vein,"['89', '105', '148', '161']","nan,nan,nan,nan","nan,nan,nan,nan","data represent means ± sem (n = 3 per group, c–e). significance was calculated using one-way anova followed by the newman–keuls post-test (in d,e) or by two-way anova followed by the bonferroni post-test for double-treated cells (in c) and is indicated by asterisks (*p < 0.05, **p < 0.01, ***p < 0.001). asterisks without line indicate significance to the appropriate control.,before transfection, pasmcs were incubated with opti-mem-i serum-free medium (invitrogen) for 3 h before adding 10 nm sirna lipoplexed with dharmafect1 (ge dharmacon, lafayette, co) sirna/dharmafect1 complexes were allowed to form for 20 min at room temperature before being added to the cells. cells were then incubated with the complexes for 4 h at 37 °c before returning to dmem/10% fbs overnight. knockdown efficiency was confirmed by immunoblotting or mrna expression. the sirnas used were: on-targetplus smartpool oligos for (>x% values represent knockdown at rna level): acvr2a (>73%), adam10, adam17, alk2 (>84%), bmpr2 (>75%), rela (>82%, encoding nf-κb p65) or a non-targeting control pool (sicp) (all ge dharmacon) or oligos targeting fyn (>64%, sasi_hs01_00195124), hey1 (>63%, sasi_hs01_0052320), hey2 (>63%, sasi_hs02_00343977), notch2 (>50%, sasi_hs01_00068801), notch3 (>75%, sasi_hs01_00101287), src (>62%, sasi_hs01_00112907) or yes (>68%, sasi_hs01_00086922) from sigma-aldrich. for proliferation experiments, we confirmed that the level of knockdown was similar at days 2, 4 and 6 for each target.,this is an important point and we have now revised the text to indicate that direct binding was not demonstrated:,over time, the surviving a17δkc mice developed a chronically thickened epidermis, dry skin, severe inflammatory dermal infiltrates, and systemic myeloproliferative disease. murthy et al. (2012) recently described a similar inflammatory skin phenotype in a17δkc mice but proposed that it is caused by the loss of a putative ligand-independent notch activation by adam17, which, in turn, would normally suppress the production of thymic stromal lymphoprotein (tslp) in adult skin. however, another study has shown that tslp is produced as a consequence of skin barrier defects in general and does not depend on loss of notch signaling (demehri et al., 2008). importantly, we demonstrate that the invasion of inflammatory cells is a consequence of the skin barrier defects, and not the cause, because skin defects develop in a17δkc mice before inflammatory infiltrates and are not reversed by macrophage depletion with clodronate. moreover, our study identifies egfr-dependent regulation of tgms, which are directly responsible for establishing the skin barrier, as the most likely basis of the skin defect in a17δkc mice. this mechanism is further supported by the finding that egfrδkc mice develop chronic dermatitis and systemic myeloproliferative disease, just like a17δkc mice, and by rescue experiments of a17δkc mice with the egfr ligand and adam17 substrate tgf-α. therefore, we conclude that chronic dermatitis and systemic myeloproliferation in adam17 knockout mice are late manifestations of persistent egfr ligand deficiency and the resulting defective skin barrier. in this context, it should also be noted that previous studies have demonstrated both agonistic and antagonistic cross talk between the egfr and notch pathways (yoo et al., 2004; hasson et al., 2005; doroquez and rebay, 2006; aguirre et al., 2010), suggesting that the reduced notch signaling observed by murthy et al. (2012) in a17δkc skin could also be explained by lack of egfr activation. finally, both a17δkc and egfrδkc mice showed an outside-in barrier defect, which is thought to contribute to the pathogenetic mechanism of atopic dermatitis by exposing the skin to exogenous agents or antigens, which then trigger immune reactions (irvine and mclean, 2006; moniaga et al., 2010).","pmc3403298,pmc5241886,pmc6042963,pmc3371728",4,0.1,39,1,39.4
112,lps,lipid,,,uniprot,,,,tnfr-1,protein,,tnfrsf1a,uniprot,p00719,plasma membrane,go:0005886,positive,d,shedding,,,none,none,mouse,['69'],nan,nan,"our data would suggest that sepsis may “reprogram” cells, altering their response state. as we could reproduce sepsis tace behavior in vitro using an lps model, it is possible that reprogramming may be mediated through exposure to pamps. the fact that these changes are not seen within the sirs cohort may reflect an absence of pamps and suggest a lack of single- or cross-pathway tolerance therein. in our septic cohort, both basal tace activity and tnfr-1 shedding correlated with apache ii scores. data from a larger patient population may help delineate whether tace (and/or other protease) enzyme behavior better reflects illness severity than hla-dr or in vitro sol-tnf release in sepsis. although tace knockout mice are nonviable (50, 51), mice with myeloid cell–inactivated tace have a survival benefit in endotoxic shock (24), and knockouts of other protease enzymes also confer a survival benefit in murine models of sepsis (52). thus, an enhanced understanding of how enzyme function is altered in sepsis may ultimately lead to new therapeutic strategies.",pmc4467590,1,0.1,39,1,39.1
105,irhom2-3xha,protein,,,uniprot,q07817,mitochondria,go:0005739,adam17-v5,protein,,adam17,uniprot,p13447,plasma membrane,go:0005886,negative,d,colocalising puncta,,hek 293t,epithelial-like,kidney,human,['49'],nan,nan,"(a–d) immunofluorescence of irhom1/2 double knockout hek293t cells stably expressing irhom2-3xha or irhom2δ300-3xha treated with dmso (con) or 100 nm bafilomycin a1 (baf) for 16 hr prior to fixation. cells were stained for ha (green), the lysosomal marker lamp1 (red) and dapi for dna (blue). lamp1-labelled regions (within white boxes) have been magnified. scale bar = 10 µm. (e, f) irhom2δ300-3xha cells were treated as in (a–d), but with 72 hr expression of adam17-v5 and labelling of ha (green), v5 (red) and dapi for dna (blue). arrows indicate colocalising puncta. single confocal sections are shown, taken through the centre of the nucleus. ha- and v5-labelled regions (within white boxes) have been magnified. scale bar = 10 µm. (g) cell lysates of wild-type (wt) and frmd8 knockout (ko) hek293t cells treated with the solvent dmso (–), 10 µm mg-132 (mg) or 200 nm bafilomycin a1 (baf) for 16 hr were enriched for glycosylated proteins using concanavalin a (cona) beads and immunoblotted for adam17 and transferrin receptor 1 (tfr). tfr was used as a loading control although it is also susceptible to bafilomycin treatment. mature adam17 levels from three experiments were quantified relative to tfr levels using imagej.",pmc6042961,1,0.1,39,1,39.1
106,irhoms,protein,,,uniprot,q9bxa7,cytoplasm,go:0005739,adam17,protein,,adam17,uniprot,q9bxa7,plasma membrane,go:0005886,positive,d,binding,frmd8,macrophage,immune-like,tissue,human,['45'],nan,nan,"despite the role of the irhom/adam17 shedding complex in controlling signalling, much is yet to be understood about the molecular mechanisms that control this inflammatory trigger. to identify the wider machinery by which irhoms regulate adam17, we report here a proteomic screen to identify their binding partners. we have identified the poorly characterised ferm domain-containing protein 8 (frmd8) as having a strong and specific interaction with the cytoplasmic n-terminus of irhoms. the functional significance of this interaction is demonstrated by loss of frmd8 causing a similar phenotype to irhom deficiency in cells: loss of mature adam17 and severely reduced shedding of adam17 substrates from the cell surface. we show that loss of frmd8 leads to lysosomal degradation of mature adam17 and irhom2, indicating that its function is to stabilise the irhom/adam17 sheddase complex once it reaches the plasma membrane. overall, our results imply that frmd8 is an essential component of the inflammatory signalling machinery. to test this proposal in vivo we deleted the frmd8 gene in human induced pluripotent stem cells (ipscs) and differentiated them into macrophages. consistent with our biochemical data, these mutant macrophages were defective in their ability to release tnfα in response to lipopolysaccharide (lps) stimulation, demonstrating the pathophysiological importance of frmd8 in the normal inflammatory response by human macrophages. the in vivo significance of frmd8 in regulating the stability of the irhom/adam17 shedding complex was further reinforced by our observation that mature adam17 and irhom2 protein levels are strongly reduced in tissues of frmd8-deficent mice.",pmc6042961,1,0.1,39,1,39.1
107,isoflurane,drug,volatile,,uniprot,,blood,go:0005886,alveolar macrophages,cell,,,uniprot,,alveolar air space,go:0005886,positive,d,inhibition,,,macrophage,lung,mouse,['32'],nan,nan,"the protective effects of volatile anesthetics, including isoflurane, on lung inflammatory injury have been well studied in vitro and in vivo [12–17]. isoflurane has been reported to inhibit the proinflammatory cytokine release from alveolar macrophages and monocytes following lipopolysaccharide (lps) challenge [13, 16–18]; however, the effect(s) of isoflurane on the resolution of lung inflammation remains unknown. in the present study, we identified that isoflurane promoted macrophage efferocytosis and subsequent resolution of lung inflammation in a model of sepsis with endotoxin and that these effects are closely associated with upregulation of receptor tyrosine kinase mer surface expression in macrophages.",pmc5495389,1,0.1,39,1,39.1
108,itap,protein,,itap,uniprot,q96674,endosome,go:0005739,irhoms,protein,,irhom1,uniprot,q96673,endosome,go:0005739,negative,d,binds,,hek 293t,epithelial-like,kidney,human,['142'],nan,nan,"itap, a novel interactor of irhoms, is an atypical ferm domain-containing protein",pmc6042963,1,0.1,39,1,39.1
109,itap,protein,,itap,uniprot,q9h2a7,cytoplasm,go:0005739,tace,protein,,tace,uniprot,q9h2a6,cytoplasm,go:0005739,positive,d,binds,,,epithelial-like,,human,['146'],nan,nan,"it will also be interesting to reconcile the role of itap in the control of irhom/tace stability, versus that of pacs-2, which binds directly to tace (dombernowsky et al., 2015). itap and pacs-2 both impact on tace stability, but itap can presumably only influence tace stability indirectly via irhoms. this is relevant because tace stimulants trigger detachment of tace from irhom2 on the cell surface (grieve et al., 2017), a mechanism important for facilitating access of tace to its substrates (cavadas et al., 2017). as irhom and tace are uncoupled at a crucial stage during signaling, their degradative fates could also be separated, leaving open the possibility that itap and pacs-2 may govern different stages in tace’s trafficking lifecycle.",pmc6042963,1,0.1,39,1,39.1
110,itap,protein,,,uniprot,,plasma membrane,go:0005886,irhom2,protein,,rhom2,uniprot,q92577,plasma membrane,go:0005886,negative,d,binds,,,b-cell,,vein,['141'],nan,nan,"here we identify a novel protein that we name itap (irhom tail-associated protein) that is essential for the control of the stability of irhom2 and tace on the plasma membrane. ablation of itap triggers the mis-sorting of irhom2, and consequently, tace, to lysosomes, where they are degraded. consistent with this, loss of itap results in a dramatic reduction in tace activity and tnf secretion. our work reveals itap as a key physiological regulator of tnf release.",pmc6042963,1,0.1,39,1,39.1
