,Element Name,Element Type,Element ID,Location,Location ID,Cell Line,Cell Type,Organism,Positive Reg Name,Positive Reg Type,Positive Reg ID,Positive Reg Location,Positive Reg Location ID,Negative Reg Name,Negative Reg Type,Negative Reg ID,Negative Reg Location,Negative Reg Location ID,Connection Type,Database Name,Mechanism,Paper ID,Evidence,Evidence Score,Match Score,Kind Score,Epistemic Value,Total Score
26,akt,protein family|protein complex,akt,cytoplasm,go:0005737,nan,nan,nan,nan,nan,nan,nan,nan,pten,protein,p60484.d,cytoplasm,go:0005737,i,['be'],['phosphorylation'],['pmc4513933'],['the loss of pten in prostate cancer cells leads to activation of akt and phosphorylation and retention of foxo1 in the cytoplasm .'],1,10.0,1.0,1.0,{11.0}
734,pi3k,protein family|protein complex,pi3k,nan,nan,nan,cl:cl:0000255,nan,nan,nan,nan,nan,nan,pten,protein,p60484,nan,nan,i,['be'],['none'],['pmc1325242'],"['in addition , loss of the tumor suppressor phosphatase and tensin homologue ( pten ) , a lipid phosphatase that inhibits pi3k activity , is found in a subset of lung tumors [ xref_bibr - xref_bibr ] .']",1,10.0,1.0,1.0,{11.0}
679,p53,protein,p04637,nan,nan,nan,nan,uberon:uberon:0000479,nan,nan,nan,nan,nan,mdm2,protein,q00987,nan,nan,i,['uniprot'],['none'],['pmc4171619'],"['furthermore , our results indicate that p53 mut is degraded by mdm2 as nutlin3a treatment stabilizes protein levels both in the presence and absence of arf , implying that constitutive mdm2 activity in the absence of arf keeps p53 mut levels low . ++++ growing evidence suggests that since mdm2 can mediate degradation of p53 mut in normal tissue [ xref_bibr , xref_bibr ] the stabilization of p53 mut is not due to the lack of transcriptional activation of mdm2 .']",1,10.0,1.0,1.0,{11.0}
671,p53,protein,p04637,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,mdm2,protein,q00987,nan,nan,i,"['uniprot', 'uniprot']","['ubiquitination', 'decreaseamount']","['pmc3325598', 'pmc4480747']","['these results indicate that p53 accumulation in akt cells results from both a reduction in mdm2 mediated p53 ubiquitination and degradation , plus enhanced p53 translation .', 'in all the cell lines mdm2 transcripts were modestly reduced by pd0332991 , possibly reflecting the cdk4 inhibitor induced loss of p53 ( xref_supplementary ) .']",2,10.0,1.0,1.0,{21.0}
668,p53,protein,p04637,nan,nan,nan,nan,nan,mtorc1,protein family|protein complex,mtorc1,nan,nan,nan,nan,nan,nan,nan,i,['uniprot'],['none'],['pmc4381605'],"['while there is evidence that dna damage eventually leads to mtorc1 inhibition through p53 dependent mechanisms [ xref_bibr , xref_bibr ] , there are also an increasing number of reports demonstrating that mtorc1 positively regulates p53 , [ xref_bibr - xref_bibr ] and that both mtorc1 and mtorc2 pathways are activated following dna damage [ xref_bibr , xref_bibr - xref_bibr ] .']",1,10.0,1.0,1.0,{11.0}
659,p53,protein,p04637,nan,nan,nan,cl:cl:2000042,nan,akt,protein family|protein complex,akt,nan,nan,nan,nan,nan,nan,nan,i,['uniprot'],['none'],['pmc3325598'],"['previous reports indicate that mtorc1 activation downstream of akt will promote p53 accumulation via regulation of p53 translation as in pten -/- and tsc1 -/- mouse embryonic fibroblasts , . ++++ we find that akt enhances both p53 translation and protein stability , and that akt induced p53 accumulation and downstream senescence is dependent on mtorc1 activity . ++++ we find that akt enhances both p53 translation and protein stability , and that akt induced p53 accumulation and downstream senescence is dependent on mtorc1 activity . ++++ here we show that pi3k and akt pathway activation in response to phosphatase and tensin homolog ( pten ) knockdown , mutant pi3k , catalytic , alpha polypeptide ( pik3ca ) or activated akt expression , promotes accumulation of p53 and p21 , increases cell size and induces senescence associated beta-galactosidase activity . ++++ taken together , these results indicate that akt induces dna damage independent p53 stabilisation via arf- and pml independent nucleolar sequestration of mdm2 .']",1,10.0,1.0,1.0,{11.0}
658,p53,protein,p04637,nan,nan,nan,cl:cl:0002224,uberon:uberon:0000479,nan,nan,nan,nan,nan,pp2a,protein,p67775,nan,nan,i,['uniprot'],['none'],['pmc2954851'],"['inhibition of pp1 , but not pp2a , with okadaic acid induced the p53 target bax and , consequently , apoptosis in rabbit lens epithelial cells [ xref_bibr ] . ++++ in addition to being regulated by mdm2 , p53 is also negatively regulated through direct dephosphorylation by pp1 and pp2a .']",1,10.0,1.0,1.0,{11.0}
645,p53,protein,p04637,nan,nan,cellosaurus:cvcl_0045,nan,nan,mtor,protein,p42345,nan,nan,nan,nan,nan,nan,nan,i,['uniprot'],['none'],['pmc4381605'],"['western blot analysis revealed that etoposide induced increase in phosphorylation and total protein level of chk1 , and p53 were reduced by pharmacological inhibition of mtor kinase at 4 and 24 hrs . ++++ mtor dependent induction of p53 after dna damage has previously been reported [ xref_bibr , xref_bibr , xref_bibr , xref_bibr ] and as hek293 cells used here are known to have non functional p53 [ xref_bibr ] , we further assessed mtor dependent regulation of chk1 and chk2 after dna damage .']",1,10.0,1.0,1.0,{11.0}
642,p53,protein,p04637,nan,nan,cellosaurus:cvcl_0031,nan,nan,akt,protein family|protein complex,akt,nan,nan,nan,nan,nan,nan,nan,i,['uniprot'],['amount'],['pmc4171619'],"['importantly , we find that expression of arf stabilizes p53 but is now subject to npm mediated control and akt inhibition decreases p53 levels .']",1,10.0,1.0,1.0,{11.0}
638,p38,protein family|protein complex,p38,nan,nan,cellosaurus:cvcl_0045,nan,nan,src,protein family|protein complex,src.p,nan,nan,nan,nan,nan,nan,nan,i,['be'],['phosphorylation'],['pmc4624070'],"['inhibition of src completely blocked ep2 induced p38 phosphorylation and overexpression of src increased the level of p38 phosphorylation , indicating that src is upstream kinase for ep2 induced p38 phosphorylation .']",1,10.0,1.0,1.0,{11.0}
