index,Regulator Name,Regulator Type,Regulator Subtype,Regulator HGNC Symbol,Regulator Database,Regulator ID,Regulator Compartment,Regulator Compartment ID,Regulated Name,Regulated Type,Regulated Subtype,Regulated HGNC Symbol,Regulated Database,Regulated ID,Regulated Compartment,Regulated Compartment ID,Sign,Connection Type,Mechanism,Site,Cell Line,Cell Type,Tissue Type,Organism,Score,Source,Statements,Paper IDs,Evidence Score,Match Score,Kind Score,Epistemic Value,Total Score
616,mtorc1,protein family|protein complex,,,,mtorc1,,,pras40,protein,,,uniprot,q96b36,,,positive,i,phosphorylation,,,,,,"nan,nan,nan","nan,nan,nan","the above results suggested that pras40 is phosphorylated by mtorc1 . ++++ we also observed that pras40 associated less well with a kinase dead version of mtor ( xref_fig ) , suggesting that mtorc1 mediated phosphorylation of pras40 ( see below ) may affect the pras40- mtorc1 interaction . ++++ pras40 was phosphorylated weakly by both mtorc1 and mtorc2 . ++++ it remains to be determined whether mtorc1 mediated phosphorylation of pras40 plays a role in pras40 's ability to bind and inhibit mtorc1 . ++++ importantly , we also found that pras40 inhibited mtorc1 autophosphorylation but not mtorc2 autophosphorylation ( xref_fig ) , suggesting that the weak phosphorylation of pras40 by mtorc1 might be due to pras40 mediated inhibition of mtorc1 .,moreover , pras40 is a substrate of mtorc1 itself , and mtorc1 mediated phosphorylation of pras40 prevents inhibition of additional mtorc1 signaling [ xref_bibr - xref_bibr , xref_bibr ] .,to complicate matters , pras40 is a substrate of mtorc1 itself , and mtorc1 mediated phosphorylation of pras40 prevents inhibition of additional mtorc1 signaling .","pmc2075366,pmc3660063,pmc4102778",3,10,3,1,33
74,akt,protein family|protein complex,,,,akt,nucleus,go:0005634,mdm2,protein,,,uniprot,q00987,nucleus,go:0005634,positive,d,phosphorylation,,,,,,"nan,nan,nan","nan,nan,nan","akt phosphorylation of mdm2 is also necessary for the translocation of mdm2 from the cytoplasm to the nucleus .,in response to growth factor stimulation , active akt binds to and phosphorylates mdm2 at ser166 and ser186 to enhance protein stability and facilitate the function of mdm2 to promote p53 ubiquitination [ xref_bibr , xref_bibr ] .,in response to growth factor stimulation , active akt binds to and phosphorylates mdm2 at ser166 and ser186 to enhance protein stability and facilitate the function of mdm2 to promote p53 ubiquitination [ xref_bibr , xref_bibr ] .","pmc3317191,pmc3317191,pmc3317191",3,10,2,1,32
240,chk1,protein,,,,o14757,,,p53,protein,,,uniprot,p04637,,,positive,d,phosphorylation,,cellosaurus:cvcl_0060,,,,"nan,nan,nan","nan,nan,nan","the chk1 and chk2 kinases phosphorylate p53 at s366 , s378 and t387 .,the chk1 and chk2 kinases phosphorylate p53 at s366 , s378 and t387 .,the chk1 and chk2 kinases phosphorylate p53 at s366 , s378 and t387 .","pmc2817464,pmc2817464,pmc2817464",3,10,2,1,32
257,chk2,protein,,,,o96017,,,p53,protein,,,uniprot,p04637,,,positive,d,phosphorylation,,,,,,"nan,nan,nan","nan,nan,nan","atm dependent dephosphorylation of p53 at s376 and chk1 and chk2 dependent phosphorylation of p53 at s378 , s366 and t387 generate 14-3-3 binding sites in vivo .,atm , atr , and dna-pk phosphorylate p53 on s15 , while chk1 and chk2 phosphorylate p53 on s20 which stabilize p53 by preventing binding to mdm2 [ xref_bibr - xref_bibr ] .,a study published in 2000 reported that , upon dna damage , chk2 phosphorylates p53 on ser20 .","pmc2817464,pmc2954851,pmc4296918",3,10,2,1,32
256,chk2,protein,,,,o96017,,,p53,protein,,,uniprot,p04637,,,positive,d,phosphorylation,,cellosaurus:cvcl_0060,,,,"nan,nan","nan,nan","atm dependent dephosphorylation of p53 at s376 and chk1 and chk2 dependent phosphorylation of p53 at s378 , s366 and t387 generate 14-3-3 binding sites in vivo . ++++ the chk1 and chk2 kinases phosphorylate p53 at s366 , s378 and t387 .,the chk1 and chk2 kinases phosphorylate p53 at s366 , s378 and t387 . ++++ atm dependent dephosphorylation of p53 at s376 and chk1 and chk2 dependent phosphorylation of p53 at s378 , s366 and t387 generate 14-3-3 binding sites in vivo .","pmc2817464,pmc2817464",2,10,2,1,22
169,b-raf,protein,,,,p15056,,,mek2,protein,,,uniprot,p36507,,,positive,d,phosphorylation,,,,,,"nan,nan","nan,nan","b-raf phosphorylates mek1 and mek2 on ser217 and ser221 , which activates it to dual phosphorylate erks , at thr202 and tyr204 for human erk1 and thr185 and tyr187 for human erk2 [ xref_bibr , xref_bibr ] .,b-raf phosphorylates mek1 and mek2 on ser217 and ser221 , which activates it to dual phosphorylate erks , at thr202 and tyr204 for human erk1 and thr185 and tyr187 for human erk2 [ xref_bibr , xref_bibr ] .","pmc1289294,pmc1289294",2,10,2,1,22
967,tsc2,protein,,,,p49815,,,mtorc1,protein family|protein complex,,,be,mtorc1,,,negative,i,none,,,,,,"nan,nan","nan,nan","lkb1 is an upstream activator of 5 ' amp activated protein kinase ( ampk ) which activates tsc2 that negatively regulates mtorc1 [ xref_bibr , xref_bibr ] .,this has a pro proliferative effect as mtorc1 is not suppressed by tsc2 .","pmc3660063,pmc4102778",2,10,2,1,22
37,akt,protein family|protein complex,,,,akt,,,mtorc1,protein family|protein complex,,,be,mtorc1,,,positive,i,none,,,,,,"nan,nan","nan,nan","thus , this is another mechanism by which akt activates mtorc1 .,growth factor stimulated akt promotes mtorc1 activation through two pathways .","pmc4102778,pmc4216640",2,10,2,1,22
134,atm,protein,,,,q13315,,,chk2,protein,,,uniprot,o96017,,,positive,i,none,,,,,,"nan,nan","nan,nan","the transducer proteins include the kinases atm and atm- and rad3 related ( atr ) ; atm and atr phosphorylates and thereby activates the checkpoint kinases chk1 and chk2 , which control hur cytoplasmic abundance and rna binding , respectively .,here , we report that the inhibition of sirt1 by dbc1 in the dna damage response ( ddr ) also depends on chk2 , the transducer kinase that is activated by atm upon dna lesions and contributes to the spreading of dna damage signal .","pmc2925474,pmc4245943",2,10,2,1,22
506,ir,protein,,,,p06213,plasma membrane,go:0005886,pi3k,protein family|protein complex,,,be,pi3k,plasma membrane,go:0005886,positive,i,none,,,,,,nan,nan,"likewise , the pi3k and akt pathway is activated by ir via either direct or irs mediated recruitment of pi3k , whereas egfr mediated pi3k activation occurs mainly via a more intricate route that involves egfr- and src induced phosphorylation of the grb2 associated binder 1 ( gab1 ) .",pmc2683723,1,10,3,1,13
525,lkb1,protein,,,,q15831,,,ampk,protein family|protein complex,,,be,ampk,,,positive,i,none,,,,,,nan,nan,ampk is activated by lkb1 ( liver kinase b1 ) that directly phosphorylates the activation loop and increases ampk kinase activity [ xref_bibr ] . ++++ ampk is activated by lkb1 ( liver kinase b1 ) that directly phosphorylates the activation loop and increases ampk kinase activity [ xref_bibr ] .,pmc3291999,1,10,3,1,13
545,mek,protein family|protein complex,,,,mek,nucleus,go:0005634,erk,protein family|protein complex,,,be,erk,nucleus,go:0005634,positive,i,none,,,cl:cl:0000066,,,nan,nan,"however , in our system it is unlikely that dephosphorylation of erk is upregulated in suspended cells , as erk activation mediated by active versions of either raf or mek was unaltered in suspension versus adherent conditions .",pmc2169466,1,10,3,1,13
531,mdm2,protein,,,,q00987,,,p53,protein,,,uniprot,p04637,,,negative,i,decreaseamount,,,,,,nan,nan,"in all the cell lines mdm2 transcripts were modestly reduced by pd0332991 , possibly reflecting the cdk4 inhibitor induced loss of p53 ( xref_supplementary ) .",pmc4480747,1,10,3,1,13
395,erk2,protein,,,,p28482,other,go:0005657,atm,protein,,,uniprot,q13315,other,go:0005657,positive,i,phosphorylation,,cellosaurus:cvcl_0022,,,,nan,nan,"consistent with erk1/2 being the major , if not the sole targets of mek [ xref_bibr ] , it was recently demonstrated that knockdown of either erk1 or erk2 significantly reduced atm activation ( atm s1981 phosphorylation and the nuclear foci of s1981 phosphorylated atm ) in response to etop , and thereby attenuated phosphorylation of the atm substrates , including the s139 of h2ax ( gammah2ax ) , s15 of p53 , and t68 of chk2 .",pmc3330700,1,10,3,1,13
388,erk1,protein,,,,p27361,other,go:0005657,atm,protein,,,uniprot,q13315,other,go:0005657,positive,i,phosphorylation,,cellosaurus:cvcl_0022,,,,nan,nan,"consistent with erk1/2 being the major , if not the sole targets of mek [ xref_bibr ] , it was recently demonstrated that knockdown of either erk1 or erk2 significantly reduced atm activation ( atm s1981 phosphorylation and the nuclear foci of s1981 phosphorylated atm ) in response to etop , and thereby attenuated phosphorylation of the atm substrates , including the s139 of h2ax ( gammah2ax ) , s15 of p53 , and t68 of chk2 .",pmc3330700,1,10,3,1,13
532,mdm2,protein,,,,q00987,,,p53,protein,,,uniprot,p04637,,,negative,i,none,,,,,uberon:uberon:0000479,nan,nan,"furthermore , our results indicate that p53 mut is degraded by mdm2 as nutlin3a treatment stabilizes protein levels both in the presence and absence of arf , implying that constitutive mdm2 activity in the absence of arf keeps p53 mut levels low . ++++ growing evidence suggests that since mdm2 can mediate degradation of p53 mut in normal tissue [ xref_bibr , xref_bibr ] the stabilization of p53 mut is not due to the lack of transcriptional activation of mdm2 .",pmc4171619,1,10,3,1,13
533,mdm2,protein,,,,q00987,,,p53,protein,,,uniprot,p04637,,,negative,i,ubiquitination,,,,,,nan,nan,"these results indicate that p53 accumulation in akt cells results from both a reduction in mdm2 mediated p53 ubiquitination and degradation , plus enhanced p53 translation .",pmc3325598,1,10,3,1,13
535,mek,protein family|protein complex,,,,mek,,,erk,protein family|protein complex,,,be,erk,,,positive,i,none,,,,,,nan,nan,"likewise , in the absence of evidence for a distributed mechanism of erk kinase ( mek ) activation by raf , we use a simplified , one-step description , whereas a distributed mechanism of erk activation by mek and deactivation by mkp3 is described as a two-step process .",pmc2683723,1,10,3,1,13
577,mtor,protein,,,,p42345,,,hif,protein family|protein complex,,,be,hif,,,positive,i,none,,cellosaurus:cvcl_4431,,,,nan,nan,"mtor inhibition seems to downregulate hif , which is frequently overexpressed in rcc , due to loss of function of vhl ( von hippel-lindau ) gene [ xref_bibr , xref_bibr ] .",pmc3291999,1,10,3,1,13
555,mlst8,protein,,,,q9bvc4,other,go:0005856,mtor,protein,,,uniprot,p42345,other,go:0005856,positive,i,none,,,,,,nan,nan,gbetal and mlst8 interacts with the mtor kinase domain independently of raptor and potentiates mtor activity .,pmc2361102,1,10,3,1,13
313,egf,protein,,,,p01133,,,egfr,protein,,,uniprot,p00533,,,positive,i,none,,,cl:cl:0000235,,uberon:uberon:0000479,nan,nan,"unlike igf-1r , egfr can be stimulated by numerous egf like factors , which macrophages produce in a tissue and disease specific manner [ xref_bibr , xref_bibr , xref_bibr ] .",pmc3135566,1,10,3,1,13
582,mtor,protein,,,,p42345,,,mtorc1,protein family|protein complex,,,be,mtorc1,,,positive,i,none,,,,,,nan,nan,mtor inhibitors can be broadly grouped into two classes : the allosteric inhibitors of mtorc1 ( rapamycin and rapalogs ) and the mtor kinase inhibitors .,pmc4258317,1,10,3,1,13
589,mtor,protein,,,,p42345,,,raptor,protein,,,uniprot,q8n122,,,positive,i,phosphorylation,,,,,,nan,nan,"the phosphorylation status of raptor governs mtorc1 activity since phosphorylation of raptor on s722/792 by 5 ' amp activated kinase ( ampk ) inhibits mtorc1 whereas mtor mediated phosphorylation of raptor on s863 is crucial for the activation of mtorc1 in response to mitogen stimulation [ xref_bibr , xref_bibr ] .",pmc4258317,1,10,3,1,13
592,mtor,protein,,,,p42345,,,s6k1,protein,,,uniprot,p23443,,,positive,i,none,,cellosaurus:cvcl_0041,,,,nan,nan,"recently we have demonstrated that rapamycin inhibits f-action reorganization and cell motility by inhibition of mtor mediated s6k1 and 4e-bp1/eif4e pathways xref_bibr , xref_bibr .",pmc2868031,1,10,3,1,13
603,mtorc1,protein family|protein complex,,,,mtorc1,cytoplasm,go:0005737,pras40,protein,,,uniprot,q96b36,cytoplasm,go:0005737,positive,i,phosphorylation,,,,,,nan,nan,"interestingly , both akt- and mtorc1 mediated phosphorylation of pras40 are required for 14-3-3 binding in response to growth factors . ++++ our findings indicate that dual phosphorylation of pras40 by akt and mtorc1 promotes formation of a nuclear specific pras40- and rpl11 containing complex distinct from mtorc1 that inhibits the rpl11-hdm2-p53 pathway and thereby suppresses induction of senescence .",pmc4216640,1,10,3,1,13
657,p14 arf,protein,,,,q8n726,,,mdm2,protein,,,uniprot,q00987,,,negative,i,none,,,,,,nan,nan,"further , e2f-1 upregulates p14 arf , which negatively regulates mdm2 .",pmc2817464,1,10,3,1,13
686,p53,protein,,,,p04637,,,p21,protein,,,uniprot,p38936,,,positive,i,amount,,,,,uberon:uberon:0000479,nan,nan,"although there was little p53 induction in the liver there was a strong p53 dependent p21 induction in the control mice , which was absent in the mice lacking p68 , underscoring the requirement for p68 and indicating that only low levels of p53 induction are required to induce significant levels of p21 .",pmc3556166,1,10,3,1,13
687,p53,protein,,,,p04637,,,p21,protein,,,uniprot,p38936,,,positive,i,none,,,,,,nan,nan,"finally , using our novel inducible p68 knockout mouse model , we show that p68 is required for p53 dependent induction of p21 in several , although not all , tissues in response to gamma irradiation and does not appear to be required for induction of pro apoptotic genes .",pmc3556166,1,10,3,1,13
688,p53,protein,,,,p04637,,,p21,protein,,,uniprot,p38936,,,positive,i,transcription,,cellosaurus:cvcl_9771,,,,nan,nan,"predictably , transfection of wild type p53 activated p21 gene transcription , and the observed transactivation was evidently repressed by coexpression of wild type h1 .2 core complex ( xref_fig , p21 , assay 2 versus assay 6 ) .",pmc3330162,1,10,3,1,13
764,pp2a,protein,,,,p67775,,,akt,protein family|protein complex,,,be,akt,,,negative,i,none,,cellosaurus:cvcl_e508,,,,nan,nan,"protein phosphatase 2a ( pp2a ) downregulates akt activity directly , by dephosphorylating thr 308 and accumulating evidence indicates that pp2a acts as a tumor suppressor [ xref_bibr ] .",pmc3837323,1,10,3,1,13
856,s6k1,protein,,,,p23443,,,irs-1,protein,,,uniprot,p35568,,,negative,i,none,,uaz:cvcl_9115,,,,nan,nan,"this restoration of irs-1 mrna abundance by sustained rapamycin treatment is reversed by actinomycin d ( xref_fig ) , indicating that mtor and s6k1 signaling likely reduces irs-1 mrna abundance primarily at the level of gene transcription . ++++ suppression of either s6k1 or s6k2 mimics the effect of rapamycin treatment and restores irs-1 mrna to a level approaching that of tsc2 +/+ mefs ( xref_fig ) .",pmc2172316,1,10,3,1,13
859,s6k2,protein,,,,q9ubs0,,,irs-1,protein,,,uniprot,p35568,,,negative,i,none,,uaz:cvcl_9115,,,,nan,nan,suppression of either s6k1 or s6k2 mimics the effect of rapamycin treatment and restores irs-1 mrna to a level approaching that of tsc2 +/+ mefs ( xref_fig ) .,pmc2172316,1,10,3,1,13
314,egf,protein,,,,p01133,,,egfr,protein,,,uniprot,p00533:[substitutionmutant],,,positive,i,none,,cellosaurus:cvcl_0542,,,,nan,nan,"notably , upon long exposure of western blots ( xref_fig ) egf modestly activated of rsk and erk1/2 in b82l cells expressing the y5f egfr .",pmc2653860,1,10,3,1,13
315,egf,protein,,,,p01133,,,vegf,protein,,,uniprot,p15692,,,positive,i,none,,,,,,nan,nan,"consistent with our finding , src has been suggested to be involved in p38 activation during egf induced vegf production in pancreatic cancer cells and in lysophosphatidic acid mediated p38 activation .",pmc4624070,1,10,3,1,13
312,e2f-1,protein,,,,q01094,,,p14 arf,protein,,,uniprot,q8n726,,,positive,i,none,,,,,,nan,nan,"further , e2f-1 upregulates p14 arf , which negatively regulates mdm2 .",pmc2817464,1,10,3,1,13
75,akt,protein family|protein complex,,,,akt,nucleus,go:0005634,mdm2,protein,,,uniprot,q00987,nucleus,go:0005634,positive,i,none,,,,,,nan,nan,"dominant negative akt inhibits nuclear entry of mdm2 , thus increasing the cellular level of p53 and transcriptional activity [ xref_bibr ] .",pmc3317191,1,10,3,1,13
67,akt,protein family|protein complex,,,,akt,,,tsc2,protein,,,uniprot,p49815,,,negative,i,none,,,,,,nan,nan,"akt ( also known as pkb ) phosphorylates and inactivates tsc2 in response to growth factors xref_bibr , whereas ampk phosphorylates and activates tsc2 in response to low energy ( high amp ) xref_bibr , xref_bibr .",pmc2075366,1,10,3,1,13
82,akt,protein family|protein complex,,,,akt,other,go:0005730,mdm2,protein,,,uniprot,q00987,other,go:0005730,positive,i,none,,,,,,nan,nan,"these results are intriguing given that previous reports demonstrate that akt promotes the activity of the e3 ubiquitin ligase mdm2 , the important negative regulator of p53 . ++++ the migration of phospho-ser166-mdm2 was altered , suggesting that akt may promote alternative post-translational modifications of mdm2 . ++++ this was unexpected given that akt has been reported to promote the activity of the e3 ubiquitin ligase mdm2 , the important negative regulator of p53 . ++++ taken together , these results indicate that akt induces dna damage independent p53 stabilisation via arf- and pml independent nucleolar sequestration of mdm2 .",pmc3325598,1,10,3,1,13
110,ampk,protein family|protein complex,,,,ampk,,,tsc2,protein,,,uniprot,p49815,,,positive,i,none,,,,,,nan,nan,"lkb1 is an upstream activator of 5 ' amp activated protein kinase ( ampk ) which activates tsc2 that negatively regulates mtorc1 [ xref_bibr , xref_bibr ] .",pmc3660063,1,10,3,1,13
120,arf,protein,,,,q8n726,,,mdm2,protein,,,uniprot,q00987,,,negative,i,none,,,,,,nan,nan,"20 arf is also induced by oncogenic stress and inhibits mdm2 , thereby activating p53 and p21 waf1 and cip1 .",pmc4211374,1,10,3,1,13
