,Element Name,Element Type,Element ID,Location,Location ID,Cell Line,Cell Type,Organism,Positive Reg Name,Positive Reg Type,Positive Reg ID,Positive Reg Location,Positive Reg Location ID,Negative Reg Name,Negative Reg Type,Negative Reg ID,Negative Reg Location,Negative Reg Location ID,Connection Type,Database Name,Mechanism,Paper ID,Evidence,Evidence Score,Match Score,Kind Score,Epistemic Value,Total Score
25,akt,protein family|protein complex,akt,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,mtorc2,protein family|protein complex,mtorc2,nan,nan,i,"['nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']","['none', 'phosphorylation', 'phosphorylation', 'phosphorylation', 'phosphorylation', 'none', 'phosphorylation', 'phosphorylation', 'phosphorylation', 'phosphorylation', 'phosphorylation', 'phosphorylation', 'phosphorylation', 'phosphorylation', 'none']","['pmc2075366', 'pmc2075366', 'pmc2637922', 'pmc2653860', 'pmc2868031', 'pmc3291999', 'pmc3291999', 'pmc3660063', 'pmc3660063', 'pmc3750018', 'pmc3837323', 'pmc3837323', 'pmc4258317', 'pmc4381605', 'pmc4720880']","['in addition , mtorc2 phosphorylates ser473 in the hydrophobic motif of akt and thereby activates akt toward substrates such as the forkhead transcription factor foxo and the apoptosis regulator bad xref_bibr - xref_bibr , xref_bibr . ++++ this suggests that mtorc2 may activate akt toward pras40 .', 'mtorc2 phosphorylates and activates akt which then phosphorylates and inactivates the pro apoptotic factors bad and foxo1/3a xref_bibr , xref_bibr , xref_bibr .', 'it can not be inferred from this genetic data whether acute pharmacological inhibition of mtorc2 would block the phosphorylation of akt only at s473 , resulting in partial akt deactivation , or also disrupt phosphorylation at t308 , resulting complete akt inhibition . ++++ genetic studies have suggested that mtorc2 may phosphorylate akt at s473 , one of two phosphorylation sites required for akt activation ; this has been controversial , in part because rna interference and gene knockouts produce distinct akt phospho-isoforms .', 'since mtorc2 phosphorylates akt on s473 , the phosphorylation of this site is often used as a reporter of mtorc2 activity .', 'mtorc2 phosphorylates akt xref_bibr , xref_bibr , xref_bibr , and controls cytoskeleton organization and cell survival xref_bibr , xref_bibr .', 'it activates pkc-alpha and akt and regulates the actin cytoskeleton . ++++ mtorc2 is considered resistant to rapamycin , activates pkc-alpha and akt and regulates the actin cytoskeleton .', 'in mammalian cells , mtorc2 phosphorylates akt upon serum stimulation , namely growth factors such as insulin and igf1 ( insulin like growth factor 1 ) , suggesting that mtorc2 is regulated by the pi3k pathway [ xref_bibr , xref_bibr ] .', 'mtorc2 phosphorylates akt on s473 in vitro which facilitates t308 phosphorylation [ xref_bibr ] .', 'this phosphorylation event exerted a negative regulatory effect on the mtorc2 dependent phosphorylation of akt in vivo [ xref_bibr ] .', 'because mtorc2 phosphorylates akt at s473 ( akt s473 ) [ xref_bibr - xref_bibr ] , we thought to identify the akt s473 and determine whether the mtorc2 are activated in the carcinoma . ++++ because mtorc2 phosphorylates akt at s473 ( akt s473 ) [ xref_bibr - xref_bibr ] , we thought to identify the akt s473 and determine whether the mtorc2 are activated in the carcinoma .', 'this phosphorylative event exerted a negative regulatory effect on the mtorc2 dependent phosphorylation of akt in vivo [ xref_bibr ] .', 'mtorc2 phosphorylates akt on ser 473 that enhances subsequent akt phosphorylation on thr 308 by pdk1 [ xref_bibr ] .', 'these molecules inhibit mtorc1 , mtorc2 , and pi3k , thus inhibiting the phosphorylation of akt , s6k1 , and 4e-bp1 , and are therefore attractive drugs for targeting cancers driven by pi3k activation [ xref_bibr ] .', 'the mtorc2 specific phosphorylation of akt at ser473 was also monitored by western blot to confirm that mtorc2 activity was sufficiently inhibited by pp242 in these cell lines .', 'xref_bibr , xref_bibr mtorc2 activates akt ( protein kinase b ) , while pi3k and akt primarily activates mtorc1 .']",15,100.0,40.0,1.0,1540.0
554,p53,protein,p04637,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,p300,protein,q09472,nan,nan,i,"['nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']","['acetylation', 'acetylation', 'acetylation', 'acetylation', 'phosphorylation', 'acetylation', 'acetylation']","['pmc2817464', 'pmc3330162', 'pmc3330162', 'pmc3330162', 'pmc3330162', 'pmc3330162', 'pmc3330162']","['p53 ctd is acetylated at k370 , k372 , k381 and k382 by p300 and cbp and these acetylations have been shown to decrease the non specific dna binding of p53 ctd in vitro .', 'thus , a plausible explanation for the transcription and modification results is that p300 mediated acetylation of p53 could perturb p53-h1 .2 interaction at the promoter region . ++++ similarly , individual or pairwise addition of h1 .2 , yb1 and puralpha generated no detectable change in the level of p53 acetylation mediated by p300 ( xref_supplementary ) . ++++ in fact , western blot analysis with anti-acetyl p53 ( k373 and k382 ) antibody showed that p53 c-terminal domain was acetylated by p300 to a very limited extent , when the h1 .2 core complex was added to transcription reactions prior to or together with p300 ( xref_fig , western , acp53 , lanes 1-5 and 11-15 ) . ++++ because p53 is acetylated by p300 at multiple lysine residues ( k373 , k381 and k382 ) within the c-terminal regulatory domain for its transcriptional activation function , a possible explanation for our transcription results is that the h1 .2 core complex could interfere with p300 mediated acetylation of p53 . ++++ when binding experiments were repeated with or without p300 mediated preacetylation of p53 , we detected a remarkable binding preference of h1 .2 for the unacetylated p53 over the acetylated p53 ( xref_fig ) . ++++ the data indicate that p300 mediated p53 acetylation and dna-pk-mediated h1 .2 phosphorylation impair p53-h1 .2 interaction , thereby relieving the repressive effects of h1 .2 on p53 transactivation . ++++ a key finding from our initial study is that p300 induced acetylation of the p53 c-terminal basic region attenuates p53-h1 .2 interaction , which is necessary for enhancing p53 transcriptional activity and recruiting coactivators at p53 target promoters .', 'because p53 is acetylated by p300 at multiple lysine residues ( k373 , k381 and k382 ) within the c-terminal regulatory domain for its transcriptional activation function , a possible explanation for our transcription results is that the h1 .2 core complex could interfere with p300 mediated acetylation of p53 .', 'because p53 is acetylated by p300 at multiple lysine residues ( k373 , k381 and k382 ) within the c-terminal regulatory domain for its transcriptional activation function , a possible explanation for our transcription results is that the h1 .2 core complex could interfere with p300 mediated acetylation of p53 .', 'the data indicate that p300 mediated p53 acetylation and dna-pk-mediated h1 .2 phosphorylation impair p53-h1 .2 interaction , thereby relieving the repressive effects of h1 .2 on p53 transactivation .', 'because p53 is acetylated by p300 at multiple lysine residues ( k373 , k381 and k382 ) within the c-terminal regulatory domain for its transcriptional activation function , a possible explanation for our transcription results is that the h1 .2 core complex could interfere with p300 mediated acetylation of p53 .', 'because p53 is acetylated by p300 at multiple lysine residues ( k373 , k381 and k382 ) within the c-terminal regulatory domain for its transcriptional activation function , a possible explanation for our transcription results is that the h1 .2 core complex could interfere with p300 mediated acetylation of p53 .']",7,100.0,40.0,1.0,740.0
753,src,protein family|protein complex,src,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,pkcdelta,protein,p83099,nan,nan,i,"['nan', 'nan', 'nan', 'nan']","['none', 'phosphorylation', 'phosphorylation', 'phosphorylation']","['pmc3709701', 'pmc3709701', 'pmc3709701', 'pmc3709701']","['in this transactivation system for egfr , pkcdelta dependent activation of src , which seems to require pkcdelta phosphorylation of src on serine 12 and/or serine 48 , takes place .', 'in this transactivation system for egfr , pkcdelta dependent activation of src , which seems to require pkcdelta phosphorylation of src on serine 12 and/or serine 48 , takes place . ++++ in this transactivation system for egfr , pkcdelta dependent activation of src , which seems to require pkcdelta phosphorylation of src on serine 12 and/or serine 48 , takes place .', 'in this transactivation system for egfr , pkcdelta dependent activation of src , which seems to require pkcdelta phosphorylation of src on serine 12 and/or serine 48 , takes place .', 'in this transactivation system for egfr , pkcdelta dependent activation of src , which seems to require pkcdelta phosphorylation of src on serine 12 and/or serine 48 , takes place .']",4,100.0,40.0,1.0,440.0
198,chk1,protein,o14757,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,atr,protein,p20848,nan,nan,i,"['nan', 'nan', 'nan', 'nan']","['none', 'phosphorylation', 'phosphorylation', 'none']","['pmc2925474', 'pmc2925474', 'pmc2925474', 'pmc2954851']","['the transducer proteins include the kinases atm and atm- and rad3 related ( atr ) ; atm and atr phosphorylates and thereby activates the checkpoint kinases chk1 and chk2 , which control hur cytoplasmic abundance and rna binding , respectively .', 'during ddr such as that resulting from exposure to uv , oxidants , or ir , chk1 is phosphorylated by atm and atr at serine ( s ) 317 and s345 [ xref_bibr ] .', 'during ddr such as that resulting from exposure to uv , oxidants , or ir , chk1 is phosphorylated by atm and atr at serine ( s ) 317 and s345 [ xref_bibr ] .', 'after dna damage or replication stress claspin is phosphorylated by chk1 , an event that is required for a claspin-chk1 interaction and subsequent full activation of chk1 by atr , in another example of the network nature of the ddr [ xref_bibr - xref_bibr ] .']",4,100.0,40.0,1.0,440.0
558,p53,protein,p04637,nan,nan,nan,nan,nan,pp1,protein family|protein complex,ppp1,nan,nan,nan,nan,nan,nan,nan,i,"['nan', 'nan', 'nan', 'nan']","['none', 'none', 'amount', 'dephosphorylation']","['pmc2954851', 'pmc2954851', 'pmc2954851', 'pmc2954851']","['inhibition of pp1 , but not pp2a , with okadaic acid induced the p53 target bax and , consequently , apoptosis in rabbit lens epithelial cells [ xref_bibr ] .', 'in addition to being regulated by mdm2 , p53 is also negatively regulated through direct dephosphorylation by pp1 and pp2a .', 'inhibition of pp1 only slightly increased p53 levels but dramatically increased p53 phosphorylation at s15 and s37 which enhanced regulation of p53 targets bcl2 and bax .', 'pp1 dephosphorylated p53 at s15 and s37 in vitro and in vivo and this decreased its transcriptional activity and attenuated apoptosis [ xref_bibr ] . ++++ pp1 dephosphorylated p53 at s15 and s37 in vitro and in vivo and this decreased its transcriptional activity and attenuated apoptosis [ xref_bibr ] .']",4,100.0,40.0,1.0,440.0
70,atm,protein,q13315,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,gem,protein,p55040,nan,nan,i,"['nan', 'nan', 'nan']","['phosphorylation', 'phosphorylation', 'phosphorylation']","['pmc4159025', 'pmc4159025', 'pmc4159025']","['however , nsc109555 did not suppress the gem induced phosphorylation of chk1 ( s296 ) ( xref_fig b ) , atm ( s1981 ) and atr ( s428 ) ( xref_supplementary b ) .', 'however , nsc109555 did not suppress the gem induced phosphorylation of chk1 ( s296 ) ( xref_fig b ) , atm ( s1981 ) and atr ( s428 ) ( xref_supplementary b ) .', 'however , nsc109555 did not suppress the gem induced phosphorylation of chk1 ( s296 ) ( xref_fig b ) , atm ( s1981 ) and atr ( s428 ) ( xref_supplementary b ) .']",3,100.0,40.0,1.0,340.0
334,gsk3beta,protein,p49841,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,fak,protein,q05397,nan,nan,i,"['nan', 'nan', 'nan']","['phosphorylation', 'phosphorylation', 'phosphorylation']","['pmc4558782', 'pmc4558782', 'pmc4558782']","['the result of in vitro kinase assay confirmed that fak and pyk2 were able to directly phosphorylate gsk3beta y216 in vitro ( xref_fig ) . ++++ fak and pyk2 phosphorylate gsk3beta y216 . ++++ our results indicate that phosphorylation of gsk3beta y216 by fak and pyk2 is a molecular determinant of gsk3beta recruitment of beta-trcp , and is required for the activation of the wnt and beta-catenin pathway and crucial for wnt driven intestinal tumorigenesis . ++++ inhibition of fak and pyk2 suppresses intestinal phosphorylation of gsk3beta y216 and adenoma formation in apc min/+ mice .', 'fak and pyk2 promotes the wnt and beta-catenin pathway and intestinal tumorigenesis by phosphorylating gsk3beta .', 'in line with a prior report that gsk3beta y216 can be phosphorylated by pyk2 , we found that treatment of hek293t cells with pf-562271 , a dual inhibitor of fak and pyk2 , inhibited gsk3beta y216 and gsk3alpha y279 phosphorylation in the presence and absence of wnt3a ( xref_fig ) .']",3,100.0,40.0,1.0,340.0
335,gsk3beta,protein,p49841,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,pyk2,protein,q14289,nan,nan,i,"['nan', 'nan', 'nan']","['phosphorylation', 'phosphorylation', 'phosphorylation']","['pmc4558782', 'pmc4558782', 'pmc4558782']","['the result of in vitro kinase assay confirmed that fak and pyk2 were able to directly phosphorylate gsk3beta y216 in vitro ( xref_fig ) . ++++ our results indicate that phosphorylation of gsk3beta y216 by fak and pyk2 is a molecular determinant of gsk3beta recruitment of beta-trcp , and is required for the activation of the wnt and beta-catenin pathway and crucial for wnt driven intestinal tumorigenesis . ++++ in line with a prior report that gsk3beta y216 can be phosphorylated by pyk2 , we found that treatment of hek293t cells with pf-562271 , a dual inhibitor of fak and pyk2 , inhibited gsk3beta y216 and gsk3alpha y279 phosphorylation in the presence and absence of wnt3a ( xref_fig ) . ++++ fak and pyk2 phosphorylate gsk3beta y216 . ++++ inhibition of fak and pyk2 suppresses intestinal phosphorylation of gsk3beta y216 and adenoma formation in apc min/+ mice .', 'in line with a prior report that gsk3beta y216 can be phosphorylated by pyk2 , we found that treatment of hek293t cells with pf-562271 , a dual inhibitor of fak and pyk2 , inhibited gsk3beta y216 and gsk3alpha y279 phosphorylation in the presence and absence of wnt3a ( xref_fig ) .', 'fak and pyk2 promotes the wnt and beta-catenin pathway and intestinal tumorigenesis by phosphorylating gsk3beta .']",3,100.0,40.0,1.0,340.0
326,gsk3,protein family|protein complex,gsk3,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,pyk2,protein,q14289,nan,nan,i,"['nan', 'nan', 'nan']","['phosphorylation', 'phosphorylation', 'phosphorylation']","['pmc4558782', 'pmc4558782', 'pmc4558782']","['however , in dld-1 cells expressing fak and pyk2 , simultaneous kd of both kinases were required to inhibit gsk3 y279 and y216 phosphorylation and to reduce the level of beta-catenin ( xref_fig ) , strongly suggesting that fak and pyk2 function redundantly to phosphorylate gsk3 y279 and y216 to promote wnt and beta-catenin signaling . ++++ together , these results reveal that fak and pyk2 mediate gsk3 y279 and y216 phosphorylation in crc cells .', 'together , these results reveal that fak and pyk2 mediate gsk3 y279 and y216 phosphorylation in crc cells . ++++ however , in dld-1 cells expressing fak and pyk2 , simultaneous kd of both kinases were required to inhibit gsk3 y279 and y216 phosphorylation and to reduce the level of beta-catenin ( xref_fig ) , strongly suggesting that fak and pyk2 function redundantly to phosphorylate gsk3 y279 and y216 to promote wnt and beta-catenin signaling .', 'while this result further proved the importance of fak and pyk2 mediated gsk3 phosphorylation , it also suggested that phosphorylation of beta-catenin y142 plays a role in fak targeted therapy for crc .']",3,100.0,40.0,1.0,340.0
186,cdk4,protein,p11802,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,galectin-3,protein,p17931,nan,nan,i,"['nan', 'nan', 'nan']","['transcription', 'phosphorylation', 'amount']","['pmc4211374', 'pmc4211374', 'pmc4211374']","['although the full-length galectin-3 and 1-110 amino acids ( aa ) increased rb phosphorylation and the expression of cyclin d1 and cdk4 , the 33-250 , 63-250 , and 111-250 aa of galectin-3 did not affect the expression of these proteins ( xref_fig ) . ++++ 29 therefore , we suggest that galectin-3 increases both the expression and activation of the cyclin d1 and cdk4 complex and consequently leads to hyperphosphorylation of rb . ++++ galectin-3 depletion drastically decreased the phosphorylated forms of rb ( ser 780 , ser 807/811 ) and the expression of cyclin d1 and cdk4 , whereas total rb and e2f1 levels remained unchanged ( xref_fig and xref_supplementary ) . ++++ 28 we show that galectin-3 depletion reduces the expression of both cyclin d1 and cdk4 .', 'although the full-length galectin-3 and 1-110 amino acids ( aa ) increased rb phosphorylation and the expression of cyclin d1 and cdk4 , the 33-250 , 63-250 , and 111-250 aa of galectin-3 did not affect the expression of these proteins ( xref_fig ) . ++++ the cyclin d1 and cdk4 complex was also found to interact with galectin-3 , suggesting that galectin-3 mediates the phosphorylation of rb and its interaction with the cyclin d1 and cdk4 complex .', 'inhibition of galectin-3 reduces phosphorylation of retinoblastoma protein ( rb ) and expression levels of cyclin d1 and cdk4 .']",3,100.0,40.0,1.0,340.0
