,Element Name,Element Type,Element ID,Location,Location ID,Cell Line,Cell Type,Organism,Positive Reg Name,Positive Reg Type,Positive Reg ID,Positive Reg Location,Positive Reg Location ID,Negative Reg Name,Negative Reg Type,Negative Reg ID,Negative Reg Location,Negative Reg Location ID,Connection Type,Mechanism,Paper ID,Evidence,Evidence Score,Match Score,Kind Score,Epistemic Value,Total Score,Direct,Mechanism,,
1313,irs,protein family,pf02174,nan,nan,cellosaurus:cvcl_0037,nan,nan,egf,protein,p01133,nan,nan,nan,nan,nan,nan,nan,i,"['phosphorylation', 'phosphorylation']","['pmc2683723', 'pmc2683723']","['although egf was reported to induce phosphorylation of irs proteins in a431 cells that express high levels of egfr , egf could not induce significant irs phosphorylation in hek293 cells ( xref_supplementary ) , which is consistent with other studies .', 'although egf was reported to induce phosphorylation of irs proteins in a431 cells that express high levels of egfr , egf could not induce significant irs phosphorylation in hek293 cells ( xref_supplementary ) , which is consistent with other studies .']",2,10,20,1,40,3,"['phosphorylation', 'phosphorylation']",2,12
1864,p53,protein,p04637,nan,nan,uaz:cvcl_9115,cl:cl:0002224,nan,nan,nan,nan,nan,nan,p53,protein,p04637.a,nan,nan,i,"['phosphorylation', 'phosphorylation']","['pmc2954851', 'pmc2954851']","['inhibition of pp1 only slightly increased p53 levels but dramatically increased p53 phosphorylation at s15 and s37 which enhanced regulation of p53 targets bcl2 and bax .', 'inhibition of pp1 only slightly increased p53 levels but dramatically increased p53 phosphorylation at s15 and s37 which enhanced regulation of p53 targets bcl2 and bax .']",2,10,20,1,40,,,0,
2129,pten,protein,p60484,nan,nan,nan,nan,nan,pten,protein,p60484,nan,nan,nan,nan,nan,nan,nan,i,['transcription'],['pmc3734838'],"['additionally , pten expression was upregulated by foxo3a and ( xref_fig and xref_fig ) , and pten activity was enhanced in response to selenite treatment ( xref_fig ) .']",1,10,20,1,30,,,0,
1873,p53,protein,p04637,other,go:0005654,cellosaurus:cvcl_0042,nan,nan,nan,nan,nan,nan,nan,pras40,protein,q96b36,other,go:0005654,i,['none'],['pmc4216640'],"['xref_bibr - xref_bibr , xref_bibr , xref_bibr , xref_bibr because pras40 displays pro survival xref_bibr , xref_bibr , xref_bibr and pro tumorigenic xref_bibr , xref_bibr activity through an unknown mechanism , we hypothesized that pras40 negatively regulates p53 through association with rpl11 and inhibition of the rpl11-hdm2-p53 pathway . ++++ importantly , re-introduction of wt pras40 completely rescues this effect , whereas rpl11 binding-null pras40 t246a fails to do so ( xref_fig ) , indicating that the ability of pras40 to suppress p53 is dependent upon the capacity of pras40 to associate with rpl11 . ++++ pras40 depletion induces p53 protein stability in an rpl11 dependent manner . ++++ taken together , our results suggest that pras40 negatively regulates p53 stability and activity by inhibiting the rpl11-hdm2 pathway in a manner dependent upon pras40-rpl11 association , thereby helping to suppress p53 mediated induction of senescence in unstressed cells . ++++ pras40 negatively regulates p53 dependent transcriptional activity and senescence . ++++ this provides further support for the hypothesis that pras40 negatively regulates p53 through inhibition of the rpl11-hdm2 pathway .']",1,10,20,1,30,,,0,
1876,p53,protein,p04637,other,go:0005657,cellosaurus:cvcl_c111,cl:cl:0000255,nan,atm,protein,q13315,other,go:0005657,nan,nan,nan,nan,nan,i,['none'],['pmc4296918'],"['in the second , atm phosphorylates the serine/threonine kinase receptor associated protein strap , a p53 cofactor , promoting its nuclear localization , whereas strap phosphorylation by chk2 augments its stability , inducing a p53 dependent g2/m arrest .']",1,10,20,1,30,,['phosphorylation'],10,
1879,p53,protein,p04637,other,go:0005730,nan,nan,nan,arf,protein,q8n726,other,go:0005730,nan,nan,nan,nan,nan,i,['none'],['pmc4171619'],"['recent studies have reported that the strength of signal originating from oncogene activation is also important in the arf mediated activation of p53 [ xref_bibr - xref_bibr ] . ++++ arf has been reported to promote p53 stability by sequestering mdm2 to the nucleolus [ xref_bibr , xref_bibr ] , whereas others have reported that nucleoplasmic arf suppresses mdm2 activity [ xref_bibr - xref_bibr , xref_bibr ] .']",1,10,20,1,30,,,,
2056,pkb,protein,p31749,nan,nan,nan,nan,nan,tsc2,protein,p49815,nan,nan,nan,nan,nan,nan,nan,i,['none'],['pmc2172316'],"['as a result of irs inactivation , tsc2 deficient cells exhibit a profound defect in pi3k signaling and fail to activate the serine threonine kinase pkb or respond to the migration and pro survival activities of igf-1 .']",1,10,20,1,30,,,,
2058,pkb,protein,p31749,other,go:0016020,uaz:cvcl_9115,nan,nan,egf,protein,p01133,other,go:0016020,nan,nan,nan,nan,nan,i,['none'],['pmc2172316'],"['in control tsc2 +/+ mouse embryo fibroblasts ( mefs ) or tsc2 -/- mefs in which wild-type tsc2 has been reintroduced , pkb is activated by insulin , igf-1 , and egf ( xref_fig a ) . ++++ in contrast , in tsc2 -/- mefs or tsc2 -/- mefs in which a pathogenic tsc2 mutant is reintroduced , pkb is activated strongly only by egf .']",1,10,20,1,30,,,,
2059,pkb,protein,p31749,other,go:0016020,uaz:cvcl_9115,nan,nan,igf-1,protein,p05019,other,go:0016020,nan,nan,nan,nan,nan,i,['none'],['pmc2172316'],"['in control tsc2 +/+ mouse embryo fibroblasts ( mefs ) or tsc2 -/- mefs in which wild-type tsc2 has been reintroduced , pkb is activated by insulin , igf-1 , and egf ( xref_fig a ) .']",1,10,20,1,30,,,,
2060,pkb,protein,p31749,other,go:0016020,uaz:cvcl_9115,nan,nan,insulin,protein,p01308,other,go:0016020,nan,nan,nan,nan,nan,i,['none'],['pmc2172316'],"['in control tsc2 +/+ mouse embryo fibroblasts ( mefs ) or tsc2 -/- mefs in which wild-type tsc2 has been reintroduced , pkb is activated by insulin , igf-1 , and egf ( xref_fig a ) .']",1,10,20,1,30,,,,
