index,Regulator Name,Regulator Type,Regulator Subtype,Regulator HGNC Symbol,Regulator Database,Regulator ID,Regulator Compartment,Regulator Compartment ID,Regulated Name,Regulated Type,Regulated Subtype,Regulated HGNC Symbol,Regulated Database,Regulated ID,Regulated Compartment,Regulated Compartment ID,Sign,Connection Type,Mechanism,Site,Cell Line,Cell Type,Tissue Type,Organism,Score,Source,Statements,Paper IDs,Evidence Score,Match Score,Kind Score,Epistemic Value,Total Score
3207,mtor,protein,,,,p42345,other,go:0016020,akt,protein family|protein complex,,,be,akt,other,go:0016020,positive,d,phosphorylation,,,,,,"nan,nan","nan,nan","akt is then phosphorylated at thr 308 within its catalytic domain by phosphatidylinositol dependent kinase 1 ( pdk1 ) and at ser 473 within its c-terminus regulatory domain by mtor complex 2 ( mtorc2 , see later on ) , resulting in full activation of akt kinase ( xref_fig ) .,akt is then phosphorylated at thr 308 within its catalytic domain by phosphatidylinositol dependent kinase 1 ( pdk1 ) and at ser 473 within its c-terminus regulatory domain by mtor complex 2 ( mtorc2 , see later on ) , resulting in full activation of akt kinase ( xref_fig ) .","pmc3837323,pmc3837323",2,10,10,1,30
3245,mtorc1,protein family|protein complex,,,,mtorc1,,,akt,protein family|protein complex,,,be,akt,,,negative,i,none,,,,,,"nan,nan","nan,nan","assuming that equilibrium exists between these two complexes , when the mtorc1 complex is formed , it could antagonize the formation of the mtorc2 complex and reduce akt activity [ xref_bibr , xref_bibr ] . ++++ inhibition of mtorc1 signaling by rapamycin and rapalogs removes the previously mentioned negative feedback loop and activates akt through pi3k . ++++ mtorc1 inhibits akt via a negative feedback loop which involves , at least in part , p70s6k [ xref_bibr ] .,mtorc1 also inhibits akt via a negative feedback loop which involves p70s6k and potentially other molecules [ xref_bibr ] .","pmc3660063,pmc4102778",2,10,10,1,30
3104,mtor,protein,,,,p42345,,,akt,protein family|protein complex,,,be,akt,,,positive,i,phosphorylation,,,,,,"nan,nan","nan,nan","unlike rapamycin , these torkinibs ( pp242 and pp30 ) inhibit mtorc2 , and we use them to show that pharmacological inhibition of mtor blocks the phosphorylation of akt at s473 and prevents its full activation . ++++ we have shown through the use of these inhibitors that the inhibition of mtor kinase activity is sufficient to prevent the phosphorylation of akt at s473 , providing further evidence that mtorc2 is the kinase responsible for akt hydrophobic motif phosphorylation upon insulin stimulation .,these mtor kinase inhibitors such as torin1 , pp242 and pp30 block p70s6k , 4e-bp1 and akt phosphorylation and thus inhibit both mtorc1 and mtorc2 [ xref_bibr , xref_bibr ] .","pmc2637922,pmc3750018",2,10,10,1,30
268,akt,protein family|protein complex,,,,akt,,,tsc2,protein,,,uniprot,p49815,,,positive,d,phosphorylation,,,,,,"nan,nan","nan,nan","in cells that express activated akt , akt may phosphorylate tsc2 resulting in its inactivation . ++++ tsc2 phosphorylation by akt represses gap activity of the tsc1 and tsc2 complex , allowing rheb to accumulate in a gtp bound state .,tsc2 phosphorylation by akt represses gap activity of the tsc1 and tsc2 complex , allowing rheb to accumulate in a gtp bound state .","pmc3660063,pmc4102778",2,10,9,1,29
3480,p21,protein,,,,p38936,,,p53,protein,,,uniprot,p04637,,,positive,i,amount,,uaz:cvcl_9115,,,,nan,nan,wip1 -/- mefs exhibited a slight increase in p53 phosphorylation at s15 and an increase in the levels of p53 target p21 [ xref_bibr ] .,pmc2954851,1,10,10,1,20
3246,mtorc1,protein family|protein complex,,,,mtorc1,,,akt,protein family|protein complex,,,be,akt,,,positive,i,none,,,,,,nan,nan,the formation of the rapamycin sensitive mtorc1 complex in certain cancer cells that overexpress activated akt may be altered in comparison to cells that do not overexpress akt .,pmc3660063,1,10,10,1,20
3247,mtorc1,protein family|protein complex,,,,mtorc1,,,akt,protein family|protein complex,,,be,akt,,,positive,i,phosphorylation,,,,,,nan,nan,"these molecules inhibit mtorc1 , mtorc2 , and pi3k , thus inhibiting the phosphorylation of akt , s6k1 , and 4e-bp1 , and are therefore attractive drugs for targeting cancers driven by pi3k activation [ xref_bibr ] .",pmc4258317,1,10,10,1,20
3286,mtorc1,protein family|protein complex,,,,mtorc1,other,go:0005856,akt,protein family|protein complex,,,be,akt,other,go:0005856,positive,i,none,,,,,,nan,nan,"as tumour promoting phorbol esters and some growth factors activate mtorc1 signalling independently of akt , phosphorylation of raptor by rsk might provide a mechanism to overcome the inhibitory effects of pras40 .",pmc3291999,1,10,10,1,20
3478,p21,protein,,,,p38936,,,p21,protein,,,uniprot,p38936,,,positive,d,phosphorylation,,,,,,nan,nan,"in vivo , both s130 phosphorylation of p21 and t172 phosphorylation of p21 bound cdk4 were inhibited not only in response to cdk7 inhibition , but also in response to increased p21 expression and inhibition of cdk2 ( by roscovitine and cr8 ) and cdk4/6 ( by pd0332991 ) .",pmc3667761,1,10,10,1,20
3479,p21,protein,,,,p38936,,,p53,protein,,,uniprot,p04637,,,positive,d,transcription,,cellosaurus:cvcl_9771,,,,nan,nan,"predictably , transfection of wild type p53 activated p21 gene transcription , and the observed transactivation was evidently repressed by coexpression of wild type h1 .2 core complex ( xref_fig , p21 , assay 2 versus assay 6 ) .",pmc3330162,1,10,10,1,20
3206,mtor,protein,,,,p42345,other,go:0005856,akt,protein family|protein complex,,,be,akt,other,go:0005856,positive,i,phosphorylation,,,,,,nan,nan,"although the activity of the rictor and mtor complex is insensitive to short periods of rapamycin treatment , it has been suggested that long-term exposure to rapamycin could prevent newly synthesised mtor molecules from associating with rictor , thereby preventing rictor and mtor mediated akt phosphorylation ( guertin and sabatini , 2005 ) .",pmc2361102,1,10,10,1,20
3932,pi3k,protein family|protein complex,,,,pi3k,,,irs-1,protein,,,uniprot,p35568,,,positive,i,phosphorylation,,,,,,nan,nan,"the following sequence of events are proposed for alpha-tea-mediated apoptosis : alpha-tea inhibits pi3k via jnk mediated phosphorylation of irs-1 at ser 307 , resulting in inactivation of akt and mtor and ras and erk , which act cooperatively in alpha-tea-induced mitochondrial dependent proapoptotic events via activation of bad and caspase-9 .",pmc3039802,1,10,10,1,20
3997,pi3k,protein family|protein complex,,,,pi3k,plasma membrane,go:0005886,irs,protein family,,,pfam,pf02174,plasma membrane,go:0005886,positive,d,phosphorylation,,,,,,nan,nan,"phosphorylated irs and gab1 recruit cytoplasmic proteins pi3k , grb2-sos , shp2 , and rasgap to the plasma membrane , which results in additional pip 3 production and both activatory and inhibitory regulations of ras activity .",pmc2683723,1,10,10,1,20
