index,Regulator Name,Regulator Type,Regulator Subtype,Regulator HGNC Symbol,Regulator Database,Regulator ID,Regulator Compartment,Regulator Compartment ID,Regulated Name,Regulated Type,Regulated Subtype,Regulated HGNC Symbol,Regulated Database,Regulated ID,Regulated Compartment,Regulated Compartment ID,Sign,Connection Type,Mechanism,Site,Cell Line,Cell Type,Tissue Type,Organism,Score,Source,Statements,Paper IDs,Evidence Score,Match Score,Kind Score,Epistemic Value,Total Score
665,b-raf,protein,,,,p15056,,,mek2,protein,,,uniprot,p36507,,,positive,d,phosphorylation,,,,,,"nan,nan,nan,nan,nan","nan,nan,nan,nan,nan","b-raf phosphorylates mek1 and mek2 on ser217 and ser221 , which activates it to dual phosphorylate erks , at thr202 and tyr204 for human erk1 and thr185 and tyr187 for human erk2 [ xref_bibr , xref_bibr ] .,b-raf phosphorylates mek1 and mek2 on ser217 and ser221 , which activates it to dual phosphorylate erks , at thr202 and tyr204 for human erk1 and thr185 and tyr187 for human erk2 [ xref_bibr , xref_bibr ] .,b-raf phosphorylates mek1 and mek2 on ser217 and ser221 , which activates it to dual phosphorylate erks , at thr202 and tyr204 for human erk1 and thr185 and tyr187 for human erk2 [ xref_bibr , xref_bibr ] .,b-raf phosphorylates mek1 and mek2 on ser217 and ser221 , which activates it to dual phosphorylate erks , at thr202 and tyr204 for human erk1 and thr185 and tyr187 for human erk2 [ xref_bibr , xref_bibr ] .,b-raf phosphorylates mek1 and mek2 on ser217 and ser221 , which activates it to dual phosphorylate erks , at thr202 and tyr204 for human erk1 and thr185 and tyr187 for human erk2 [ xref_bibr , xref_bibr ] .","pmc1289294,pmc1289294,pmc1289294,pmc1289294,pmc1289294",5,10,2,1,52
664,b-raf,protein,,,,p15056,,,mek1,protein,,,uniprot,q02750,,,positive,d,phosphorylation,,,,,,"nan,nan,nan,nan,nan","nan,nan,nan,nan,nan","b-raf phosphorylates mek1 and mek2 on ser217 and ser221 , which activates it to dual phosphorylate erks , at thr202 and tyr204 for human erk1 and thr185 and tyr187 for human erk2 [ xref_bibr , xref_bibr ] .,b-raf phosphorylates mek1 and mek2 on ser217 and ser221 , which activates it to dual phosphorylate erks , at thr202 and tyr204 for human erk1 and thr185 and tyr187 for human erk2 [ xref_bibr , xref_bibr ] .,b-raf phosphorylates mek1 and mek2 on ser217 and ser221 , which activates it to dual phosphorylate erks , at thr202 and tyr204 for human erk1 and thr185 and tyr187 for human erk2 [ xref_bibr , xref_bibr ] .,b-raf phosphorylates mek1 and mek2 on ser217 and ser221 , which activates it to dual phosphorylate erks , at thr202 and tyr204 for human erk1 and thr185 and tyr187 for human erk2 [ xref_bibr , xref_bibr ] .,b-raf phosphorylates mek1 and mek2 on ser217 and ser221 , which activates it to dual phosphorylate erks , at thr202 and tyr204 for human erk1 and thr185 and tyr187 for human erk2 [ xref_bibr , xref_bibr ] .","pmc1289294,pmc1289294,pmc1289294,pmc1289294,pmc1289294",5,10,2,1,52
3271,mtorc1,protein family|protein complex,,,,mtorc1,,,pras40,protein,,,uniprot,q96b36,,,positive,i,phosphorylation,,,,,,"nan,nan,nan","nan,nan,nan","the above results suggested that pras40 is phosphorylated by mtorc1 . ++++ we also observed that pras40 associated less well with a kinase dead version of mtor ( xref_fig ) , suggesting that mtorc1 mediated phosphorylation of pras40 ( see below ) may affect the pras40- mtorc1 interaction . ++++ pras40 was phosphorylated weakly by both mtorc1 and mtorc2 . ++++ it remains to be determined whether mtorc1 mediated phosphorylation of pras40 plays a role in pras40 's ability to bind and inhibit mtorc1 . ++++ importantly , we also found that pras40 inhibited mtorc1 autophosphorylation but not mtorc2 autophosphorylation ( xref_fig ) , suggesting that the weak phosphorylation of pras40 by mtorc1 might be due to pras40 mediated inhibition of mtorc1 .,moreover , pras40 is a substrate of mtorc1 itself , and mtorc1 mediated phosphorylation of pras40 prevents inhibition of additional mtorc1 signaling [ xref_bibr - xref_bibr , xref_bibr ] .,to complicate matters , pras40 is a substrate of mtorc1 itself , and mtorc1 mediated phosphorylation of pras40 prevents inhibition of additional mtorc1 signaling .","pmc2075366,pmc3660063,pmc4102778",3,10,3,1,33
193,akt,protein family|protein complex,,,,akt,,,mtor,protein,,,uniprot,p42345,,,positive,i,none,,,,,,"nan,nan,nan","nan,nan,nan","the phosphatidylinositol-3 kinase and akt signaling pathway activates mtor , in turn , directly phosphorylating ribosome protein s6 kinase 1 ( s6k1 ) and eif4e binding protein 1 , both of which are important in the control of protein translation initiation .,however , upon akt mediated activation of mtor , these latter mrnas are highly and disproportionately translated . ++++ since the loss of pten results in activation of akt , that in turn up-regulates mtor activity , cancer cells deficient in pten are thought to be major targets of mtor inhibitors .,akt activates mtor by a cascade of phosphorylations , and mtor inhibits autophagy through the inhibitory phosphorylation of ulk1 ( unc-51 like autophagy activating kinase 1 ) and atg13 , proteins required for autophagy induction .","pmc3388235,pmc3660063,pmc4091167",3,10,2,1,32
1130,chk2,protein,,,,o96017,,,p53,protein,,,uniprot,p04637,,,positive,d,phosphorylation,,cellosaurus:cvcl_0060,,,,"nan,nan,nan","nan,nan,nan","atm dependent dephosphorylation of p53 at s376 and chk1 and chk2 dependent phosphorylation of p53 at s378 , s366 and t387 generate 14-3-3 binding sites in vivo . ++++ the chk1 and chk2 kinases phosphorylate p53 at s366 , s378 and t387 .,the chk1 and chk2 kinases phosphorylate p53 at s366 , s378 and t387 . ++++ atm dependent dephosphorylation of p53 at s376 and chk1 and chk2 dependent phosphorylation of p53 at s378 , s366 and t387 generate 14-3-3 binding sites in vivo .,atm dependent dephosphorylation of p53 at s376 and chk1 and chk2 dependent phosphorylation of p53 at s378 , s366 and t387 generate 14-3-3 binding sites in vivo . ++++ the chk1 and chk2 kinases phosphorylate p53 at s366 , s378 and t387 .","pmc2817464,pmc2817464,pmc2817464",3,10,2,1,32
1131,chk2,protein,,,,o96017,,,p53,protein,,,uniprot,p04637,,,positive,d,phosphorylation,,,,,,"nan,nan,nan","nan,nan,nan","atm dependent dephosphorylation of p53 at s376 and chk1 and chk2 dependent phosphorylation of p53 at s378 , s366 and t387 generate 14-3-3 binding sites in vivo .,atm , atr , and dna-pk phosphorylate p53 on s15 , while chk1 and chk2 phosphorylate p53 on s20 which stabilize p53 by preventing binding to mdm2 [ xref_bibr - xref_bibr ] .,a study published in 2000 reported that , upon dna damage , chk2 phosphorylates p53 on ser20 .","pmc2817464,pmc2954851,pmc4296918",3,10,2,1,32
285,akt,protein family|protein complex,,,,akt,nucleus,go:0005634,mdm2,protein,,,uniprot,q00987,nucleus,go:0005634,positive,d,phosphorylation,,,,,,"nan,nan,nan","nan,nan,nan","akt phosphorylation of mdm2 is also necessary for the translocation of mdm2 from the cytoplasm to the nucleus .,in response to growth factor stimulation , active akt binds to and phosphorylates mdm2 at ser166 and ser186 to enhance protein stability and facilitate the function of mdm2 to promote p53 ubiquitination [ xref_bibr , xref_bibr ] .,in response to growth factor stimulation , active akt binds to and phosphorylates mdm2 at ser166 and ser186 to enhance protein stability and facilitate the function of mdm2 to promote p53 ubiquitination [ xref_bibr , xref_bibr ] .","pmc3317191,pmc3317191,pmc3317191",3,10,2,1,32
1090,chk1,protein,,,,o14757,,,p53,protein,,,uniprot,p04637,,,positive,d,phosphorylation,,cellosaurus:cvcl_0060,,,,"nan,nan,nan","nan,nan,nan","the chk1 and chk2 kinases phosphorylate p53 at s366 , s378 and t387 .,the chk1 and chk2 kinases phosphorylate p53 at s366 , s378 and t387 .,the chk1 and chk2 kinases phosphorylate p53 at s366 , s378 and t387 .","pmc2817464,pmc2817464,pmc2817464",3,10,2,1,32
3154,mtor,protein,,,,p42345,,,mtorc1,protein family|protein complex,,,be,mtorc1,,,positive,i,none,,,,,,"nan,nan","nan,nan","combination of mtor and egfr kinase inhibitors blocks mtorc1 and mtorc2 kinase activity and suppresses the progression of colorectal carcinoma .,mtor inhibitors can be broadly grouped into two classes : the allosteric inhibitors of mtorc1 ( rapamycin and rapalogs ) and the mtor kinase inhibitors .","pmc3750018,pmc4258317",2,10,3,1,23
455,ampk,protein family|protein complex,,,,ampk,,,tsc2,protein,,,uniprot,p49815,,,positive,i,none,,,,,,"nan,nan","nan,nan","akt ( also known as pkb ) phosphorylates and inactivates tsc2 in response to growth factors xref_bibr , whereas ampk phosphorylates and activates tsc2 in response to low energy ( high amp ) xref_bibr , xref_bibr .,lkb1 is an upstream activator of 5 ' amp activated protein kinase ( ampk ) which activates tsc2 that negatively regulates mtorc1 [ xref_bibr , xref_bibr ] .","pmc2075366,pmc3660063",2,10,3,1,23
