Evidence Score,Match Score,Kind Score,Epistemic Value,Total Score
2,10,37,1,57
2,10,37,1,57
1,10,37,1,47
1,10,37,1,47
1,10,37,1,47
1,10,37,1,47
4,10,4,1,44
4,10,4,1,44
3,10,4,1,34
3,10,4,1,34
3,10,3,1,33
2,10,4,1,24
2,10,4,1,24
2,10,4,1,24
2,10,4,1,24
2,10,4,1,24
2,10,4,1,24
2,10,4,1,24
2,10,4,1,24
2,10,4,1,24
2,10,4,1,24
2,10,4,1,24
2,10,4,1,24
2,10,3,1,23
2,10,3,1,23
2,10,3,1,23
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,4,1,14
1,10,3,1,13
1,10,3,1,13
1,10,3,1,13
1,10,3,1,13
1,10,3,1,13
1,10,3,1,13
1,10,3,1,13
1,10,3,1,13
1,10,3,1,13
1,10,3,1,13
1,10,3,1,13
1,10,3,1,13
1,10,3,1,13
1,10,3,1,13
1,10,3,1,13
1,10,3,1,13
1,10,3,1,13
1,10,3,1,13
1,10,3,1,13
1,10,3,1,13
1,10,3,1,13
1,10,3,1,13
1,10,3,1,13
1,10,3,1,13
1,10,3,1,13
1,10,3,1,13
1,10,3,1,13
1,10,3,1,13
1,10,3,1,13
1,10,3,1,13
1,10,3,1,13
1,10,3,1,13
1,10,3,1,13
1,10,3,1,13
1,10,3,1,13
1,10,3,1,13
1,10,3,1,13
1,10,3,1,13
1,10,3,1,13
1,10,1,1,11
