index,Regulator Name,Regulator Type,Regulator Subtype,Regulator HGNC Symbol,Regulator Database,Regulator ID,Regulator Compartment,Regulator Compartment ID,Regulated Name,Regulated Type,Regulated Subtype,Regulated HGNC Symbol,Regulated Database,Regulated ID,Regulated Compartment,Regulated Compartment ID,Sign,Connection Type,Mechanism,Site,Cell Line,Cell Type,Tissue Type,Organism,Score,Source,Statements,Paper IDs,Evidence Score,Match Score,Kind Score,Epistemic Value,Total Score
3305,mtorc2,protein family|protein complex,,,,mtorc2,,,akt,protein family|protein complex,,,be,akt,,,positive,d,phosphorylation,,,,,,"nan,nan,nan,nan,nan,nan,nan","nan,nan,nan,nan,nan,nan,nan","mtorc2 phosphorylates and activates akt which then phosphorylates and inactivates the pro apoptotic factors bad and foxo1/3a xref_bibr , xref_bibr , xref_bibr .,mtorc2 phosphorylates akt xref_bibr , xref_bibr , xref_bibr , and controls cytoskeleton organization and cell survival xref_bibr , xref_bibr .,in mammalian cells , mtorc2 phosphorylates akt upon serum stimulation , namely growth factors such as insulin and igf1 ( insulin like growth factor 1 ) , suggesting that mtorc2 is regulated by the pi3k pathway [ xref_bibr , xref_bibr ] .,mtorc2 phosphorylates akt on s473 in vitro which facilitates t308 phosphorylation [ xref_bibr ] .,this phosphorylation event exerted a negative regulatory effect on the mtorc2 dependent phosphorylation of akt in vivo [ xref_bibr ] .,because mtorc2 phosphorylates akt at s473 ( akt s473 ) [ xref_bibr - xref_bibr ] , we thought to identify the akt s473 and determine whether the mtorc2 are activated in the carcinoma . ++++ because mtorc2 phosphorylates akt at s473 ( akt s473 ) [ xref_bibr - xref_bibr ] , we thought to identify the akt s473 and determine whether the mtorc2 are activated in the carcinoma .,this phosphorylative event exerted a negative regulatory effect on the mtorc2 dependent phosphorylation of akt in vivo [ xref_bibr ] .","pmc2075366,pmc2868031,pmc3291999,pmc3660063,pmc3660063,pmc3750018,pmc3837323",7,100,40,1,740
4509,rapamycin,chemical,,,,5284616,,,mtorc1,protein family|protein complex,,,be,mtorc1,,,negative,i,none,,,,,,"nan,nan,nan,nan,nan,nan,nan","nan,nan,nan,nan,nan,nan,nan","most of the research on the mtor signalling pathway has been focused on using rapamycin , which blocks mainly mtorc1 activity .,we found that inhibition of mtorc1 by rapamycin treatment ablated p53 accumulation and the expression of the p53 effector and transcriptional target p21 ( xref_fig ) .,additional work is still required to understand how rapamycin inhibits some of the functions of mtorc1 .,rapamycin interacts with fk506 binding protein 12 ( fkbp-12 ) and form a complex that binds and removes raptor from mtorc1 [ xref_bibr ] ; thus , rapamycin inhibits mtorc1 but has little effect on mtorc2 .,although rapamycin treatment robustly blocks mtorc1 activity as indicated by loss of p70s6k t389 phosphorylation , it has no effect on pras40 kd induced upregulation of p53 ( xref_fig ) .,pp242 inhibits both mtorc1 and mtorc2 complexes , therefore in order to dissect out the contribution of mtorc1 and/or mtorc2 to dna damage mediated chk1 regulation we used rapamycin , which predominantly inhibits mtorc1 , as well as specific downregulation of raptor and rictor with sirna .,re-addition of cystine restored of mtorc1 signaling , which was abolished by rapamycin ( xref_fig ) .","pmc3291999,pmc3325598,pmc3549280,pmc3750018,pmc4216640,pmc4381605,pmc4948025",7,100,40,1,740
3628,p70s6k,other,,,,ua-bp-ggp-00308,,,irs-1,protein,,,uniprot,p35568,,,positive,d,phosphorylation,,,,,,"nan,nan,nan,nan,nan,nan","nan,nan,nan,nan,nan,nan","p70s6k phosphorylates irs-1 on s312 and/or s636 and s639 .,p70s6k phosphorylates irs-1 on s312 and/or s636 and s639 .,p70s6k phosphorylates irs-1 on s312 and/or s636 and s639 .,p70s6k can phosphorylate irs-1 on s312 and/or s636 and s639 .,p70s6k can phosphorylate irs-1 on s312 and/or s636 and s639 .,p70s6k can phosphorylate irs-1 on s312 and/or s636 and s639 .","pmc3660063,pmc3660063,pmc3660063,pmc4102778,pmc4102778,pmc4102778",6,100,40,1,640
3532,p300,protein,,,,q09472,,,p53,protein,,,uniprot,p04637,,,positive,d,acetylation,,cellosaurus:cvcl_9771,,,,"nan,nan,nan,nan","nan,nan,nan,nan","because p53 is acetylated by p300 at multiple lysine residues ( k373 , k381 and k382 ) within the c-terminal regulatory domain for its transcriptional activation function , a possible explanation for our transcription results is that the h1 .2 core complex could interfere with p300 mediated acetylation of p53 .,because p53 is acetylated by p300 at multiple lysine residues ( k373 , k381 and k382 ) within the c-terminal regulatory domain for its transcriptional activation function , a possible explanation for our transcription results is that the h1 .2 core complex could interfere with p300 mediated acetylation of p53 .,because p53 is acetylated by p300 at multiple lysine residues ( k373 , k381 and k382 ) within the c-terminal regulatory domain for its transcriptional activation function , a possible explanation for our transcription results is that the h1 .2 core complex could interfere with p300 mediated acetylation of p53 .,because p53 is acetylated by p300 at multiple lysine residues ( k373 , k381 and k382 ) within the c-terminal regulatory domain for its transcriptional activation function , a possible explanation for our transcription results is that the h1 .2 core complex could interfere with p300 mediated acetylation of p53 .","pmc3330162,pmc3330162,pmc3330162,pmc3330162",4,100,40,1,440
4497,rapamycin,chemical,,,,5284616,,,mtor,protein,,,uniprot,p42345,,,negative,i,none,,,,,,"nan,nan,nan,nan","nan,nan,nan,nan","in peutz jeghers syndrome , tuberous sclerosis , and other diseases where pten is inactivated , the use of rapamycin as a clinical means to reverse the effect of elevated mtor activity is an attractive option ( inoki et al , 2005a ) .,active-site inhibitors of mtor target rapamycin resistant outputs of mtorc1 and mtorc2 .,it was reported that the inhibition of mtor by rapamycin triggers the activation of two survival signaling pathways that may contribute to drug resistance .,they share same mechanism and specifically block the function of mtor , inhibiting growth of numerous solid tumors ( renal , breast , prostate , colon and brain cancers ) with only mild side effects xref_bibr .","pmc2361102,pmc2637922,pmc2652403,pmc2868031",4,100,40,1,440
896,cbp,protein,,,,q92793,,,p53,protein,,,uniprot,p04637,,,positive,d,acetylation,,,,,,"nan,nan,nan,nan","nan,nan,nan,nan","p53 ctd is acetylated at k370 , k372 , k381 and k382 by p300 and cbp and these acetylations have been shown to decrease the non specific dna binding of p53 ctd in vitro .,p53 ctd is acetylated at k370 , k372 , k381 and k382 by p300 and cbp and these acetylations have been shown to decrease the non specific dna binding of p53 ctd in vitro .,p53 ctd is acetylated at k370 , k372 , k381 and k382 by p300 and cbp and these acetylations have been shown to decrease the non specific dna binding of p53 ctd in vitro .,p53 ctd is acetylated at k370 , k372 , k381 and k382 by p300 and cbp and these acetylations have been shown to decrease the non specific dna binding of p53 ctd in vitro .","pmc2817464,pmc2817464,pmc2817464,pmc2817464",4,100,40,1,440
3533,p300,protein,,,,q09472,,,p53,protein,,,uniprot,p04637,,,positive,d,acetylation,,,,,,"nan,nan,nan,nan","nan,nan,nan,nan","p53 ctd is acetylated at k370 , k372 , k381 and k382 by p300 and cbp and these acetylations have been shown to decrease the non specific dna binding of p53 ctd in vitro .,p53 ctd is acetylated at k370 , k372 , k381 and k382 by p300 and cbp and these acetylations have been shown to decrease the non specific dna binding of p53 ctd in vitro .,p53 ctd is acetylated at k370 , k372 , k381 and k382 by p300 and cbp and these acetylations have been shown to decrease the non specific dna binding of p53 ctd in vitro .,p53 ctd is acetylated at k370 , k372 , k381 and k382 by p300 and cbp and these acetylations have been shown to decrease the non specific dna binding of p53 ctd in vitro .","pmc2817464,pmc2817464,pmc2817464,pmc2817464",4,100,40,1,440
4430,rapamycin,chemical,,,,5284616,,,akt,protein family|protein complex,,,be,akt,,,positive,i,phosphorylation,,,,,,"nan,nan,nan,nan","nan,nan,nan,nan","in all tissues examined , and especially in fat and muscle , acute rapamycin treatment activated the phosphorylation of akt at s473 and t308 ( xref_fig ) .,in all tissues examined , and especially in fat and muscle , acute rapamycin treatment activated the phosphorylation of akt at s473 and t308 ( xref_fig ) .,rapamycin often stimulates the phosphorylation of akt [ xref_bibr , xref_bibr ] , probably by relieving feedback inhibition from s6k to the insulin receptor substrate 1 ( irs1 ) [ xref_bibr ] , a key signaling molecule that links activation of the insulin receptor to pi3k activation .,the rapamycin induced phosphorylation of akt and eif4e was suppressed by ly294002 , suggesting the requirement of pi3k in this process [ xref_bibr ] . ++++ paradoxically , rapamycin also concurrently increased the phosphorylation of both akt and eif4e [ xref_bibr ] .","pmc2637922,pmc2637922,pmc2637922,pmc2652403",4,100,40,1,440
3703,pd0332991,chemical,,,,5330286,,,p21,protein,,,uniprot,p38936,,,negative,i,phosphorylation,,cellosaurus:cvcl_0291,,,,"nan,nan,nan","nan,nan,nan","pd0332991 ( 250 nm ) inhibited the t826 phosphorylation of prb ( not shown ) and partially the s130 phosphorylation of p21 , but apparently not the s98 phosphorylation ( xref_fig ) .,pd0332991 ( 250 nm ) inhibited the t826 phosphorylation of prb ( not shown ) and partially the s130 phosphorylation of p21 , but apparently not the s98 phosphorylation ( xref_fig ) .,whereas pd0332991 partly inhibited p21 phosphorylation , roscovitine alone was inactive .","pmc3667761,pmc3667761,pmc3667761",3,100,40,1,340
2144,gem,protein,,,,p55040,,,atm,protein,,,uniprot,q13315,,,positive,i,phosphorylation,,,,,,"nan,nan,nan","nan,nan,nan","however , nsc109555 did not suppress the gem induced phosphorylation of chk1 ( s296 ) ( xref_fig b ) , atm ( s1981 ) and atr ( s428 ) ( xref_supplementary b ) .,however , nsc109555 did not suppress the gem induced phosphorylation of chk1 ( s296 ) ( xref_fig b ) , atm ( s1981 ) and atr ( s428 ) ( xref_supplementary b ) .,however , nsc109555 did not suppress the gem induced phosphorylation of chk1 ( s296 ) ( xref_fig b ) , atm ( s1981 ) and atr ( s428 ) ( xref_supplementary b ) .","pmc4159025,pmc4159025,pmc4159025",3,100,40,1,340
