index,Regulator Name,Regulator Type,Regulator Subtype,Regulator HGNC Symbol,Regulator Database,Regulator ID,Regulator Compartment,Regulator Compartment ID,Regulated Name,Regulated Type,Regulated Subtype,Regulated HGNC Symbol,Regulated Database,Regulated ID,Regulated Compartment,Regulated Compartment ID,Sign,Connection Type,Mechanism,Site,Cell Line,Cell Type,Tissue Type,Organism,Score,Source,Statements,Paper IDs,Evidence Score,Match Score,Kind Score,Epistemic Value,Total Score
3606,p53,protein,,,,p04637.a,,,p53,protein,,,uniprot,p04637,,,negative,i,phosphorylation,,uaz:cvcl_9115,cl:cl:0002224,,,"nan,nan","nan,nan","inhibition of pp1 only slightly increased p53 levels but dramatically increased p53 phosphorylation at s15 and s37 which enhanced regulation of p53 targets bcl2 and bax .,inhibition of pp1 only slightly increased p53 levels but dramatically increased p53 phosphorylation at s15 and s37 which enhanced regulation of p53 targets bcl2 and bax .","pmc2954851,pmc2954851",2,10,19,1,39
115,akt,protein family|protein complex,,,,akt,,,autophagy,biological process,,,go,go:0006914,,,negative,i,none,,,,,,"nan,nan","nan,nan","akt is a known inhibitor of autophagy and inhibition of akt by certain tumor suppressors will induce autophagy [ xref_bibr ] . ++++ akt is a known inhibitor of autophagy and inhibition of akt by certain tumor suppressors will induce autophagy [ xref_bibr ] .,as the upstream regulator of mtor , akt is typically a suppressor of autophagy . ++++ knockdown of akt reduces the magnitude of autophagy induction in achn cells .","pmc3660063,pmc4720880",2,10,19,1,39
5473,tsc,protein family|protein complex,,,,tsc:[genericmutant],,,pi3k,protein family|protein complex,,,be,pi3k,,,positive,i,none,,,,,,"nan,nan","nan,nan","our results argue that the low malignant potential of tumors arising from tsc1-2 dysfunction may be explained by the failure of tsc mutant cells to activate pi3k and its downstream effectors .,these results suggested that the low malignant potential of tumors arising from tsc1-2 dysfunction may be explained by the failure of tsc mutant cells to activate pi3k and its downstream effectors [ xref_bibr , xref_bibr ] .","pmc2172316,pmc2652403",2,10,19,1,39
1542,egf,protein,,,,p01133,,,irs,protein family,,,pfam,pf02174,,,positive,i,phosphorylation,,cellosaurus:cvcl_0037,,,,"nan,nan","nan,nan","although egf was reported to induce phosphorylation of irs proteins in a431 cells that express high levels of egfr , egf could not induce significant irs phosphorylation in hek293 cells ( xref_supplementary ) , which is consistent with other studies .,although egf was reported to induce phosphorylation of irs proteins in a431 cells that express high levels of egfr , egf could not induce significant irs phosphorylation in hek293 cells ( xref_supplementary ) , which is consistent with other studies .","pmc2683723,pmc2683723",2,10,19,1,39
1118,chk2,protein,,,,o96017,,,chk2,protein,,,uniprot,o96017,,,positive,d,autophosphorylation,,,,,,"nan,nan","nan,nan","consistent with accumulation of the chk2 phosphorylation ( t68 ) and autophosphorylation of chk2 ( s516 ) , the level of phospho-histone h2a.x ( s139 ) was dramatically increased in time dependent manner ( xref_fig a ) .,other in vitro chk2 kinase assays performed with four dbc1 deletion fragments and full length sirt1 showed no significant phosphorylation of these recombinant substrates , but they allowed to map the n-terminus sequence ( a.a. 1-229 ) of dbc1 as being responsible for the inhibition of chk2 autophosphorylation and activity towards cdc25c .","pmc4159025,pmc4245943",2,10,18,1,38
3932,pi3k,protein family|protein complex,,,,pi3k,,,irs-1,protein,,,uniprot,p35568,,,positive,i,phosphorylation,,,,,,nan,nan,"the following sequence of events are proposed for alpha-tea-mediated apoptosis : alpha-tea inhibits pi3k via jnk mediated phosphorylation of irs-1 at ser 307 , resulting in inactivation of akt and mtor and ras and erk , which act cooperatively in alpha-tea-induced mitochondrial dependent proapoptotic events via activation of bad and caspase-9 .",pmc3039802,1,10,20,1,30
3931,pi3k,protein family|protein complex,,,,pi3k,,,irs-1,protein,,,uniprot,p35568,,,negative,i,none,,,,,,nan,nan,"as a result of tsc1-2 loss of function , insulin like growth factors do not activate pi3k due to s6k inactivating the adaptor proteins irs-1 and irs-2 .",pmc2172316,1,10,20,1,30
5491,tsc2,protein,,,,p49815,,,pkb,protein,,,uniprot,p31749,,,positive,i,none,,,,,,nan,nan,"as a result of irs inactivation , tsc2 deficient cells exhibit a profound defect in pi3k signaling and fail to activate the serine threonine kinase pkb or respond to the migration and pro survival activities of igf-1 .",pmc2172316,1,10,20,1,30
95,akt,protein family|protein complex,,,,akt,mitochondria,go:0005739,cell proliferation,biological process,,,go,go:0008283,mitochondria,go:0005739,positive,i,none,,cellosaurus:cvcl_0334,,,,nan,nan,"in most cancer cells , akt is constitutively active and enhances cell proliferation [ xref_bibr ] .",pmc2915986,1,10,19,1,29
3888,pi3,protein family|protein complex,,,,pi3k,other,go:0005773,autophagy,biological process,,,go,go:0006914,other,go:0005773,negative,i,none,,cellosaurus:cvcl_0320,cl:cl:1000497,,,nan,nan,pi3 kinase family members are shown to positively and negatively regulate autophagy .,pmc3154272,1,10,19,1,29
