Evidence Score,Match Score,Kind Score,Epistemic Value,Total Score
3,10,8,1,38
2,10,10,1,30
2,10,10,1,30
2,10,9,1,29
1,10,10,1,20
1,10,10,1,20
1,10,10,1,20
1,10,10,1,20
1,10,10,1,20
1,10,10,1,20
1,10,10,1,20
1,10,10,1,20
1,10,10,1,20
1,10,10,1,20
1,10,10,1,20
1,10,10,1,20
1,10,10,1,20
1,10,10,1,20
1,10,9,1,19
1,10,9,1,19
1,10,9,1,19
1,10,9,1,19
1,10,9,1,19
1,10,9,1,19
1,10,9,1,19
1,10,9,1,19
1,10,9,1,19
1,10,9,1,19
1,10,9,1,19
1,10,9,1,19
1,10,9,1,19
1,10,9,1,19
1,10,9,1,19
1,10,9,1,19
1,10,9,1,19
1,10,9,1,19
1,10,9,1,19
1,10,9,1,19
1,10,9,1,19
1,10,9,1,19
1,10,9,1,19
1,10,9,1,19
1,10,9,1,19
1,10,9,1,19
1,10,9,1,19
1,10,9,1,19
1,10,9,1,19
1,10,9,1,19
1,10,9,1,19
1,10,9,1,19
1,10,9,1,19
1,10,9,1,19
1,10,9,1,19
1,10,8,1,18
1,10,8,1,18
1,10,8,1,18
1,10,8,1,18
1,10,8,1,18
1,10,8,1,18
1,10,8,1,18
1,10,8,1,18
1,10,8,1,18
1,10,8,1,18
1,10,8,1,18
1,10,8,1,18
1,10,8,1,18
1,10,8,1,18
1,10,8,1,18
1,10,8,1,18
1,10,8,1,18
1,10,8,1,18
1,10,8,1,18
1,10,8,1,18
1,10,8,1,18
