,Element Name,Element Type,Element ID,Positive Reg Name,Positive Reg Type,Positive Reg ID,Negative Reg Name,Negative Reg Type,Negative Reg ID,Connection Type,Mechanism,Paper ID,Evidence,Evidence Score,Match Score,Kind Score,Epistemic Value,Total Score
251,erk,family,erk,map4k4,protein,o95819,nan,nan,nan,i,"['none', 'none', 'none', 'none', 'none', 'none', 'none', 'none']","['pmc5467491', 'pmc5467491', 'pmc5467491', 'pmc5467491', 'pmc5467491', 'pmc5467491', 'pmc5467491', 'pmc5467491']","['nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",8,100.0,40.0,1.0,840.0
593,pp2a,protein,p67775,fty720,simple-chemical,107969,nan,nan,nan,i,"['none', 'none', 'none', 'none', 'none', 'none', 'none', 'none']","['pmc5467491', 'pmc5467491', 'pmc5467491', 'pmc5467491', 'pmc5467491', 'pmc5467491', 'pmc5467491', 'pmc5467491']","['nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",8,100.0,40.0,1.0,840.0
455,mapk,family,erk,nan,simple-chemical,nan,belinostat,simple-chemical,6918638,i,"['none', 'none', 'none', 'none', 'none', 'none']","['pmc5537703', 'pmc5537703', 'pmc5537703', 'pmc5537703', 'pmc5537703', 'pmc5537703']","['nan', 'nan', 'nan', 'nan', 'nan', 'nan']",6,100.0,40.0,1.0,640.0
676,ras,family,pf00071,nan,protein,nan,rerg,protein,q96a58,i,"['none', 'none', 'none', 'none', 'none']","['pmc5410235', 'pmc5410235', 'pmc5410235', 'pmc5410235', 'pmc5410235']","['nan', 'nan', 'nan', 'nan', 'nan']",5,100.0,40.0,1.0,540.0
727,smad,family,smad,tgf-β,family,uaz00333,nan,nan,nan,i,"['none', 'none', 'none', 'none', 'none']","['pmc4440819', 'pmc4440819', 'pmc4440819', 'pmc4440819', 'pmc4440819']","['nan', 'nan', 'nan', 'nan', 'nan']",5,100.0,40.0,1.0,540.0
318,fa,family,pf08736,apoptosis,bioprocess,go:0006915,nan,nan,nan,i,"['none', 'none', 'none', 'none', 'none']","['pmc4783893', 'pmc4783893', 'pmc4783893', 'pmc4783893', 'pmc4783893']","['nan', 'nan', 'nan', 'nan', 'nan']",5,100.0,40.0,1.0,540.0
273,erk,family,erk,nan,protein,nan,ptprs,protein,q13332,i,"['none', 'none', 'none', 'none']","['pmc6006154', 'pmc6006154', 'pmc6006154', 'pmc6006154']","['nan', 'nan', 'nan', 'nan']",4,100.0,40.0,1.0,440.0
275,erk,family,erk,nan,protein,nan,rerg,protein,q96a58,i,"['none', 'none', 'none', 'none']","['pmc5410235', 'pmc5410235', 'pmc5410235', 'pmc5410235']","['nan', 'nan', 'nan', 'nan']",4,100.0,40.0,1.0,440.0
443,mapk,family,erk,map4k4,protein,o95819,nan,nan,nan,i,"['none', 'none', 'none', 'none']","['pmc5467491', 'pmc5467491', 'pmc5467491', 'pmc5467491']","['nan', 'nan', 'nan', 'nan']",4,100.0,40.0,1.0,440.0
385,jnk,family,jnk,map4k4,protein,o95819,nan,nan,nan,i,"['none', 'none', 'none', 'none']","['pmc5467491', 'pmc5467491', 'pmc5467491', 'pmc5467491']","['nan', 'nan', 'nan', 'nan']",4,100.0,40.0,1.0,440.0
452,mapk,family,erk,nan,protein,nan,ppar,protein,q07869,i,"['none', 'none', 'none', 'none']","['pmc5190119', 'pmc5190119', 'pmc5190119', 'pmc5190119']","['nan', 'nan', 'nan', 'nan']",4,100.0,40.0,1.0,440.0
