,Element Name,Element Type,Element ID,Location,Location ID,Cell Line,Cell Type,Organism,Positive Reg Name,Positive Reg Type,Positive Reg ID,Positive Reg Location,Positive Reg Location ID,Negative Reg Name,Negative Reg Type,Negative Reg ID,Negative Reg Location,Negative Reg Location ID,Connection Type,Database Name,Mechanism,Paper ID,Evidence,Evidence Score,Match Score,Kind Score,Epistemic Value,Total Score
76,erk,bioprocess,d020928,nan,nan,nan,nan,nan,ras,family,pf00071,nan,nan,nan,nan,nan,nan,nan,i,"['nan', 'nan', 'nan', 'nan']","['activation', 'activation', 'activation', 'inhibition']","['pmc2064279', 'pmc4254013', 'pmc4440819', 'pmc4440819']","['oncogenic ras causes constitutive activation of the erk pathway, resulting in cellular transformation and tumorigenesis.', 'further investigation of individual contribution of the ras isoforms indicated kras as major ras activator of the erk signaling in these cells.', 'the ras induced erk pathway (raf -- mek -- erk) is typically activated by growth factors through their receptor tyrosine kinases (rtks), which mobilize adaptor proteins, such as shc and grb2, and guanine nucleotide exchange factors (gefs) like sos.', 'da-raf binds to active ras and suppresses the erk pathway.']",4,100.0,40.0,1.0,440.0
174,raf,nan,nan,nan,nan,nan,nan,nan,ras,family,pf00071,nan,nan,nan,nan,nan,nan,nan,i,"['nan', 'nan']","['activation', 'activation']","['pmc2064279', 'pmc4067595']","['ras activates raf, leading to the extracellular regulated kinase (erk)-mitogen-activated protein kinase pathway, which is involved in a variety of cellular, physiological, and pathological responses.', 'all four isoforms of ras are able to activate all three members of the raf gene family (a raf, b raf, raf-1).']",2,100.0,40.0,1.0,240.0
65,erk,bioprocess,d020928,nan,nan,nan,nan,nan,fgf1,protein,p05230,nan,nan,nan,nan,nan,nan,nan,i,['nan'],['activation'],['pmc4440819'],"['furthermore, these conclusions are in line with the previous findings that the ras -- erk pathway induced by hepatocyte growth factor (hgf) or fgf1 interferes with tgf-beta1-induced emt in primary cultured aecs and aec cell lines [xref_bibr, xref_bib']",1,100.0,40.0,1.0,140.0
80,erk,bioprocess,d020928,nan,nan,nan,nan,nan,tgfb1,protein,p01137,nan,nan,nan,nan,nan,nan,nan,i,['nan'],['activation'],['pmc4440819'],"['thus, regulatory mechanisms of the weak and transient activation of the ras -- erk pathway induced by tgf-beta1 need to be elucidated.']",1,100.0,40.0,1.0,140.0
173,raf,nan,nan,nan,nan,nan,nan,nan,ksr,nan,nan,nan,nan,nan,nan,nan,nan,nan,i,['nan'],['activation'],['pmc4020307'],"['the scaffold protein ksr (kinase suppressor of ras) helps in raf activation, but also contributes to the sequential phosphorylation steps of the mapk cascade by bringing together mapk components, raf, mek and erk and mapk.']",1,100.0,40.0,1.0,140.0
67,erk,bioprocess,d020928,nan,nan,nan,nan,nan,fos_family,nan,nan,nan,nan,nan,nan,nan,nan,nan,i,['nan'],['activation'],['pmc2911390'],"['these include multiple transcription factors and targets of erk signaling such as fos and ier3 as well as mapk-phosphatases and sprouty genes involved in feedback inhibition of mek and erk signaling (dual specificity phosphatases 6 (dusp6), dusp1, du']",1,100.0,40.0,1.0,140.0
71,erk,bioprocess,d020928,nan,nan,nan,nan,nan,ndpks,nan,nan,nan,nan,nan,nan,nan,nan,nan,i,['nan'],['inhibition'],['pmc4020307'],"['thus, ndpks might attenuate ras and erk signaling through phosphorylation (thus inactivation) of ksr scaffolds.']",1,100.0,40.0,1.0,140.0
72,erk,bioprocess,d020928,nan,nan,nan,nan,nan,nme1,protein,p15531,nan,nan,nan,nan,nan,nan,nan,i,['nan'],['inhibition'],['pmc4020307'],"['in this review i summarize how nm23-h1 inhibits the ras and erk cascade in human cell lines, and examine how the nm23 homolog ndk-1 modifies the outcome of ras signaling in the model organism caenorhabditis elegans [xref_bibr].']",1,100.0,40.0,1.0,140.0
73,erk,bioprocess,d020928,nan,nan,nan,nan,nan,nme2,protein,p22392,nan,nan,nan,nan,nan,nan,nan,i,['nan'],['inhibition'],['pmc4020307'],['it was also suggested that increased levels of nm23-h2 block the erk pathway [xref_bibr].'],1,100.0,40.0,1.0,140.0
74,erk,bioprocess,d020928,nan,nan,nan,nan,nan,pebp1,protein,p30086,nan,nan,nan,nan,nan,nan,nan,i,['nan'],['inhibition'],['pmc2064279'],['both spry and rkip bind to raf to inhibit the erk pathway by preventing the binding of mek.'],1,100.0,40.0,1.0,140.0
66,erk,bioprocess,d020928,nan,nan,nan,nan,nan,fgf2,protein,p09038,nan,nan,nan,nan,nan,nan,nan,i,['nan'],['activation'],['pmc4440819'],"['in contrast, fgf2 stimulation or overexpression of constitutively active ras, raf, or mek enhances the activity of the tgf-beta1-induced ras -- erk pathway.']",1,100.0,40.0,1.0,140.0
77,erk,bioprocess,d020928,nan,nan,nan,nan,nan,smad2_3,nan,nan,nan,nan,nan,nan,nan,nan,nan,i,['nan'],['phosphorylation'],['pmc4440819'],['nan'],1,100.0,40.0,1.0,140.0
78,erk,bioprocess,d020928,nan,nan,nan,nan,nan,tgf- beta,nan,nan,nan,nan,nan,nan,nan,nan,nan,i,['nan'],['activation'],['pmc4440819'],"['tgf- beta also induces both the ras -- erk pathway and pi3k -- akt signaling as non smad signaling [xref_bibr, xref_bibr].']",1,100.0,40.0,1.0,140.0
79,erk,bioprocess,d020928,nan,nan,nan,nan,nan,tgfb,bioprocess,d016212,nan,nan,nan,nan,nan,nan,nan,i,['nan'],['activation'],['pmc4440819'],['tgf-beta activates both smad signaling and the ras -- erk pathway.'],1,100.0,40.0,1.0,140.0
81,erk,bioprocess,d020928,nan,nan,nan,nan,nan,u0126,simple-chemical,chebi:90693,nan,nan,nan,nan,nan,nan,nan,i,['nan'],['inhibition'],['pmc4440819'],"['the expression level of alphasma in tgf-beta1-stimulated rle cells was hardly affected by treatment with u0126, which inhibits the erk pathway (xref_fig).']",1,100.0,40.0,1.0,140.0
68,erk,bioprocess,d020928,nan,nan,nan,nan,nan,hgf,protein,p14210,nan,nan,nan,nan,nan,nan,nan,i,['nan'],['activation'],['pmc4440819'],"['furthermore, these conclusions are in line with the previous findings that the ras -- erk pathway induced by hepatocyte growth factor (hgf) or fgf1 interferes with tgf-beta1-induced emt in primary cultured aecs and aec cell lines [xref_bibr, xref_bib']",1,100.0,40.0,1.0,140.0
172,raf,nan,nan,nan,nan,nan,nan,nan,fgf2,protein,p09038,nan,nan,nan,nan,nan,nan,nan,i,['nan'],['activation'],['pmc4440819'],"['in contrast, fgf2 stimulation or overexpression of constitutively active ras, raf, or mek enhances the activity of the tgf-beta1-induced ras -- erk pathway.']",1,100.0,40.0,1.0,140.0
64,erk,bioprocess,d020928,nan,nan,nan,nan,nan,da-raf,nan,nan,nan,nan,nan,nan,nan,nan,nan,i,['nan'],['inhibition'],['pmc4440819'],"['since da-raf does not directly affect smad2/3 signaling but suppresses the tgf-beta1-induced non smad ras -- erk pathway, the information obtained in this study might provide ideas to treatment for pulmonary fibrosis without loss of the other importa']",1,100.0,40.0,1.0,140.0
63,erk,bioprocess,d020928,nan,nan,nan,nan,nan,araf,protein,p10398,nan,nan,nan,nan,nan,nan,nan,i,['nan'],['inhibition'],['pmc2064279'],"['furthermore, overexpressed da-raf1 abrogated erk activation, whereas the knockdown of da-raf facilitated erk activation.']",1,100.0,40.0,1.0,140.0
122,mek,nan,nan,nan,nan,nan,nan,nan,braf,protein,p15056,nan,nan,nan,nan,nan,nan,nan,i,['nan'],['activation'],['pmc2064279'],['these results are compatible with the notion that b-raf is the main activator of mek in most cell types.'],1,100.0,40.0,1.0,140.0
123,mek,nan,nan,nan,nan,nan,nan,nan,fgf2,protein,p09038,nan,nan,nan,nan,nan,nan,nan,i,['nan'],['activation'],['pmc4440819'],"['in contrast, fgf2 stimulation or overexpression of constitutively active ras, raf, or mek enhances the activity of the tgf-beta1-induced ras -- erk pathway.']",1,100.0,40.0,1.0,140.0
124,mek,nan,nan,nan,nan,nan,nan,nan,ksr,nan,nan,nan,nan,nan,nan,nan,nan,nan,i,['nan'],['activation'],['pmc4020307'],"['the scaffold protein ksr (kinase suppressor of ras) helps in raf activation, but also contributes to the sequential phosphorylation steps of the mapk cascade by bringing together mapk components, raf, mek and erk and mapk.']",1,100.0,40.0,1.0,140.0
125,mek,nan,nan,nan,nan,nan,nan,nan,pebp1,protein,p30086,nan,nan,nan,nan,nan,nan,nan,i,['nan'],['inhibition'],['pmc2064279'],['both spry and rkip bind to raf to inhibit the erk pathway by preventing the binding of mek.'],1,100.0,40.0,1.0,140.0
127,mek,nan,nan,nan,nan,nan,nan,nan,selumetinib,simple-chemical,chebi:90227,nan,nan,nan,nan,nan,nan,nan,i,['nan'],['inhibition'],['pmc4179759'],['preclinical data have demonstrated that mek inhibition by selumetinib is one of the effective strategies for targeting dysregulated mapk pathway that leads to unregulated cell proliferation and development and progression of melanoma.'],1,100.0,40.0,1.0,140.0
128,mek,nan,nan,nan,nan,nan,nan,nan,tgfb1,protein,p01137,nan,nan,nan,nan,nan,nan,nan,i,['nan'],['activation'],['pmc4440819'],"['knockdown of da-raf expression with sirnas facilitated the activity of mek and erk, which were only weakly and transiently activated by tgf-beta1.']",1,100.0,40.0,1.0,140.0
69,erk,bioprocess,d020928,nan,nan,nan,nan,nan,ier3,protein,p46695,nan,nan,nan,nan,nan,nan,nan,i,['nan'],['activation'],['pmc2911390'],"['these include multiple transcription factors and targets of erk signaling such as fos and ier3 as well as mapk-phosphatases and sprouty genes involved in feedback inhibition of mek and erk signaling (dual specificity phosphatases 6 (dusp6), dusp1, du']",1,100.0,40.0,1.0,140.0
140,nan,nan,nan,nan,nan,nan,nan,nan,erk,bioprocess,d020928,nan,nan,nan,nan,nan,nan,nan,i,"['nan', 'nan', 'nan', 'nan', 'nan', 'nan']","['phosphorylation', 'phosphorylation', 'phosphorylation', 'phosphorylation', 'phosphorylation', 'phosphorylation']","['pmc2911390', 'pmc3843736', 'pmc4067595', 'pmc4179759', 'pmc4254013', 'pmc4440819']","['nan', 'nan', 'nan', 'nan', 'nan', 'nan']",6,1.0,40.0,1.0,46.0
55,epithelial to mesenchymal transition,bioprocess,go:0001837,nan,nan,nan,nan,nan,mek,nan,nan,nan,nan,nan,nan,nan,nan,nan,i,"['nan', 'nan']","['activation', 'inhibition']","['pmc4440819', 'pmc4440819']","['in addition, inhibition of mek with u0126 prevented emt in these cells.', 'therefore, strong and sustained activation of mek and erk negatively regulates emt in rle cells.']",2,1.0,40.0,1.0,42.0
189,ras,family,pf00071,nan,nan,nan,nan,nan,mek,nan,nan,nan,nan,nan,nan,nan,nan,nan,i,"['nan', 'nan']","['activation', 'activation']","['pmc2911390', 'pmc4440819']","['the ras pathway signature is upregulated in breast cancer cell lines that have acquired resistance to akt inhibition, and is downregulated by inhibition of mek.', 'in contrast, fgf2 stimulation or overexpression of constitutively active ras, raf, or mek enhances the activity of the tgf-beta1-induced ras -- erk pathway.']",2,1.0,40.0,1.0,42.0
25,braf,protein,p15056,nan,nan,nan,nan,nan,erk,bioprocess,d020928,nan,nan,nan,nan,nan,nan,nan,i,"['nan', 'nan']","['inhibition', 'dephosphorylation']","['pmc4179759', 'pmc4254013']","['phosphorylation of erk1/2, downstream molecules of mek, was effectively inhibited with selumetinib in melanoma, colorectal cancer, pancreatic cancer, non-small-cell lung cancer, and hepatocellular cancer cell lines harboring braf, nras, or kras mutat', 'nan']",2,1.0,40.0,1.0,42.0
160,pd 0325901,simple-chemical,chebi:88249,nan,nan,nan,nan,nan,erk,bioprocess,d020928,nan,nan,nan,nan,nan,nan,nan,i,"['nan', 'nan']","['dephosphorylation', 'phosphorylation']","['pmc3843736', 'pmc3843736']","['nan', 'nan']",2,1.0,40.0,1.0,42.0
