index,Regulator Name,Regulator Type,Regulator Subtype,Regulator HGNC Symbol,Regulator Database,Regulator ID,Regulator Compartment,Regulator Compartment ID,Regulated Name,Regulated Type,Regulated Subtype,Regulated HGNC Symbol,Regulated Database,Regulated ID,Regulated Compartment,Regulated Compartment ID,Sign,Connection Type,Mechanism,Site,Cell Line,Cell Type,Tissue Type,Organism,Score,Source,Statements,Paper IDs,Evidence Score,Match Score,Kind Score,Epistemic Value,Total Score
234,reg,protein,,,,p05451,,,pten,protein,,,uniprot,p60484,,,positive,i,,,,,,,"nan,nan,nan,nan,nan,nan,nan","nan,nan,nan,nan,nan,nan,nan","nan,nan,nan,nan,nan,nan,nan","pmcpmc4297581,pmcpmc4297581,pmcpmc4297581,pmcpmc4297581,pmcpmc4297581,pmcpmc4297581,pmcpmc4297581",7,100,40,1,740
3,akt,other,,,,akt,,,apoptosis,bioprocess,,,go,go:0006915,,,positive,i,,,,,,,"nan,nan","nan,nan","nan,nan","pmcpmc5765289,pmcpmc5765289",2,100,40,1,240
176,pd_1,protein,,,,p18621,,,pi3k,protein,,,be,pi3k,,,negative,i,,,,,,,"nan,nan","nan,nan","nan,nan","pmcpmc5821214,pmcpmc5821214",2,100,40,1,240
116,ik1,protein,,,,o15554,,,pten,protein,,,uniprot,p60484,,,negative,i,,,,,,,"nan,nan","nan,nan","nan,nan","pmcpmc5986278,pmcpmc5986278",2,100,40,1,240
11,akt,other,,,,akt,,,pten,protein,,,uniprot,p60484,,,negative,i,,,,,,,"nan,nan","nan,nan","nan,nan","pmcpmc5821214,pmcpmc5821214",2,100,40,1,240
59,cell_growth,bioprocess,,,,go:0016049,,,lactate,chemical,,,hmdb,hmdb00190,,,positive,i,,,,,,,nan,nan,nan,pmcpmc5886055,1,100,40,1,140
140,itk_syk,protein,,,,uaz10887,,,pten,protein,,,uniprot,p60484,,,negative,i,,,,,,,nan,nan,nan,pmcpmc5821214,1,100,40,1,140
204,pp242,chemical,,,,24905147,,,apoptosis,bioprocess,,,go,go:0006915,,,positive,i,,,,,,,nan,nan,nan,pmcpmc5765289,1,100,40,1,140
145,metabolism,bioprocess,,,,go:0008152,,,ampk,protein,,,be,ampk,,,positive,i,,,,,,,nan,nan,nan,pmcpmc5618553,1,100,40,1,140
86,dusp6,protein,,,,q16828,,,pi3k,protein,,,be,pi3k,,,positive,i,,,,,,,nan,nan,nan,pmcpmc4575996,1,100,40,1,140
252,tcr,protein,,,,p01850,,,mek1,protein,,,,q02750,,,positive,i,,,,,,,nan,nan,nan,pmc4418530,1,100,40,1,140
172,notch1,protein,,,,p46531,,,pten,protein,,,uniprot,p60484,,,negative,i,,,,,,,nan,nan,nan,pmcpmc5521878,1,100,40,1,140
250,tal1,protein,,,,p17542,,,ampk,protein,,,be,ampk,,,negative,i,,,,,,,nan,nan,nan,pmcpmc5618553,1,100,40,1,140
38,calcium,chemical,,,,5460341,,,cn,protein,,,uniprot,a1z746,,,positive,i,,,,,,,nan,nan,nan,pmcpmc5618553,1,100,40,1,140
84,dusp5,protein,,,,q16690,,,pi3k,protein,,,be,pi3k,,,positive,i,,,,,,,nan,nan,nan,pmcpmc4575996,1,100,40,1,140
163,mtorc2,protein,,,,mtorc2,,,mtor,protein,,,uniprot,p42345,,,positive,i,,,,,,,nan,nan,nan,pmcpmc5765289,1,100,40,1,140
226,rapamycin,chemical,,,,5284616,,,mtorc1,protein,,,be,mtorc1,,,negative,i,,,,,,,nan,nan,nan,pmcpmc5765289,1,100,40,1,140
247,stat5,other,,,,stat5,,,pi3k,protein,,,be,pi3k,,,positive,i,,,,,,,nan,nan,nan,pmcpmc3949578,1,100,40,1,140
139,itk_syk,protein,,,,uaz10887,,,pi3k,protein,,,be,pi3k,,,negative,i,,,,,,,nan,nan,nan,pmcpmc5821214,1,100,40,1,140
119,ikaros,protein,,,,q13422,,,pi3k,protein,,,be,pi3k,,,positive,i,,,,,,,nan,nan,nan,pmcpmc5986278,1,100,40,1,140
66,cell_survival,bioprocess,,,,d002470,,,ampk,protein,,,be,ampk,,,positive,i,,,,,,,nan,nan,nan,pmcpmc5618553,1,100,40,1,140
115,igg,protein,,,,uaz00125,,,pten,protein,,,uniprot,p60484,,,positive,i,,,,,,,nan,nan,nan,pmcpmc4297581,1,100,40,1,140
177,pd_1,protein,,,,p18621,,,pten,protein,,,uniprot,p60484,,,negative,i,,,,,,,nan,nan,nan,pmcpmc5821214,1,100,40,1,140
178,pd_1,protein,,,,p18621,,,pten,protein,,,uniprot,p60484,,,positive,i,,,,,,,nan,nan,nan,pmcpmc5821214,1,100,40,1,140
233,reg,protein,,,,p05451,,,pten,protein,,,uniprot,p60484,,,negative,i,,,,,,,nan,nan,nan,pmcpmc3949578,1,100,40,1,140
180,phosphatase,other,,,,pf15698,,,pi3k,protein,,,be,pi3k,,,positive,i,,,,,,,nan,nan,nan,pmcpmc5618553,1,100,40,1,140
203,pkc_,protein,,,,uaz10900,,,pten,protein,,,uniprot,p60484,,,negative,i,,,,,,,nan,nan,nan,pmcpmc5821214,1,100,40,1,140
201,pkc,other,,,,pkc,,,pten,protein,,,uniprot,p60484,,,negative,i,,,,,,,nan,nan,nan,pmcpmc5821214,1,100,40,1,140
92,foxo1,protein,,,,q12778,,,pten,protein,,,,p60484,,,positive,i,,,,,,,nan,nan,nan,pmc4418530,1,100,40,1,140
55,cell_cycle,bioprocess,,,,go:0007049,,,raptor,protein,,,uniprot,q8n122,,,negative,i,,,,,,,nan,nan,nan,pmcpmc5618553,1,100,40,1,140
165,mtorc2,protein,,,,mtorc2,,,pten,protein,,,uniprot,p60484,,,negative,i,,,,,,,nan,nan,nan,pmcpmc4297581,1,100,40,1,140
160,mtorc2,other,,,,q6r327,,,akt,protein,,,,p31750,,,positive,i,,,,,,,nan,nan,nan,pmc4418530,1,100,40,1,140
166,mtorc2_akt,protein,,,,uaz10937,,,pten,protein,,,uniprot,p60484,,,positive,i,,,,,,,nan,nan,nan,pmcpmc4297581,1,100,40,1,140
112,homeostasis,bioprocess,,,,go:0042592,,,pten,protein,,,uniprot,p60484,,,positive,i,,,,,,,nan,nan,nan,pmcpmc4297581,1,100,40,1,140
111,homeostasis,bioprocess,,,,go:0042592,,,ampk,protein,,,be,ampk,,,positive,i,,,,,,,nan,nan,nan,pmcpmc5618553,1,100,40,1,140
8,akt,other,,,,akt,,,pi3k,protein,,,be,pi3k,,,negative,i,,,,,,,nan,nan,nan,pmcpmc5821214,1,100,40,1,140
9,akt,other,,,,akt,,,pi3k,protein,,,be,pi3k,,,positive,i,,,,,,,nan,nan,nan,pmcpmc5821214,1,100,40,1,140
197,pi3k_,protein,,,,pi3k,,,pten,protein,,,uniprot,p60484,,,positive,i,,,,,,,nan,nan,nan,pmcpmc3949578,1,100,40,1,140
168,nedd4,protein,,,,p46934,,,pten,protein,,,,p60486,,,negative,i,,,,,,,nan,nan,nan,pmc4418530,1,100,40,1,140
258,tcr,protein,,,,p04234,,,mtor,protein,,,uniprot,p42345,,,positive,i,,,,,,,nan,nan,nan,pmcpmc3949578,1,100,40,1,140
148,mir181_targets_ptpn,protein,,,,uaz11073,,,pi3k,protein,,,be,pi3k,,,positive,i,,,,,,,nan,nan,nan,pmcpmc4575996,1,100,40,1,140
18,antigen,protein,,,,ua-bp-ggp-00007,,,fr,protein,,,uniprot,p30043,,,positive,i,,,,,,,nan,nan,nan,pmcpmc4297581,1,100,40,1,140
19,antigen,protein,,,,ua-bp-ggp-00007,,,pten,protein,,,uniprot,p60484,,,negative,i,,,,,,,nan,nan,nan,pmcpmc5821214,1,100,40,1,140
105,gcs,protein,,,,q16739,,,pten,protein,,,uniprot,p60484,,,negative,i,,,,,,,nan,nan,nan,pmcpmc4297581,1,100,40,1,140
104,gc,protein,,,,p02774,,,fr,protein,,,uniprot,p30043,,,positive,i,,,,,,,nan,nan,nan,pmcpmc4297581,1,100,40,1,140
97,foxp3,protein,,,,b7zlg1,,,pten,protein,,,uniprot,p60484,,,positive,i,,,,,,,nan,nan,nan,pmcpmc4297581,1,100,40,1,140
199,pip3,protein,,,,hmdb10147,,,akt,protein,,,,p31749,,,positive,i,,,,,,,nan,nan,nan,pmc4418530,1,100,40,1,140
129,il_2,protein,,,,p60568,,,pi3k,protein,,,be,pi3k,,,positive,i,,,,,,,nan,nan,nan,pmcpmc3949578,1,100,40,1,140
106,glycolysis,bioprocess,,,,go:0006096,,,pten,protein,,,uniprot,p60484,,,positive,i,,,,,,,nan,nan,nan,pmcpmc4297581,1,10,38,1,48
24,apoptosis,bioprocess,,,,go:0006915,,,mtorc1,protein,,,be,mtorc1,,,negative,i,,,,,,,nan,nan,nan,pmcpmc5765289,1,10,38,1,48
188,pi3k,protein,,,,pi3k,,,mir_26b,protein,,,uaz,uaz11084,,,negative,i,,,,,,,"nan,nan","nan,nan","nan,nan","pmcpmc5986278,pmcpmc5986278",2,1,40,1,42
192,pi3k,protein,,,,pi3k,,,tcr,protein,,,uniprot,p04234,,,positive,i,,,,,,,"nan,nan","nan,nan","nan,nan","pmcpmc3949578,pmcpmc3949578",2,1,40,1,42
207,proliferation,bioprocess,,,,go:0008283,,,akt,other,,,be,akt,,,positive,i,,,,,,,nan,nan,nan,pmcpmc5886055,1,1,40,1,41
209,proliferation,bioprocess,,,,go:0008283,,,apc,protein,,,uniprot,p25054,,,negative,i,,,,,,,nan,nan,nan,pmcpmc5618553,1,1,40,1,41
187,pi3k,protein,,,,pi3k,,,mir181,protein,,,uaz,uaz11074,,,positive,i,,,,,,,nan,nan,nan,pmcpmc4575996,1,1,40,1,41
31,bcl2,protein,,,,p10415,,,scf,protein,,,uniprot,p21583,,,positive,i,,,,,,,nan,nan,nan,pmcpmc5886055,1,1,40,1,41
30,bcl2,protein,,,,p10415,,,dll4,protein,,,uniprot,q9nr61,,,positive,i,,,,,,,nan,nan,nan,pmcpmc5886055,1,1,40,1,41
29,autophagy,bioprocess,,,,go:0006914,,,notch1,protein,,,uniprot,p46531,,,positive,i,,,,,,,nan,nan,nan,pmcpmc5618553,1,1,40,1,41
27,apoptosis,bioprocess,,,,go:0006915,,,rapamycin,chemical,,,pubchem,5284616,,,negative,i,,,,,,,nan,nan,nan,pmcpmc5765289,1,1,40,1,41
26,apoptosis,bioprocess,,,,go:0006915,,,"pik3cd
inhibitor",chemical,,,uaz,uaz11105,,,positive,i,,,,,,,nan,nan,nan,pmcpmc5986278,1,1,40,1,41
23,apoptosis,bioprocess,,,,go:0006915,,,mir_26b,protein,,,uaz,uaz11084,,,positive,i,,,,,,,nan,nan,nan,pmcpmc5986278,1,1,40,1,41
189,pi3k,protein,,,,pi3k,,,pd_1,protein,,,uniprot,p18621,,,positive,i,,,,,,,nan,nan,nan,pmcpmc5821214,1,1,40,1,41
99,fr,protein,,,,p30043,,,bcl6,protein,,,uniprot,p41182,,,negative,i,,,,,,,nan,nan,nan,pmcpmc4297581,1,1,40,1,41
100,fr,protein,,,,p30043,,,blimp1,protein,,,uniprot,o75626,,,negative,i,,,,,,,nan,nan,nan,pmcpmc4297581,1,1,40,1,41
101,fr,protein,,,,p30043,,,granzyme_b,protein,,,uniprot,p10144,,,negative,i,,,,,,,nan,nan,nan,pmcpmc4297581,1,1,40,1,41
102,fr,protein,,,,p30043,,,il_21,protein,,,uniprot,q9hbe4,,,negative,i,,,,,,,nan,nan,nan,pmcpmc4297581,1,1,40,1,41
103,fr,protein,,,,p30043,,,pten_mtorc2_axis,protein,,,uaz,uaz10940,,,negative,i,,,,,,,nan,nan,nan,pmcpmc4297581,1,1,40,1,41
22,apoptosis,bioprocess,,,,go:0006915,,,mir_26b,protein,,,uaz,uaz11084,,,negative,i,,,,,,,nan,nan,nan,pmcpmc5986278,1,1,40,1,41
21,apoptosis,bioprocess,,,,go:0006915,,,cal_101,chemical,,,pubchem,11625818,,,positive,i,,,,,,,nan,nan,nan,pmcpmc5986278,1,1,40,1,41
167,myc,protein,,,,p01106,,,itk,protein,,,uniprot,q08881,,,negative,i,,,,,,,nan,nan,nan,pmcpmc3949578,1,1,40,1,41
107,glycolysis,bioprocess,,,,go:0006096,,,reg,protein,,,uniprot,p05451,,,positive,i,,,,,,,nan,nan,nan,pmcpmc4297581,1,1,40,1,41
152,mtor,protein,,,,p42345,,,tcr,protein,,,uniprot,p04234,,,negative,i,,,,,,,nan,nan,nan,pmcpmc3949578,1,1,40,1,41
153,mtor,protein,,,,p42345,,,transcription,bioprocess,,,go,go:0006351,,,positive,i,,,,,,,nan,nan,nan,pmcpmc3949578,1,1,40,1,41
195,pi3k,protein,,,,uaz02107,,,mtorc1_inhibitors,chemical,,,uaz,uaz10909,,,negative,i,,,,,,,nan,nan,nan,pmcpmc5765289,1,1,40,1,41
