Evidence Score,Match Score,Kind Score,Epistemic Value,Total Score
49,10,5,1,495
12,10,5,1,125
10,10,7,1,107
8,10,7,1,87
8,10,5,1,85
8,10,5,1,85
7,10,5,1,75
6,10,5,1,65
5,10,7,1,57
5,10,7,1,57
5,10,5,1,55
5,10,5,1,55
5,10,5,1,55
5,10,5,1,55
5,10,5,1,55
5,10,5,1,55
5,10,5,1,55
5,10,5,1,55
5,10,5,1,55
4,10,7,1,47
4,10,5,1,45
4,10,5,1,45
4,10,5,1,45
4,10,5,1,45
4,10,5,1,45
4,10,5,1,45
4,10,5,1,45
4,10,5,1,45
4,10,5,1,45
3,10,7,1,37
3,10,5,1,35
3,10,5,1,35
3,10,5,1,35
3,10,5,1,35
3,10,5,1,35
3,10,5,1,35
3,10,5,1,35
3,10,3,1,33
2,10,7,1,27
2,10,7,1,27
2,10,7,1,27
2,10,7,1,27
2,10,7,1,27
2,10,7,1,27
2,10,5,1,25
2,10,5,1,25
2,10,5,1,25
2,10,5,1,25
2,10,5,1,25
2,10,5,1,25
2,10,5,1,25
2,10,5,1,25
2,10,5,1,25
2,10,5,1,25
2,10,5,1,25
2,10,5,1,25
2,10,5,1,25
2,10,5,1,25
2,10,5,1,25
2,10,5,1,25
2,10,5,1,25
2,10,5,1,25
2,10,5,1,25
2,10,5,1,25
2,10,5,1,25
2,10,5,1,25
2,10,5,1,25
2,10,5,1,25
2,10,5,1,25
2,10,5,1,25
2,10,5,1,25
2,10,5,1,25
2,10,5,1,25
2,10,5,1,25
2,10,5,1,25
2,10,5,1,25
2,10,5,1,25
2,10,5,1,25
2,10,5,1,25
2,10,5,1,25
2,10,5,1,25
2,10,5,1,25
2,10,5,1,25
2,10,5,1,25
2,10,5,1,25
2,10,5,1,25
2,10,5,1,25
2,10,5,1,25
2,10,5,1,25
2,10,5,1,25
1,10,7,1,17
1,10,7,1,17
1,10,7,1,17
1,10,7,1,17
1,10,7,1,17
1,10,7,1,17
1,10,7,1,17
1,10,7,1,17
1,10,7,1,17
1,10,7,1,17
1,10,7,1,17
1,10,7,1,17
1,10,7,1,17
1,10,7,1,17
1,10,7,1,17
1,10,7,1,17
1,10,7,1,17
1,10,7,1,17
1,10,7,1,17
1,10,7,1,17
1,10,7,1,17
1,10,7,1,17
1,10,7,1,17
1,10,7,1,17
1,10,7,1,17
1,10,7,1,17
1,10,7,1,17
1,10,7,1,17
1,10,7,1,17
1,10,7,1,17
1,10,7,1,17
1,10,7,1,17
1,10,7,1,17
1,10,7,1,17
1,10,7,1,17
1,10,7,1,17
1,10,7,1,17
1,10,5,1,15
1,10,5,1,15
1,10,5,1,15
1,10,5,1,15
1,10,5,1,15
1,10,5,1,15
1,10,5,1,15
1,10,5,1,15
1,10,5,1,15
1,10,5,1,15
1,10,5,1,15
1,10,5,1,15
1,10,5,1,15
1,10,5,1,15
1,10,5,1,15
1,10,5,1,15
1,10,5,1,15
1,10,5,1,15
1,10,5,1,15
1,10,5,1,15
1,10,5,1,15
1,10,5,1,15
1,10,5,1,15
1,10,5,1,15
1,10,5,1,15
1,10,5,1,15
1,10,5,1,15
1,10,5,1,15
1,10,5,1,15
1,10,5,1,15
1,10,5,1,15
1,10,5,1,15
1,10,5,1,15
1,10,5,1,15
1,10,5,1,15
1,10,5,1,15
1,10,5,1,15
1,10,5,1,15
1,10,5,1,15
1,10,5,1,15
1,10,5,1,15
1,10,5,1,15
1,10,5,1,15
1,10,5,1,15
1,10,5,1,15
1,10,5,1,15
1,10,5,1,15
1,10,5,1,15
1,10,5,1,15
1,10,5,1,15
1,10,5,1,15
1,10,5,1,15
1,10,5,1,15
1,10,5,1,15
1,10,5,1,15
1,10,5,1,15
1,10,5,1,15
1,10,5,1,15
1,10,5,1,15
1,10,5,1,15
1,10,5,1,15
1,10,5,1,15
1,10,5,1,15
1,10,5,1,15
1,10,5,1,15
1,10,5,1,15
1,10,5,1,15
1,10,5,1,15
1,10,5,1,15
1,10,5,1,15
1,10,5,1,15
1,10,5,1,15
1,10,5,1,15
1,10,5,1,15
1,10,5,1,15
1,10,5,1,15
1,10,5,1,15
1,10,5,1,15
1,10,5,1,15
1,10,5,1,15
1,10,5,1,15
1,10,5,1,15
1,10,5,1,15
1,10,5,1,15
1,10,5,1,15
1,10,5,1,15
1,10,5,1,15
1,10,5,1,15
1,10,5,1,15
1,10,5,1,15
1,10,5,1,15
1,10,5,1,15
1,10,5,1,15
1,10,5,1,15
1,10,5,1,15
1,10,5,1,15
1,10,5,1,15
1,10,5,1,15
1,10,5,1,15
1,10,5,1,15
1,10,5,1,15
1,10,5,1,15
1,10,5,1,15
1,10,5,1,15
1,10,5,1,15
1,10,5,1,15
1,10,5,1,15
1,10,5,1,15
