Evidence Score,Match Score,Kind Score,Epistemic Value,Total Score
20,100,40,1,2040
10,100,40,1,1040
10,100,40,1,1040
9,100,40,1,940
8,100,40,1,840
8,100,40,1,840
7,100,40,1,740
6,100,40,1,640
6,100,40,1,640
6,100,40,1,640
6,100,40,1,640
5,100,40,1,540
5,100,40,1,540
5,100,40,1,540
5,100,40,1,540
5,100,40,1,540
5,100,40,1,540
5,100,40,1,540
5,100,40,1,540
5,100,40,1,540
5,100,40,1,540
4,100,40,1,440
4,100,40,1,440
4,100,40,1,440
4,100,40,1,440
4,100,40,1,440
4,100,40,1,440
4,100,40,1,440
4,100,40,1,440
4,100,40,1,440
4,100,40,1,440
4,100,40,1,440
4,100,40,1,440
4,100,40,1,440
4,100,40,1,440
4,100,40,1,440
4,100,40,1,440
4,100,40,1,440
4,100,40,1,440
4,100,40,1,440
4,100,40,1,440
4,100,40,1,440
4,100,40,1,440
4,100,40,1,440
4,100,40,1,440
4,100,40,1,440
4,100,40,1,440
4,100,40,1,440
4,100,40,1,440
3,100,40,1,340
3,100,40,1,340
3,100,40,1,340
3,100,40,1,340
3,100,40,1,340
3,100,40,1,340
3,100,40,1,340
3,100,40,1,340
3,100,40,1,340
3,100,40,1,340
3,100,40,1,340
3,100,40,1,340
3,100,40,1,340
3,100,40,1,340
3,100,40,1,340
3,100,40,1,340
3,100,40,1,340
3,100,40,1,340
3,100,40,1,340
3,100,40,1,340
3,100,40,1,340
3,100,40,1,340
3,100,40,1,340
3,100,40,1,340
3,100,40,1,340
3,100,40,1,340
3,100,40,1,340
3,100,40,1,340
3,100,40,1,340
3,100,40,1,340
3,100,40,1,340
3,100,40,1,340
3,100,40,1,340
3,100,40,1,340
3,100,40,1,340
3,100,40,1,340
3,100,40,1,340
3,100,40,1,340
3,100,40,1,340
3,100,40,1,340
3,100,40,1,340
3,100,40,1,340
3,100,40,1,340
3,100,40,1,340
3,100,40,1,340
3,100,40,1,340
3,100,40,1,340
3,100,40,1,340
3,100,40,1,340
3,100,40,1,340
3,100,40,1,340
3,100,40,1,340
3,100,40,1,340
3,100,40,1,340
3,100,40,1,340
3,100,40,1,340
3,100,40,1,340
3,100,40,1,340
3,100,40,1,340
3,100,40,1,340
3,100,40,1,340
3,100,40,1,340
3,100,40,1,340
3,100,40,1,340
3,100,40,1,340
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
