index,Regulator Name,Regulator Type,Regulator Subtype,Regulator HGNC Symbol,Regulator Database,Regulator ID,Regulator Compartment,Regulator Compartment ID,Regulated Name,Regulated Type,Regulated Subtype,Regulated HGNC Symbol,Regulated Database,Regulated ID,Regulated Compartment,Regulated Compartment ID,Sign,Connection Type,Mechanism,Site,Cell Line,Cell Type,Tissue Type,Organism,Score,Source,Statements,Paper IDs,Evidence Score,Match Score,Kind Score,Epistemic Value,Total Score
665,b-raf,protein,,,,p15056,,,mek2,protein,,,uniprot,p36507,,,positive,d,phosphorylation,,,,,,"nan,nan,nan,nan,nan","nan,nan,nan,nan,nan","b-raf phosphorylates mek1 and mek2 on ser217 and ser221 , which activates it to dual phosphorylate erks , at thr202 and tyr204 for human erk1 and thr185 and tyr187 for human erk2 [ xref_bibr , xref_bibr ] .,b-raf phosphorylates mek1 and mek2 on ser217 and ser221 , which activates it to dual phosphorylate erks , at thr202 and tyr204 for human erk1 and thr185 and tyr187 for human erk2 [ xref_bibr , xref_bibr ] .,b-raf phosphorylates mek1 and mek2 on ser217 and ser221 , which activates it to dual phosphorylate erks , at thr202 and tyr204 for human erk1 and thr185 and tyr187 for human erk2 [ xref_bibr , xref_bibr ] .,b-raf phosphorylates mek1 and mek2 on ser217 and ser221 , which activates it to dual phosphorylate erks , at thr202 and tyr204 for human erk1 and thr185 and tyr187 for human erk2 [ xref_bibr , xref_bibr ] .,b-raf phosphorylates mek1 and mek2 on ser217 and ser221 , which activates it to dual phosphorylate erks , at thr202 and tyr204 for human erk1 and thr185 and tyr187 for human erk2 [ xref_bibr , xref_bibr ] .","pmc1289294,pmc1289294,pmc1289294,pmc1289294,pmc1289294",5,10,7,1,57
664,b-raf,protein,,,,p15056,,,mek1,protein,,,uniprot,q02750,,,positive,d,phosphorylation,,,,,,"nan,nan,nan,nan,nan","nan,nan,nan,nan,nan","b-raf phosphorylates mek1 and mek2 on ser217 and ser221 , which activates it to dual phosphorylate erks , at thr202 and tyr204 for human erk1 and thr185 and tyr187 for human erk2 [ xref_bibr , xref_bibr ] .,b-raf phosphorylates mek1 and mek2 on ser217 and ser221 , which activates it to dual phosphorylate erks , at thr202 and tyr204 for human erk1 and thr185 and tyr187 for human erk2 [ xref_bibr , xref_bibr ] .,b-raf phosphorylates mek1 and mek2 on ser217 and ser221 , which activates it to dual phosphorylate erks , at thr202 and tyr204 for human erk1 and thr185 and tyr187 for human erk2 [ xref_bibr , xref_bibr ] .,b-raf phosphorylates mek1 and mek2 on ser217 and ser221 , which activates it to dual phosphorylate erks , at thr202 and tyr204 for human erk1 and thr185 and tyr187 for human erk2 [ xref_bibr , xref_bibr ] .,b-raf phosphorylates mek1 and mek2 on ser217 and ser221 , which activates it to dual phosphorylate erks , at thr202 and tyr204 for human erk1 and thr185 and tyr187 for human erk2 [ xref_bibr , xref_bibr ] .","pmc1289294,pmc1289294,pmc1289294,pmc1289294,pmc1289294",5,10,7,1,57
3566,p53,protein,,,,p04637,,,apoptosis,biologicalprocess,,,go,go:0006915,,,positive,i,none,,,,,,"nan,nan,nan,nan","nan,nan,nan,nan","transfer of wild-type p53 induces apoptosis and produces significant growth suppression of pancreatic cancer in vitro and in vivo [ xref_bibr - xref_bibr ] .,mdm2 is the primary ubiquitin ligase for tumor suppressor protein , p53 , which induces apoptosis or senescence in response to oncogenic stress or dna damage .,this is consistent with previous reports that p53 contributes to apoptosis induced by growth factor deprivation xref_bibr , xref_bibr , xref_bibr and indicates that p53 is one of the effectors contributing to cell death when pi 3-kinase signaling is blocked .,taken together , our data highlight an important function of p68 in selectively regulating p53 dependent p21 expression and thus potentially influencing the decision between p53 mediated growth arrest and apoptosis in vitro and in vivo . ++++ these data highlight a novel function of p68 as a modulator of the decision between p53 mediated growth arrest and apoptosis in vitro and in vivo .","pmc149420,pmc3355968,pmc3481126,pmc3556166",4,10,5,1,45
4138,pp2a,protein,,,,p67775,,,chk1,protein,,,uniprot,o14757,,,negative,i,phosphorylation,,,,,,"nan,nan,nan,nan","nan,nan,nan,nan","in x. laevis egg extracts , the addition of pp2a c reversed chk1 phosphorylation at s344 ( human s345 ) after activation by dsb [ xref_bibr ] .,in human cells , the inhibition of pp2a induced chk1 phosphorylation in the absence of dna damage and also prevented chk1 dephosphorylation after hydroxyurea removal [ xref_bibr ] .,the knockdown of pp2a increased chk1 phosphorylation on s317 and s345 and in vitro , pp2a was able to directly dephosphorylate chk1 [ xref_bibr ] .,the knockdown of pp2a increased chk1 phosphorylation on s317 and s345 and in vitro , pp2a was able to directly dephosphorylate chk1 [ xref_bibr ] .","pmc2954851,pmc2954851,pmc2954851,pmc2954851",4,10,5,1,45
1131,chk2,protein,,,,o96017,,,p53,protein,,,uniprot,p04637,,,positive,d,phosphorylation,,,,,,"nan,nan,nan","nan,nan,nan","atm dependent dephosphorylation of p53 at s376 and chk1 and chk2 dependent phosphorylation of p53 at s378 , s366 and t387 generate 14-3-3 binding sites in vivo .,atm , atr , and dna-pk phosphorylate p53 on s15 , while chk1 and chk2 phosphorylate p53 on s20 which stabilize p53 by preventing binding to mdm2 [ xref_bibr - xref_bibr ] .,a study published in 2000 reported that , upon dna damage , chk2 phosphorylates p53 on ser20 .","pmc2817464,pmc2954851,pmc4296918",3,10,7,1,37
3271,mtorc1,proteinfamilyproteincomplex,,,,mtorc1,,,pras40,protein,,,uniprot,q96b36,,,positive,i,phosphorylation,,,,,,"nan,nan,nan","nan,nan,nan","the above results suggested that pras40 is phosphorylated by mtorc1 . ++++ we also observed that pras40 associated less well with a kinase dead version of mtor ( xref_fig ) , suggesting that mtorc1 mediated phosphorylation of pras40 ( see below ) may affect the pras40- mtorc1 interaction . ++++ pras40 was phosphorylated weakly by both mtorc1 and mtorc2 . ++++ it remains to be determined whether mtorc1 mediated phosphorylation of pras40 plays a role in pras40 's ability to bind and inhibit mtorc1 . ++++ importantly , we also found that pras40 inhibited mtorc1 autophosphorylation but not mtorc2 autophosphorylation ( xref_fig ) , suggesting that the weak phosphorylation of pras40 by mtorc1 might be due to pras40 mediated inhibition of mtorc1 .,moreover , pras40 is a substrate of mtorc1 itself , and mtorc1 mediated phosphorylation of pras40 prevents inhibition of additional mtorc1 signaling [ xref_bibr - xref_bibr , xref_bibr ] .,to complicate matters , pras40 is a substrate of mtorc1 itself , and mtorc1 mediated phosphorylation of pras40 prevents inhibition of additional mtorc1 signaling .","pmc2075366,pmc3660063,pmc4102778",3,10,7,1,37
193,akt,proteinfamilyproteincomplex,,,,akt,,,mtor,protein,,,uniprot,p42345,,,positive,i,none,,,,,,"nan,nan,nan","nan,nan,nan","the phosphatidylinositol-3 kinase and akt signaling pathway activates mtor , in turn , directly phosphorylating ribosome protein s6 kinase 1 ( s6k1 ) and eif4e binding protein 1 , both of which are important in the control of protein translation initiation .,however , upon akt mediated activation of mtor , these latter mrnas are highly and disproportionately translated . ++++ since the loss of pten results in activation of akt , that in turn up-regulates mtor activity , cancer cells deficient in pten are thought to be major targets of mtor inhibitors .,akt activates mtor by a cascade of phosphorylations , and mtor inhibits autophagy through the inhibitory phosphorylation of ulk1 ( unc-51 like autophagy activating kinase 1 ) and atg13 , proteins required for autophagy induction .","pmc3388235,pmc3660063,pmc4091167",3,10,5,1,35
3899,pi3k,proteinfamilyproteincomplex,,,,pi3k,,,akt,proteinfamilyproteincomplex,,,be,akt,,,positive,i,phosphorylation,,,,,,"nan,nan,nan","nan,nan,nan","in a time course experiment , however , we show that the phosphorylation of akt s473 resumes gradually up to the untreated cell levels within 24 hours of pp242 treatment and inhibition of pi3k fails to block the akt s473 phosphorylation .,to test whether pp242 , like rapamycin , may activate feedback loops through pi3k mediated akt phosphorylation [ xref_bibr , xref_bibr ] , we treated the cells with the pi3k inhibitor , ly294002 [ xref_bibr ] .,these molecules inhibit mtorc1 , mtorc2 , and pi3k , thus inhibiting the phosphorylation of akt , s6k1 , and 4e-bp1 , and are therefore attractive drugs for targeting cancers driven by pi3k activation [ xref_bibr ] .","pmc3750018,pmc3750018,pmc4258317",3,10,5,1,35
581,atm,protein,,,,q13315,nucleus,go:0005634,chk2,protein,,,uniprot,o96017,nucleus,go:0005634,positive,d,phosphorylation,,,,,,"nan,nan","nan,nan","the induction of dna dsb by ir as well as treatment with doxorubicin caused a dissociation of the b'alpha and chk2 proteins due to atm dependent phosphorylation of chk2 serines 33 and 35 .,after dna damage , chk2 is phosphorylated by atm on the priming site t68 and on other residues in the scd .","pmc2954851,pmc4296918",2,10,7,1,27
560,atm,protein,,,,q13315,,,chk1,protein,,,uniprot,o14757,,,positive,d,phosphorylation,,,,,,"nan,nan","nan,nan","during ddr such as that resulting from exposure to uv , oxidants , or ir , chk1 is phosphorylated by atm and atr at serine ( s ) 317 and s345 [ xref_bibr ] .,during ddr such as that resulting from exposure to uv , oxidants , or ir , chk1 is phosphorylated by atm and atr at serine ( s ) 317 and s345 [ xref_bibr ] .","pmc2925474,pmc2925474",2,10,7,1,27
454,ampk,proteinfamilyproteincomplex,,,,ampk,,,tsc2,protein,,,uniprot,p49815,,,positive,d,phosphorylation,,,,,,"nan,nan","nan,nan","ampk activation directly phosphorylates and activates tsc2 by enhancing its gap activity , leading to inhibition of mtor signaling .,low energy levels ( high amp : atp ratio ) activate ampk which then phosphorylates tsc2 on ser 1345 .","pmc3388235,pmc3837323",2,10,7,1,27
455,ampk,proteinfamilyproteincomplex,,,,ampk,,,tsc2,protein,,,uniprot,p49815,,,positive,i,none,,,,,,"nan,nan","nan,nan","akt ( also known as pkb ) phosphorylates and inactivates tsc2 in response to growth factors xref_bibr , whereas ampk phosphorylates and activates tsc2 in response to low energy ( high amp ) xref_bibr , xref_bibr .,lkb1 is an upstream activator of 5 ' amp activated protein kinase ( ampk ) which activates tsc2 that negatively regulates mtorc1 [ xref_bibr , xref_bibr ] .","pmc2075366,pmc3660063",2,10,7,1,27
230,akt,proteinfamilyproteincomplex,,,,akt,,,pras40,protein,,,uniprot,q96b36,,,positive,d,phosphorylation,,,,,,"nan,nan","nan,nan","akt also phosphorylates pras40 , an inhibitor of the interactions between mtorc1 and its substrates , and by doing so , akt prevents pras40 's ability to suppress mtorc1 signaling [ xref_bibr ] .,when pras40 is phosphorylated by akt , it can not suppress mtorc1 signalling [ xref_bibr , xref_bibr , xref_bibr , xref_bibr , xref_bibr - xref_bibr ] .","pmc3837323,pmc4102778",2,10,7,1,27
192,akt,proteinfamilyproteincomplex,,,,akt,,,mtor,protein,,,uniprot,p42345,,,positive,d,phosphorylation,,,,,,"nan,nan","nan,nan","akt can directly phosphorylate mtor at ser 2448 and activate it , as well as cause indirect activation of mtor by phosphorylating and inactivating tsc2 ( tuberous sclerosis complex 2 , also called tuberin ) .,elevated akt activity can also result in increased phosphorylation of mtor .","pmc3039802,pmc3660063",2,10,7,1,27
3154,mtor,protein,,,,p42345,,,mtorc1,proteinfamilyproteincomplex,,,be,mtorc1,,,positive,i,none,,,,,,"nan,nan","nan,nan","combination of mtor and egfr kinase inhibitors blocks mtorc1 and mtorc2 kinase activity and suppresses the progression of colorectal carcinoma .,mtor inhibitors can be broadly grouped into two classes : the allosteric inhibitors of mtorc1 ( rapamycin and rapalogs ) and the mtor kinase inhibitors .","pmc3750018,pmc4258317",2,10,7,1,27
1136,chk2,protein,,,,o96017,,,puma,protein,,,uniprot,q96pg8,,,positive,i,none,,,,,,"nan,nan","nan,nan","we found in etoposide treated dbc1 overexpressing cells a marked puma accumulation and cleavage of both parp-1 and caspase-3 in chk2-proficient cells , but not in chk2 deficient cells ( respectively , figure xref_fig and xref_fig , compare lanes 5 and 7 and lanes 7 and 8 ) .,curiously , we also found that chk2 silencing prevents puma induction and caspase-3 cleavage and that chk2 depletion alone can not affect etoposide induced apoptosis .","pmc4245943,pmc4245943",2,10,5,1,25
3590,p53,protein,,,,p04637,,,proliferation,biologicalprocess,,,go,go:0008283,,,negative,i,none,,,,,,"nan,nan","nan,nan","acute p53 knockdown , confirmed by immunoblot analysis ( xref_supplementary ) , rescued the reduced proliferation of myr-akt1-expressing cells to that of control cells ( xref_supplementary ) .,in human fibroblasts , the proliferation arrest induced by activated ras can not be rescued by the inhibition of p53 activity alone ; however , it is dependent on the presence of functional p16 .","pmc3325598,pmc3325598",2,10,5,1,25
5489,tsc2,protein,,,,p49815,,,mtorc1,proteinfamilyproteincomplex,,,be,mtorc1,,,negative,i,none,,,,,,"nan,nan","nan,nan","lkb1 is an upstream activator of 5 ' amp activated protein kinase ( ampk ) which activates tsc2 that negatively regulates mtorc1 [ xref_bibr , xref_bibr ] .,this has a pro proliferative effect as mtorc1 is not suppressed by tsc2 .","pmc3660063,pmc4102778",2,10,5,1,25
5473,tsc,proteinfamilyproteincomplex,,,,tsc:[genericmutant],,,pi3k,proteinfamilyproteincomplex,,,be,pi3k,,,positive,i,none,,,,,,"nan,nan","nan,nan","our results argue that the low malignant potential of tumors arising from tsc1-2 dysfunction may be explained by the failure of tsc mutant cells to activate pi3k and its downstream effectors .,these results suggested that the low malignant potential of tumors arising from tsc1-2 dysfunction may be explained by the failure of tsc mutant cells to activate pi3k and its downstream effectors [ xref_bibr , xref_bibr ] .","pmc2172316,pmc2652403",2,10,5,1,25
196,akt,proteinfamilyproteincomplex,,,,akt,,,mtorc1,proteinfamilyproteincomplex,,,be,mtorc1,,,positive,i,none,,,,,,"nan,nan","nan,nan","thus , this is another mechanism by which akt activates mtorc1 .,growth factor stimulated akt promotes mtorc1 activation through two pathways .","pmc4102778,pmc4216640",2,10,5,1,25
373,akt1,protein,,,,p31749,,,apoptosis,biologicalprocess,,,go,go:0006915,,,positive,i,none,,,,,,"nan,nan","nan,nan","combinations of alpha-tea+ akt1 or 2 sirna acted cooperatively to induce apoptosis ( xref_fig ) and inhibit pakt ( ser 473 ) and total akt1 and akt2 , respectively , as well as pmtor ( ser 2448 ) , but had no effect on basal levels of perk1/2 , showing that the erk signalling pathway is independent of akt signalling ( xref_fig ) .,akt1 knockout mice resemble the dna-pk deficiency radiosensitivity phenotype , with attenuated p21 cip1 expression and increased apoptosis in response to dna damage , supporting the notion that dna-pk and akt1 pathway has a marked impact on cell survival after dna damage due to transcriptional regulation of p21 cip1 [ xref_bibr ] .","pmc3039802,pmc3317191",2,10,5,1,25
2506,igf-1,protein,,,,p05019,,,akt,proteinfamilyproteincomplex,,,be,akt,,,positive,i,none,,,,,,"nan,nan","nan,nan","in multiple myeloma cells igf-1 stimulates sustained activation of nf-kappab and akt and upregulates a series of anti-apoptotic proteins including flip , survivin , ciap-2 and xiap [ xref_bibr ] .,addition of igf-1 or fbs ( fetal bovine serum ) following ly294002 treatment reactivated pi3k and akt signaling , which in turn resulted in satb1 phosphorylation ( xref_fig ) .","pmc149420,pmc3675137",2,10,5,1,25
208,akt,proteinfamilyproteincomplex,,,,akt,,,p21,protein,,,uniprot,p38936,,,positive,i,none,,,,,,"nan,nan","nan,nan","here we show that pi3k and akt pathway activation in response to phosphatase and tensin homolog ( pten ) knockdown , mutant pi3k , catalytic , alpha polypeptide ( pik3ca ) or activated akt expression , promotes accumulation of p53 and p21 , increases cell size and induces senescence associated beta-galactosidase activity .,we also determined that akt could not induce p21 or sabetagal activity in bj-t cells expressing sv40 large t antigen , consistent with the ability of sv40 large t antigen to repress p53 and retinoblastoma activity ( data not shown ) .","pmc3325598,pmc3325598",2,10,5,1,25
450,ampk,proteinfamilyproteincomplex,,,,ampk,,,mtorc1,proteinfamilyproteincomplex,,,be,mtorc1,,,negative,i,none,,,,,,"nan,nan","nan,nan","in response to energy starvation ( low atp level ) , mtorc1 activity is inhibited through the phosphorylation of tsc2 by ampk ( amp activated protein kinase ) .,the phosphorylation status of raptor governs mtorc1 activity since phosphorylation of raptor on s722/792 by 5 ' amp activated kinase ( ampk ) inhibits mtorc1 whereas mtor mediated phosphorylation of raptor on s863 is crucial for the activation of mtorc1 in response to mitogen stimulation [ xref_bibr , xref_bibr ] .","pmc3291999,pmc4258317",2,10,5,1,25
3898,pi3k,proteinfamilyproteincomplex,,,,pi3k,,,akt,proteinfamilyproteincomplex,,,be,akt,,,positive,i,none,,,,,,"nan,nan","nan,nan","subsequently , pi3k activates akt and pkb [ xref_bibr ] that interferes with the apoptotic machinery .,growth factor stimulation of pi3k causes activation of akt by phosphorylation at two key sites : the activation loop ( t308 ) and the c-terminal hydrophobic motif ( s473 ) .","pmc149420,pmc2637922",2,10,5,1,25
565,atm,protein,,,,q13315,,,chk2,protein,,,uniprot,o96017,,,positive,i,none,,,,,,"nan,nan","nan,nan","the transducer proteins include the kinases atm and atm- and rad3 related ( atr ) ; atm and atr phosphorylates and thereby activates the checkpoint kinases chk1 and chk2 , which control hur cytoplasmic abundance and rna binding , respectively .,here , we report that the inhibition of sirt1 by dbc1 in the dna damage response ( ddr ) also depends on chk2 , the transducer kinase that is activated by atm upon dna lesions and contributes to the spreading of dna damage signal .","pmc2925474,pmc4245943",2,10,3,1,23
