index,Regulator Name,Regulator Type,Regulator Subtype,Regulator HGNC Symbol,Regulator Database,Regulator ID,Regulator Compartment,Regulator Compartment ID,Regulated Name,Regulated Type,Regulated Subtype,Regulated HGNC Symbol,Regulated Database,Regulated ID,Regulated Compartment,Regulated Compartment ID,Sign,Connection Type,Mechanism,Site,Cell Line,Cell Type,Tissue Type,Organism,Score,Source,Statements,Paper IDs,Evidence Score,Match Score,Kind Score,Epistemic Value,Total Score
108,da-raf1,protein,,,uniprot,p10398,,,ras,family,,,pfam,pf00071,,,positive,i,,,,,,,"nan,nan,nan,nan","nan,nan,nan,nan","nan,nan,nan,nan","pmc2064279,pmc2064279,pmc2064279,pmc2064279",4,10,11,1,51
627,ras,family,,,pfam,pf00071,,,raf,family,,,be,raf,,,negative,i,,,,,,,"nan,nan,nan","nan,nan,nan","nan,nan,nan","pmc4067595,pmc4067595,pmc2064279",3,10,10,1,40
368,mdm2,protein,,,uniprot,q00987,,,p53,protein,,,uniprot,p04637,,,positive,i,,,,,,,"nan,nan","nan,nan","nan,nan","pmc5537703,pmc5537703",2,10,10,1,30
60,braf,protein,,,uniprot,p15056,,,ras,family,,,pfam,pf00071,,,negative,i,,,,,,,nan,nan,nan,pmc5069826,1,10,11,1,21
292,jnk,family,,,be,jnk,,,jnk,family,,,be,jnk,,,negative,i,,,,,,,nan,nan,nan,pmc5636874,1,10,11,1,21
358,mapk,family,,,be,erk,,,p38,family,,,be,p38,,,negative,i,,,,,,,nan,nan,nan,pmc5190119,1,10,11,1,21
536,pi3k,protein,,,be,pi3k,,,egfr,protein,,,uniprot,p00533,,,negative,i,,,,,,,nan,nan,nan,pmc5723691,1,10,11,1,21
56,braf,protein,,,uniprot,p15056,,,mek,family,,,be,mek,,,negative,i,,,,,,,nan,nan,nan,pmc4846800,1,10,10,1,20
380,mek,family,,,be,mek,,,erk,family,,,be,erk,,,negative,i,,,,,,,nan,nan,nan,pmc6006154,1,10,10,1,20
596,raf-1,protein,,,uniprot,p04049,,,map2k1,protein,,,uniprot,q02750,,,negative,i,,,,,,,nan,nan,nan,pmc5609034,1,10,10,1,20
597,raf-1,protein,,,uniprot,p04049,,,map2k2,protein,,,uniprot,p36507,,,negative,i,,,,,,,nan,nan,nan,pmc5609034,1,10,10,1,20
601,raf-1,protein,,,uniprot,p04049,,,mek1,protein,,,uniprot,q02750,,,negative,i,,,,,,,nan,nan,nan,pmc5609034,1,10,10,1,20
602,raf-1,protein,,,uniprot,p04049,,,mek2,protein,,,uniprot,p36507,,,negative,i,,,,,,,nan,nan,nan,pmc5609034,1,10,10,1,20
